ID,SNM,STYP,FND,RGN,USC,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
1,ICT폴리텍대학,전문대학,사립,경기,C그룹,60.56050090476191,60.59051090476191,61.10908642857143,60.31584258730159,60.68534720634921,60.697506,60.68887
2,가야대학교,대학,사립,경남,C그룹,66.95371251268375,66.95360338569962,66.82377783254907,66.90117003751801,66.99427554304953,66.98372,66.98067
3,가천대학교,대학,사립,경기,A그룹,69.25922187157283,69.90604203755699,70.11641809379506,70.44962872871574,69.2067407950938,69.25917,69.121704
4,가톨릭관동대학교,대학,사립,강원,B그룹,66.67659351292427,66.62890759661838,66.80700627857523,66.75784302564104,66.6856665416178,66.691574,66.687836
5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,67.34115240163538,66.90389075510802,66.71563533766233,66.9053101029341,66.76920268872992,66.774315,66.76764
6,가톨릭대학교,대학,사립,경기,A그룹,72.17558594760797,72.6405805219226,72.7104762145633,72.29385487617948,68.44889089249646,68.59666,68.580505
7,가톨릭상지대학교,전문대학,사립,경북,C그룹,64.97512120971619,65.08264106685907,65.05970892400192,64.90501225733523,63.852939838143314,63.855995,63.84943
8,감리교신학대학교,대학,사립,서울,C그룹,62.98068668720165,63.18969990331885,64.840673050838,63.880900209568175,62.92084976295925,62.911705,62.92025
9,강남대학교,대학,사립,경기,B그룹,66.75531737429232,66.98613019680317,67.09611164341212,66.29726648396047,66.70979617227212,66.70542,66.70654
10,강동대학교,전문대학,사립,충북,B그룹,62.98183797691202,63.11215473015879,62.66188574603178,61.37097552380956,63.36223941269845,63.35107,63.347763
11,강릉영동대학교,전문대학,사립,강원,B그룹,63.69773506349205,62.72708807936508,62.525795603174586,62.403189619047644,62.99493414285714,62.992893,62.990604
12,강서대학교,대학,사립,서울,C그룹,63.99223493987497,65.44213540019244,64.04247433670038,65.02738204545452,65.75805230495435,65.75445,65.752266
13,강원관광대학교,전문대학,사립,강원,C그룹,60.026567730158746,64.80531825829729,64.90216821067823,62.94898102645506,63.34357707936507,63.354877,63.345364
14,강원대학교,대학,국립,강원,A그룹,70.00752460173155,71.186570580808,70.81052155772012,71.250616016255,70.16235691524489,70.0083,69.98174
15,강원도립대학교,전문대학,공립,강원,C그룹,67.21680936556037,66.78721367574289,66.71460853150548,66.9161145487588,66.86976426015848,66.86879,66.87178
16,개신대학원대학교,대학원대학,사립,서울,-,66.3637266873497,66.21259422558923,66.58517109571909,66.37260968734965,66.19036142568544,66.2086,66.20389
17,거제대학교,전문대학,사립,경남,C그룹,63.76688771404519,64.64288794492539,64.6341026204906,64.70633444925446,65.02392324651274,65.01925,65.01326
18,건국대학교,대학,사립,서울,A그룹,70.3890187719209,70.8601026644173,70.00794952344712,70.11205878438228,69.47429451587308,69.58934,69.51288
19,건국대학교(글로컬),대학,사립,충북,B그룹,67.27129149188153,67.16121382501622,67.23807046905932,66.96170957503611,66.56935885799304,66.572754,66.57034
20,건동대학교,대학,사립,경북,C그룹,60.026567730158746,60.026567730158746,60.026567730158746,60.02656773015876,60.026567730158746,60.026615,60.026615
21,건신대학원대학교,대학원대학,사립,대전,-,66.15612597594995,66.17915061087061,66.2729602312985,66.27062725108222,65.52004949639247,65.52815,65.5438
22,건양대학교,대학,사립,충남,B그룹,65.53121121209782,65.02131792458864,65.753454872423,65.69545625912252,63.30368017297032,63.338074,63.329365
23,경기과학기술대학교,전문대학,사립,경기,A그룹,63.80282795238095,64.14860428571431,64.33768052380957,64.00021747619051,63.07987531313129,63.09886,63.097065
24,경기대학교,대학,사립,경기,A그룹,66.83331067850177,66.84573204940695,67.05187287648685,66.79724390823287,66.15694286827981,66.13325,66.136154
25,경남대학교,대학,사립,경남,A그룹,67.55428632547012,67.41209655762685,67.20848257999336,67.57406830527114,66.4376978529366,66.44525,66.448425
26,경남도립거창대학,전문대학,공립,경남,C그룹,63.32123598412698,64.98651613035119,64.71400716209719,64.21548728908131,64.84700097162099,64.8446,64.84392
27,경남도립남해대학,전문대학,공립,경남,C그룹,64.20070235257337,64.14377551851854,64.44577774867723,62.91303618518523,64.50604571765273,64.500656,64.50398
28,경남정보대학교,전문대학,사립,부산,A그룹,64.09212780519486,64.02046518614725,63.839033202020296,63.6821826305917,63.98483278932184,63.979767,63.98158
29,경동대학교,대학,사립,강원,B그룹,65.30931457107415,64.8048172279728,64.84125914726211,60.57060902597404,59.34445021861472,59.37013,59.244526
30,경민대학교,전문대학,사립,경기,B그룹,63.49838907936509,63.97861320634919,63.97537400000004,63.86884753968259,62.92842696825395,62.91402,62.916973
31,경복대학교,전문대학,사립,경기,A그룹,62.34680008297264,63.1759442734488,62.20178003535361,62.35371346392501,63.21307738888895,63.2346,63.227615
32,경북과학대학교,전문대학,사립,경북,C그룹,62.813651183261165,62.47694618326116,62.00560280230879,62.92443799278496,64.11912057142855,64.11662,64.120476
33,경북대학교,대학,국립,대구,A그룹,74.36970938961046,74.8147540346321,74.81909899855705,74.5920811038961,73.317021962482,73.076385,72.73875
34,경북보건대학교,전문대학,사립,경북,C그룹,62.69691533333336,62.59147128571434,61.822647444444485,61.423868000000056,61.75319090476194,61.76686,61.767235
35,경북외국어대학교,대학,사립,대구,C그룹,60.026567730158746,60.026567730158746,60.026567730158746,60.02656773015876,60.026567730158746,60.026615,60.026615
36,경북전문대학교,전문대학,사립,경북,B그룹,65.08100555627705,64.84292328643579,64.69088815151515,63.86363038095242,64.08709509523813,64.08818,64.087616
37,경상국립대학교,대학,국립,경남,A그룹,72.11952710101005,72.36906923520924,71.65142212121214,71.68449511798657,71.34742546179295,71.31178,71.21762
38,경성대학교,대학,사립,부산,A그룹,67.81396165456191,66.92887099438096,67.2602955490876,67.11283448236674,65.14595363178269,65.13849,65.141655
39,경안대학원대학교,대학원대학,사립,경북,-,65.91354028908128,65.5817039124579,65.71218200769601,65.41075880952383,66.38863752717654,66.40097,66.400505
40,경운대학교,대학,사립,경북,C그룹,66.53528687590189,66.8238123260556,66.70658184986513,66.95254286435787,66.25982212481966,66.25763,66.2562
41,경인교육대학교,대학,국립,인천,C그룹,63.36407665656565,64.83576295848593,66.64344722946696,64.4468135429015,62.87699099167498,62.887188,62.879353
42,경인여자대학교,전문대학,사립,인천,B그룹,64.36902079831282,64.97033530735933,65.29504911976915,63.61104042568538,63.704732219336194,63.700397,63.696754
43,경일대학교,대학,사립,경북,B그룹,66.07696955693577,65.68781148589768,65.79175879853476,65.90655587422961,65.68615496417668,65.6603,65.66982
44,경찰대학,기타,기타,충남,-,61.44976215873019,62.162398492063545,62.22984392063498,62.23691892063499,62.200984396825454,62.204018,62.204685
45,경희대학교,대학,사립,서울,A그룹,75.55942600288597,75.60500266666664,74.98138974025971,75.06716942279951,72.74405631746035,73.130486,73.06674
46,계명대학교,대학,사립,대구,A그룹,69.15989747443244,69.06745980628382,64.41659391197697,67.3276499105894,67.17385145027197,67.18381,67.224434
47,계명문화대학교,전문대학,사립,대구,A그룹,63.5635012539682,62.63039142857145,61.72542682251087,62.46715780663784,63.55647939682537,63.56111,63.5499
48,계약신학대학원대학교,대학원대학,사립,경기,-,60.026567730158746,60.026567730158746,64.49784581457433,64.80378169841264,64.82038432467532,64.832794,64.826675
49,계원예술대학교,전문대학,사립,경기,B그룹,65.07553290476189,65.16796650793648,65.51288453968253,65.06918712698412,64.58744673015872,64.59125,64.58757
50,고려대학교,대학,사립,서울,A그룹,79.04144933405473,79.02437792568531,79.15588916305904,78.3355431118325,76.57968489321782,77.742195,77.310844
51,고려대학교(세종),대학,사립,세종,B그룹,67.11042098468191,66.7537344926185,66.52297882554481,66.42699197818848,65.58362428436374,65.61032,65.60761
52,고려사이버대학교,대학,사립,서울,A그룹,62.42472785714287,62.8406610952381,62.1502860793651,62.18985893650795,62.21016560317462,62.20722,62.20667
53,고신대학교,대학,사립,부산,C그룹,67.67495451325284,67.70919197751718,67.4549402447427,67.27528833998079,66.81405764245613,66.808014,66.80753
54,공군사관학교,기타,기타,충북,-,60.026567730158746,62.63700735978837,61.45169353968257,61.334097801587326,61.93963393650797,61.955368,61.95381
55,공주교육대학교,대학,국립,충남,C그룹,65.84613806671103,64.90782713741807,66.71483459021731,66.98213944125517,64.68513054290152,64.67936,64.66982
56,과학기술연합대학원대학교,대학원대학,국립,대전,-,69.89475422441164,69.2250891926656,68.82302198631643,68.24533973234813,68.8191840498085,68.62338,68.66272
57,광신대학교,대학,사립,광주,C그룹,66.85745569940002,66.38754776623378,66.62863555459354,66.58686338864837,66.60791747556142,66.61159,66.610794
58,광양보건대학교,전문대학,사립,전남,C그룹,65.44641326166426,65.43246659499759,64.82721311544013,62.66158025396824,62.39121323809525,62.39297,62.38887
59,광운대학교,대학,사립,서울,B그룹,67.00519567879081,66.5458729249841,67.08943738738918,68.41225498504858,62.78434476623375,62.80742,62.813904
60,광주가톨릭대학교,대학,사립,전남,C그룹,64.15806066810964,64.24907489033188,64.33815369985571,64.37457613564213,64.3335042236652,64.33552,64.33633
61,광주과학기술원,대학,국립,광주,C그룹,70.92697557997555,71.40698124231322,70.33234885703185,69.93624586901983,70.51473108330558,70.45902,70.38245
62,광주교육대학교,대학,국립,광주,C그룹,67.19594161691285,67.15179356929383,66.81687360103984,66.94712516498313,66.46789990262712,66.46945,66.46198
63,광주대학교,대학,사립,광주,B그룹,66.44145808378657,66.84002667165443,66.23057310760734,65.81031197972398,65.34739394388946,65.34168,65.33148
64,광주보건대학교,전문대학,사립,광주,B그룹,63.93730607936505,63.765984841269805,64.39620922222221,64.09377955555551,65.75983509595953,65.75735,65.75258
65,광주여자대학교,대학,사립,광주,C그룹,66.32266430546503,66.44379307819237,66.41333185597014,66.30899617343044,66.53932550570927,66.53598,66.53009
66,구미대학교,전문대학,사립,경북,A그룹,63.609073079365125,63.420843095238176,63.76613766666672,62.318762587301634,63.56047511111116,63.55636,63.55106
67,구세군사관대학원대학교,대학원대학,사립,경기,-,65.65842422150071,65.20312705483406,64.7255715238095,65.11525537229434,64.31415295238094,64.31716,64.31424
68,국군간호사관학교,기타,기타,대전,-,61.01990196825401,60.86191325396828,61.746630015873066,61.822462730158776,61.75280815873023,61.77026,61.76359
69,국립강릉원주대학교,대학,국립,강원,B그룹,66.95415194889499,66.7409922577997,66.83176396492331,67.12746243876195,66.649731402694,66.64343,66.64795
