YR,RK,SNM,SCR
2015,1,서울대학교,64.82
2015,2,연세대학교,51.02
2015,3,고려대학교,49.79
2015,4,한국과학기술원,48.95
2015,5,포항공과대학교,48.24
2015,6,한양대학교,47.6
2015,7,성균관대학교,47.19
2015,8,경북대학교,45.92
2015,9,광주과학기술원,45.88
2015,10,전남대학교,45.27
2015,11,이화여자대학교,45.2
2015,12,경희대학교,45.16
2015,13,전북대학교,45.09
2015,14,아주대학교,45.04
2015,15,경상국립대학교,45.04
2015,16,부산대학교,44.94
2015,17,울산대학교,44.79
2015,18,가톨릭대학교,44.74
2015,19,동국대학교,44.61
2015,20,인하대학교,44.56
2015,21,서강대학교,44.56
2015,22,건국대학교,44.51
2015,23,충남대학교,44.47
2015,24,중앙대학교,44.29
2015,25,영남대학교,44.27
2015,26,충북대학교,44.23
2015,27,강원대학교,44.22
2015,28,인제대학교,44.22
2015,29,단국대학교,44.2
2015,30,서울시립대학교,44.17
2015,31,세종대학교,44.16
2015,32,조선대학교,44.15
2015,33,국립부경대학교,44.13
2015,34,가천대학교,44.08
2015,35,한림대학교,44.08
2015,36,울산과학기술원,44.06
