YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_21A,BG3Y_MCS_22B,BG3Y_MCS_23C,BG3Y_BG3Y,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_OEU_EDC,UE_OEU_EP,UE_REU_EDC,UE_REU_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_OE_PTH,SES_OE_PTC,SES_OE2_PTH,SES_OE2_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2023,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,7023,241,7264,9572,246,9818,0,0,0,0,0,0,0,0,0,132,0,132,130,0,9818,273,36.0,132,9818,1.399999976158142,190.8999938964844,18,0,190.8999938964844,287,0.699999988079071,12335770681,2698740,0,0,0,0,0,0,2698740,12688740000,3000000,0,0,0,0,0,0,3000000,2698740,273,9885.5,2698740,12335770681,0.0,2631510,2700090,2698740,1.3,273,273,0,16,5,33,0,327,287,287,0,15,8,37,0,347,0,362,29,0,1,11,4,45,80,0,3,50,16,149,0,0,0,0,0,0,0,0,0,0,0,0,0,80,273,0.3000000119209289,362,273,1.2999999523162842,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,287,0.0,0.0,0.0,287,0.0,0.0,0.0,0.0,0.0
2023,2,가야대학교,대학,사립,경남,C그룹,125947,47564,173511,188792,49721,238513,15,13,112253,0,28,112253,1520,57,1577,5124,703,5827,5413,0,238513,1937,123.0999984741211,5827,238513,2.5,3446.89990234375,712,32,3446.89990234375,1787,1.899999976158142,31427764528,67488690,11229450,2334220,23547000,0,0,0,104599360,28530900000,45000000,12000000,6000000,25000000,7000000,0,3500000,98500000,104599360,1937,54000.7,104599360,31427764528,0.3,123390555,115000540,104599360,-7.9,1937,1837,100,81,116,64,0,2198,1787,1698,89,76,137,61,0,2061,0,16644,361,5,28,27,0,421,5520,40,620,436,0,6616,0,0,0,0,0,1,2,12,4,7,160,12,47,5560,1937,2.900000095367432,16644,1937,8.600000381469727,1,1.0,0,0,2.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,1.0,0,0.0,2.0,0,0,0,0.0,0.0,1,1.0,0,0.0,2.0,27.5,6,84.0,16,2.0,0.0,0.0,0.0,1787,1.100000023841858,2.0,0.0,1787,1.100000023841858,111.5,2.0,0.0,55.79999923706055
2023,3,가천대학교,대학,사립,경기,A그룹,405787,159055,564842,987624,205034,1192658,34,42,85767,7,83,85767,6,0,6,20137,4852,24989,13633,0,1192658,22003,54.20000076293945,24989,1192658,2.0999999046325684,13194.2998046875,2984,243,13194.2998046875,23396,0.6000000238418579,280203826126,524335427,0,0,906075408,494140047,0,71060943,1995611825,303141836000,610000000,0,0,1051000000,515000000,0,80000000,2256000000,1995611825,22003,90697.3,1995611825,280203826126,0.7,2026162343,1973755559,1995611825,-0.7,22003,19370,2633,937,1521,379,1821,26661,23396,20563,2833,938,1608,387,5575,31904,0,700505,4640,334,420,246,139,5779,38034,2914,31831,3019,13351,89149,0,0,0,0,0,50,129,456,89,124,506,0,0,40948,22003,1.899999976158142,700505,22003,31.799999237060547,2,8.0,0,6,16.0,0,0,0,0.0,0.0,0,8.0,0,6.0,14.0,0,0,0,0,0,2,16.0,0,12.0,30.0,0,0,0,0.0,0.0,2,16.0,0,12.0,30.0,433.0,108,756.2999877929688,156,10.0,6.0,8.0,6.0,23396,1.0,10.0,8.0,23396,0.800000011920929,1189.300048828125,21.0,12.0,36.0
2023,4,가톨릭관동대학교,대학,사립,강원,B그룹,253112,176882,429994,525912,221798,747710,15,25,120659,2,42,120659,273,2,275,10051,2050,12101,7274,18317,747710,7331,102.0,12101,747710,1.600000023841858,8226.0,1365,74,8226.0,6419,1.2999999523162842,90842163396,164076931,0,0,121571613,108921713,0,10960000,405530257,92587631000,170000000,0,0,123600000,113100000,0,18500000,425200000,405530257,7331,55317.2,405530257,90842163396,0.4,730606487,488409062,405530257,-25.1,7331,6856,475,410,374,220,230,8565,6419,5939,480,389,373,230,97,7508,0,101573,1788,76,198,162,71,2295,16270,636,4088,1874,634,23502,0,0,0,0,0,3,101,57,7,146,829,0,0,16906,7331,2.299999952316284,101573,7331,13.899999618530272,2,1.0,0,2,5.0,0,0,0,0.0,0.0,0,0.0,0,4.0,4.0,0,0,0,0,0,2,1.0,0,6.0,9.0,0,0,0,0.0,0.0,2,1.0,0,6.0,9.0,193.0,147,631.0,125,3.0,2.0,0.0,4.0,6419,1.0,3.0,0.0,6419,0.5,824.0,6.0,6.0,68.69999694824219
2023,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,38746,11539,50285,54309,11990,66299,14,15,10370,0,29,10370,28,1,29,397,3,400,197,0,66299,468,141.6999969482422,400,66299,0.6000000238418579,1727.0,185,26,1727.0,468,3.700000047683716,9079229393,13472463,1984000,0,25460000,9083537,0,0,50000000,7884539000,22800000,2200000,0,25000000,0,0,0,50000000,50000000,468,106837.6,50000000,9079229393,0.6,50000000,50000000,50000000,0.0,468,401,67,23,43,35,3,572,468,411,57,23,49,35,5,580,0,9840,133,6,17,5,2,163,606,27,122,53,12,820,0,0,0,0,0,0,0,0,0,1,67,0,0,633,468,1.399999976158142,9840,468,21.0,0,0.0,0,0,0.0,0,1,0,0.0,1.0,0,0.0,0,1.0,1.0,0,0,0,0,0,0,0.0,0,1.0,1.0,0,1,0,0.0,1.0,0,1.0,0,1.0,2.0,58.5,7,20.0,4,1.0,0.0,0.0,1.0,468,3.200000047683716,1.0,0.0,468,2.0999999046325684,78.5,1.0,1.0,39.29999923706055
2023,6,가톨릭대학교,대학,사립,경기,A그룹,453550,271904,725454,729585,421455,1151040,102,77,446792,5,184,446792,929,255,1184,23167,2400,25567,19994,29954,1151040,10504,109.5999984741211,25567,1151040,2.299999952316284,17684.0,3104,181,17684.0,10966,1.600000023841858,264893736947,404510928,57226507,3525927,3044156602,706693423,0,86328314,4302441701,238362361000,421100000,67100000,5500000,3594316052,961565115,0,122404833,5171986000,4302441701,10504,409600.3,4302441701,264893736947,1.6,3890966903,4197659950,4302441701,5.2,10504,7928,2576,1215,1642,526,4018,17905,10966,8343,2623,1266,1671,525,4447,18875,0,548205,3513,657,1685,167,411,6433,43796,15448,27493,3773,12889,103399,0,0,0,0,0,565,1660,708,2902,105,1602,1,96,59244,10504,5.599999904632568,548205,10504,52.20000076293945,4,12.0,1,7,24.0,0,0,0,0.0,0.0,0,1.5,0,0.0,1.5,0,0,0,0,0,4,13.5,1,7.0,25.5,0,0,0,0.0,0.0,4,13.5,1,7.0,25.5,398.5,67,217.5,47,17.0,7.0,1.5,0.0,10966,2.200000047683716,17.0,1.5,10966,1.7000000476837158,616.0,23.0,1.5,25.100000381469727
2023,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,66559,2270,68829,104023,3944,107967,13,11,64187,0,24,64187,147,0,147,2804,75,2879,2608,8261,107967,1850,58.400001525878906,2879,107967,2.700000047683716,3339.0,414,17,3339.0,1827,1.7999999523162842,18856059830,52329880,2015200,0,7655000,3061361,0,0,65061441,20099492550,31260000,2400000,0,4900000,3500000,0,0,42060000,65061441,1850,35168.3,65061441,18856059830,0.3,68498447,69226635,65061441,-2.5,1850,1850,0,53,168,58,153,2282,1827,1827,0,51,149,57,162,2246,0,28392,443,0,22,27,13,505,3335,0,213,156,793,4497,0,0,0,0,0,0,0,0,0,16,306,0,0,3335,1850,1.7999999523162842,28392,1850,15.300000190734863,1,1.0,0,0,2.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,1.0,0,0.0,2.0,0,0,0,0.0,0.0,1,1.0,0,0.0,2.0,42.0,7,99.0,19,2.0,0.0,0.0,0.0,1827,1.100000023841858,2.0,0.0,1827,1.100000023841858,141.0,2.0,0.0,70.5
2023,8,감리교신학대학교,대학,사립,서울,C그룹,65939,119721,185660,100985,136873,237858,9,7,76492,4,20,76492,38,10,48,2545,182,2727,2610,957,237858,1267,187.6999969482422,2727,237858,1.2000000476837158,2542.0,170,9,2542.0,1202,2.0999999046325684,17332212785,59275380,6858196,0,18072000,13711054,0,11761420,109678050,14353750502,38000000,5500000,200000,15000000,17300000,0,24000000,100000000,109678050,1267,86565.2,109678050,17332212785,0.6,119878866,129253546,109678050,-3.7,1267,635,632,26,116,42,704,2155,1202,604,598,26,92,46,537,1903,0,61480,377,441,68,18,102,1006,5058,10216,3240,651,3256,22421,0,0,0,0,0,13,35,9,37,4,15,0,0,15274,1267,12.100000381469728,61480,1267,48.5,2,0.0,0,0,2.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,2,0.0,0,0.0,2.0,0,0,0,0.0,0.0,2,0.0,0,0.0,2.0,24.0,2,29.0,9,2.0,0.0,0.0,0.0,1202,1.7000000476837158,2.0,0.0,1202,1.7000000476837158,53.0,2.0,0.0,26.5
2023,9,강남대학교,대학,사립,경기,B그룹,279258,80280,359538,428285,141187,569472,18,17,54348,1,36,54348,100,0,100,3926,1428,5354,2949,0,569472,6719,84.80000305175781,5354,569472,0.8999999761581421,5555.0,1101,80,5555.0,6885,0.800000011920929,78879001072,79347510,3109888,14819730,105135746,39014593,0,9800000,251227467,79906575000,130000000,22000000,0,128000000,83000000,0,11000000,374000000,251227467,6719,37390.6,251227467,78879001072,0.3,456383861,461677685,251227467,-22.2,6719,6325,394,238,280,169,15,7421,6885,6503,382,232,324,182,20,7643,0,80988,1352,37,75,83,9,1556,12238,513,2015,1406,79,16251,0,0,0,0,0,12,11,5,33,39,79,0,0,12751,6719,1.899999976158142,80988,6719,12.100000381469728,0,5.0,0,1,6.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,5.0,0,1.0,6.0,0,0,0,0.0,0.0,0,5.0,0,1.0,6.0,214.5,44,0.0,0,5.0,1.0,0.0,0.0,6885,0.800000011920929,5.0,0.0,6885,0.699999988079071,214.5,7.0,1.0,26.799999237060547
2023,10,강동대학교,전문대학,사립,충북,B그룹,114816,1314,116130,141251,1399,142650,10,15,119621,0,25,119621,24,0,24,2144,298,2442,2083,0,142650,2972,48.0,2442,142650,1.7000000476837158,1289.5999755859375,456,38,1289.5999755859375,2982,0.4000000059604645,29843657718,26975850,3826800,0,6186000,27711336,0,0,64699986,27210589000,12300000,4920000,0,6400000,12000000,0,0,35620000,64699986,2972,21769.8,64699986,29843657718,0.2,107161200,66892556,64699986,-20.4,2972,2972,0,96,152,55,0,3275,2982,2982,0,89,153,48,0,3272,0,300,156,0,11,15,1,183,2439,0,137,240,4,2820,0,0,0,0,0,0,0,0,0,7,207,0,0,2439,2972,0.800000011920929,300,2972,0.1000000014901161,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,1.0,0,0.0,1.0,0,0,0,0,0,0,1.0,0,0.0,1.0,0,0,0,0.0,0.0,0,1.0,0,0.0,1.0,22.0,3,80.0,16,0.0,0.0,1.0,0.0,2982,0.3000000119209289,0.0,1.0,2982,0.3000000119209289,102.0,0.0,1.0,102.0
