YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCC,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_SPC,FACLT_EQP_UPC,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCC,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_12A,BG3Y_MCS_13B,BG3Y_MCS_14C,BG3Y_BG3Y,VUC_SCC,VUC_VTC_UGRD,VUC_VTC_GRAD,VUC_VTC_FFAC,VUC_VTC_PFAC,VUC_VTC_STF,VUC_VTC_OTH,VUC_VTC_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCC,LPS_LPS,VPS_VC,VPS_SCC,VPS_VPS,STF_FT_HLIBC,STF_FT_NLIBC,STF_PT_HLIBC,STF_PT_NLIBC,STF_TTL_HLIBC,STF_TTL_NLIBC,STF_TTL_SUM,LIBCS_FT_SL1,LIBCS_FT_SL2,LIBCS_FT_ALIB,LIBCS_FT_TTL,LIBCS_PT_SL1,LIBCS_PT_SL2,LIBCS_PT_ALIB,LIBCS_PT_TTL,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCP,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2014,1,서울대학교,66.06,200,대학,국립,서울,A그룹,626865,1135225,1762090,2209778,2490073,4699851,97,88,468994,0,185,516893,1730,2151,3881,51082,29930,81012,55926,11855,4699851,27986,167.89999389648438,81012,4699851,1.7999999523162842,47828,6557,120,219,339,47828,27986,1.7000000476837158,712500000000,1566505750,1192012720,31263620,5258060460,1063235000,0,226231470,9337309020,742116268000,2112000000,1200000000,138000000,5212392000,1096000000,0,250000000,10008392000,9337309020,27986,333642.1,9337309020,712500000000,1.3,8026264357,8335250599,9337309020,7.9,27986,16496,11490,2209,2447,1028,1829,35499,101,4431167,15245,11088,1587,2806,1151,31877,231542,218291,36591,37249,25110,548783,0,0,1500,2720,6167,3202,1185,3539,18251,284,90904,449833,27986,16.100000381469727,4431167,27986,158.3000030517578,89,9,17,3,106,12,118,31,44,14,89,2,13,2,17,6284,125,89,9,17,3,27986,4.0,89,17,27986,3.799999952316284,6284,98,20,53.29999923706055
2014,2,연세대학교,50.95,272,대학,사립,서울,A그룹,901458,468761,1370219,1632197,767814,2400011,87,149,282927,0,236,371909,1779,1100,2879,47501,17802,65303,42451,1619,2400011,31061,77.30000305175781,65303,2400011,2.799999952316284,70075,7198,199,978,1177,70075,31061,2.299999952316284,971148365000,1290072233,275262249,71037887,4362693908,1491915387,0,233402405,7724384069,1004827378000,1170000000,647000000,50000000,4520000000,1180000000,0,100000000,7667000000,7724384069,31061,248684.3,7724384069,971148365000,0.8,7370613971,7388099809,7724384069,2.4,31061,19227,11834,1635,2373,893,5502,41464,80,4451264,22264,8427,1816,1461,3751,37719,266984,157238,28333,25835,67703,546093,0,0,3238,6928,2862,3662,5483,2947,33566,405,11343,424222,31061,13.699999809265137,4451264,31061,143.3000030517578,47,5,33,30,80,35,115,18,29,0,47,0,26,7,33,2171,353,47,5,33,30,31061,3.0,47,33,31061,2.5999999046325684,2171,52,63,18.89999961853028
2014,3,한국과학기술원,49.88,373,대학,국립,대전,A그룹,191272,122297,313569,269449,233788,503237,54,31,63329,0,85,113371,111,59,170,10245,7597,17842,15140,501,503237,10416,48.29999923706055,17842,503237,3.700000047683716,19426,1471,64,60,124,19426,10416,1.899999976158142,37309253000,445637460,29914199,0,3150099432,518382720,0,226487667,4370521478,749121000000,416000000,16780000,0,3441000000,587000000,0,145200000,4605980000,4370521478,10416,419596.9,4370521478,37309253000,11.7,4426000000,4646029480,4370521478,-0.5,10416,3980,6436,615,542,1673,135,13381,18,1089045,2863,3985,294,563,48,7753,33007,41188,5366,7436,573,87570,0,0,4587,2980,1848,84,6,505,193,20,963,74195,10416,7.099999904632568,1089045,10416,104.5999984741211,16,1,8,8,24,9,33,8,8,0,16,0,7,1,8,3061,1349,16,1,8,8,10416,2.5999999046325684,16,8,10416,2.299999952316284,3061,17,16,92.8000030517578
2014,4,고려대학교,49.84,50,대학,사립,서울,A그룹,528499,688676,1217175,1403501,1257757,2661258,100,114,262077,0,214,325185,1483,1589,3072,39268,37327,76595,56679,347,2661258,29387,90.5999984741211,76595,2661258,3.0,54594,8803,211,733,944,54594,29387,1.899999976158142,665899329000,898952160,547133977,13316850,3752112085,766717571,0,533700062,6511932705,686295129000,971500000,665395320,43600000,4086076652,796720716,0,502453312,7065746000,6511932705,29387,221592.3,6511932705,665899329000,1.0,7405050479,6641736632,6511932705,-6.1,29387,20090,9297,1442,2651,684,1789,35953,71,15778968,19421,6398,871,606,582,27878,247094,150297,17022,9750,27400,451563,0,0,30846,35365,8116,3542,4457,5701,11968,249,6269,397391,29387,13.5,15778968,29387,536.9000244140625,37,1,15,1,52,2,54,16,19,2,37,0,15,0,15,957,140,37,1,15,1,29387,1.7000000476837158,37,15,29387,1.7999999523162842,957,38,16,17.700000762939453
2014,5,한양대학교,48.63,443,대학,사립,서울,A그룹,424148,261154,685302,825927,515276,1341203,37,49,106600,0,86,189540,1598,607,2205,34614,5541,40155,29664,0,1341203,22412,59.79999923706055,40155,1341203,3.0999999046325684,25699,3916,69,243,312,25699,22412,1.100000023841858,482542497000,1145309880,409042893,23462350,2110073240,560961574,0,548924498,4797774435,495467439000,420000000,250000000,30000000,1670600000,829400000,0,0,3200000000,4797774435,22412,214071.7,4797774435,482542497000,1.0,5526873110,4634435594,4797774435,-6.3,22412,15477,6935,1005,2417,704,35853,62391,69,2782586,13673,5585,699,703,772,21432,160376,74575,12120,11367,8209,266647,0,0,11317,17273,10792,596,391,1438,2900,130,5218,234951,22412,10.5,2782586,22412,124.1999969482422,26,0,2,0,28,0,28,12,12,2,26,0,2,0,2,821,166,26,0,2,0,22412,1.2000000476837158,26,2,22412,1.2000000476837158,821,26,2,29.299999237060547
2014,6,포항공과대학교,48.35,367,대학,사립,경북,C그룹,95475,160846,256321,134134,309472,443606,28,8,185497,0,36,194900,138,117,255,14105,328,14433,8803,21,443606,3123,142.0,14433,443606,3.400000095367432,22241,1303,19,78,97,22241,3123,7.099999904632568,165675632000,70247487,158321502,4885210,2814338478,237220883,0,118930067,3403943627,208980818000,70000000,151359000,5000000,2677102000,245080000,0,106058000,3254599000,3403943627,3123,1089959.5,3403943627,165675632000,2.1,3326663848,3292999066,3403943627,1.2,3123,1394,1729,269,143,412,2955,6902,13,539102,1189,1168,153,160,491,3161,10067,10295,2613,2339,8430,33744,0,0,36,104,464,64,14,619,1768,22,1376,20362,3123,6.5,539102,3123,172.60000610351562,6,0,1,3,7,3,10,1,2,3,6,0,1,0,1,951,89,6,0,1,3,3123,2.700000047683716,6,1,3123,2.200000047683716,951,6,4,95.0999984741211
2014,7,성균관대학교,47.79,227,대학,사립,서울,A그룹,581188,431611,1012799,1169426,683590,1853016,94,104,334623,0,198,421415,904,691,1595,35889,6337,42226,34196,6536,1853016,27048,68.5,42226,1853016,2.299999952316284,43318,7955,131,712,843,43318,27048,1.600000023841858,525460766000,1230203083,525049673,38668986,2140716141,1465911506,0,301961409,5702510798,535228684000,1312900000,600000000,35000000,2212500000,1297500000,0,295000000,5752900000,5702510798,27048,210829.3,5702510798,525460766000,1.1,4894882153,5144998146,5702510798,8.0,27048,19439,7609,1396,948,416,12572,42380,76,4306437,15637,4191,795,252,4653,25528,232999,78333,14651,8166,55052,389201,0,0,61337,15591,15848,2187,1528,6277,2013,250,7614,311332,27048,11.5,4306437,27048,159.1999969482422,23,4,32,3,55,7,62,9,12,2,23,1,15,16,32,1532,284,23,4,32,3,27048,2.0,23,32,27048,2.0,1532,27,35,24.700000762939453
2014,8,경북대학교,46.23,33,대학,국립,대구,A그룹,854266,451130,1305396,2139349,938874,3078223,36,41,144906,0,77,188555,1077,1228,2305,48541,8558,57099,35932,34032,3078223,30971,99.4000015258789,57099,3078223,1.899999976158142,35961,5424,154,461,615,35961,30971,1.2000000476837158,309582236000,869376910,1640657090,120616000,1250666992,655471283,0,86448725,4623237000,286181985000,707680000,1465250000,0,1366200000,395800000,0,28000000,3962930000,4623237000,30971,149276.3,4623237000,309582236000,1.5,4986229000,4503339000,4623237000,-3.5,30971,24168,6803,1242,1620,729,11182,45744,167,1254319,18808,3945,974,486,1363,25576,208781,60610,20620,7336,21127,318474,0,0,79895,31598,1849,390,978,4082,4317,115,3322,269391,30971,8.699999809265137,1254319,30971,40.5,43,6,10,3,53,9,62,13,26,4,43,1,7,2,10,1144,76,43,6,10,3,30971,1.899999976158142,43,10,30971,1.7000000476837158,1144,49,13,18.5
2014,9,광주과학기술원,46.02,61,대학,국립,광주,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2014,10,이화여자대학교,45.67,308,대학,사립,서울,A그룹,561600,501146,1062746,963147,695331,1658478,45,103,152330,0,148,200671,1182,1191,2373,42029,24726,66755,57794,30906,1658478,22268,74.5,66755,1658478,4.199999809265137,22557,3937,100,311,411,22557,22268,1.0,454394388000,781883850,713703824,32190320,2330025811,788103379,0,230387654,4876294838,458814414000,743000000,749000000,12000000,2305000000,743809000,0,152500000,4705309000,4876294838,22268,218982.2,4876294838,454394388000,1.1,4733509088,4521201213,4876294838,1.7,22268,16166,6102,997,1789,543,12124,37721,85,1591705,13710,6224,1067,361,3772,25134,206719,140374,24474,9052,44376,424995,0,0,6059,3359,1872,1898,1944,4612,3153,262,14310,347093,22268,15.600000381469728,1591705,22268,71.5,29,3,36,5,65,8,73,12,16,1,29,0,7,29,36,1757,238,29,3,36,5,22268,2.799999952316284,29,36,22268,2.900000095367432,1757,32,41,24.100000381469727
