YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_SPC,FACLT_EQP_UPC,FACLT_EQP_TPC,APS_AR,APS_SCP,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_15A,BG3Y_MCS_16B,BG3Y_MCS_17C,BG3Y_BG3Y,VUC_SCP,VUC_VTC_UGRD,VUC_VTC_GRAD,VUC_VTC_FFAC,VUC_VTC_PFAC,VUC_VTC_STF,VUC_VTC_OTH,VUC_VTC_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_HLIBC,STF_FT_NLIBC,STF_PT_HLIBC,STF_PT_NLIBC,STF_TTL_HLIBC,STF_TTL_NLIBC,STF_TTL_SUM,LIBCS_FT_SL1,LIBCS_FT_SL2,LIBCS_FT_ALIB,LIBCS_FT_TTL,LIBCS_PT_SL1,LIBCS_PT_SL2,LIBCS_PT_ALIB,LIBCS_PT_TTL,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCP,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCP,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2017,1,서울대학교,62.23,200,대학,국립,서울,A그룹,553153,1046848,1600001,2351829,2676453,5028282,88,186,718739,0,274,718946,2292,2197,4489,36263,15562,51825,46214,40,5028282,28630,175.60000610351562,51825,5028282,1.0,78226,9448,163,540,703,78226,28630,2.700000047683716,843343242910,1852599000,1033128000,36550000,6618812000,1199978000,0,136479000,10877546000,803119227000,1394500000,747000000,35000000,6700000000,1160058000,0,98000000,10134558000,10877546000,28630,379935.2,10877546000,843343242910,1.3,9854134830,10435071896,10877546000,5.1,28630,16511,12119,2248,2237,1087,18868,53070,102,4348981,19802,16030,1907,2673,3125,43537,190701,185000,32143,27778,95898,531520,0,0,5870,6856,3608,3630,2270,4069,13366,332,5391,375701,28630,13.100000381469728,4348981,28630,151.89999389648438,75,9,7,0,82,9,91,21,47,7,75,0,6,1,7,4646,890,75,9,7,0,28630,3.0999999046325684,75,7,28630,2.900000095367432,4646,84,7,51.09999847412109
2017,2,연세대학교,48.53,272,대학,사립,서울,A그룹,848648,766468,1615116,1484554,1148825,2633379,63,111,290133,0,174,290133,1349,941,2290,51019,20015,71034,53045,91865,2633379,31007,84.9000015258789,71034,2633379,2.799999952316284,68830,7044,187,937,1124,68830,31007,2.200000047683716,979941652000,1121065846,585446184,66449030,4924067611,1228814517,0,397817423,8323660611,989767014000,1180000000,570000000,50000000,5075000000,1205000000,0,220000000,8300000000,8323660611,31007,268444.6,8323660611,979941652000,0.8,7336528754,7722580865,8323660611,6.5,31007,19465,11542,1648,2539,841,6264,42299,74,3646914,19352,8817,2167,2069,692,33097,263628,175533,50087,27610,25938,542796,0,0,83432,31606,6462,6040,7451,2811,24990,299,9298,439161,31007,14.199999809265137,3646914,31007,117.5999984741211,45,4,33,19,78,23,101,15,30,0,45,0,25,8,33,2795,664,45,4,33,19,31007,2.700000047683716,45,33,31007,2.5,2795,49,52,27.700000762939453
2017,3,고려대학교,47.94,50,대학,사립,서울,A그룹,659966,754791,1414757,1469665,1342724,2812389,98,102,365307,0,200,427201,1711,1621,3332,42524,14929,57453,35864,734,2812389,29540,95.1999969482422,57453,2812389,2.0999999046325684,49144,7992,197,616,813,49144,29540,1.7000000476837158,709614033000,639131642,596149159,8319558,4019844137,987608413,0,576368925,6827421834,768925141000,630800000,593140000,11000000,4184210314,994710285,0,620899401,7034760000,6827421834,29540,231124.6,6827421834,709614033000,1.0,6629572916,6751303773,6827421834,1.5,29540,20416,9124,1446,2828,853,2333,37000,69,6175634,17232,5708,1012,830,582,25364,232383,144354,23242,14176,42222,456377,0,0,31553,41036,9071,3823,3845,9857,10289,374,2570,376737,29540,12.800000190734863,6175634,29540,209.1000061035156,28,5,11,3,39,8,47,14,14,0,28,0,9,2,11,2673,370,28,5,11,3,29540,1.399999976158142,28,11,29540,1.2999999523162842,2673,33,14,56.900001525878906
2017,4,한국과학기술원,47.34,373,대학,국립,대전,A그룹,234347,294243,528590,318613,348470,667083,63,57,212401,0,120,213623,163,52,215,45991,7182,53173,51035,19,667083,10633,62.70000076293945,53173,667083,8.699999809265137,19426,816,59,36,95,19426,10633,1.7999999523162842,740321015000,763385826,39082664,0,3977966827,1212537325,0,21704253,6014676895,794973626000,544300000,41439000,0,4528148000,1307393000,0,15500000,6436780000,6014676895,10633,565661.3,6014676895,740321015000,0.8,5380416000,6027695000,6014676895,5.9,10633,3932,6701,622,505,1772,822,14354,17,1445233,2841,4236,296,737,111,8221,30515,42668,3390,8993,34425,119991,0,0,3531,3287,2574,149,462,413,1085,52,1360,73183,10633,6.900000095367432,1445233,10633,135.89999389648438,13,5,10,10,23,15,38,5,8,0,13,0,10,0,10,1296,197,13,5,10,10,10633,2.799999952316284,13,10,10633,2.200000047683716,1296,18,20,34.099998474121094
2017,5,성균관대학교,45.71,227,대학,사립,서울,A그룹,644825,458848,1103673,1224184,729630,1953814,85,104,296420,0,189,297348,657,519,1176,72622,8269,80891,45790,88,1953814,26654,73.30000305175781,80891,1953814,4.300000190734863,38977,6874,154,765,919,38977,26654,1.5,594341117000,1504483662,453558033,35151090,2341053829,1376318953,0,145620264,5856185831,614397592000,1872800000,599500000,35000000,1952500000,1234112000,0,129888000,5823800000,5856185831,26654,219711.3,5856185831,594341117000,1.0,5725260956,5742494038,5856185831,1.1,26654,19224,7430,1426,803,414,12676,41973,80,6214991,15986,5602,762,167,1521,24038,195152,90879,15123,8859,107788,417801,0,0,39367,17805,3099,1945,1374,4436,1079,168,4625,286031,26654,10.699999809265137,6214991,26654,233.1999969482422,19,1,30,5,49,6,55,11,8,0,19,0,16,14,30,1618,225,19,1,30,5,26654,1.7000000476837158,19,30,26654,1.7999999523162842,1618,20,35,29.39999961853028
2017,6,한양대학교,45.56,443,대학,사립,서울,A그룹,609635,369100,978735,1000198,552117,1552315,46,53,116171,0,99,116351,1447,309,1756,18133,8471,26604,23690,49,1552315,22624,68.5999984741211,26604,1552315,1.7000000476837158,25699,4062,134,232,366,25699,22624,1.100000023841858,514793732000,686913640,114281790,8000000,2784762146,811897495,0,123290296,4529145367,523293719000,533000000,151800000,8000000,2811000000,775000000,0,100000000,4378800000,4529145367,22624,200192.1,4529145367,514793732000,0.9,3899982189,4102809000,4529145367,7.8,22624,15499,7125,1012,2328,660,21126,47750,67,1822681,11600,5959,711,613,805,19688,104209,68891,13118,8484,58519,253221,0,0,5873,12384,791,270,510,1071,1423,101,2703,173100,22624,7.699999809265137,1822681,22624,80.5999984741211,18,1,3,0,21,1,22,10,6,2,18,0,2,1,3,751,203,18,1,3,0,22624,0.8999999761581421,18,3,22624,0.8999999761581421,751,19,3,34.099998474121094
2017,7,포항공과대학교,45.48,367,대학,사립,경북,C그룹,83172,186918,270090,114877,328815,443692,28,13,395629,0,41,396495,102,116,218,2517,1382,3899,3371,2964,443692,3238,137.0,3899,443692,0.8999999761581421,22241,1303,19,78,97,22241,3238,6.900000095367432,187480340000,54885456,169009382,3910732,3106951495,341659127,0,131807636,3808223828,206510704000,61981000,124449000,3996000,3208045873,341659127,0,40000000,3780131000,3808223828,3238,1176103.7,3808223828,187480340000,2.0,3307187190,3721459325,3808223828,7.4,3238,1472,1766,270,157,404,5224,9293,12,390325,1566,2410,388,392,1951,6707,10560,10613,5057,4260,8038,38528,0,0,14,61,82,70,30,745,993,15,275,21173,3238,6.5,390325,3238,120.5,6,0,1,2,7,2,9,1,3,2,6,0,1,0,1,768,203,6,0,1,2,3238,2.400000095367432,6,1,3238,2.200000047683716,768,6,3,85.30000305175781
2017,8,경북대학교,44.13,33,대학,국립,대구,A그룹,909063,598074,1507137,2262887,1104207,3367094,36,56,298264,0,92,299480,1382,1049,2431,167717,23478,191195,173894,4184,3367094,30296,111.0999984741211,191195,3367094,6.0,35961,5414,106,330,436,35961,30296,1.2000000476837158,340307885000,848975270,1245648530,6932240,2158093553,826393935,0,230005512,5316049040,303306242000,801757000,1116490000,5243000,2113909300,777959500,0,203741200,5019100000,5316049040,30296,175470.3,5316049040,340307885000,1.6,4720425000,5151721000,5316049040,6.2,30296,23702,6594,1262,1628,739,14707,48632,151,974572,17833,2903,1306,493,1179,23714,151648,39357,22412,6311,31417,251145,0,0,100885,44549,3196,537,1166,1761,2864,128,3332,191005,30296,6.300000190734863,974572,30296,32.20000076293945,43,6,10,1,53,7,60,14,26,3,43,1,7,2,10,3544,484,43,6,10,1,30296,1.899999976158142,43,10,30296,1.7000000476837158,3544,49,11,59.09999847412109
2017,9,경희대학교,43.66,45,대학,사립,서울,A그룹,852852,398645,1251497,1913172,594574,2507746,60,47,252632,0,107,257717,435,302,737,35329,7599,42928,30699,102514,2507746,33327,75.19999694824219,42928,2507746,1.7000000476837158,38026,6465,129,365,494,38026,33327,1.100000023841858,524883478000,616598000,109163989,30143620,3148295979,1257097527,0,98254478,5259553593,546007894000,567000000,110000000,37000000,3234000000,1305475000,0,99000000,5352475000,5259553593,33327,157816.6,5259553593,524883478000,1.0,4972450954,4954007812,5259553593,2.9,33327,25508,7819,1419,1888,923,14981,52538,91,2105479,19409,5248,1115,702,3602,30076,257560,101663,29658,19172,78198,486251,0,0,39646,26962,4091,918,4049,1781,865,368,8871,359223,33327,10.800000190734863,2105479,33327,63.20000076293945,25,2,25,1,50,3,53,11,13,1,25,0,24,1,25,1506,463,25,2,25,1,33327,1.399999976158142,25,25,33327,1.5,1506,27,26,28.39999961853028
2017,10,부산대학교,43.62,178,대학,국립,부산,A그룹,770406,366495,1136901,1644603,686444,2331047,38,42,157597,0,80,158317,1120,1324,2444,51979,35885,87864,47632,0,2331047,29618,78.69999694824219,87864,2331047,3.900000095367432,35855,5450,120,286,406,35855,29618,1.2000000476837158,325900016000,1181028150,564781070,15745080,3057583100,519464310,0,137263810,5475865520,308930962000,1110000000,550000000,21000000,2507527000,480000000,0,130300000,4798827000,5475865520,29618,184883.0,5475865520,325900016000,1.7,5351167670,6053279640,5475865520,1.8,29618,21488,8130,1350,1871,730,2251,35820,100,3538495,15285,4484,1131,1145,2011,24056,185797,81501,36193,18283,38389,360163,0,0,77592,43938,3053,628,1227,3123,1813,370,7594,267298,29618,9.0,3538495,29618,119.5,46,0,1,1,47,1,48,18,28,0,46,0,1,0,1,3699,544,46,0,1,1,29618,1.600000023841858,46,1,29618,1.600000023841858,3699,46,2,77.0999984741211
