YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_19A,BG3Y_MCS_20B,BG3Y_MCS_21C,BG3Y_BG3Y,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_OEU_EDC,UE_OEU_EP,UE_REU_EDC,UE_REU_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_OE_PTH,SES_OE_PTC,SES_REL_PTH,SES_REL_PTC,SES_OE2_PTH,SES_OE2_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2021,1,서울대학교,86.5,200,대학,국립,서울,A그룹,749861,1687720,2437581,2148301,2961641,5109942,90,101,758709,0,191,758709,1333,1897,3230,37050,53650,90700,56367,94310,5109942,27813,183.6999969482422,90700,5109942,1.7999999523162842,79511.0,9578,491,79511.0,27924,2.799999952316284,956325936517,1867945495,812336076,35325930,9191635304,1487165784,0,7865879,13402274468,911954435000,1818835593,1076785031,60701000,7421069152,1196799408,0,10260000,11584450184,13402274468,27813,481870.9,13402274468,956325936517,1.4,11097210000,13433164000,13402274468,10.4,27813,16608,11205,2256,3284,1814,1836,37003,27924,16045,11879,2256,3546,2036,17647,53409,0,1317009,10983,10467,1446,3548,2378,28822,78264,113663,19949,35030,76700,323606,0,0,27374,34448,42283,3224,2169,4045,10825,29,31,195,3100,191927,27813,6.900000095367432,1317009,27813,47.400001525878906,28,47.0,1,7.0,83.0,0,0,0,0.0,0.0,0,5.0,1,0.0,6.0,0,0,0,0,0,28,52.0,2,7.0,89.0,0,0,0,0.0,0.0,28,52.0,2,7.0,89.0,0.0,0,170.0,34,4011.60009765625,1017,76.0,7.0,6.0,0.0,27924,3.0999999046325684,76.0,6.0,27924,2.900000095367432,4181.60009765625,86.0,5.0,46.0
2021,2,고려대학교,79.6,50,대학,사립,서울,A그룹,662026,1093013,1755039,1519406,1663061,3182467,126,108,1006977,1,235,1006977,988,1255,2243,134372,16134,150506,136232,15545,3182467,29580,107.5999984741211,150506,3182467,5.0,49207.0,7247,264,49207.0,29572,1.7000000476837158,577740730360,1011939461,518327977,839470,4355927385,1156839179,0,291793293,7335666765,634543922000,945800000,572880000,2800000,4568273000,1105488000,0,301830000,7497071000,7335666765,29580,247994.1,7335666765,577740730360,1.3,7135558329,7374375959,7335666765,1.4,29580,20822,8758,1477,2797,1135,2861,37850,29572,20047,9525,1504,2769,1181,1658,36684,0,2735390,8603,3522,1044,933,408,14510,113921,91034,26709,15775,32644,280083,0,0,18842,33449,6321,4877,6241,4990,11616,16,325,144,2448,204955,29580,6.900000095367432,2735390,29580,92.5,11,13.0,1,2.0,27.0,0,0,0,0.0,0.0,0,12.0,2,3.0,17.0,0,0,0,0,0,11,25.0,3,5.0,44.0,0,0,0,0.0,0.0,11,25.0,3,5.0,44.0,444.0,102,568.9000244140625,104,119.0,22,25.0,2.0,14.0,3.0,29572,1.2999999523162842,25.0,14.0,29572,1.2999999523162842,1131.9000244140625,27.0,18.0,25.200000762939453
2021,3,연세대학교,79.4,272,대학,사립,서울,A그룹,878108,864467,1742575,1520961,1205961,2726922,64,99,365642,1,164,365642,770,637,1407,49540,16145,65685,53703,5603,2726922,30267,90.0999984741211,65685,2726922,2.5,68830.1015625,7233,761,68830.1015625,30796,2.200000047683716,847554156133,1113613246,408307346,54250380,5042920801,1359894704,0,107506707,8086493184,897495082000,1070000000,405000000,50000000,5671900000,1420000000,0,130000000,8746900000,8086493184,30267,267171.9,8086493184,847554156133,1.0,8085967532,8630570458,8086493184,0.2,30267,18924,11343,1724,3036,970,8428,44425,30796,19016,11780,1729,3451,1189,7111,44276,0,1137874,8738,5829,1672,2313,779,19331,83333,100152,36350,28070,112956,360861,0,0,32050,30466,12434,4154,6255,2234,9314,13,216,259,9550,183485,30267,6.099999904632568,1137874,30267,37.59999847412109,11,22.0,0,5.0,38.0,0,1,0,0.0,1.0,0,19.0,3,4.0,26.0,0,0,0,0,0,11,41.0,3,9.0,64.0,0,1,0,0.0,1.0,11,42.0,3,9.0,65.0,333.0,136,970.5,219,1408.0,274,34.0,5.0,22.0,4.0,30796,1.899999976158142,34.0,22.0,30796,1.7999999523162842,2711.5,41.0,27.0,39.900001525878906
2021,4,성균관대학교,78.8,227,대학,사립,서울,A그룹,729907,557190,1287097,1333206,822639,2155845,46,63,660184,7,116,660184,187,162,349,41830,7266,49096,27448,1554,2155845,27100,79.5999984741211,49096,2155845,2.299999952316284,41619.69921875,6493,651,41619.69921875,27431,1.5,609101010429,865393768,363736806,13065310,1890125070,1304180493,0,129861726,4566363173,603723451000,959420000,450000000,10000000,1877897000,1201318000,0,115000000,4613635000,4566363173,27100,168500.5,4566363173,609101010429,0.7,5114663081,5209981556,4566363173,-5.2,27100,19310,7790,1487,1988,415,19873,50863,27431,18882,8549,1496,2060,423,21060,52470,0,1794916,7233,3317,608,198,858,12214,64394,44287,14755,4384,70676,198496,0,0,17253,14278,11226,1340,1297,2080,1211,0,0,167,5575,108681,27100,4.0,1794916,27100,66.19999694824219,5,5.0,0,3.0,13.0,0,0,0,0.0,0.0,1,15.0,10,6.0,32.0,0,0,0,0,0,6,20.0,10,9.0,45.0,0,0,0,0.0,0.0,6,20.0,10,9.0,45.0,16.0,3,187.0,42,287.6000061035156,40,10.0,3.0,26.0,6.0,27431,1.2999999523162842,10.0,26.0,27431,1.2999999523162842,490.6000061035156,13.0,33.0,10.699999809265137
2021,5,한국과학기술원,78.2,373,대학,국립,대전,A그룹,264509,157329,421838,407698,435897,843595,64,68,517714,4,136,517714,107,18,125,36283,11492,47775,41427,487,843595,10723,78.69999694824219,47775,843595,6.0,28245.900390625,2838,102,28245.900390625,10824,2.5999999046325684,949947470950,1088514976,50606574,31934062,5308208173,1700382815,0,110887147,8290533747,1014815343899,910000000,48940197,50000000,5482062388,1738773313,0,120000000,8349775898,8290533747,10723,773154.3,8290533747,949947470950,0.9,7272367984,7699773967,8290533747,6.8,10723,3822,6901,634,617,2301,363,14638,10824,3619,7205,646,645,2318,605,15038,0,288907,1599,3099,327,869,37,5931,12894,25649,3716,12218,58880,113357,0,0,3771,4576,1864,498,66,201,792,5,48,37,360,38543,10723,3.5999999046325684,288907,10723,26.89999961853028,5,9.0,0,6.0,20.0,0,0,0,0.0,0.0,0,10.0,0,6.0,16.0,0,0,0,0,0,5,19.0,0,12.0,36.0,0,0,0,0.0,0.0,5,19.0,0,12.0,36.0,191.5,45,328.0,36,103.0,21,14.0,6.0,10.0,6.0,10824,2.799999952316284,14.0,10.0,10824,2.200000047683716,622.5,20.0,16.0,17.299999237060547
2021,6,한양대학교,76.5,443,대학,사립,서울,A그룹,630904,450438,1081342,1099228,650246,1749474,50,72,378256,5,127,378256,454,254,708,24925,11834,36759,33712,0,1749474,22628,77.30000305175781,36759,1749474,2.0999999046325684,26082.0,3717,284,26082.0,23581,1.100000023841858,388029066822,612853360,119276135,7922010,3434120618,1077745446,0,57492763,5309410332,401670292020,688812500,136151590,10000000,3624213750,1208071250,0,47937500,5715186590,5309410332,22628,234639.0,5309410332,388029066822,1.4,5368477407,5313465774,5309410332,-0.6,22628,15709,6919,1063,2063,588,23147,49489,23581,15800,7781,1067,2123,714,25952,53437,0,841451,5688,3373,660,571,608,10900,78329,47287,16339,10467,14762,167184,0,0,2547,13405,2041,321,287,575,1151,6,62,70,4585,125616,22628,5.599999904632568,841451,22628,37.20000076293945,10,6.0,2,0.0,18.0,0,0,0,0.0,0.0,0,6.0,0,2.0,8.0,0,0,0,0,0,10,12.0,2,2.0,26.0,0,0,0,0.0,0.0,10,12.0,2,2.0,26.0,41.0,7,258.0,35,347.0,160,18.0,0.0,6.0,2.0,23581,1.0,18.0,6.0,23581,1.0,646.0,19.0,9.0,23.100000381469727
2021,7,포항공과대학교,75.7,367,대학,사립,경북,C그룹,99660,173854,273514,116377,258913,375290,36,18,676134,0,54,676134,55,22,77,3573,1661,5234,4909,102175,375290,3227,116.3000030517578,5234,375290,1.399999976158142,17019.0,1214,15,17019.0,3298,5.199999809265137,223100902491,61896308,41576057,4002020,2266745874,399257387,0,130129291,2903606937,228224708000,66125000,49702000,4200000,2510171728,292358557,0,184609570,3107166855,2903606937,3227,899785.2,2903606937,223100902491,1.3,3741711251,4126025557,2903606937,-9.7,3227,1442,1785,291,170,344,3443,7475,3298,1352,1946,287,202,1013,3474,8274,0,101591,465,899,126,149,372,2011,3630,6735,2229,2611,3366,18571,0,0,8,121,78,41,0,239,207,0,0,5,503,10365,3227,3.200000047683716,101591,3227,31.5,2,4.0,2,0.0,8.0,0,0,0,0.0,0.0,0,3.0,1,4.0,8.0,0,0,0,0,0,2,7.0,3,4.0,16.0,0,0,0,0.0,0.0,2,7.0,3,4.0,16.0,25.5,12,10.5,6,720.5,105,8.0,0.0,4.0,4.0,3298,4.0,8.0,4.0,3298,3.5999999046325684,756.5,7.0,8.0,50.400001525878906
2021,8,경희대학교,75.4,45,대학,사립,서울,A그룹,952808,403017,1355825,1982815,624039,2606854,59,40,385170,5,104,385170,50,58,108,29461,5726,35187,31041,9757,2606854,33373,78.0999984741211,35187,2606854,1.399999976158142,38267.1015625,5330,264,38267.1015625,34454,1.100000023841858,463798203859,585905295,24527302,2058300,3780911160,846205004,0,176265464,5415872525,476618193000,539000000,21500000,2443000,3717876000,920500000,0,175000000,5376319000,5415872525,33373,162283.1,5415872525,463798203859,1.2,5256141968,5460519881,5415872525,1.5,33373,25875,7498,1407,2210,1098,22796,60884,34454,26582,7872,1361,2219,1152,23085,62271,0,358468,3859,1635,882,566,3483,10425,43591,24589,14863,9952,105899,198894,0,0,20255,21729,1945,642,1255,519,779,0,0,274,4796,68180,33373,2.0,358468,33373,10.699999809265137,11,6.0,1,1.0,19.0,0,0,0,0.0,0.0,0,22.0,0,0.0,22.0,0,0,0,0,0,11,28.0,1,1.0,41.0,0,0,0,0.0,0.0,11,28.0,1,1.0,41.0,222.0,96,382.5,76,90.0,16,18.0,1.0,22.0,0.0,34454,1.100000023841858,18.0,22.0,34454,1.2000000476837158,694.5,19.0,24.0,16.200000762939453
2021,9,경북대학교,75.3,33,대학,국립,대구,A그룹,848290,683385,1531675,2231796,1172551,3404347,49,49,549649,2,100,549649,1099,525,1624,40680,10808,51488,29032,9748,3404347,27862,122.1999969482422,51488,3404347,1.5,41434.3984375,5478,190,41434.3984375,27380,1.5,357671453238,962407740,1009524750,4450640,2071628710,733082500,0,177393600,4958487940,349899040000,755850000,1228890000,3700000,2070000000,738000000,0,20000000,4816440000,4958487940,27862,177966.0,4958487940,357671453238,1.4,4064059636,5085824740,4958487940,11.3,27862,22303,5559,1348,1618,963,0,31791,27380,21556,5824,1360,1752,1073,11312,42877,0,1306658,4843,1005,774,343,3671,10636,32474,10695,11561,4482,113366,172578,0,0,19142,17590,489,692,1116,1754,6414,0,0,111,1630,43169,27862,1.5,1306658,27862,46.900001525878906,15,19.0,1,2.0,37.0,0,0,0,0.0,0.0,2,6.0,3,0.0,11.0,0,0,0,0,0,17,25.0,4,2.0,48.0,0,0,0,0.0,0.0,17,25.0,4,2.0,48.0,229.5,39,428.0,26,1232.5,272,35.0,2.0,11.0,0.0,27380,1.7000000476837158,35.0,11.0,27380,1.7000000476837158,1890.0,39.0,13.0,36.29999923706055
2021,10,울산대학교,75.0,297,대학,사립,울산,A그룹,399489,203133,602622,682609,458751,1141360,52,43,170490,1,96,170490,191,26,217,10099,2212,12311,10237,2686,1141360,14081,81.0999984741211,12311,1141360,1.100000023841858,22111.69921875,3316,130,22111.69921875,13888,1.600000023841858,236513734178,274888370,11012300,7308320,2979539335,381068864,0,153039671,3806856860,220567149000,419040000,12000000,8000000,3261534000,359583000,0,2500000,4062657000,3806856860,14081,270354.2,3806856860,236513734178,1.6,3760894973,3915786715,3806856860,0.7,14081,12080,2001,1131,1039,311,12716,29278,13888,11888,2000,1149,1076,331,13516,29960,0,126933,2993,357,401,348,199,4298,26808,3611,5568,5749,6318,48054,0,0,591,2929,462,140,232,1450,423,3,42,18,3043,30419,14081,2.200000047683716,126933,14081,9.0,3,13.0,0,0.0,16.0,0,0,0,0.0,0.0,0,6.0,0,0.0,6.0,0,0,0,0,0,3,19.0,0,0.0,22.0,0,0,0,0.0,0.0,3,19.0,0,0.0,22.0,71.5,13,227.5,60,128.0,30,16.0,0.0,6.0,0.0,13888,1.5,16.0,6.0,13888,1.600000023841858,427.0,18.0,5.0,18.600000381469727
