Institution,Score,Year
Seoul National University,66.06,2014
Yonsei University,50.95,2014
Korea Advanced Institute of Science and Technology (KAIST),49.88,2014
Korea University,49.84,2014
Hanyang University,48.63,2014
Pohang University of Science and Technology,48.35,2014
Sungkyunkwan University,47.79,2014
Kyungpook National University,46.23,2014
Gwangju Institute of Science and Technology,46.02,2014
Ewha Womans University,45.67,2014
Kyung Hee University,45.66,2014
Chonnam National University,45.55,2014
Chonbuk National University,45.51,2014
Sogang University,45.43,2014
Gyeongsang National University,45.43,2014
Pusan National University,45.38,2014
Ajou University,45.35,2014
University of Ulsan,45.14,2014
Dongguk University,45.07,2014
Konkuk University,45.01,2014
Dankook University,44.82,2014
Inha University,44.78,2014
Chungnam National University,44.77,2014
Catholic University of Korea,44.74,2014
Inje University,44.56,2014
Yeungnam University,44.55,2014
Kangwon National University,44.49,2014
Chungbuk National University,44.47,2014
Sejong University,44.47,2014
Chung-Ang University,44.47,2014
Chosun University,44.46,2014
Pukyong National University,44.39,2014
Hallym University,44.36,2014
University of Seoul,44.30,2014
Seoul National University,64.82,2015
Yonsei University,51.02,2015
Korea University,49.79,2015
Korea Advanced Institute of Science and Technology (KAIST),48.95,2015
Pohang University of Science and Technology,48.24,2015
Hanyang University,47.60,2015
Sungkyunkwan University,47.19,2015
Kyungpook National University,45.92,2015
Gwangju Institute of Science and Technology,45.88,2015
Chonnam National University,45.27,2015
Ewha Womans University,45.20,2015
Kyung Hee University,45.16,2015
Chonbuk National University,45.09,2015
Ajou University,45.04,2015
Gyeongsang National University,45.04,2015
Pusan National University,44.94,2015
University of Ulsan,44.79,2015
Catholic University of Korea,44.74,2015
Dongguk University,44.61,2015
Inha University,44.56,2015
Sogang University,44.56,2015
Konkuk University,44.51,2015
Chungnam National University,44.47,2015
Chung-Ang University,44.29,2015
Yeungnam University,44.27,2015
Chungbuk National University,44.23,2015
Kangwon National University,44.22,2015
Inje University,44.22,2015
Dankook University,44.20,2015
University of Seoul,44.17,2015
Sejong University,44.16,2015
Chosun University,44.15,2015
Pukyong National University,44.13,2015
Gachon University,44.08,2015
Hallym University,44.08,2015
Ulsan National Institute of Science and Technology,44.06,2015
Seoul National University,64.92,2016
Yonsei University,50.25,2016
KAIST,49.11,2016
