연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료-종수-국내서,국외서,계,책수-국내서,국외서,계,전자자료-전자저널-패키지,웹DB-패키지,[구독] e-Book-종수,동영상강의자료(e-Learning)-패키지,합계-패키지,종수,연속간행물-국내,국외,합계,연간 장서 증가 및 폐기 책수-연간 장서 증가 책수-구입,기증,합계,연간 장서 증가 종수,연간 장서 폐기 책수,재학생 1인당 소장도서수-소장도서수,재학생수(당해년도),재학생 1인당 소장도서수,연간장서증가율-연간장서증가책수,소장도서수,연간장서증가율
2015,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,5607,0,5607,8558,1000,9558,0,0,1284,0,0,1284,0,0,0,0,1673,1673,1471,0,9558,302,31.600000381469727,1673,9558,21.200000762939453
2015,2,가야대학교,대학,사립,경남,C그룹,70622,23814,94436,126414,25798,152212,1,2,8711,0,3,20985,1550,71,1621,3197,4078,7275,5188,0,152212,2814,54.099998474121094,7275,152212,5.0
2015,3,가천대학교,대학,사립,경기,A그룹,304858,124887,429745,754002,166405,920407,49,44,13002,0,93,110816,225,1,226,29119,4592,33711,16381,0,920407,21018,43.79999923706055,33711,920407,3.799999952316284
2015,4,가톨릭관동대학교,대학,사립,강원,B그룹,199326,148604,347930,455462,192815,648277,7,11,48479,0,18,97182,760,98,858,11881,2834,14715,9191,0,648277,9686,66.9000015258789,14715,648277,2.299999952316284
2015,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,32454,2005,34459,45429,2454,47883,1,11,355,0,12,1786,113,1,114,1375,282,1657,1465,0,47883,579,82.69999694824219,1657,47883,3.5999999046325684
2015,6,가톨릭대학교,대학,사립,경기,A그룹,355325,179316,534641,664505,336276,1000781,82,69,19322,0,151,81685,2694,991,3685,26099,9772,35871,22936,118,1000781,10899,91.80000305175781,35871,1000781,3.700000047683716
2015,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,55407,2308,57715,90878,4063,94941,4,4,8052,0,8,8363,53,0,53,2696,597,3293,2182,2533,94941,2055,46.20000076293945,3293,94941,3.5999999046325684
2015,8,감리교신학대학교,대학,사립,서울,C그룹,49164,41172,90336,77275,53920,131195,1,4,4398,0,5,8204,114,35,149,1899,456,2355,2262,0,131195,1550,84.5999984741211,2355,131195,1.7999999523162842
2015,9,강남대학교,대학,사립,경기,B그룹,213501,97680,311181,368727,133635,502362,6,6,9015,0,12,17344,140,94,234,5403,919,6322,4324,0,502362,7719,65.0999984741211,6322,502362,1.2999999523162842
2015,10,강동대학교,전문대학,사립,충북,B그룹,41129,334,41463,60161,369,60530,1,0,1928,0,1,5284,107,1,108,1705,3,1708,1407,993,60530,4198,14.399999618530273,1708,60530,2.9000000953674316
2015,11,강릉영동대학교,전문대학,사립,강원,B그룹,37264,2112,39376,57160,2927,60087,1,1,4032,0,2,7356,221,0,221,6796,3890,10686,5214,0,60087,3072,19.600000381469727,10686,60087,21.600000381469727
2015,12,강서대학교,대학,사립,서울,C그룹,61926,16606,78532,75644,17864,93508,3,11,9814,0,14,13634,210,69,279,1304,1601,2905,2694,9,93508,1631,57.29999923706055,2905,93508,3.200000047683716
2015,13,강원관광대학교,전문대학,사립,강원,C그룹,30190,199,30389,37877,266,38143,0,1,718,0,1,4042,44,1,45,2224,372,2596,2596,0,38143,1367,27.899999618530273,2596,38143,7.300000190734863
2015,14,강원대학교,대학,국립,강원,A그룹,724883,157967,882850,1285692,297346,1583038,36,30,24653,0,66,76517,1468,783,2251,23358,23202,46560,30955,4890,1583038,24868,63.70000076293945,46560,1583038,3.0
2015,15,강원도립대학교,전문대학,공립,강원,C그룹,37572,1343,38915,37572,1343,38915,0,0,2749,0,0,2749,53,0,53,2727,932,3659,3659,0,38915,900,43.20000076293945,3659,38915,10.399999618530273
2015,16,개신대학원대학교,대학원대학,사립,서울,-,10000,894,10894,12146,8458,20604,0,0,0,0,0,0,42,0,42,552,3650,4202,0,0,20604,108,190.8000030517578,4202,20604,25.600000381469727
2015,17,거제대학교,전문대학,사립,경남,C그룹,51334,1770,53104,58794,1863,60657,1,0,9710,0,1,13034,81,0,81,2769,549,3318,2833,0,60657,1684,36.0,3318,60657,5.800000190734863
2015,18,건국대학교,대학,사립,서울,A그룹,452620,145808,598428,980431,225541,1205972,28,43,35154,0,71,71036,1304,214,1518,33552,5564,39116,24247,7105,1205972,19999,60.29999923706055,39116,1205972,3.4000000953674316
2015,19,건국대학교(글로컬),대학,사립,충북,B그룹,235249,65420,300669,460026,94348,554374,13,10,6389,0,23,101948,291,52,343,16357,663,17020,9825,0,554374,8959,61.900001525878906,17020,554374,3.200000047683716
2015,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2015,21,건신대학원대학교,대학원대학,사립,대전,-,10551,2979,13530,15589,4645,20234,0,1,0,0,1,0,59,20,79,217,217,434,407,0,20234,148,136.6999969482422,434,20234,2.200000047683716
2015,22,건양대학교,대학,사립,충남,B그룹,154679,35291,189970,251997,128135,380132,16,1,4851,0,17,35778,134,0,134,8212,863,9075,6612,0,380132,8799,43.20000076293945,9075,380132,2.4000000953674316
2015,23,경기과학기술대학교,전문대학,사립,경기,A그룹,0,0,0,47211,7759,54970,0,0,5462,0,0,7562,166,57,223,5269,0,5269,0,0,54970,4505,12.199999809265137,5269,54970,10.600000381469727
2015,24,경기대학교,대학,사립,경기,A그룹,536882,75995,612877,1005598,157904,1163502,22,20,21744,0,42,70100,951,213,1164,33096,11519,44615,30376,0,1163502,16686,69.69999694824219,44615,1163502,4.0
2015,25,경남대학교,대학,사립,경남,A그룹,420186,94289,514475,648488,121967,770455,25,21,171852,0,46,229553,706,135,841,15026,6583,21609,17061,0,770455,14088,54.70000076293945,21609,770455,2.9000000953674316
2015,26,경남도립거창대학,전문대학,공립,경남,C그룹,25813,579,26392,38250,630,38880,0,0,1670,0,0,1691,27,0,27,1294,0,1294,871,0,38880,955,40.70000076293945,1294,38880,3.4000000953674316
