연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료_종수_국내서,도서자료_종수_국외서,도서자료_종수_계,도서자료_책수_국내서,도서자료_책수_국외서,도서자료_책수_계,전자자료_전자저널_패키지,전자자료_웹DB_패키지,전자자료_[구독] e-Book_종수,전자자료_동영상강의자료(e-Learning)_패키지,전자자료_합계_패키지,전자자료_합계_종수,연속간행물_국내,연속간행물_국외,연속간행물_합계,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_구입,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_기증,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_합계,연간 장서 증가 및 폐기 책수_연간 장서 증가 종수,연간 장서 증가 및 폐기 책수_연간 장서 폐기 책수,재학생 1인당 소장도서수_소장도서수,재학생 1인당 소장도서수_재학생수(전년도),재학생 1인당 소장도서수_재학생 1인당 소장도서수,연간장서증가율_연간장서증가책수,연간장서증가율_소장도서수,연간장서증가율_연간장서증가율
2018,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,6503,0,6503,9030,0,9030,0,0,0,0,0,0,0,0,0,183,0,183,183,183,9030,322,28,183,9030,2.0999999046325684
2018,2,가야대학교,대학,사립,경남,C그룹,106395,32254,138649,165720,34324,200044,2,1,37773,0,3,37773,1527,57,1584,5821,1865,7686,6865,0,200044,2684,74.5,7686,200044,4
2018,3,가천대학교,대학,사립,경기,A그룹,345441,127056,472497,861857,169914,1031771,30,29,22077,2,61,22077,215,0,215,26039,5027,31066,13163,0,1031771,20422,50.5,31066,1031771,3.0999999046325684
2018,4,가톨릭관동대학교,대학,사립,강원,B그룹,218386,158972,377358,501713,213066,714779,8,18,83092,7,33,83092,385,3,388,16423,6049,22472,15062,0,714779,8750,81.69999694824219,22472,714779,3.200000047683716
2018,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,36856,9068,45924,51251,9522,60773,0,14,11808,1,15,11808,91,1,92,3614,76,3690,3530,0,60773,504,120.5999984741211,3690,60773,6.5
2018,6,가톨릭대학교,대학,사립,경기,A그룹,405119,234168,639287,740756,386713,1127469,72,66,65097,6,144,65097,2423,729,3152,23506,7219,30725,18242,14867,1127469,10529,107.0999984741211,30725,1127469,2.799999952316284
2018,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,61119,2939,64058,102089,4110,106199,5,4,9366,9,18,9366,139,0,139,2656,633,3289,1511,0,106199,1931,55,3289,106199,3.200000047683716
2018,8,감리교신학대학교,대학,사립,서울,C그룹,55320,48154,103474,89914,65461,155375,3,5,6227,2,10,6227,76,22,98,5272,361,5633,5034,0,155375,1535,101.19999694824219,5633,155375,3.799999952316284
2018,9,강남대학교,대학,사립,경기,B그룹,266578,79372,345950,391083,123951,515034,9,11,38508,2,22,38508,108,77,185,10324,1112,11436,5878,0,515034,7101,72.5,11436,515034,2.299999952316284
2018,10,강동대학교,전문대학,사립,충북,B그룹,56817,38043,94860,93258,38085,131343,0,4,55721,1,5,55721,35,2,37,7809,17677,25486,23329,0,131343,3879,33.900001525878906,25486,131343,24.100000381469727
2018,11,강릉영동대학교,전문대학,사립,강원,B그룹,47427,14120,61547,73474,14942,88416,1,1,19169,0,2,19169,176,0,176,3432,10631,14063,12676,0,88416,2944,30,14063,88416,18.899999618530273
2018,12,강서대학교,대학,사립,서울,C그룹,64342,18833,83175,84825,20866,105691,4,11,11860,2,17,11860,141,36,177,1576,696,2272,1808,12,105691,1550,68.19999694824219,2272,105691,2.200000047683716
2018,13,강원관광대학교,전문대학,사립,강원,C그룹,35033,230,35263,44594,266,44860,1,0,1654,0,1,1654,69,0,69,1839,453,2292,2242,0,44860,1220,36.79999923706055,2292,44860,5.400000095367432
2018,14,강원대학교,대학,국립,강원,A그룹,749624,173309,922933,1262219,312691,1574910,24,28,28938,0,52,28938,1623,368,1991,21812,6787,28599,25666,92,1574910,22949,68.5999984741211,28599,1574910,1.7999999523162842
2018,15,강원도립대학교,전문대학,공립,강원,C그룹,44415,2004,46419,57361,2234,59595,0,0,5318,1,1,5318,57,0,57,1898,175,2073,1910,59,59595,784,76,2073,59595,3.5999999046325684
2018,16,개신대학원대학교,대학원대학,사립,서울,-,16571,1055,17626,22588,1639,24227,0,0,82,0,0,82,60,4,64,574,161,735,594,1,24227,168,144.1999969482422,735,24227,3.0999999046325684
2018,17,거제대학교,전문대학,사립,경남,C그룹,47328,1684,49012,65650,1793,67443,1,1,2408,0,2,2408,116,0,116,1825,232,2057,1963,1362,67443,1143,59,2057,67443,3.0999999046325684
2018,18,건국대학교,대학,사립,서울,A그룹,529894,176070,705964,1126303,250430,1376733,26,32,46157,1,59,46157,642,197,839,41961,5808,47769,28923,2,1376733,19861,69.30000305175781,47769,1376733,3.5999999046325684
2018,19,건국대학교(글로컬),대학,사립,충북,B그룹,271969,113079,385048,494081,151663,645744,11,14,50919,3,28,50919,182,19,201,13908,83,13991,7959,0,645744,8223,78.5,13991,645744,2.200000047683716
2018,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,21,건신대학원대학교,대학원대학,사립,대전,-,11195,3266,14461,16298,4781,21079,0,1,0,0,1,0,42,7,49,525,44,569,540,0,21079,144,146.39999389648438,569,21079,2.799999952316284
2018,22,건양대학교,대학,사립,충남,B그룹,200507,38368,238875,299960,136087,436047,11,17,19013,0,28,19013,0,0,0,11657,1967,13624,7914,0,436047,8346,52.20000076293945,13624,436047,3.200000047683716
2018,23,경기과학기술대학교,전문대학,사립,경기,A그룹,47867,46011,93878,82047,46918,128965,2,0,47973,0,2,47973,89,52,141,5766,227,5993,5884,0,128965,4413,29.200000762939453,5993,128965,4.900000095367432
2018,24,경기대학교,대학,사립,경기,A그룹,595669,82293,677962,1107684,165123,1272807,22,16,38382,5,43,38382,747,33,780,13213,5134,18347,14235,0,1272807,16084,79.0999984741211,18347,1272807,1.5
2018,25,경남대학교,대학,사립,경남,A그룹,476360,153347,629707,751127,181531,932658,17,25,99229,0,42,99229,418,114,532,41813,13875,55688,26177,1,932658,13068,71.4000015258789,55688,932658,6.400000095367432
