연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료-종수-국내서,국외서,계,책수-국내서,국외서,계,전자자료-전자저널-패키지,웹DB-패키지,[구독] e-Book-종수,동영상강의자료(e-Learning)-패키지,합계-패키지,종수,연속간행물-국내,국외,합계,연간 장서 증가 및 폐기 책수-연간 장서 증가 책수-구입,기증,합계,연간 장서 증가 종수,연간 장서 폐기 책수,재학생 1인당 소장도서수-소장도서수,재학생수(전년도),재학생 1인당 소장도서수,연간장서증가율-연간장서증가책수,소장도서수,연간장서증가율
2020,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,6606,241,6847,9129,246,9375,0,0,0,0,0,0,0,0,0,168,0,168,167,0,9375,321,29.200000762939453,168,9375,1.7999999523162842
2020,2,가야대학교,대학,사립,경남,C그룹,115540,41708,157248,177108,43841,220949,6,5,50139,1,12,50139,1530,55,1585,5579,7658,13237,11872,0,220949,2549,86.69999694824219,13237,220949,6.400000095367432
2020,3,가천대학교,대학,사립,경기,A그룹,374397,143863,518260,925732,187408,1113140,29,29,25903,2,60,25903,4,0,4,34685,3384,38069,22612,0,1113140,20801,53.5,38069,1113140,3.5
2020,4,가톨릭관동대학교,대학,사립,강원,B그룹,233717,170506,404223,530964,224755,755719,9,19,100055,5,33,100055,281,2,283,13983,5230,19213,12397,0,755719,8474,89.19999694824219,19213,755719,2.5999999046325684
2020,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,37996,11536,49532,52752,11990,64742,0,13,14614,1,14,14614,52,1,53,777,82,859,667,0,64742,510,126.9000015258789,859,64742,1.2999999523162842
2020,6,가톨릭대학교,대학,사립,경기,A그룹,429066,261933,690999,761221,402871,1164092,82,55,84866,5,142,84866,2156,431,2587,17397,3821,21218,14076,9060,1164092,10503,110.80000305175781,21218,1164092,1.899999976158142
2020,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,65643,2941,68584,108038,4112,112150,7,5,9730,4,16,9730,146,0,146,2217,258,2475,2091,0,112150,1885,59.5,2475,112150,2.299999952316284
2020,8,감리교신학대학교,대학,사립,서울,C그룹,60530,110829,171359,95518,127768,223286,5,7,67801,4,16,67801,64,22,86,3530,214,3744,3542,1830,223286,1544,144.60000610351562,3744,223286,1.7000000476837158
2020,9,강남대학교,대학,사립,경기,B그룹,273980,95633,369613,404720,140267,544987,7,10,36577,1,18,36577,111,64,175,7911,16195,24106,20343,0,544987,7152,76.19999694824219,24106,544987,4.599999904632568
2020,10,강동대학교,전문대학,사립,충북,B그룹,69712,38717,108429,104716,38802,143518,0,4,59737,0,4,59737,30,0,30,3917,0,3917,3769,0,143518,3763,38.099998474121094,3917,143518,2.799999952316284
2020,11,강릉영동대학교,전문대학,사립,강원,B그룹,52632,14122,66754,80814,14946,95760,1,1,22344,0,2,22344,145,0,145,3577,0,3577,2275,0,95760,2795,34.29999923706055,3577,95760,3.9000000953674316
2020,12,강서대학교,대학,사립,서울,C그룹,68734,20421,89155,90021,22547,112568,6,12,19294,2,20,19294,125,30,155,2389,1012,3401,3092,5,112568,1520,74.0999984741211,3401,112568,3.0999999046325684
2020,13,강원관광대학교,전문대학,사립,강원,C그룹,38419,235,38654,48161,272,48433,1,0,2003,0,1,2003,55,0,55,1156,953,2109,2028,0,48433,1187,40.79999923706055,2109,48433,4.599999904632568
2020,14,강원대학교,대학,국립,강원,A그룹,815481,195586,1011067,1292056,322726,1614782,24,33,26960,0,57,26960,559,180,739,24721,8688,33409,24331,27,1614782,22414,72.0,33409,1614782,2.0999999046325684
2020,15,강원도립대학교,전문대학,공립,강원,C그룹,46807,1992,48799,58530,2226,60756,0,0,5992,1,1,5992,61,0,61,2097,778,2875,2678,409,60756,619,98.19999694824219,2875,60756,5.0
2020,16,개신대학원대학교,대학원대학,사립,서울,-,17259,1059,18318,23351,1645,24996,0,0,82,0,0,82,49,3,52,301,62,363,338,0,24996,157,159.1999969482422,363,24996,1.5
2020,17,거제대학교,전문대학,사립,경남,C그룹,53073,1696,54769,69472,1805,71277,2,4,7082,0,6,7082,121,0,121,1651,1749,3400,3368,0,71277,1199,59.400001525878906,3400,71277,5.0
2020,18,건국대학교,대학,사립,서울,A그룹,529779,180547,710326,1093392,255748,1349140,28,29,9301,1,58,9301,643,194,837,24496,3619,28115,15134,3,1349140,20277,66.5,28115,1349140,2.0999999046325684
2020,19,건국대학교(글로컬),대학,사립,충북,B그룹,271560,113202,384762,552507,151339,703846,7,18,107452,2,27,107452,214,19,233,11447,1383,12830,7026,39834,703846,7667,91.80000305175781,12830,703846,1.899999976158142
2020,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2020,21,건신대학원대학교,대학원대학,사립,대전,-,11680,3347,15027,16808,4869,21677,2,0,0,0,2,0,6,3,9,194,0,194,201,0,21677,165,131.39999389648438,194,21677,0.8999999761581421
2020,22,건양대학교,대학,사립,충남,B그룹,200609,43049,243658,328211,136462,464673,15,13,20535,0,28,20535,0,0,0,13154,1127,14281,8973,0,464673,7914,58.70000076293945,14281,464673,3.200000047683716
2020,23,경기과학기술대학교,전문대학,사립,경기,A그룹,70555,48712,119267,100614,48933,149547,6,5,57560,0,11,57560,96,0,96,4434,11968,16402,6890,0,149547,4269,35.0,16402,149547,12.300000190734863
2020,24,경기대학교,대학,사립,경기,A그룹,617446,87434,704880,1135568,170422,1305990,24,19,45008,5,48,45008,641,6,647,11520,4940,16460,13431,0,1305990,16083,81.19999694824219,16460,1305990,1.2999999523162842
2020,25,경남대학교,대학,사립,경남,A그룹,506007,173497,679504,792427,201758,994185,17,18,108694,0,35,108694,341,115,456,22647,2022,24669,20897,1,994185,12609,78.80000305175781,24669,994185,2.5
2020,26,경남도립거창대학,전문대학,공립,경남,C그룹,29710,853,30563,43822,910,44732,1,0,2822,0,1,2822,18,0,18,1001,0,1001,911,0,44732,898,49.79999923706055,1001,44732,2.299999952316284
2020,27,경남도립남해대학,전문대학,공립,경남,C그룹,35884,653,36537,40247,694,40941,0,0,108,0,0,108,40,0,40,956,0,956,745,391,40941,794,51.599998474121094,956,40941,2.4000000953674316
2020,28,경남정보대학교,전문대학,사립,부산,A그룹,126191,6207,132398,221025,7366,228391,0,4,14546,0,4,14546,128,0,128,7387,1523,8910,5607,0,228391,7036,32.5,8910,228391,4.099999904632568
2020,29,경동대학교,대학,사립,강원,B그룹,135652,17752,153404,296221,27327,323548,7,7,42690,2,16,42690,240,0,240,50034,0,50034,11439,0,323548,7794,41.5,50034,323548,18.299999237060547
2020,30,경민대학교,전문대학,사립,경기,B그룹,92474,6837,99311,151713,8847,160560,5,5,10788,2,12,10788,53,15,68,5173,1510,6683,4674,4804,160560,4336,37.0,6683,160560,4.300000190734863
2020,31,경복대학교,전문대학,사립,경기,A그룹,84159,19131,103290,109390,19466,128856,0,3,33885,0,3,33885,231,0,231,18340,1628,19968,15900,0,128856,6565,19.600000381469727,19968,128856,18.299999237060547
2020,32,경북과학대학교,전문대학,사립,경북,C그룹,55808,11967,67775,77284,13744,91028,1,0,3925,0,1,3925,68,0,68,164,545,709,644,0,91028,1425,63.900001525878906,709,91028,0.800000011920929
2020,33,경북대학교,대학,국립,대구,A그룹,846409,627357,1473766,2239709,1122898,3362607,33,54,356820,2,89,356820,1200,530,1730,52940,6924,59864,34905,127222,3362607,28251,119.0,59864,3362607,1.7999999523162842
2020,34,경북보건대학교,전문대학,사립,경북,C그룹,37507,1287,38794,44428,1529,45957,2,1,8997,0,3,8997,25,2,27,1986,53,2039,1748,0,45957,1298,35.400001525878906,2039,45957,4.599999904632568
2020,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2020,36,경북전문대학교,전문대학,사립,경북,B그룹,89928,10099,100027,117884,12567,130451,1,1,7975,0,2,7975,130,2,132,3296,346,3642,3508,0,130451,2852,45.70000076293945,3642,130451,2.9000000953674316
2020,37,경상국립대학교,대학,국립,경남,A그룹,594907,283452,878359,1274950,460207,1735157,32,34,46885,5,71,46885,940,302,1242,30962,21039,52001,40931,69220,1735157,21750,79.80000305175781,52001,1735157,3.0999999046325684
2020,38,경성대학교,대학,사립,부산,A그룹,437562,166448,604010,798691,219267,1017958,14,24,63038,3,41,63038,529,35,564,19220,4559,23779,15889,28,1017958,12883,79.0,23779,1017958,2.4000000953674316
2020,39,경안대학원대학교,대학원대학,사립,경북,-,7501,0,7501,8341,0,8341,0,0,0,0,0,0,2,0,2,16,99,115,107,0,8341,60,139.0,115,8341,1.399999976158142
2020,40,경운대학교,대학,사립,경북,C그룹,189673,26873,216546,385550,34903,420453,2,12,65942,1,15,65942,267,42,309,4709,2479,7188,3093,3,420453,4608,91.19999694824219,7188,420453,1.7000000476837158
2020,41,경인교육대학교,대학,국립,인천,C그룹,203066,29326,232392,571156,37210,608366,12,8,32858,1,21,32858,181,15,196,16802,2510,19312,8377,8930,608366,4008,151.8000030517578,19312,608366,3.299999952316284
