연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료-종수-국내서,국외서,계,책수-국내서,국외서,계,전자자료-전자저널-패키지,웹DB-패키지,[구독] e-Book-패키지,동영상강의자료(e-Learning)-패키지,합계-패키지,연속간행물-국내,국외,합계,연간 장서 증가 및 폐기 책수-연간 장서 증가 책수-구입,기증,합계,연간 장서 증가 종수,연간 장서 폐기 책수,재학생 1인당 소장도서수-소장도서수,재학생수(전년도),재학생 1인당 소장도서수,연간장서증가율-연간장서증가책수,소장도서수,연간장서증가율
2024,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,7172,241,7413,9724,246,9970,0,0,0,0,0,0,0,0,152,0,152,151,0,9970,287,34.70000076293945,152,9970,1.5
2024,2,가야대학교,대학,사립,경남,C그룹,129450,49064,178514,192720,51222,243942,13,15,4,0,32,136,1,137,4878,551,5429,5003,0,243942,1787,136.5,5429,243942,2.299999952316284
2024,3,가천대학교,대학,사립,경기,A그룹,416926,165423,582349,1007351,212042,1219393,38,44,4,7,93,6,0,6,19218,7510,26728,18783,0,1219393,23393,52.099998474121094,26728,1219393,2.200000047683716
2024,4,가톨릭관동대학교,대학,사립,강원,B그룹,259315,178565,437880,535126,223500,758626,14,24,4,1,43,264,2,266,8861,2065,10926,8032,0,758626,6419,118.19999694824219,10926,758626,1.5
2024,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,39183,11536,50719,55056,11990,67046,13,14,4,0,31,27,1,28,678,69,747,437,0,67046,468,143.3000030517578,747,67046,1.100000023841858
2024,6,가톨릭대학교,대학,사립,경기,A그룹,460975,282083,743058,735232,431558,1166790,94,80,13,5,192,437,191,628,21557,2034,23591,20238,8828,1166790,10964,106.4000015258789,23591,1166790,2.0999999046325684
2024,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,68232,2269,70501,105758,3943,109701,12,13,4,0,29,148,0,148,1608,157,1765,1693,2580,109701,1827,60.0,1765,109701,1.600000023841858
2024,8,감리교신학대학교,대학,사립,서울,C그룹,65186,120318,185504,97552,137443,234995,8,3,2,3,16,38,10,48,2292,1675,3967,2470,6830,234995,1202,195.5,3967,234995,1.7000000476837158
2024,9,강남대학교,대학,사립,경기,B그룹,280814,80062,360876,431354,140592,571946,34,39,5,1,79,100,0,100,6430,844,7274,4054,4800,571946,6885,83.0999984741211,7274,571946,1.2999999523162842
2024,10,강동대학교,전문대학,사립,충북,B그룹,114363,1648,116011,143871,1130,145001,11,13,5,0,29,22,0,22,3355,0,3355,1951,0,145001,2982,48.599998474121094,3355,145001,2.4000000953674316
