연도,번호,학교명,학교유형,설립,지역,대학규모,시설_도서관건물연면적 (제곱미터),시설_열람석_총열람석수,시설_설비_업무용컴퓨터(PC)수,시설_설비_이용자용컴퓨터(PC)수,시설_설비_총 보유컴퓨터(PC)수,재학생 1인당 도서관건물 연면적_연면적,재학생 1인당 도서관건물 연면적_재학생수(당해년도),재학생 1인당 도서관건물 연면적_재학생 1인당 도서관건물 연면적
2016,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,216,80,1,0,1,216,311,0.699999988079071
2016,2,가야대학교,대학,사립,경남,C그룹,3826,823,6,32,38,3826,2718,1.399999976158142
2016,3,가천대학교,대학,사립,경기,A그룹,12577,3230,31,117,148,12577,20737,0.6000000238418579
2016,4,가톨릭관동대학교,대학,사립,강원,B그룹,8149,1343,29,73,102,8149,9332,0.8999999761581421
2016,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,1727,246,6,23,29,1727,536,3.200000047683716
2016,6,가톨릭대학교,대학,사립,경기,A그룹,17684,3190,65,202,267,17684,10881,1.600000023841858
2016,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,3339,444,10,37,47,3339,1975,1.7000000476837158
2016,8,감리교신학대학교,대학,사립,서울,C그룹,2542,377,8,33,41,2542,1576,1.600000023841858
2016,9,강남대학교,대학,사립,경기,B그룹,5233,961,20,59,79,5233,7325,0.699999988079071
2016,10,강동대학교,전문대학,사립,충북,B그룹,1055,420,4,8,12,1055,4027,0.30000001192092896
2016,11,강릉영동대학교,전문대학,사립,강원,B그룹,2521,600,3,66,69,2521,3008,0.800000011920929
2016,12,강서대학교,대학,사립,서울,C그룹,821,142,6,10,16,821,1604,0.5
2016,13,강원관광대학교,전문대학,사립,강원,C그룹,1092,228,2,21,23,1092,1351,0.800000011920929
2016,14,강원대학교,대학,국립,강원,A그룹,25223,3456,63,342,405,25223,23947,1.100000023841858
2016,15,강원도립대학교,전문대학,공립,강원,C그룹,1735,165,2,10,12,1735,894,1.899999976158142
2016,16,개신대학원대학교,대학원대학,사립,서울,-,221,38,2,7,9,221,134,1.600000023841858
2016,17,거제대학교,전문대학,사립,경남,C그룹,1464,277,4,18,22,1464,1566,0.8999999761581421
2016,18,건국대학교,대학,사립,서울,A그룹,25077,4706,42,274,316,25077,19902,1.2999999523162842
2016,19,건국대학교(글로컬),대학,사립,충북,B그룹,6627,1287,24,129,153,6627,8761,0.800000011920929
2016,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0.0
2016,21,건신대학원대학교,대학원대학,사립,대전,-,446,60,3,5,8,446,148,3.0
2016,22,건양대학교,대학,사립,충남,B그룹,9895,1696,25,172,197,9895,8593,1.2000000476837158
2016,23,경기과학기술대학교,전문대학,사립,경기,A그룹,3118,679,8,87,95,3118,4483,0.699999988079071
2016,24,경기대학교,대학,사립,경기,A그룹,13909,2385,57,196,253,13909,16377,0.800000011920929
2016,25,경남대학교,대학,사립,경남,A그룹,11894,2399,36,89,125,11894,13489,0.8999999761581421
2016,26,경남도립거창대학,전문대학,공립,경남,C그룹,823,180,4,15,19,823,889,0.8999999761581421
2016,27,경남도립남해대학,전문대학,공립,경남,C그룹,759,152,3,24,27,759,848,0.8999999761581421
2016,28,경남정보대학교,전문대학,사립,부산,A그룹,7791,1103,13,100,113,7791,6853,1.100000023841858
2016,29,경동대학교,대학,사립,강원,B그룹,9194,1444,6,82,88,9194,7240,1.2999999523162842
2016,30,경민대학교,전문대학,사립,경기,B그룹,1596,195,9,19,28,1596,4661,0.30000001192092896
2016,31,경복대학교,전문대학,사립,경기,A그룹,3120,900,8,104,112,3120,6350,0.5
2016,32,경북과학대학교,전문대학,사립,경북,C그룹,1014,246,2,20,22,1014,1902,0.5
2016,33,경북대학교,대학,국립,대구,A그룹,35961,5414,151,499,650,35961,30296,1.2000000476837158
2016,34,경북보건대학교,전문대학,사립,경북,C그룹,726,252,2,21,23,726,1300,0.6000000238418579
2016,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0.0
2016,36,경북전문대학교,전문대학,사립,경북,B그룹,3282,314,4,12,16,3282,2562,1.2999999523162842
2016,37,경상국립대학교,대학,국립,경남,A그룹,34984,3674,69,306,375,34984,22867,1.5
2016,38,경성대학교,대학,사립,부산,A그룹,11670,1696,36,125,161,11670,13468,0.8999999761581421
2016,39,경안대학원대학교,대학원대학,사립,경북,-,118,33,1,1,2,118,73,1.600000023841858
2016,40,경운대학교,대학,사립,경북,C그룹,6012,1180,6,143,149,6012,5066,1.2000000476837158
2016,41,경인교육대학교,대학,국립,인천,C그룹,7926,1571,31,192,223,7926,4246,1.899999976158142
2016,42,경인여자대학교,전문대학,사립,인천,B그룹,2092,460,8,41,49,2092,4894,0.4000000059604645
2016,43,경일대학교,대학,사립,경북,B그룹,7388,1532,11,126,137,7388,7373,1.0
2016,44,경찰대학,기타,기타,충남,-,5497,260,16,36,52,5497,0,0.0
2016,45,경희대학교,대학,사립,서울,A그룹,37880,6710,132,358,490,37880,33327,1.100000023841858
2016,46,계명대학교,대학,사립,대구,A그룹,26094,2989,97,431,528,26094,24537,1.100000023841858
2016,47,계명문화대학교,전문대학,사립,대구,A그룹,5498,775,13,55,68,5498,5179,1.100000023841858
2016,48,계약신학대학원대학교,대학원대학,사립,경기,-,100,66,2,4,6,100,68,1.5
2016,49,계원예술대학교,전문대학,사립,경기,B그룹,3017,652,8,29,37,3017,2856,1.100000023841858
2016,50,고려대학교,대학,사립,서울,A그룹,49778,8085,180,712,892,49778,29540,1.7000000476837158
2016,51,고려대학교(세종),대학,사립,세종,B그룹,8958,1497,23,106,129,8958,7768,1.2000000476837158
2016,52,고려사이버대학교,대학,사립,서울,A그룹,0,0,2,2,4,0,9671,0.0
2016,53,고신대학교,대학,사립,부산,C그룹,7327,1896,26,51,77,7327,5064,1.399999976158142
2016,54,공군사관학교,기타,기타,충북,-,3490,305,21,11,32,3490,0,0.0
2016,55,공주교육대학교,대학,국립,충남,C그룹,6537,841,10,56,66,6537,2024,3.200000047683716
2016,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,0,0,0,0,0,0,1235,0.0
2016,57,광신대학교,대학,사립,광주,C그룹,2715,351,5,26,31,2715,949,2.9000000953674316
2016,58,광양보건대학교,전문대학,사립,전남,C그룹,1308,310,2,6,8,1308,1520,0.8999999761581421
2016,59,광운대학교,대학,사립,서울,B그룹,7488,1601,32,88,120,7488,9807,0.800000011920929
2016,60,광주가톨릭대학교,대학,사립,전남,C그룹,2883,180,6,18,24,2883,106,27.200000762939453
2016,61,광주과학기술원,대학,국립,광주,C그룹,0,0,0,0,0,0,0,0.0
2016,62,광주교육대학교,대학,국립,광주,C그룹,5612,664,10,48,58,5612,2190,2.5999999046325684
2016,63,광주대학교,대학,사립,광주,B그룹,16011,1929,18,47,65,16011,7747,2.0999999046325684
2016,64,광주보건대학교,전문대학,사립,광주,B그룹,3830,1126,8,19,27,3830,3968,1.0
2016,65,광주여자대학교,대학,사립,광주,C그룹,6280,1095,16,96,112,6280,4114,1.5
2016,66,구미대학교,전문대학,사립,경북,A그룹,1529,394,6,88,94,1529,5695,0.30000001192092896
2016,67,구세군사관대학원대학교,대학원대학,사립,경기,-,200,24,2,3,5,200,41,4.900000095367432
2016,68,국군간호사관학교,기타,기타,대전,-,1242,139,4,10,14,1242,0,0.0
2016,69,국립강릉원주대학교,대학,국립,강원,B그룹,21940,1621,44,200,244,21940,8685,2.5
2016,70,국립경국대학교,대학,국립,경북,B그룹,12421,1706,23,183,206,12421,7914,1.600000023841858
2016,71,국립공주대학교,대학,국립,충남,A그룹,21423,3412,52,137,189,21423,16672,1.2999999523162842
2016,72,국립군산대학교,대학,국립,전북,B그룹,12875,1628,31,107,138,12875,8296,1.600000023841858
2016,73,국립금오공과대학교,대학,국립,경북,B그룹,11316,1678,18,94,112,11316,7131,1.600000023841858
2016,74,국립목포대학교,대학,국립,전남,B그룹,10764,1330,22,57,79,10764,8513,1.2999999523162842
2016,75,국립목포해양대학교,대학,국립,전남,C그룹,4810,615,9,61,70,4810,2748,1.7999999523162842
2016,76,국립부경대학교,대학,국립,부산,A그룹,22549,4405,50,120,170,22549,19611,1.100000023841858
2016,77,국립순천대학교,대학,국립,전남,B그룹,11878,1866,17,80,97,11878,8341,1.399999976158142
2016,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,210,56,1,18,19,210,66,3.200000047683716
2016,79,국립창원대학교,대학,국립,경남,B그룹,15603,2257,36,117,153,15603,10088,1.5
2016,80,국립한국교통대학교,대학,국립,충북,B그룹,11832,1448,32,178,210,11832,9302,1.2999999523162842
2016,81,국립한국해양대학교,대학,국립,부산,B그룹,7566,1314,16,109,125,7566,7840,1.0
2016,82,국립한밭대학교,대학,국립,대전,B그룹,10366,1646,26,37,63,10366,8965,1.2000000476837158
2016,83,국민대학교,대학,사립,서울,A그룹,13342,2441,73,93,166,13342,18182,0.699999988079071
2016,84,국방대학교,기타,기타,충남,-,4895,114,25,52,77,4895,0,0.0
2016,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,194,14,2,3,5,194,267,0.699999988079071
2016,86,국제대학교,전문대학,사립,경기,B그룹,658,212,8,25,33,658,4289,0.20000000298023224
2016,87,국제문화대학원대학교,대학원대학,사립,충남,-,118,52,2,0,2,118,0,0.0
2016,88,국제법률경영대학원대학교,대학원대학,사립,경기,-,583,111,2,5,7,583,88,6.599999904632568
2016,89,국제사이버대학교,대학,사립,경기,C그룹,0,0,2,4,6,0,2764,0.0
2016,90,국제언어대학원대학교,대학원대학,사립,서울,-,420,40,2,7,9,420,82,5.099999904632568
2016,91,국제예술대학교,기타,기타,서울,-,86,25,0,0,0,86,0,0.0
2016,92,군산간호대학교,전문대학,사립,전북,C그룹,817,226,3,38,41,817,1112,0.699999988079071
2016,93,군장대학교,전문대학,사립,전북,C그룹,712,262,3,20,23,712,1918,0.4000000059604645
2016,94,극동대학교,대학,사립,충북,C그룹,1904,737,8,74,82,1904,4293,0.4000000059604645
2016,95,글로벌사이버대학교,대학,사립,충남,C그룹,0,0,0,0,0,0,2133,0.0
2016,96,금강대학교,대학,사립,충남,C그룹,10475,619,10,46,56,10475,548,19.100000381469727
2016,97,기독간호대학교,전문대학,사립,광주,C그룹,369,137,2,3,5,369,637,0.6000000238418579
2016,98,김천대학교,대학,사립,경북,C그룹,2718,830,7,36,43,2718,3758,0.699999988079071
2016,99,김포대학교,전문대학,사립,경기,C그룹,1537,371,5,34,39,1537,3331,0.5
2016,100,김해대학교,전문대학,사립,경남,C그룹,1305,309,2,1,3,1305,1378,0.8999999761581421
2016,101,나사렛대학교,대학,사립,충남,B그룹,3653,644,16,49,65,3653,5861,0.6000000238418579
2016,102,나주대학교,전문대학,사립,전남,C그룹,367,120,1,5,6,367,2131,0.20000000298023224
2016,103,남부대학교,대학,사립,광주,C그룹,2566,599,6,21,27,2566,3396,0.800000011920929
2016,104,남서울대학교,대학,사립,충남,B그룹,15937,1796,19,85,104,15937,10310,1.5
2016,105,농협대학교,전문대학,사립,경기,C그룹,906,93,1,15,16,906,523,1.7000000476837158
2016,106,능인대학원대학교,대학원대학,사립,경기,-,399,42,2,2,4,399,72,5.5
2016,107,단국대학교,대학,사립,경기,A그룹,37347,5382,31,308,339,37347,27070,1.399999976158142
2016,108,대경대학교,전문대학,사립,경북,B그룹,1176,365,1,18,19,1176,4276,0.30000001192092896
2016,109,대구가톨릭대학교,대학,사립,경북,A그룹,19534,2710,43,186,229,19534,15341,1.2999999523162842
2016,110,대구경북과학기술원,대학,국립,대구,C그룹,11833,713,7,124,131,11833,911,13.0
2016,111,대구공업대학교,전문대학,사립,대구,C그룹,1864,212,4,21,25,1864,1879,1.0
2016,112,대구과학대학교,전문대학,사립,대구,A그룹,7252,964,4,54,58,7252,4352,1.7000000476837158
2016,113,대구교육대학교,대학,국립,대구,C그룹,5048,1019,15,71,86,5048,2718,1.899999976158142
2016,114,대구대학교,대학,사립,경북,A그룹,21502,2921,60,238,298,21502,20572,1.0
2016,115,대구미래대학교,전문대학,사립,경북,C그룹,1135,160,7,16,23,1135,760,1.5
2016,116,대구보건대학교,전문대학,사립,대구,A그룹,3918,953,9,31,40,3918,6858,0.6000000238418579
2016,117,대구사이버대학교,대학,사립,경북,C그룹,0,0,3,0,3,0,4382,0.0
2016,118,대구예술대학교,대학,사립,경북,C그룹,527,66,3,36,39,527,1432,0.4000000059604645
2016,119,대구외국어대학교,대학,사립,경북,C그룹,503,168,2,2,4,503,334,1.5
2016,120,대구한의대학교,대학,사립,경북,B그룹,7896,1287,20,77,97,7896,7499,1.100000023841858
2016,121,대덕대학교,전문대학,사립,대전,C그룹,1398,349,15,41,56,1398,4266,0.30000001192092896
2016,122,대동대학교,전문대학,사립,부산,C그룹,1010,273,2,38,40,1010,1590,0.6000000238418579
2016,123,대림대학교,전문대학,사립,경기,A그룹,3632,801,17,181,198,3632,6517,0.6000000238418579
2016,124,대신대학교,대학,사립,경북,C그룹,2183,290,6,10,16,2183,493,4.400000095367432
2016,125,대원대학교,전문대학,사립,충북,C그룹,1154,406,4,26,30,1154,2667,0.4000000059604645
2016,126,대전가톨릭대학교,대학,사립,세종,C그룹,1900,327,8,17,25,1900,116,16.399999618530273
2016,127,대전과학기술대학교,전문대학,사립,대전,B그룹,12477,1591,21,75,96,12477,4696,2.700000047683716
2016,128,대전대학교,대학,사립,대전,B그룹,15210,1769,24,146,170,15210,10612,1.399999976158142
2016,129,대전보건대학교,전문대학,사립,대전,A그룹,2520,744,15,48,63,2520,5901,0.4000000059604645
2016,130,대전신학대학교,대학,사립,대전,C그룹,1991,213,5,12,17,1991,282,7.099999904632568
2016,131,대진대학교,대학,사립,경기,B그룹,13994,1485,17,48,65,13994,8202,1.7000000476837158
2016,132,대한신학대학원대학교,대학원대학,사립,경기,-,204,45,1,3,4,204,327,0.6000000238418579
2016,133,덕성여자대학교,대학,사립,서울,B그룹,11122,1915,35,133,168,11122,6284,1.7999999523162842
2016,134,동강대학교,전문대학,사립,광주,B그룹,4242,1268,8,27,35,4242,3350,1.2999999523162842
2016,135,동국대학교,대학,사립,서울,A그룹,23246,2914,52,109,161,23246,17358,1.2999999523162842
2016,136,동국대학교 WISE캠퍼스,대학,사립,경북,B그룹,13078,1588,30,101,131,13078,8669,1.5
2016,137,동남보건대학교,전문대학,사립,경기,A그룹,5665,1044,10,57,67,5665,4892,1.2000000476837158
2016,138,동덕여자대학교,대학,사립,서울,B그룹,9330,1517,36,89,125,9330,7397,1.2999999523162842
2016,139,동명대학교,대학,사립,부산,B그룹,10169,1438,23,58,81,10169,8709,1.2000000476837158
2016,140,동방문화대학원대학교,대학원대학,사립,서울,-,269,30,1,8,9,269,223,1.2000000476837158
2016,141,동부산대학교,전문대학,사립,부산,C그룹,2296,490,6,47,53,2296,2381,1.0
2016,142,동서대학교,대학,사립,부산,B그룹,14345,3335,22,148,170,14345,11432,1.2999999523162842
2016,143,동서울대학교,전문대학,사립,경기,A그룹,4501,847,11,50,61,4501,5715,0.800000011920929
2016,144,동신대학교,대학,사립,전남,B그룹,12927,1368,13,56,69,12927,7627,1.7000000476837158
