연도,번호,학교명,학교유형,설립,지역,대학규모,시설-도서관건물연면적 (제곱미터),열람석-총열람석수,설비-업무용컴퓨터(PC)수,이용자용컴퓨터(PC)수,총 보유컴퓨터(PC)수,재학생 1인당 도서관건물 연면적-연면적,재학생수(전년도),재학생 1인당 도서관건물 연면적
2018,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,403.0,80,1,0,1,403.0,322,1.2999999523162842
2018,2,가야대학교,대학,사립,경남,C그룹,3733.0,829,6,32,38,3733.0,2684,1.399999976158142
2018,3,가천대학교,대학,사립,경기,A그룹,11947.0,3294,43,121,164,11947.0,20422,0.6000000238418579
2018,4,가톨릭관동대학교,대학,사립,강원,B그룹,8226.0,1395,24,71,95,8226.0,8750,0.8999999761581421
2018,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,1727.0,251,6,24,30,1727.0,504,3.4000000953674316
2018,6,가톨릭대학교,대학,사립,경기,A그룹,17684.0,3187,65,202,267,17684.0,10529,1.7000000476837158
2018,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,3339.0,444,7,37,44,3339.0,1931,1.7000000476837158
2018,8,감리교신학대학교,대학,사립,서울,C그룹,2542.0,377,8,33,41,2542.0,1535,1.7000000476837158
2018,9,강남대학교,대학,사립,경기,B그룹,5555.0,1101,20,80,100,5555.0,7101,0.800000011920929
2018,10,강동대학교,전문대학,사립,충북,B그룹,1055.0,420,4,8,12,1055.0,3879,0.30000001192092896
2018,11,강릉영동대학교,전문대학,사립,강원,B그룹,2521.0,600,3,16,19,2521.0,2944,0.8999999761581421
2018,12,강서대학교,대학,사립,서울,C그룹,821.0,152,5,10,15,821.0,1550,0.5
2018,13,강원관광대학교,전문대학,사립,강원,C그룹,1092.0,228,2,21,23,1092.0,1220,0.8999999761581421
2018,14,강원대학교,대학,국립,강원,A그룹,28484.0,3427,58,350,408,28484.0,22949,1.2000000476837158
2018,15,강원도립대학교,전문대학,공립,강원,C그룹,1735.0,188,3,10,13,1735.0,784,2.200000047683716
2018,16,개신대학원대학교,대학원대학,사립,서울,-,221.0,41,2,8,10,221.0,168,1.2999999523162842
2018,17,거제대학교,전문대학,사립,경남,C그룹,1464.0,304,4,12,16,1464.0,1143,1.2999999523162842
2018,18,건국대학교,대학,사립,서울,A그룹,24695.0,3675,58,264,322,24695.0,19861,1.2000000476837158
2018,19,건국대학교(글로컬),대학,사립,충북,B그룹,7463.0,1644,26,136,162,7463.0,8223,0.8999999761581421
2018,20,건동대학교,대학,사립,경북,C그룹,0.0,0,0,0,0,0.0,0,0.0
2018,21,건신대학원대학교,대학원대학,사립,대전,-,446.0,60,3,5,8,446.0,144,3.0999999046325684
2018,22,건양대학교,대학,사립,충남,B그룹,9895.0,1987,14,183,197,9895.0,8346,1.2000000476837158
2018,23,경기과학기술대학교,전문대학,사립,경기,A그룹,3782.0,447,8,87,95,3782.0,4413,0.8999999761581421
2018,24,경기대학교,대학,사립,경기,A그룹,13909.0,2438,46,165,211,13909.0,16084,0.8999999761581421
2018,25,경남대학교,대학,사립,경남,A그룹,13302.0,3004,42,159,201,13302.0,13068,1.0
2018,26,경남도립거창대학,전문대학,공립,경남,C그룹,823.0,180,4,15,19,823.0,837,1.0
2018,27,경남도립남해대학,전문대학,공립,경남,C그룹,759.0,128,3,24,27,759.0,751,1.0
2018,28,경남정보대학교,전문대학,사립,부산,A그룹,7791.0,1175,9,99,108,7791.0,6898,1.100000023841858
2018,29,경동대학교,대학,사립,강원,B그룹,10300.0,2142,6,94,100,10300.0,7737,1.2999999523162842
2018,30,경민대학교,전문대학,사립,경기,B그룹,1596.0,224,9,19,28,1596.0,4536,0.4000000059604645
2018,31,경복대학교,전문대학,사립,경기,A그룹,6050.0,900,7,111,118,6050.0,6470,0.8999999761581421
2018,32,경북과학대학교,전문대학,사립,경북,C그룹,1014.0,252,2,20,22,1014.0,1689,0.6000000238418579
2018,33,경북대학교,대학,국립,대구,A그룹,41434.0,5414,137,309,446,41434.0,29278,1.399999976158142
2018,34,경북보건대학교,전문대학,사립,경북,C그룹,726.0,260,2,21,23,726.0,1272,0.6000000238418579
2018,35,경북외국어대학교,대학,사립,대구,C그룹,0.0,0,0,0,0,0.0,0,0.0
2018,36,경북전문대학교,전문대학,사립,경북,B그룹,3282.0,314,3,14,17,3282.0,2798,1.2000000476837158
2018,37,경상국립대학교,대학,국립,경남,A그룹,35014.0,3510,74,299,373,35014.0,22060,1.600000023841858
2018,38,경성대학교,대학,사립,부산,A그룹,13142.0,1863,32,125,157,13142.0,12966,1.0
2018,39,경안대학원대학교,대학원대학,사립,경북,-,118.0,33,1,1,2,118.0,63,1.899999976158142
2018,40,경운대학교,대학,사립,경북,C그룹,6164.0,1527,10,120,130,6164.0,4877,1.2999999523162842
2018,41,경인교육대학교,대학,국립,인천,C그룹,10059.0,1828,31,192,223,10059.0,4228,2.4000000953674316
2018,42,경인여자대학교,전문대학,사립,인천,B그룹,2190.0,480,11,46,57,2190.0,4792,0.5
2018,43,경일대학교,대학,사립,경북,B그룹,7388.0,1532,19,104,123,7388.0,7216,1.0
2018,44,경찰대학,기타,기타,충남,-,5497.0,260,16,36,52,5497.0,0,0.0
2018,45,경희대학교,대학,사립,서울,A그룹,38632.0,6408,120,356,476,38632.0,32843,1.2000000476837158
2018,46,계명대학교,대학,사립,대구,A그룹,27503.0,3770,98,432,530,27503.0,23744,1.2000000476837158
2018,47,계명문화대학교,전문대학,사립,대구,A그룹,5598.0,839,11,64,75,5598.0,5222,1.100000023841858
2018,48,계약신학대학원대학교,대학원대학,사립,경기,-,402.0,58,3,6,9,402.0,65,6.199999809265137
2018,49,계원예술대학교,전문대학,사립,경기,B그룹,3017.0,652,7,29,36,3017.0,2959,1.0
2018,50,고려대학교,대학,사립,서울,A그룹,49144.0,7760,203,389,592,49144.0,29859,1.600000023841858
2018,51,고려대학교(세종),대학,사립,세종,B그룹,8913.0,1445,25,98,123,8913.0,7444,1.2000000476837158
2018,52,고려사이버대학교,대학,사립,서울,A그룹,0.0,0,2,4,6,0.0,9557,0.0
2018,53,고신대학교,대학,사립,부산,C그룹,7413.0,1946,27,40,67,7413.0,5061,1.5
2018,54,공군사관학교,기타,기타,충북,-,3490.0,25,22,5,27,3490.0,0,0.0
2018,55,공주교육대학교,대학,국립,충남,C그룹,6537.0,841,10,45,55,6537.0,1999,3.299999952316284
2018,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,0.0,0,0,0,0,0.0,1302,0.0
2018,57,광신대학교,대학,사립,광주,C그룹,2715.0,351,5,26,31,2715.0,942,2.9000000953674316
2018,58,광양보건대학교,전문대학,사립,전남,C그룹,1308.0,310,2,6,8,1308.0,1323,1.0
2018,59,광운대학교,대학,사립,서울,B그룹,10899.0,1584,36,97,133,10899.0,9505,1.100000023841858
2018,60,광주가톨릭대학교,대학,사립,전남,C그룹,2883.0,180,6,18,24,2883.0,110,26.200000762939453
2018,61,광주과학기술원,대학,국립,광주,C그룹,8760.0,667,18,50,68,8760.0,2042,4.300000190734863
2018,62,광주교육대학교,대학,국립,광주,C그룹,5612.0,664,10,50,60,5612.0,2084,2.700000047683716
2018,63,광주대학교,대학,사립,광주,B그룹,14271.0,1916,18,48,66,14271.0,7496,1.899999976158142
2018,64,광주보건대학교,전문대학,사립,광주,B그룹,3830.0,1126,8,19,27,3830.0,3832,1.0
2018,65,광주여자대학교,대학,사립,광주,C그룹,6280.0,1111,13,80,93,6280.0,4003,1.600000023841858
2018,66,구미대학교,전문대학,사립,경북,A그룹,1529.0,394,6,94,100,1529.0,5509,0.30000001192092896
2018,67,구세군사관대학원대학교,대학원대학,사립,경기,-,200.0,24,2,3,5,200.0,34,5.900000095367432
2018,68,국군간호사관학교,기타,기타,대전,-,1242.0,126,5,9,14,1242.0,0,0.0
2018,69,국립강릉원주대학교,대학,국립,강원,B그룹,22222.0,1802,33,145,178,22222.0,8506,2.5999999046325684
2018,70,국립경국대학교,대학,국립,경북,B그룹,12421.0,1706,25,183,208,12421.0,7466,1.7000000476837158
2018,71,국립공주대학교,대학,국립,충남,A그룹,21423.0,3328,52,132,184,21423.0,15987,1.2999999523162842
2018,72,국립군산대학교,대학,국립,전북,B그룹,12875.0,2037,30,88,118,12875.0,8041,1.600000023841858
2018,73,국립금오공과대학교,대학,국립,경북,B그룹,11796.0,1678,24,73,97,11796.0,6850,1.7000000476837158
2018,74,국립목포대학교,대학,국립,전남,B그룹,10764.0,999,20,52,72,10764.0,8329,1.2999999523162842
2018,75,국립목포해양대학교,대학,국립,전남,C그룹,4713.0,556,9,61,70,4713.0,2710,1.7000000476837158
2018,76,국립부경대학교,대학,국립,부산,A그룹,22549.0,4374,50,78,128,22549.0,19124,1.2000000476837158
2018,77,국립순천대학교,대학,국립,전남,B그룹,11878.0,1762,19,78,97,11878.0,7930,1.5
2018,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,210.0,56,1,18,19,210.0,70,3.0
2018,79,국립창원대학교,대학,국립,경남,B그룹,15603.0,2283,36,117,153,15603.0,9694,1.600000023841858
