연도,번호,학교명,학교유형,설립,지역,대학규모,시설-도서관건물연면적 (제곱미터),열람석-총열람석수,설비-정보화기기(PC)수,재학생 1인당 도서관건물 연면적-연면적,재학생수(전년도),재학생 1인당 도서관건물 연면적
2019,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,429.29998779296875,161,0,429.29998779296875,306,1.399999976158142
2019,2,가야대학교,대학,사립,경남,C그룹,3733.300048828125,822,32,3733.300048828125,2719,1.399999976158142
2019,3,가천대학교,대학,사립,경기,A그룹,13083.5,3305,175,13083.5,20507,0.6000000238418579
2019,4,가톨릭관동대학교,대학,사립,강원,B그룹,8226.0,1384,70,8226.0,8700,0.8999999761581421
2019,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,1727.0,132,26,1727.0,517,3.299999952316284
2019,6,가톨릭대학교,대학,사립,경기,A그룹,17684.0,3187,202,17684.0,10450,1.7000000476837158
2019,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,3339.0,444,38,3339.0,1844,1.7999999523162842
2019,8,감리교신학대학교,대학,사립,서울,C그룹,2542.0,402,13,2542.0,1514,1.7000000476837158
2019,9,강남대학교,대학,사립,경기,B그룹,5555.0,1101,80,5555.0,7127,0.800000011920929
2019,10,강동대학교,전문대학,사립,충북,B그룹,1055.0,350,8,1055.0,3906,0.30000001192092896
2019,11,강릉영동대학교,전문대학,사립,강원,B그룹,2521.0,487,16,2521.0,2838,0.8999999761581421
2019,12,강서대학교,대학,사립,서울,C그룹,821.7999877929688,152,11,821.7999877929688,1582,0.5
2019,13,강원관광대학교,전문대학,사립,강원,C그룹,1092.0,228,21,1092.0,1168,0.8999999761581421
2019,14,강원대학교,대학,국립,강원,A그룹,28484.599609375,3733,336,28484.599609375,22571,1.2999999523162842
2019,15,강원도립대학교,전문대학,공립,강원,C그룹,1735.0,188,10,1735.0,713,2.4000000953674316
2019,16,개신대학원대학교,대학원대학,사립,서울,-,221.5,40,8,221.5,179,1.2000000476837158
2019,17,거제대학교,전문대학,사립,경남,C그룹,1413.5999755859375,306,11,1413.5999755859375,1271,1.100000023841858
2019,18,건국대학교,대학,사립,서울,A그룹,24695.0,3389,264,24695.0,20313,1.2000000476837158
2019,19,건국대학교(글로컬),대학,사립,충북,B그룹,10221.0,1680,81,10221.0,8108,1.2999999523162842
2019,20,건동대학교,대학,사립,경북,C그룹,0.0,0,0,0.0,0,0.0
2019,21,건신대학원대학교,대학원대학,사립,대전,-,446.0,60,5,446.0,136,3.299999952316284
2019,22,건양대학교,대학,사립,충남,B그룹,9895.0,1990,172,9895.0,8189,1.2000000476837158
2019,23,경기과학기술대학교,전문대학,사립,경기,A그룹,3861.0,771,90,3861.0,3988,1.0
2019,24,경기대학교,대학,사립,경기,A그룹,13909.0,2463,166,13909.0,15761,0.8999999761581421
2019,25,경남대학교,대학,사립,경남,A그룹,13383.2001953125,3049,154,13383.2001953125,13081,1.0
2019,26,경남도립거창대학,전문대학,공립,경남,C그룹,823.0,180,15,823.0,881,0.8999999761581421
2019,27,경남도립남해대학,전문대학,공립,경남,C그룹,759.9000244140625,128,27,759.9000244140625,773,1.0
2019,28,경남정보대학교,전문대학,사립,부산,A그룹,7791.0,1340,118,7791.0,6720,1.2000000476837158
2019,29,경동대학교,대학,사립,강원,B그룹,11112.0,2169,113,11112.0,8095,1.399999976158142
2019,30,경민대학교,전문대학,사립,경기,B그룹,1596.0,224,19,1596.0,4290,0.4000000059604645
2019,31,경복대학교,전문대학,사립,경기,A그룹,8522.7998046875,944,111,8522.7998046875,6651,1.2999999523162842
2019,32,경북과학대학교,전문대학,사립,경북,C그룹,1014.0,252,20,1014.0,1486,0.699999988079071
2019,33,경북대학교,대학,국립,대구,A그룹,41434.3984375,5494,174,41434.3984375,28669,1.399999976158142
2019,34,경북보건대학교,전문대학,사립,경북,C그룹,741.0,210,20,741.0,1217,0.6000000238418579
2019,35,경북외국어대학교,대학,사립,대구,C그룹,0.0,0,0,0.0,0,0.0
2019,36,경북전문대학교,전문대학,사립,경북,B그룹,2413.0,406,14,2413.0,2818,0.8999999761581421
2019,37,경상국립대학교,대학,국립,경남,A그룹,28975.900390625,2666,300,28975.900390625,21799,1.2999999523162842
2019,38,경성대학교,대학,사립,부산,A그룹,13287.5,1918,132,13287.5,13099,1.0
2019,39,경안대학원대학교,대학원대학,사립,경북,-,117.30000305175781,33,1,117.30000305175781,66,1.7999999523162842
2019,40,경운대학교,대학,사립,경북,C그룹,6164.5,1493,120,6164.5,4632,1.2999999523162842
2019,41,경인교육대학교,대학,국립,인천,C그룹,10059.0,1675,149,10059.0,4164,2.4000000953674316
2019,42,경인여자대학교,전문대학,사립,인천,B그룹,2190.0,473,36,2190.0,4674,0.5
2019,43,경일대학교,대학,사립,경북,B그룹,7388.0,1532,114,7388.0,7037,1.0
2019,44,경찰대학,기타,기타,충남,-,5497.0,260,32,5497.0,0,0.0
2019,45,경희대학교,대학,사립,서울,A그룹,37911.6015625,5413,335,37911.6015625,33487,1.100000023841858
2019,46,계명대학교,대학,사립,대구,A그룹,28967.0,3900,435,28967.0,23336,1.2000000476837158
