연도,번호,학교명,학교유형,설립,지역,대학규모,결산_대학총결산,결산_도서자료 구입비,결산_연속간행물 구입비,결산_비도서자료 구입비,결산_전자자료 구입비_전자저널,결산_전자자료 구입비_웹DB,결산_전자자료 구입비_[구독] e-book,결산_전자자료 구입비_기타 전자자료,결산_자료구입비계,예산_대학총예산,예산_도서자료 구입비,예산_연속간행물 구입비,예산_비도서자료 구입비,예산_전자자료 구입비_전자저널,예산_전자자료 구입비_웹DB,예산_전자자료 구입비_[구독] e-book,예산_전자자료 구입비_기타 전자자료,예산_자료구입비계,재학생 1인당 자료구입비(결산)_자료구입비,재학생 1인당 자료구입비(결산)_재학생수(당해년도),재학생 1인당 자료구입비(결산)_재학생 1인당 자료구입비,대학총결산 대비 도서관 자료구입비 비율_자료구입비,대학총결산 대비 도서관 자료구입비 비율_대학총결산,대학총결산 대비 도서관 자료구입비 비율_대학총결산 대비 자료구입비 비율,최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2014년(A),최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2015년(B),최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2016년(C),최근 3년간 자료구입비 증가율(결산)_최근 3년간 자료구입비 증가율(결산)
2016,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,6439224000,2645530,0,0,0,0,0,0,2645530,9488814000,3000000,0,0,0,0,0,0,3000000,2645530,311,8506.5,2645530,6439224000,0,2278680,0,2645530,0
2016,2,가야대학교,대학,사립,경남,C그룹,30221431000,118279840,16861360,7457000,9423000,0,0,0,152021200,36980817000,45000000,22000000,8000000,15000000,15000000,0,47021000,152021000,152021200,2718,55931.3,152021200,30221431000,0.5,146103210,138003945,152021200,2.3
2016,3,가천대학교,대학,사립,경기,A그룹,262156472000,463327808,238353,16822870,1049289068,472387432,0,126852600,2128918131,317165063000,425000000,0,57000000,1100000000,460000000,0,128000000,2170000000,2128918131,20737,102662.8,2128918131,262156472000,0.8,2025673140,2647035700,2128918131,5.6
2016,4,가톨릭관동대학교,대학,사립,강원,B그룹,120432176000,214289238,80515730,15437590,250241772,153501220,0,73578218,787563768,117479905000,247500000,89862000,21000000,266437000,150626000,0,93770000,869195000,787563768,9332,84393.9,787563768,120432176000,0.7,694071747,717639505,787563768,6.6
2016,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,9999387000,30604795,3231000,69564,0,42594641,0,16500000,93000000,9714599000,28000000,3200000,300000,0,45000000,0,16500000,93000000,93000000,536,173507.5,93000000,9999387000,0.9,74221283,93000000,93000000,12.7
2016,6,가톨릭대학교,대학,사립,경기,A그룹,206460558000,491678410,146827129,38401110,2726893304,576169033,0,69053202,4049022188,214622649000,538681000,147700000,52000000,2837022805,564423195,0,66300000,4206127000,4049022188,10881,372118.6,4049022188,206460558000,2,5821393365,3947650145,4049022188,-14.8
2016,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,14646743000,33454070,7209188,4189490,3290000,8093448,0,2878310,59114506,18509144000,34128000,8000000,2270000,4500000,8500000,0,2700000,60098000,59114506,1975,29931.4,59114506,14646743000,0.4,48584040,52650586,59114506,10.3
2016,8,감리교신학대학교,대학,사립,서울,C그룹,19254216000,144123078,15302156,166700,16019369,14366920,0,0,189978223,16951274000,140000000,17000000,500000,17500000,21000000,0,4000000,200000000,189978223,1576,120544.6,189978223,19254216000,1,139988422,139995973,189978223,17.9
2016,9,강남대학교,대학,사립,경기,B그룹,89591330000,138050430,41884180,8460750,201372467,57508719,0,11000000,458276546,88821093000,189600000,44400000,10000000,221866000,75260000,0,12000000,553126000,458276546,7325,62563.4,458276546,89591330000,0.5,405995110,423221924,458276546,6.3
2016,10,강동대학교,전문대학,사립,충북,B그룹,39018283000,52819796,3194200,0,6560000,5485000,0,41422460,109481456,37482085000,61200000,4800000,0,0,14000000,0,70000000,150000000,109481456,4027,27186.9,109481456,39018283000,0.3,120858400,120091300,109481456,-4.7
2016,11,강릉영동대학교,전문대학,사립,강원,B그룹,32756312000,74263700,3881760,0,7608904,0,0,0,85754364,32985998000,82300000,3900000,0,0,0,0,0,86200000,85754364,3008,28508.8,85754364,32756312000,0.3,87767350,85808045,85754364,-1.1
2016,12,강서대학교,대학,사립,서울,C그룹,21083052000,27165086,25394981,0,18962000,20676634,0,2200000,94398701,18193673000,31000000,23000000,3000000,20000000,21800000,0,2200000,101000000,94398701,1604,58852.1,94398701,21083052000,0.4,103436663,103897903,94398701,-4.3
2016,13,강원관광대학교,전문대학,사립,강원,C그룹,13273556000,28286510,3171900,0,4100000,0,0,0,35558410,12082374000,35000000,3000000,0,4100000,0,0,0,42100000,35558410,1351,26320.1,35558410,13273556000,0.3,35777610,36400560,35558410,-0.3
2016,14,강원대학교,대학,국립,강원,A그룹,263574332000,490492670,801640950,10815130,1819332140,508405380,0,31003420,3661689690,217570929000,419000000,204500000,11000000,488202000,424900000,0,18145000,1565747000,3661689690,23947,152908.1,3661689690,263574332000,1.4,3906477665,3836120172,3661689690,-3.2
2016,15,강원도립대학교,전문대학,공립,강원,C그룹,13436269000,31552190,2532380,23240500,0,0,0,0,57325070,12240753000,13000000,0,20000000,0,0,0,0,33000000,57325070,894,64122,57325070,13436269000,0.4,35400590,49911480,57325070,27.9
2016,16,개신대학원대학교,대학원대학,사립,서울,-,2212934000,2543555,402803,0,0,0,0,0,2946358,2760070000,8500000,500000,500000,300000,0,0,200000,10000000,2946358,134,21987.7,2946358,2212934000,0.1,12255310,7585425,2946358,-49.6
2016,17,거제대학교,전문대학,사립,경남,C그룹,16489511000,41940794,5913000,2211120,4220000,3902465,0,0,58187379,15278157000,38250000,3900000,4000000,3900000,3900000,0,4500000,58450000,58187379,1566,37156.7,58187379,16489511000,0.4,44158219,45199580,58187379,15.5
2016,18,건국대학교,대학,사립,서울,A그룹,435786267000,811501283,96251661,11057100,1246609117,568561027,0,66019812,2800000000,422331595000,899000000,105000000,20000000,1217232000,509595000,0,49173000,2800000000,2800000000,19902,140689.4,2800000000,435786267000,0.6,2896000000,2806600000,2800000000,-1.7
