연도,번호,학교명,학교유형,설립,지역,대학규모,결산-대학총결산,도서자료 구입비,연속간행물 구입비,비도서자료 구입비,전자자료 구입비-전자저널,웹DB,[구독] e-book,기타 전자자료,자료구입비계,예산-대학총예산,도서자료 구입비,연속간행물 구입비,비도서자료 구입비,전자자료 구입비-전자저널,웹DB,[구독] e-book,기타 전자자료,자료구입비계,재학생 1인당 자료구입비(결산)-자료구입비,재학생수(전년도),재학생 1인당 자료구입비,대학총결산 대비 도서관 자료구입비 비율-자료구입비,대학총결산,대학총결산 대비 자료구입비 비율,최근 3년간 자료구입비 증가율(결산)-자료구입비(결산)-2020년(A),2021년(B),2022년(C),최근 3년간 자료구입비 증가율(결산)
2022,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,11282836126,2700090,0,0,0,0,0,0,2700090,11327522000,3000000,0,0,0,0,0,0,3000000,2700090,261,10345.2,2700090,11282836126,0.0,2700000,2631510,2700090,0.0
2022,2,가야대학교,대학,사립,경남,C그룹,27094356850,74093950,16843000,1372590,22691000,0,0,0,115000540,28353784000,42600000,17000000,6000000,25000000,7000000,0,5500000,103100000,115000540,2121,54220.0,115000540,27094356850,0.4,138760560,123390555,115000540,-8.9
2022,3,가천대학교,대학,사립,경기,A그룹,287729597447,375068312,0,0,973780973,556013280,0,68892994,1973755559,298204419000,589000000,0,0,966460000,535540000,0,80000000,2171000000,1973755559,21928,90010.7,1973755559,287729597447,0.7,2131706235,2026162343,1973755559,-3.8
2022,4,가톨릭관동대학교,대학,사립,강원,B그룹,91147806128,170377437,0,4991064,149643647,104073437,0,59323477,488409062,95861544000,156959000,0,5000000,164500000,115000000,0,40500000,481959000,488409062,7879,61988.7,488409062,91147806128,0.5,792449292,730606487,488409062,-20.5
2022,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,8925212935,23199000,2144000,0,24657000,0,0,0,50000000,7761383000,22800000,2200000,0,25000000,0,0,0,50000000,50000000,491,101833.0,50000000,8925212935,0.6,50000000,50000000,50000000,0.0
2022,6,가톨릭대학교,대학,사립,경기,A그룹,318538541370,317907532,62877296,99805365,3018604464,629829957,0,68635336,4197659950,256736932000,307500000,68100000,150500000,3128757360,675357200,0,84671440,4414886000,4197659950,10444,401920.7,4197659950,318538541370,1.3,4088410834,3890966903,4197659950,1.5
2022,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,18556916717,55996340,1984200,0,4564000,2682095,0,4000000,69226635,19031151830,48260000,5500000,0,9155000,2700000,0,0,65615000,69226635,1865,37118.8,69226635,18556916717,0.4,63655127,68498447,69226635,4.3
2022,8,감리교신학대학교,대학,사립,서울,C그룹,17252567975,46432100,5578779,45540,19910000,15756042,0,41531085,129253546,14863901100,45000000,5500000,200000,20000000,17300000,0,42000000,130000000,129253546,1448,89263.5,129253546,17252567975,0.7,149904175,119878866,129253546,-6.1
2022,9,강남대학교,대학,사립,경기,B그룹,81054060075,165587580,25509343,24389000,137070344,71223418,0,37898000,461677685,79354082000,130000000,28000000,20000000,130500000,72000000,0,50000000,430500000,461677685,6991,66038.9,461677685,81054060075,0.6,480635808,456383861,461677685,-1.9
2022,10,강동대학교,전문대학,사립,충북,B그룹,32087980832,36152400,2210900,0,6200000,22329256,0,0,66892556,26269664000,26600000,4100000,0,6200000,23100000,0,0,60000000,66892556,3053,21910.4,66892556,32087980832,0.2,89757070,107161200,66892556,-9.1
