연도,번호,학교명,학교유형,설립,지역,대학규모,봉사대상자수 및 이용자수-재학생수(당해년도),봉사대상자수-학부생,대학원생,전임교원,비전임교원,직원,기타,계,학과수,이용자수-도서관 이용자수,대출현황-대출자수-학부생,대학원생,교원,직원,기타,계,대출책수-학부생,대학원생,교원,직원,기타,계,참고서비스 및 상호협력-참고서비스 신청 및 제공 건수 (2010년 이전)-신청,제공,참고서비스 제공 건수 (2010년 이후)-면담,전화,온라인,상호대차 신청 및 제공 건수-신청,제공,원문복사 신청 및 제공 건수-신청,제공,이용자 교육-교육횟수,교육 참가자수,재학생 1인당 대출책수-대출책수,재학생수(당해년도),재학생 1인당 대출책수,재학생 1인당 도서관방문자수-방문자수,재학생수(당해년도),재학생 1인당 도서관방문자수
2014,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,325,325,0,18,12,26,0,381,4,79,28,0,0,5,0,33,55,0,8,16,0,79,0,0,0,0,0,0,0,0,0,0,0,55,325,0.20000000298023224,79,325,0.20000000298023224
2014,2,가야대학교,대학,사립,경남,C그룹,2890,2710,180,95,116,66,0,3167,15,115849,846,12,54,37,0,949,3141,52,576,404,0,4173,0,0,249,50,25,12,0,17,0,3,270,3193,2890,1.100000023841858,115849,2890,40.099998474121094
2014,3,가천대학교,대학,사립,경기,A그룹,21016,19007,2009,845,1333,293,2735,26222,78,875855,8702,354,169,169,85,9479,65183,3463,2483,2343,1662,75134,0,0,11660,7690,2834,37,190,179,156,30,1010,68646,21016,3.299999952316284,875855,21016,41.70000076293945
2014,4,가톨릭관동대학교,대학,사립,강원,B그룹,9993,9434,559,524,395,239,25,11176,44,475712,3351,69,168,98,4,3690,25885,632,1400,1106,10,29033,0,0,2680,1116,15,12,54,45,55,15,3187,26517,9993,2.700000047683716,475712,9993,47.599998474121094
2014,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,569,503,66,24,39,49,0,681,2,43762,451,21,17,26,0,515,5283,296,325,578,0,6482,0,0,5,27,4,0,0,0,1,2,159,5579,569,9.800000190734863,43762,569,76.9000015258789
2014,6,가톨릭대학교,대학,사립,경기,A그룹,11016,8069,2947,1154,756,508,1928,15362,46,1409227,7538,950,1792,294,1231,11805,124159,25676,25104,7522,12179,194640,0,0,4311,3944,2102,227,1373,2896,3463,129,3958,149835,11016,13.600000381469727,1409227,11016,127.9000015258789
2014,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,2066,2066,0,63,131,54,78,2392,36,120896,961,0,40,52,22,1075,6058,0,436,505,77,7076,0,0,34,18,2,3,0,29,0,24,812,6058,2066,2.9000000953674316,120896,2066,58.5
2014,8,감리교신학대학교,대학,사립,서울,C그룹,1576,910,666,29,101,34,328,2068,8,1738,823,642,32,19,142,1658,15115,25866,3322,347,2707,47357,0,0,50,70,30,0,0,19,32,2,160,40981,1576,26.0,1738,1576,1.100000023841858
2014,9,강남대학교,대학,사립,경기,B그룹,7910,7475,435,218,400,116,96,8740,38,295371,3854,123,87,146,10,4220,28807,1199,1133,1943,172,33254,0,0,26,57,10,13,32,193,48,3,7018,30006,7910,3.799999952316284,295371,7910,37.29999923706055
2014,10,강동대학교,전문대학,사립,충북,B그룹,4368,4368,0,122,295,45,3,4833,48,51852,255,0,57,13,3,328,1244,0,655,142,103,2144,0,0,300,45,0,0,0,0,0,0,60,1244,4368,0.30000001192092896,51852,4368,11.899999618530273
2014,11,강릉영동대학교,전문대학,사립,강원,B그룹,3057,3057,0,92,142,57,24,3372,37,0,862,0,39,28,10,939,5296,0,391,551,47,6285,0,0,0,0,0,4,0,3,0,0,0,5296,3057,1.7000000476837158,0,3057,0.0
2014,12,강서대학교,대학,사립,서울,C그룹,1592,1385,207,49,177,39,373,2230,21,11326,702,100,64,48,49,963,4757,1397,794,384,540,7872,0,0,716,212,8,2,6,5,5,1,2232,6154,1592,3.9000000953674316,11326,1592,7.099999904632568
2014,13,강원관광대학교,전문대학,사립,강원,C그룹,1322,1322,0,36,90,31,0,1479,27,32730,617,0,36,22,0,675,2357,0,58,128,0,2543,0,0,3735,747,25,0,0,0,0,14,451,2357,1322,1.7999999523162842,32730,1322,24.799999237060547
2014,14,강원대학교,대학,국립,강원,A그룹,25030,22158,2872,979,1418,625,1234,29286,135,1301958,13077,1416,558,377,446,15874,105319,15852,8012,4429,5234,138846,0,0,4461,5522,1384,254,129,1919,9824,71,3498,121171,25030,4.800000190734863,1301958,25030,52.0
2014,15,강원도립대학교,전문대학,공립,강원,C그룹,973,973,0,30,102,50,92,1247,13,30000,130,0,7,18,8,163,450,0,82,229,47,808,0,0,186,57,9,2,2,5,5,0,447,450,973,0.5,30000,973,30.799999237060547
2014,16,개신대학원대학교,대학원대학,사립,서울,-,163,0,163,6,17,9,20,215,7,6330,0,70,7,1,2,80,0,1535,232,6,2,1775,0,0,700,50,70,0,0,0,0,2,30,1535,163,9.399999618530273,6330,163,38.79999923706055
2014,17,거제대학교,전문대학,사립,경남,C그룹,1631,1631,0,44,86,48,4,1813,15,74200,625,0,50,36,4,715,4745,0,1075,681,49,6550,0,0,57,70,32,7,0,18,0,3,25,4745,1631,2.9000000953674316,74200,1631,45.5
2014,18,건국대학교,대학,사립,서울,A그룹,20328,15829,4499,676,1396,412,6507,29319,86,2730860,11680,2708,621,631,3442,19082,138364,37250,9254,4804,12243,201915,0,0,26258,120321,212,152,222,1093,645,18,411,175614,20328,8.600000381469727,2730860,20328,134.3000030517578
2014,19,건국대학교(글로컬),대학,사립,충북,B그룹,9196,8611,585,489,411,188,290,10574,46,878519,5807,149,195,216,82,6449,61563,1831,3919,3477,567,71357,0,0,327,470,290,45,153,769,86,53,6303,63394,9196,6.900000095367432,878519,9196,95.5
2014,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2014,21,건신대학원대학교,대학원대학,사립,대전,-,161,0,161,12,13,6,503,695,6,2008,0,102,11,2,41,156,0,1375,188,5,354,1922,0,0,0,0,0,0,0,1,0,0,0,1375,161,8.5,2008,161,12.5
2014,22,건양대학교,대학,사립,충남,B그룹,8863,8238,625,381,262,150,445,10101,47,858318,5993,164,176,187,56,6576,129520,1515,2737,2925,375,137072,0,0,3832,2562,175,24,26,878,318,57,2664,131035,8863,14.800000190734863,858318,8863,96.80000305175781
2014,23,경기과학기술대학교,전문대학,사립,경기,A그룹,4523,4523,0,112,302,58,132,5127,54,88750,1492,0,71,75,1,1639,8839,0,1058,940,10,10847,0,0,42,19,0,0,0,11,1,20,667,8839,4523,2.0,88750,4523,19.600000381469727
2014,24,경기대학교,대학,사립,경기,A그룹,17227,14903,2324,517,870,238,6994,25846,85,985239,11437,881,363,413,852,13946,121527,9415,6735,7996,7974,153647,0,0,3220,2305,32,115,335,972,419,114,2963,130942,17227,7.599999904632568,985239,17227,57.20000076293945
2014,25,경남대학교,대학,사립,경남,A그룹,14624,13274,1350,453,509,248,1601,17435,51,636828,6321,629,384,173,303,7810,44229,8217,7069,4739,3105,67359,0,0,1548,771,206,178,174,507,158,14,3585,52446,14624,3.5999999046325684,636828,14624,43.5
2014,26,경남도립거창대학,전문대학,공립,경남,C그룹,995,995,0,29,69,63,13,1169,14,9529,462,0,39,31,1,533,3090,0,1131,399,18,4638,0,0,0,0,0,0,0,0,0,0,0,3090,995,3.0999999046325684,9529,995,9.600000381469727
2014,27,경남도립남해대학,전문대학,공립,경남,C그룹,950,950,0,24,63,48,0,1085,10,34171,657,0,37,30,0,724,6021,0,1878,1079,0,8978,0,0,0,0,0,0,0,0,0,0,0,6021,950,6.300000190734863,34171,950,36.0
2014,28,경남정보대학교,전문대학,사립,부산,A그룹,7321,7321,0,187,487,140,2,8137,49,176697,2081,0,87,47,2,2217,5199,0,1345,596,28,7168,0,0,36,61,10,0,0,86,0,16,600,5199,7321,0.699999988079071,176697,7321,24.100000381469727
