연도,번호,학교명,학교유형,설립,지역,대학규모,봉사대상자수 및 이용자수-재학생수(전년도),봉사대상자수-학부생,대학원생,전임교원,비전임교원,직원,기타,계,학과수,이용자수-도서관 이용자수,대출현황-대출자수-학부생,대학원생,교원,직원,기타,계,대출책수-학부생,대학원생,교원,직원,기타,계,참고서비스 및 상호협력-참고서비스 신청 및 제공 건수 (2010년 이전)-신청,제공,참고서비스 제공 건수 (2010년 이후)-면담,전화,온라인,상호대차 신청 및 제공 건수-신청,제공,원문복사 신청 및 제공 건수-신청,제공,이용자 교육-교육횟수,교육 참가자수,재학생 1인당 대출책수-대출책수,재학생수(전년도),재학생 1인당 대출책수,재학생 1인당 도서관방문자수-방문자수,재학생수(전년도),재학생 1인당 도서관방문자수
2019,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,306,306,0,17,8,25,7,363,0,378,49,0,5,18,7,79,158,0,19,63,28,268,0,0,0,0,0,0,0,0,0,0,0,158,306,0.5,378,306,1.2000000476837158
2019,2,가야대학교,대학,사립,경남,C그룹,2719,2614,105,95,106,66,1,2987,0,60988,726,8,42,27,0,803,7310,168,838,860,480,9656,0,0,32,18,28,28,13,10,0,5,165,7478,2719,2.799999952316284,60988,2719,22.399999618530273
2019,3,가천대학교,대학,사립,경기,A그룹,20507,18417,2090,901,1170,321,1103,24002,0,907098,6750,440,220,154,132,7696,49103,3631,3597,2293,10170,68794,0,0,4868,3723,1731,73,137,614,123,38,350,52734,20507,2.5999999046325684,907098,20507,44.20000076293945
2019,4,가톨릭관동대학교,대학,사립,강원,B그룹,8700,8282,418,454,373,186,257,9970,0,428272,1944,57,171,153,87,2412,21015,934,2426,2662,1445,28482,0,0,6732,5150,22,7,92,123,45,11,108,21949,8700,2.5,428272,8700,49.20000076293945
2019,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,517,469,48,22,30,43,3,615,0,43240,349,18,22,16,0,405,2673,108,384,192,0,3357,0,0,24,15,2,0,0,3,1,1,113,2781,517,5.400000095367432,43240,517,83.5999984741211
2019,6,가톨릭대학교,대학,사립,경기,A그룹,10450,7979,2471,1167,1240,480,5456,18793,0,1231695,5786,830,2078,185,968,9847,69925,21527,26392,5413,17018,140275,0,0,6653,5924,3043,1129,2297,2233,1029,104,2507,91452,10450,8.800000190734863,1231695,10450,117.9000015258789
2019,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,1844,1844,0,58,129,60,45,2136,0,116779,809,0,26,41,34,910,10229,0,343,666,5820,17058,0,0,30,1,0,0,0,5,0,30,1386,10229,1844,5.5,116779,1844,63.29999923706055
2019,8,감리교신학대학교,대학,사립,서울,C그룹,1514,823,691,25,105,36,284,1964,0,90807,676,624,101,21,149,1571,11416,20426,3863,519,1892,38116,0,0,206,350,150,18,45,5,38,7,150,31842,1514,21.0,90807,1514,60.0
2019,9,강남대학교,대학,사립,경기,B그룹,7127,6759,368,235,270,145,72,7849,0,297446,2852,92,74,113,37,3168,19265,898,1667,2348,272,24450,0,0,75,103,35,33,54,68,41,3,45,20163,7127,2.799999952316284,297446,7127,41.70000076293945
2019,10,강동대학교,전문대학,사립,충북,B그룹,3906,3906,0,110,237,67,0,4320,0,57911,352,0,27,25,0,404,3912,0,134,1399,0,5445,0,0,420,66,0,0,0,0,0,4,500,3912,3906,1.0,57911,3906,14.800000190734863
2019,11,강릉영동대학교,전문대학,사립,강원,B그룹,2838,2838,0,87,137,53,68,3183,0,0,845,0,52,28,15,940,4963,0,610,251,175,5999,0,0,1,0,0,1,0,0,0,0,0,4963,2838,1.7000000476837158,0,2838,0.0
2019,12,강서대학교,대학,사립,서울,C그룹,1582,1444,138,43,100,45,333,2103,0,6430,215,58,40,26,30,369,1349,821,480,303,480,3433,0,0,643,242,1,1,34,6,7,13,358,2170,1582,1.399999976158142,6430,1582,4.099999904632568
2019,13,강원관광대학교,전문대학,사립,강원,C그룹,1168,1168,0,29,65,35,0,1297,0,27350,147,0,9,7,0,163,1174,0,82,34,0,1290,0,0,1057,301,19,0,0,0,0,10,262,1174,1168,1.0,27350,1168,23.399999618530273
2019,14,강원대학교,대학,국립,강원,A그룹,22571,19837,2734,1011,1359,674,1302,26917,0,2229920,8058,1127,729,374,570,10858,47626,9810,8895,3925,16324,86580,0,0,314,3087,901,345,232,2040,6335,130,1870,57436,22571,2.5,2229920,22571,98.80000305175781
2019,15,강원도립대학교,전문대학,공립,강원,C그룹,713,713,0,30,76,60,290,1169,0,3748,204,0,23,58,34,319,3138,0,406,1492,594,5630,0,0,131,0,0,0,0,0,0,10,188,3138,713,4.400000095367432,3748,713,5.300000190734863
2019,16,개신대학원대학교,대학원대학,사립,서울,-,179,0,179,7,16,7,199,408,0,8760,0,48,12,4,53,117,0,538,262,24,635,1459,0,0,70,20,40,5,0,53,0,2,25,538,179,3.0,8760,179,48.900001525878906
2019,17,거제대학교,전문대학,사립,경남,C그룹,1271,1271,0,40,79,38,31,1459,0,45445,375,0,48,37,24,484,2718,0,912,748,388,4766,0,0,1,2,0,10,0,29,0,8,271,2718,1271,2.0999999046325684,45445,1271,35.79999923706055
2019,18,건국대학교,대학,사립,서울,A그룹,20313,15908,4405,716,1337,477,26907,49750,0,1885762,8766,2328,717,412,3005,15228,72309,28085,15589,5870,39077,160930,0,0,0,0,0,119,192,1021,176,42,789,100394,20313,4.900000095367432,1885762,20313,92.80000305175781
2019,19,건국대학교(글로컬),대학,사립,충북,B그룹,8108,7650,458,469,385,160,592,9714,0,464759,3907,178,213,68,277,4643,29232,1846,4780,3503,19478,58839,0,0,53,160,60,62,143,203,32,30,2378,31078,8108,3.799999952316284,464759,8108,57.29999923706055
2019,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2019,21,건신대학원대학교,대학원대학,사립,대전,-,136,0,136,12,14,6,963,1131,0,1999,0,69,10,6,11,96,0,975,171,21,90,1257,0,0,0,0,0,0,0,2,0,0,0,975,136,7.199999809265137,1999,136,14.699999809265137
2019,22,건양대학교,대학,사립,충남,B그룹,8189,7646,543,405,267,222,3886,12969,0,745869,4464,153,252,199,281,5349,43733,2087,4524,3175,3413,56932,0,0,192,378,1257,7,25,570,173,49,2989,45820,8189,5.599999904632568,745869,8189,91.0999984741211
2019,23,경기과학기술대학교,전문대학,사립,경기,A그룹,3988,3988,0,114,226,60,505,4893,0,243644,722,0,65,59,10,856,4735,0,774,685,1292,7486,0,0,150,76,15,12,359,0,0,14,201,4735,3988,1.2000000476837158,243644,3988,61.099998474121094
2019,24,경기대학교,대학,사립,경기,A그룹,15761,13766,1995,557,923,262,7191,24694,0,591578,7495,495,405,263,835,9493,49259,6611,5885,4836,36434,103025,0,0,0,0,158,122,333,1149,299,39,529,55870,15761,3.5,591578,15761,37.5
2019,25,경남대학교,대학,사립,경남,A그룹,13081,11959,1122,454,483,219,1700,15937,0,512931,3587,472,348,132,415,4954,25421,5891,7773,4823,18477,62385,0,0,7216,4037,56,62,255,285,99,30,824,31312,13081,2.4000000953674316,512931,13081,39.20000076293945
2019,26,경남도립거창대학,전문대학,공립,경남,C그룹,881,881,0,28,74,47,13,1043,0,7577,673,0,24,25,0,722,3554,0,485,531,0,4570,0,0,185,0,0,0,0,0,0,1,53,3554,881,4.0,7577,881,8.600000381469727
2019,27,경남도립남해대학,전문대학,공립,경남,C그룹,773,773,0,23,66,48,0,910,0,19536,183,0,19,30,0,232,835,0,176,361,0,1372,0,0,0,0,0,0,0,0,0,0,0,835,773,1.100000023841858,19536,773,25.299999237060547
2019,28,경남정보대학교,전문대학,사립,부산,A그룹,6720,6720,0,183,432,137,51,7523,0,192428,943,0,54,55,51,1103,5387,0,767,679,539,7372,0,0,91,137,22,0,0,0,0,29,1199,5387,6720,0.800000011920929,192428,6720,28.600000381469727
2019,29,경동대학교,대학,사립,강원,B그룹,8095,8095,0,261,155,112,223,8846,0,200000,1546,0,137,0,7,1690,15229,0,3206,0,26,18461,0,0,2000,1000,500,0,0,0,0,6,768,15229,8095,1.899999976158142,200000,8095,24.700000762939453
2019,30,경민대학교,전문대학,사립,경기,B그룹,4290,4290,0,128,301,90,59,4868,0,51832,1644,0,88,56,38,1826,18802,0,1856,1726,1133,23517,0,0,21,47,7,0,1,34,0,35,2097,18802,4290,4.400000095367432,51832,4290,12.100000381469727
2019,31,경복대학교,전문대학,사립,경기,A그룹,6651,6651,0,178,404,64,17,7314,0,84319,1864,0,59,45,2,1970,13067,0,818,558,47,14490,0,0,560,540,2,3,0,47,0,22,888,13067,6651,2.0,84319,6651,12.699999809265137
2019,32,경북과학대학교,전문대학,사립,경북,C그룹,1486,1486,0,55,120,34,0,1695,0,7250,34,0,12,4,0,50,1743,0,105,84,0,1932,0,0,2,1,0,0,0,0,1,0,0,1743,1486,1.2000000476837158,7250,1486,4.900000095367432
2019,33,경북대학교,대학,국립,대구,A그룹,28669,22890,5779,1282,1714,947,38266,70878,0,1123325,11468,2947,1212,511,3248,19386,82352,32217,16110,5402,58438,194519,0,0,61092,32013,2021,990,1499,2403,5474,67,2484,114569,28669,4.0,1123325,28669,39.20000076293945
2019,34,경북보건대학교,전문대학,사립,경북,C그룹,1217,1217,0,39,80,34,0,1370,0,0,420,0,28,27,0,475,4859,0,566,386,0,5811,0,0,3,1,0,1,0,18,1,14,300,4859,1217,4.0,0,1217,0.0
2019,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2019,36,경북전문대학교,전문대학,사립,경북,B그룹,2818,2818,0,79,177,72,0,3146,0,110250,581,0,27,49,0,657,2143,0,374,558,0,3075,0,0,785,157,0,0,0,1,0,24,1009,2143,2818,0.800000011920929,110250,2818,39.099998474121094
2019,37,경상국립대학교,대학,국립,경남,A그룹,21799,18925,2874,1008,1164,590,13850,38411,0,992479,10022,679,683,320,1393,13097,76729,8307,12665,5195,16713,119609,0,0,14036,11376,1059,374,278,1926,1652,118,2715,85036,21799,3.9000000953674316,992479,21799,45.5
2019,38,경성대학교,대학,사립,부산,A그룹,13099,12448,651,429,569,251,5654,20002,0,558628,4248,204,309,165,3165,8091,62674,7137,12554,5254,22854,110473,0,0,10328,5624,1060,96,201,364,210,136,3844,69811,13099,5.300000190734863,558628,13099,42.599998474121094
2019,39,경안대학원대학교,대학원대학,사립,경북,-,66,0,66,6,14,3,0,89,0,60,0,18,5,1,0,24,0,42,10,0,0,52,0,0,2,2,0,0,0,0,0,3,50,42,66,0.6000000238418579,60,66,0.8999999761581421
2019,40,경운대학교,대학,사립,경북,C그룹,4632,4524,108,203,181,128,5,5149,0,133780,2096,12,99,51,5,2263,10621,101,1306,475,532,13035,0,0,225,10,8,0,20,6,11,19,317,10722,4632,2.299999952316284,133780,4632,28.899999618530273
2019,41,경인교육대학교,대학,국립,인천,C그룹,4164,2639,1525,134,228,183,798,5507,0,333237,2603,544,187,80,337,3751,64984,6639,5107,1425,3219,81374,0,0,521,1564,131,49,47,79,25,25,619,71623,4164,17.200000762939453,333237,4164,80.0
2019,42,경인여자대학교,전문대학,사립,인천,B그룹,4674,4674,0,115,338,56,59,5242,0,394887,2069,0,70,53,39,2231,17747,0,1212,1382,35520,55861,0,0,24,48,40,0,0,97,0,0,0,17747,4674,3.799999952316284,394887,4674,84.5
2019,43,경일대학교,대학,사립,경북,B그룹,7037,6837,200,251,135,156,29,7608,0,242181,2353,31,100,108,25,2617,13952,562,1462,1573,810,18359,0,0,240,350,43,30,12,40,0,4,113,14514,7037,2.0999999046325684,242181,7037,34.400001525878906
2019,44,경찰대학,기타,기타,충남,-,0,0,0,0,0,0,600,600,0,26741,247,30,47,169,309,802,2594,1305,1167,2863,4818,12747,0,0,46,51,1,78,3,88,1,2,90,3899,0,0.0,26741,0,0.0
2019,45,경희대학교,대학,사립,서울,A그룹,33487,26063,7424,1442,2027,946,23963,61865,0,1576128,15267,4201,1425,709,2640,24242,164620,65935,24334,12822,93167,360878,0,0,55114,29619,4053,804,2629,1006,1006,333,8086,230555,33487,6.900000095367432,1576128,33487,47.099998474121094
2019,46,계명대학교,대학,사립,대구,A그룹,23336,21269,2067,917,1005,594,17788,43640,0,1086988,11517,1217,881,496,1885,15996,83269,15985,18410,6984,88761,213409,0,0,12021,24267,71,547,1091,2828,1230,122,3388,99254,23336,4.300000190734863,1086988,23336,46.599998474121094
2019,47,계명문화대학교,전문대학,사립,대구,A그룹,5220,5220,0,128,581,83,1499,7511,0,107122,2203,0,200,83,107,2593,17439,0,2156,1046,881,21522,0,0,71,48,21,1,0,0,0,50,2118,17439,5220,3.299999952316284,107122,5220,20.5
2019,48,계약신학대학원대학교,대학원대학,사립,경기,-,51,0,51,6,5,5,19,86,0,51,0,51,7,2,19,79,0,1440,93,39,21,1593,0,0,30,150,0,3,0,0,0,2,20,1440,51,28.200000762939453,51,51,1.0
2019,49,계원예술대학교,전문대학,사립,경기,B그룹,2879,2879,0,88,210,71,1,3249,0,47801,1421,0,49,43,1,1514,12570,0,926,777,9793,24066,0,0,95,142,10,0,0,1,1,1,70,12570,2879,4.400000095367432,47801,2879,16.600000381469727
2019,50,고려대학교,대학,사립,서울,A그룹,29771,21080,8691,1432,3027,1003,2819,38052,0,6145352,15569,4862,1064,897,613,23005,201422,124310,23172,15029,37521,401454,0,0,30368,49886,8276,3740,3953,5644,12326,497,3476,325732,29771,10.899999618530273,6145352,29771,206.39999389648438
2019,51,고려대학교(세종),대학,사립,세종,B그룹,7240,6483,757,262,361,204,371,8438,0,192584,3857,867,311,259,111,5405,27356,10491,3475,2203,6445,49970,0,0,3295,619,13,48,98,73,114,7,198,37847,7240,5.199999809265137,192584,7240,26.600000381469727
2019,52,고려사이버대학교,대학,사립,서울,A그룹,9064,8991,73,42,132,70,0,9308,0,0,1419,22,13,9,0,1463,6848,108,50,93,20,7119,0,0,0,0,0,0,0,2,0,0,0,6956,9064,0.800000011920929,0,9064,0.0
2019,53,고신대학교,대학,사립,부산,C그룹,4821,3926,895,316,178,188,438,5941,0,278487,1092,655,154,184,148,2233,11103,14616,3406,2307,2212,33644,0,0,3380,3118,2895,7,88,399,1251,12,225,25719,4821,5.300000190734863,278487,4821,57.79999923706055
2019,54,공군사관학교,기타,기타,충북,-,0,0,0,0,0,0,2115,2115,0,10477,546,0,104,1071,38,1759,5413,0,1954,22320,95629,125316,0,0,430,340,128,127,2,250,0,50,594,5413,0,0.0,10477,0,0.0
2019,55,공주교육대학교,대학,국립,충남,C그룹,2006,1482,524,85,105,70,12,2278,0,143345,1356,134,34,32,12,1568,14270,906,1759,878,166,17979,0,0,0,0,0,55,10,35,8,13,187,15176,2006,7.599999904632568,143345,2006,71.5
2019,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,1331,0,1331,765,828,66,0,2990,0,7401,0,260,146,26,0,432,0,2599,1626,238,66,4529,0,0,0,0,0,0,0,27,27,0,0,2599,1331,2.0,7401,1331,5.599999904632568
2019,57,광신대학교,대학,사립,광주,C그룹,984,516,468,48,130,28,140,1330,0,59061,132,158,17,9,11,327,915,1536,188,155,108,2902,0,0,9,26,2,21,14,3,15,1,86,2451,984,2.5,59061,984,60.0
2019,58,광양보건대학교,전문대학,사립,전남,C그룹,1179,1179,0,69,53,20,0,1321,0,1482,253,0,24,12,0,289,253,0,24,12,0,289,0,0,18,5,0,0,0,0,0,4,200,253,1179,0.20000000298023224,1482,1179,1.2999999523162842
2019,59,광운대학교,대학,사립,서울,B그룹,9253,8019,1234,325,519,218,8848,19163,0,1382961,4512,608,245,208,2623,8196,58760,8718,4601,3702,29759,105540,0,0,1973,1501,112,82,378,376,110,28,646,67478,9253,7.300000190734863,1382961,9253,149.5
2019,60,광주가톨릭대학교,대학,사립,전남,C그룹,102,76,26,15,7,27,459,610,0,16010,69,26,19,13,55,182,3837,3997,447,127,1291,9699,0,0,379,40,222,2,11,6,7,4,71,7834,102,76.80000305175781,16010,102,157.0
2019,61,광주과학기술원,대학,국립,광주,C그룹,2064,791,1273,190,92,469,0,2815,0,143592,681,850,282,239,0,2052,22782,22118,23040,14936,1562,84438,0,0,800,1000,1200,24,47,270,15,2,48,44900,2064,21.799999237060547,143592,2064,69.5999984741211
2019,62,광주교육대학교,대학,국립,광주,C그룹,1993,1376,617,76,103,75,210,2457,0,51036,1179,108,41,55,78,1461,19182,1292,1134,680,397,22685,0,0,180,1125,150,48,7,146,4,4,376,20474,1993,10.300000190734863,51036,1993,25.600000381469727
2019,63,광주대학교,대학,사립,광주,B그룹,7698,7277,421,258,234,111,1984,10285,0,138226,2081,50,102,79,179,2491,33932,416,1906,1044,5722,43020,0,0,2141,630,94,12,71,27,46,43,1624,34348,7698,4.5,138226,7698,18.0
2019,64,광주보건대학교,전문대학,사립,광주,B그룹,3810,3810,0,103,189,62,46,4210,0,40178,553,0,37,25,10,625,2816,0,293,342,23,3474,0,0,3,5,0,0,8,1,6,2,283,2816,3810,0.699999988079071,40178,3810,10.5
