연도,번호,학교명,학교유형,설립,지역,대학규모,봉사대상자수 및 이용자수_봉사대상자수_전년도_재학생수,봉사대상자수 및 이용자수_봉사대상자수_전년도_학부생,봉사대상자수 및 이용자수_봉사대상자수_전년도_대학원생,봉사대상자수 및 이용자수_봉사대상자수_전년도_전임교원,봉사대상자수 및 이용자수_봉사대상자수_전년도_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_전년도_직원,봉사대상자수 및 이용자수_봉사대상자수_전년도_기타,봉사대상자수 및 이용자수_봉사대상자수_전년도_계,봉사대상자수 및 이용자수_봉사대상자수_당해년도_재학생수,봉사대상자수 및 이용자수_봉사대상자수_당해년도_학부생,봉사대상자수 및 이용자수_봉사대상자수_당해년도_대학원생,봉사대상자수 및 이용자수_봉사대상자수_당해년도_전임교원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_직원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_기타,봉사대상자수 및 이용자수_봉사대상자수_당해년도_계,봉사대상자수 및 이용자수_학과수,봉사대상자수 및 이용자수_이용자수_도서관 이용자수,대출현황_대출자수_학부생,대출현황_대출자수_대학원생,대출현황_대출자수_교원,대출현황_대출자수_직원,대출현황_대출자수_기타,대출현황_대출자수_계,대출현황_대출책수_학부생,대출현황_대출책수_대학원생,대출현황_대출책수_교원,대출현황_대출책수_직원,대출현황_대출책수_기타,대출현황_대출책수_계,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_신청,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_제공,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_면담,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_전화,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_온라인,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_신청,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_제공,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_신청,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_제공,이용자 교육_교육횟수,이용자 교육_교육 참가자수,재학생 1인당 대출책수_대출책수,재학생 1인당 대출책수_재학생수(전년도),재학생 1인당 대출책수_재학생 1인당 대출책수,재학생 1인당 도서관방문자수_방문자수,재학생 1인당 도서관방문자수_재학생수(전년도),재학생 1인당 도서관방문자수_재학생 1인당 도서관방문자수
2020,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,321,321,0,17,10,31,7,386,307,307,0,16,6,29,2,360,0,357,34,0,6,13,2,55,105,0,38,60,7,210,0,0,0,0,0,0,0,0,0,0,0,105,321,0.30000001192092896,357,321,1.100000023841858
2020,2,가야대학교,대학,사립,경남,C그룹,2549,2450,99,87,80,69,1,2786,2277,2176,101,97,112,70,1,2557,0,50747,561,11,32,38,0,642,5020,80,560,1262,1357,8279,0,0,61,34,29,26,5,24,0,5,176,5100,2549,2,50747,2549,19.899999618530273
2020,3,가천대학교,대학,사립,경기,A그룹,20801,18550,2251,897,1104,312,1103,24217,21077,18678,2399,905,1191,317,63,23553,0,911345,6080,458,239,187,96,7060,44693,3856,4199,2116,13690,68554,0,0,21,897,556,76,143,539,132,37,390,48549,20801,2.299999952316284,911345,20801,43.79999923706055
2020,4,가톨릭관동대학교,대학,사립,강원,B그룹,8474,8057,417,438,379,182,257,9730,8518,8107,411,423,406,231,278,9856,0,438324,1992,66,163,136,97,2454,16523,851,2590,2768,1289,24021,0,0,6617,2769,19,1,87,106,36,28,474,17374,8474,2.0999999046325684,438324,8474,51.70000076293945
2020,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,510,448,62,24,21,37,3,595,524,457,67,25,37,36,3,625,0,36320,338,17,23,10,0,388,2283,119,301,71,16,2790,0,0,12,7,3,0,0,0,0,1,111,2402,510,4.699999809265137,36320,510,71.19999694824219
2020,6,가톨릭대학교,대학,사립,경기,A그룹,10503,8181,2322,1163,1293,457,5456,18872,10484,8317,2167,1169,1466,477,4938,18534,0,1201344,5447,794,1938,179,758,9116,60818,21568,24138,4796,14096,125416,0,0,6318,5630,3026,821,2061,635,1433,123,1499,82386,10503,7.800000190734863,1201344,10503,114.4000015258789
2020,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,1885,1885,0,54,123,66,45,2173,1860,1860,0,52,153,59,65,2189,0,111091,783,0,23,36,23,865,9950,0,341,557,6700,17548,0,0,27,8,0,0,0,1,0,9,517,9950,1885,5.300000190734863,111091,1885,58.900001525878906
2020,8,감리교신학대학교,대학,사립,서울,C그룹,1544,833,711,25,113,33,284,1999,1526,814,712,25,95,31,262,1939,0,100363,666,619,101,21,137,1544,10923,17945,3083,576,1929,34456,0,0,210,370,190,21,29,7,26,7,180,28868,1544,18.700000762939453,100363,1544,65
2020,9,강남대학교,대학,사립,경기,B그룹,7152,6760,392,238,208,165,72,7835,7101,6695,406,238,216,171,140,7866,0,148134,3379,116,118,136,46,3795,16612,1016,1760,2200,433,22021,0,0,75,103,35,23,41,37,51,4,71,17628,7152,2.5,148134,7152,20.700000762939453
2020,10,강동대학교,전문대학,사립,충북,B그룹,3763,3763,0,107,158,47,0,4075,3534,3534,0,106,153,40,0,3833,0,24423,289,0,24,34,0,347,1326,0,128,208,683,2345,0,0,0,0,0,0,0,1,0,6,500,1326,3763,0.4000000059604645,24423,3763,6.5
