연도,번호,학교명,학교유형,설립,지역,대학규모,봉사대상자수 및 이용자수_봉사대상자수_전년도_재학생수,봉사대상자수 및 이용자수_봉사대상자수_전년도_학부생,봉사대상자수 및 이용자수_봉사대상자수_전년도_대학원생,봉사대상자수 및 이용자수_봉사대상자수_전년도_전임교원,봉사대상자수 및 이용자수_봉사대상자수_전년도_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_전년도_직원,봉사대상자수 및 이용자수_봉사대상자수_전년도_기타,봉사대상자수 및 이용자수_봉사대상자수_전년도_계,봉사대상자수 및 이용자수_봉사대상자수_당해년도_재학생수,봉사대상자수 및 이용자수_봉사대상자수_당해년도_학부생,봉사대상자수 및 이용자수_봉사대상자수_당해년도_대학원생,봉사대상자수 및 이용자수_봉사대상자수_당해년도_전임교원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_직원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_기타,봉사대상자수 및 이용자수_봉사대상자수_당해년도_계,봉사대상자수 및 이용자수_학과수,봉사대상자수 및 이용자수_이용자수_도서관 이용자수,대출현황_대출자수_학부생,대출현황_대출자수_대학원생,대출현황_대출자수_교원,대출현황_대출자수_직원,대출현황_대출자수_기타,대출현황_대출자수_계,대출현황_대출책수_학부생,대출현황_대출책수_대학원생,대출현황_대출책수_교원,대출현황_대출책수_직원,대출현황_대출책수_기타,대출현황_대출책수_계,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_신청,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_제공,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_면담,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_전화,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_온라인,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_신청,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_제공,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_신청,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_제공,이용자 교육_대면 이용자 교육_교육횟수,이용자 교육_대면 이용자 교육_교육 참가자수,이용자 교육_비대면 이용자 교육_교육횟수,이용자 교육_비대면 이용자 교육_교육 참가자수,재학생 1인당 대출책수_대출책수,재학생 1인당 대출책수_재학생수(전년도),재학생 1인당 대출책수_재학생 1인당 대출책수,재학생 1인당 도서관방문자수_방문자수,재학생 1인당 도서관방문자수_재학생수(전년도),재학생 1인당 도서관방문자수_재학생 1인당 도서관방문자수
2024,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,287,287,0,15,8,37,0,347,292,292,0,18,6,36,0,352,0,347,24,0,1,6,3,34,67,0,11,20,17,115,0,0,0,0,0,0,0,0,0,0,0,0,0,67,287,0.20000000298023224,347,287,1.2000000476837158
2024,2,가야대학교,대학,사립,경남,C그룹,1787,1698,89,76,137,63,0,2063,1734,1655,79,70,141,61,1,2007,0,20086,406,3,31,28,0,468,3381,29,341,226,0,3977,0,0,0,0,0,0,19,5,4,16,233,0,0,3410,1787,1.899999976158142,20086,1787,11.199999809265137
2024,3,가천대학교,대학,사립,경기,A그룹,23393,20563,2830,938,1608,387,5575,31901,24831,21601,3230,977,1717,400,5180,33105,0,934973,5134,417,377,241,155,6324,52887,3405,15004,2422,3077,76795,0,0,0,0,0,47,154,403,97,64,409,0,0,56292,23393,2.4000000953674316,934973,23393,40
2024,4,가톨릭관동대학교,대학,사립,강원,B그룹,6419,5939,480,389,373,230,97,7508,6008,5429,579,359,357,235,108,7067,0,179343,2014,87,174,149,148,2572,14410,843,2622,1689,1140,20704,0,0,0,0,0,3,89,23,10,149,837,0,0,15253,6419,2.4000000953674316,179343,6419,27.899999618530273
2024,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,468,411,57,23,49,35,5,580,465,401,64,24,40,39,5,573,0,23799,143,13,13,5,1,175,737,75,147,65,2,1026,0,0,0,0,0,0,0,0,0,1,89,0,0,812,468,1.7000000476837158,23799,468,50.900001525878906
2024,6,가톨릭대학교,대학,사립,경기,A그룹,10964,8343,2621,1266,1671,525,4447,18873,11406,8714,2692,1285,1742,527,4081,19041,0,695432,3529,664,1715,164,406,6478,50577,16771,28975,4196,13453,113972,0,0,0,0,0,257,659,796,2552,106,1704,0,0,67348,10964,6.099999904632568,695432,10964,63.400001525878906
2024,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,1827,1827,0,51,149,57,162,2246,1819,1819,0,51,147,60,167,2244,0,30316,451,0,18,21,10,500,2695,0,95,169,1022,3981,0,0,0,0,0,0,0,0,0,16,322,0,0,2695,1827,1.5,30316,1827,16.600000381469727
2024,8,감리교신학대학교,대학,사립,서울,C그룹,1202,604,598,26,92,46,537,1903,1211,582,629,25,122,46,281,1685,0,64851,411,445,69,24,119,1068,6135,11185,2979,777,3277,24353,0,0,0,0,0,30,33,8,32,4,73,0,0,17320,1202,14.399999618530273,64851,1202,54
2024,9,강남대학교,대학,사립,경기,B그룹,6885,6503,382,232,324,182,20,7643,6600,6248,352,219,339,187,43,7388,0,98476,5214,105,420,460,23,6222,14452,505,1820,1380,45,18202,0,0,0,0,0,1,85,10,19,22,109,0,0,14957,6885,2.200000047683716,98476,6885,14.300000190734863
2024,10,강동대학교,전문대학,사립,충북,B그룹,2982,2982,0,89,153,48,0,3272,3272,3272,0,84,154,49,0,3559,0,300,126,0,22,21,0,169,1826,0,169,157,3,2155,0,0,0,0,0,0,0,0,0,0,0,0,0,1826,2982,0.6000000238418579,300,2982,0.10000000149011612
