연도,번호,학교명,학교유형,설립,지역,대학규모,직원_정규직_사서자격증 소지자,직원_정규직_사서자격증 미소지자,직원_비정규직_사서자격증 소지자,직원_비정규직_사서자격증 미소지자,직원_합계_사서자격증 소지자,직원_합계_사서자격증 미소지자,직원_합계_계,사서자격증 보유현황_정규직_1급 정사서,사서자격증 보유현황_정규직_2급 정사서,사서자격증 보유현황_정규직_준사서,사서자격증 보유현황_정규직_합계,사서자격증 보유현황_비정규직_1급 정사서,사서자격증 보유현황_비정규직_2급 정사서,사서자격증 보유현황_비정규직_준사서,사서자격증 보유현황_비정규직_합계,직원교육현황_참여시간,직원교육현황_참여인원,"재학생 1,000명당 도서관 직원수_정규직_사서","재학생 1,000명당 도서관 직원수_정규직_비사서","재학생 1,000명당 도서관 직원수_비정규직_사서","재학생 1,000명당 도서관 직원수_비정규직_비사서","재학생 1,000명당 도서관 직원수_재학생수(당해년도)","재학생 1,000명당 도서관 직원수_재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수_사서직원수 정규직","재학생 1,000명당 사서 직원수_사서직원수 비정규직","재학생 1,000명당 사서 직원수_재학생수(전년도)","재학생 1,000명당 사서 직원수_재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간_교육 참여시간,직원 1인당 평균 교육 참여 시간_도서관직원수 정규직,직원 1인당 평균 교육 참여 시간_도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간_직원 1인당 평균 교육 참여 시간
2014,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,325,2.5,0,0,325,0,0,1,0,0
2014,2,가야대학교,대학,사립,경남,C그룹,1,1,1,1,2,2,4,0,1,0,1,0,1,0,1,36,6,1,1,1,1,2890,1.100000023841858,1,1,2890,0.699999988079071,36,2,2,9
2014,3,가천대학교,대학,사립,경기,A그룹,11,5,4,5,15,10,25,2,8,1,11,0,4,0,4,885,81,11,5,4,5,21016,1,11,4,21016,0.699999988079071,885,16,9,35.400001525878906
2014,4,가톨릭관동대학교,대학,사립,강원,B그룹,6,2,0,4,6,6,12,1,4,1,6,0,0,0,0,473,19,6,2,0,4,9993,1,6,0,9993,0.6000000238418579,473,8,4,39.400001525878906
2014,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,100,8,1,0,0,1,569,2.5999999046325684,1,0,569,1.7999999523162842,100,1,1,50
2014,6,가톨릭대학교,대학,사립,경기,A그룹,20,6,2,1,22,7,29,5,15,0,20,0,1,1,2,1022,107,20,6,2,1,11016,2.4000000953674316,20,2,11016,2,1022,26,3,35.20000076293945
2014,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,1,0,2,0,3,0,3,0,1,0,1,0,2,0,2,360,29,1,0,2,0,2066,1.2999999523162842,1,2,2066,1.5,360,1,2,120
2014,8,감리교신학대학교,대학,사립,서울,C그룹,3,0,0,0,3,0,3,3,0,0,3,0,0,0,0,85,3,3,0,0,0,1576,1.899999976158142,3,0,1576,1.899999976158142,85,3,0,28.299999237060547
2014,9,강남대학교,대학,사립,경기,B그룹,3,0,4,0,7,0,7,0,3,0,3,0,4,0,4,166,30,3,0,4,0,7910,0.800000011920929,3,4,7910,0.8999999761581421,166,3,4,23.700000762939453
2014,10,강동대학교,전문대학,사립,충북,B그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,21,2,1,0,0,1,4368,0.30000001192092896,1,0,4368,0.20000000298023224,21,1,1,10.5
2014,11,강릉영동대학교,전문대학,사립,강원,B그룹,0,1,1,0,1,1,2,0,0,0,0,0,0,1,1,65,2,0,1,1,0,3057,0.5,0,1,3057,0.30000001192092896,65,1,1,32.5
2014,12,강서대학교,대학,사립,서울,C그룹,1,0,1,1,2,1,3,0,1,0,1,0,1,0,1,52,12,1,0,1,1,1592,1.399999976158142,1,1,1592,1.2999999523162842,52,1,2,17.299999237060547
2014,13,강원관광대학교,전문대학,사립,강원,C그룹,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,13,2,1,0,0,0,1322,0.800000011920929,1,0,1322,0.800000011920929,13,1,0,13
2014,14,강원대학교,대학,국립,강원,A그룹,24,9,1,4,25,13,38,13,9,2,24,0,1,0,1,2898,416,24,9,1,4,25030,1.399999976158142,24,1,25030,1,2898,33,5,76.30000305175781
2014,15,강원도립대학교,전문대학,공립,강원,C그룹,1,0,0,1,1,1,2,0,0,1,1,0,0,0,0,81,2,1,0,0,1,973,1.5,1,0,973,1,81,1,1,40.5
2014,16,개신대학원대학교,대학원대학,사립,서울,-,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,163,6.099999904632568,1,0,163,6.099999904632568,0,1,0,0
2014,17,거제대학교,전문대학,사립,경남,C그룹,1,0,0,1,1,1,2,1,0,0,1,0,0,0,0,24,1,1,0,0,1,1631,0.8999999761581421,1,0,1631,0.6000000238418579,24,1,1,12
2014,18,건국대학교,대학,사립,서울,A그룹,10,8,21,1,31,9,40,5,5,0,10,1,18,2,21,1441,176,10,8,21,1,20328,1.7000000476837158,10,21,20328,1.5,1441,18,22,36
2014,19,건국대학교(글로컬),대학,사립,충북,B그룹,4,4,6,3,10,7,17,0,4,0,4,0,6,0,6,595,76,4,4,6,3,9196,1.5,4,6,9196,1.100000023841858,595,8,9,35
2014,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,21,건신대학원대학교,대학원대학,사립,대전,-,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,27,1,0,1,0,0,161,5,0,0,161,0,27,1,0,27
2014,22,건양대학교,대학,사립,충남,B그룹,4,0,2,1,6,1,7,0,4,0,4,0,2,0,2,295,222,4,0,2,1,8863,0.699999988079071,4,2,8863,0.699999988079071,295,4,3,42.099998474121094
2014,23,경기과학기술대학교,전문대학,사립,경기,A그룹,3,0,0,1,3,1,4,0,3,0,3,0,0,0,0,14,1,3,0,0,1,4523,0.800000011920929,3,0,4523,0.699999988079071,14,3,1,3.5
2014,24,경기대학교,대학,사립,경기,A그룹,16,0,9,2,25,2,27,6,10,0,16,0,9,0,9,1248,142,16,0,9,2,17227,1.399999976158142,16,9,17227,1.5,1248,16,11,46.20000076293945
2014,25,경남대학교,대학,사립,경남,A그룹,8,2,0,11,8,13,21,2,6,0,8,0,0,0,0,967,128,8,2,0,11,14624,1,8,0,14624,0.5,967,10,11,46
2014,26,경남도립거창대학,전문대학,공립,경남,C그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,8,2,1,0,0,1,995,1.5,1,0,995,1,8,1,1,4
2014,27,경남도립남해대학,전문대학,공립,경남,C그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,30,1,1,0,0,1,950,1.600000023841858,1,0,950,1.100000023841858,30,1,1,15
2014,28,경남정보대학교,전문대학,사립,부산,A그룹,2,1,0,0,2,1,3,1,1,0,2,0,0,0,0,53,3,2,1,0,0,7321,0.4000000059604645,2,0,7321,0.30000001192092896,53,3,0,17.700000762939453
2014,29,경동대학교,대학,사립,강원,B그룹,3,0,0,0,3,0,3,0,1,2,3,0,0,0,0,0,0,3,0,0,0,5801,0.5,3,0,5801,0.5,0,3,0,0
2014,30,경민대학교,전문대학,사립,경기,B그룹,3,0,0,2,3,2,5,1,2,0,3,0,0,0,0,52,3,3,0,0,2,4967,0.800000011920929,3,0,4967,0.6000000238418579,52,3,2,10.399999618530273
2014,31,경복대학교,전문대학,사립,경기,A그룹,1,0,2,0,3,0,3,0,1,0,1,0,1,1,2,109,4,1,0,2,0,6483,0.4000000059604645,1,2,6483,0.5,109,1,2,36.29999923706055
2014,32,경북과학대학교,전문대학,사립,경북,C그룹,2,0,0,0,2,0,2,0,2,0,2,0,0,0,0,9,1,2,0,0,0,1841,1.100000023841858,2,0,1841,1.100000023841858,9,2,0,4.5
2014,33,경북대학교,대학,국립,대구,A그룹,43,6,10,3,53,9,62,13,26,4,43,1,7,2,10,1144,76,43,6,10,3,30971,1.899999976158142,43,10,30971,1.7000000476837158,1144,49,13,18.5
2014,34,경북보건대학교,전문대학,사립,경북,C그룹,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,59,1,1,0,0,0,1307,0.800000011920929,1,0,1307,0.800000011920929,59,1,0,59
2014,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,36,경북전문대학교,전문대학,사립,경북,B그룹,1,1,0,0,1,1,2,0,1,0,1,0,0,0,0,112,2,1,1,0,0,2666,0.699999988079071,1,0,2666,0.4000000059604645,112,2,0,56
2014,37,경상국립대학교,대학,국립,경남,A그룹,26,6,4,0,30,6,36,10,16,0,26,1,2,1,4,3306,550,26,6,4,0,23945,1.399999976158142,26,4,23945,1.2999999523162842,3306,32,4,91.80000305175781
2014,38,경성대학교,대학,사립,부산,A그룹,9,5,1,1,10,6,16,3,6,0,9,0,1,0,1,723,160,9,5,1,1,14514,1,9,1,14514,0.699999988079071,723,14,2,45.20000076293945
2014,39,경안대학원대학교,대학원대학,사립,경북,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,58,0,0,0,0,0
