연도,번호,학교명,학교유형,설립,지역,대학규모,직원-정규직-사서자격증 소지자,사서자격증 미소지자,비정규직-사서자격증 소지자,사서자격증 미소지자,합계-사서자격증 소지자,사서자격증 미소지자,계,사서자격증 보유현황-정규직-1급 정사서,2급 정사서,준사서,합계,비정규직-1급 정사서,2급 정사서,준사서,합계,직원교육현황-참여시간,참여인원,"재학생 1,000명당 도서관 직원수-정규직-사서",비사서,비정규직-사서,비사서,재학생수(당해년도),"재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수-사서직원수 정규직",사서직원수 비정규직,재학생수(전년도),"재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간-교육 참여시간,도서관직원수 정규직,도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간
2016,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,311,2.5999999046325684,0,0,311,0.0,0,1,0,0.0
2016,2,가야대학교,대학,사립,경남,C그룹,2,0,1,0,3,0,3,0,2,0,2,0,1,0,1,16,3,2,0,1,0,2718,1.0,2,1,2718,1.100000023841858,16,2,1,5.300000190734863
2016,3,가천대학교,대학,사립,경기,A그룹,10,6,4,7,14,13,27,2,7,1,10,0,4,0,4,969,210,10,6,4,7,20737,1.0,10,4,20737,0.699999988079071,969,16,11,35.900001525878906
2016,4,가톨릭관동대학교,대학,사립,강원,B그룹,6,1,0,6,6,7,13,1,5,0,6,0,0,0,0,331,25,6,1,0,6,9332,1.100000023841858,6,0,9332,0.6000000238418579,331,7,6,25.5
2016,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,29,3,1,0,0,0,536,1.899999976158142,1,0,536,1.899999976158142,29,1,0,29.0
2016,6,가톨릭대학교,대학,사립,경기,A그룹,19,7,2,0,21,7,28,4,15,0,19,0,1,1,2,512,53,19,7,2,0,10881,2.4000000953674316,19,2,10881,1.899999976158142,512,26,2,18.299999237060547
2016,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,1,0,2,1,3,1,4,1,0,0,1,0,2,0,2,159,20,1,0,2,1,1975,1.600000023841858,1,2,1975,1.5,159,1,3,39.79999923706055
2016,8,감리교신학대학교,대학,사립,서울,C그룹,2,0,1,0,3,0,3,2,0,0,2,0,1,0,1,67,3,2,0,1,0,1576,1.7999999523162842,2,1,1576,1.899999976158142,67,2,1,22.299999237060547
2016,9,강남대학교,대학,사립,경기,B그룹,3,0,6,1,9,1,10,0,3,0,3,0,6,0,6,66,18,3,0,6,1,7325,1.100000023841858,3,6,7325,1.2000000476837158,66,3,7,6.599999904632568
2016,10,강동대학교,전문대학,사립,충북,B그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,4027,0.4000000059604645,1,0,4027,0.20000000298023224,0,1,1,0.0
2016,11,강릉영동대학교,전문대학,사립,강원,B그룹,0,1,1,0,1,1,2,0,0,0,0,0,0,1,1,12,1,0,1,1,0,3008,0.5,0,1,3008,0.30000001192092896,12,1,1,6.0
2016,12,강서대학교,대학,사립,서울,C그룹,1,1,0,0,1,1,2,1,0,0,1,0,0,0,0,49,8,1,1,0,0,1604,1.100000023841858,1,0,1604,0.6000000238418579,49,2,0,24.5
2016,13,강원관광대학교,전문대학,사립,강원,C그룹,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,29,1,1,0,0,0,1351,0.699999988079071,1,0,1351,0.699999988079071,29,1,0,29.0
2016,14,강원대학교,대학,국립,강원,A그룹,24,3,2,3,26,6,32,10,12,2,24,1,1,0,2,2320,155,24,3,2,3,23947,1.2000000476837158,24,2,23947,1.100000023841858,2320,27,5,72.5
2016,15,강원도립대학교,전문대학,공립,강원,C그룹,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,65,3,1,0,0,0,894,1.100000023841858,1,0,894,1.100000023841858,65,1,0,65.0
2016,16,개신대학원대학교,대학원대학,사립,서울,-,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,7,1,1,0,0,0,134,7.5,1,0,134,7.5,7,1,0,7.0
2016,17,거제대학교,전문대학,사립,경남,C그룹,1,0,1,0,2,0,2,1,0,0,1,0,1,0,1,26,3,1,0,1,0,1566,1.100000023841858,1,1,1566,1.2999999523162842,26,1,1,13.0
2016,18,건국대학교,대학,사립,서울,A그룹,11,6,17,1,28,7,35,5,6,0,11,0,16,1,17,1080,42,11,6,17,1,19902,1.5,11,17,19902,1.399999976158142,1080,17,18,30.899999618530273
2016,19,건국대학교(글로컬),대학,사립,충북,B그룹,4,2,2,7,6,9,15,3,1,0,4,0,2,0,2,304,92,4,2,2,7,8761,1.2000000476837158,4,2,8761,0.699999988079071,304,6,9,20.299999237060547
2016,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2016,21,건신대학원대학교,대학원대학,사립,대전,-,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,9,1,0,0,0,1,148,3.4000000953674316,0,0,148,0.0,9,0,1,9.0
2016,22,건양대학교,대학,사립,충남,B그룹,4,4,4,0,8,4,12,0,4,0,4,0,4,0,4,804,22,4,4,4,0,8593,1.2000000476837158,4,4,8593,0.8999999761581421,804,8,4,67.0
2016,23,경기과학기술대학교,전문대학,사립,경기,A그룹,2,1,1,0,3,1,4,0,2,0,2,0,1,0,1,99,8,2,1,1,0,4483,0.800000011920929,2,1,4483,0.699999988079071,99,3,1,24.799999237060547
2016,24,경기대학교,대학,사립,경기,A그룹,14,0,1,2,15,2,17,5,9,0,14,0,1,0,1,692,62,14,0,1,2,16377,1.0,14,1,16377,0.8999999761581421,692,14,3,40.70000076293945
2016,25,경남대학교,대학,사립,경남,A그룹,7,0,0,16,7,16,23,2,5,0,7,0,0,0,0,474,69,7,0,0,16,13489,1.100000023841858,7,0,13489,0.5,474,7,16,20.600000381469727
