연도,번호,학교명,학교유형,설립,지역,대학규모,직원_정규직_전담_1급 정사서,직원_정규직_전담_2급 정사서,직원_정규직_전담_준사서,직원_정규직_전담_미소지자,직원_정규직_전담_계,직원_정규직_겸직_1급 정사서,직원_정규직_겸직_2급 정사서,직원_정규직_겸직_준사서,직원_정규직_겸직_미소지자,직원_정규직_겸직_계,직원_비정규직_전담_1급 정사서,직원_비정규직_전담_2급 정사서,직원_비정규직_전담_준사서,직원_비정규직_전담_미소지자,직원_비정규직_전담_계,직원_비정규직_겸직_1급 정사서,직원_비정규직_겸직_2급 정사서,직원_비정규직_겸직_준사서,직원_비정규직_겸직_미소지자,직원_비정규직_겸직_계,직원_합계_전담_1급 정사서,직원_합계_전담_2급 정사서,직원_합계_전담_준사서,직원_합계_전담_미소지자,직원_합계_전담_계,직원_합계_겸직_1급 정사서,직원_합계_겸직_2급 정사서,직원_합계_겸직_준사서,직원_합계_겸직_미소지자,직원_합계_겸직_계,직원_합계_계_1급 정사서,직원_합계_계_2급 정사서,직원_합계_계_준사서,직원_합계_계_미소지자,직원_합계_계_계,직원교육현황_참여시간,직원교육현황_참여인원,"재학생 1,000명당 도서관 직원수_정규직_사서","재학생 1,000명당 도서관 직원수_정규직_비사서","재학생 1,000명당 도서관 직원수_비정규직_사서","재학생 1,000명당 도서관 직원수_비정규직_비사서","재학생 1,000명당 도서관 직원수_재학생수(전년도)","재학생 1,000명당 도서관 직원수_재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수_사서직원수 정규직","재학생 1,000명당 사서 직원수_사서직원수 비정규직","재학생 1,000명당 사서 직원수_재학생수(전년도)","재학생 1,000명당 사서 직원수_재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간_교육 참여시간,직원 1인당 평균 교육 참여 시간_도서관직원수 정규직,직원 1인당 평균 교육 참여 시간_도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간_직원 1인당 평균 교육 참여 시간
2019,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,306,1.600000023841858,0,0,306,0,0,0,1,0
2019,2,가야대학교,대학,사립,경남,C그룹,1,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,1,2,0,0,3,92.30000305175781,16,2,0,1,0,2719,1,2,1,2719,1.100000023841858,92.30000305175781,2,1,30.799999237060547
2019,3,가천대학교,대학,사립,경기,A그룹,2,7,1,6,16,0,0,0,0,0,0,3,0,7,10,0,0,0,0,0,2,10,1,13,26,0,0,0,0,0,2,10,1,13,26,930.5,157,10,6,3,7,20507,1,10,3,20507,0.6000000238418579,930.5,16,10,35.79999923706055
2019,4,가톨릭관동대학교,대학,사립,강원,B그룹,2,1,0,0,3,0,0,1,0,1,0,0,0,10,10,0,0,0,0,0,2,1,0,10,13,0,0,1,0,1,2,1,1,10,14,446.5,72,4,0,0,10,8700,1,4,0,8700,0.5,446.5,4,10,31.899999618530273
2019,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,31,5,1,0,0,0,517,1.899999976158142,1,0,517,1.899999976158142,31,1,0,31
2019,6,가톨릭대학교,대학,사립,경기,A그룹,4,15,0,6,25,0,0,0,0,0,0,2.5,0,0,2.5,0,0,0,0,0,4,17.5,0,6,27.5,0,0,0,0,0,4,17.5,0,6,27.5,872,123,19,6,2.5,0,10450,2.5,19,2.5,10450,2.0999999046325684,872,25,2.5,31.700000762939453
2019,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,1,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,1,1,0,1,3,178,20,1,1,1,0,1844,1.399999976158142,1,1,1844,1.100000023841858,178,2,1,59.29999923706055
2019,8,감리교신학대학교,대학,사립,서울,C그룹,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,2,1,0,0,3,169.5,25,3,0,0,0,1514,2,3,0,1514,2,169.5,3,0,56.5
2019,9,강남대학교,대학,사립,경기,B그룹,0,3,0,1,4,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,9,0,1,10,0,0,0,0,0,0,9,0,1,10,282.5,43,3,1,6,0,7127,1.2000000476837158,3,6,7127,1.2999999523162842,282.5,4,6,28.299999237060547
2019,10,강동대학교,전문대학,사립,충북,B그룹,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,62,2,1,0,1,0,3906,0.5,1,1,3906,0.5,62,1,1,31
2019,11,강릉영동대학교,전문대학,사립,강원,B그룹,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,58.5,2,0,0,1,0,2838,0.30000001192092896,0,1,2838,0.4000000059604645,58.5,0,1,58.5
2019,12,강서대학교,대학,사립,서울,C그룹,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,1,0,0,2,96.80000305175781,24,2,0,0,0,1582,1.2999999523162842,2,0,1582,1.2999999523162842,96.80000305175781,2,0,48.400001525878906
2019,13,강원관광대학교,전문대학,사립,강원,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,30,2,1,0,0,0,1168,0.8999999761581421,1,0,1168,0.8999999761581421,30,1,0,30
2019,14,강원대학교,대학,국립,강원,A그룹,11,11,1,4,27,0,0,0,0,0,0,1,0,4,5,0,0,0,0,0,11,12,1,8,32,0,0,0,0,0,11,12,1,8,32,2394,332,23,4,1,4,22571,1.2999999523162842,23,1,22571,1.100000023841858,2394,27,5,74.80000305175781
2019,15,강원도립대학교,전문대학,공립,강원,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,2,90,4,1,0,0,1,713,2.0999999046325684,1,0,713,1.399999976158142,90,1,1,45
2019,16,개신대학원대학교,대학원대학,사립,서울,-,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,32,1,1,0,0,0,179,5.599999904632568,1,0,179,5.599999904632568,32,1,0,32
2019,17,거제대학교,전문대학,사립,경남,C그룹,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,1,0,0,2,54.5,4,1,0,1,0,1271,1.399999976158142,1,1,1271,1.600000023841858,54.5,1,1,27.299999237060547
2019,18,건국대학교,대학,사립,서울,A그룹,2,5,0,1,8,0,0,0,0,0,0,16,1,1,18,0,0,0,0,0,2,21,1,2,26,0,0,0,0,0,2,21,1,2,26,1216.5999755859375,245,7,1,17,1,20313,1.100000023841858,7,17,20313,1.2000000476837158,1216.5999755859375,8,18,46.79999923706055
2019,19,건국대학교(글로컬),대학,사립,충북,B그룹,2,1,0,3,6,0,0,0,0,0,0,2,0,5,7,0,0,0,0,0,2,3,0,8,13,0,0,0,0,0,2,3,0,8,13,507.5,129,3,3,2,5,8108,1.2000000476837158,3,2,8108,0.6000000238418579,507.5,6,7,39
