연도,번호,학교명,학교유형,설립,지역,대학규모,직원_정규직_전담_1급 정사서,직원_정규직_전담_2급 정사서,직원_정규직_전담_준사서,직원_정규직_전담_미소지자,직원_정규직_전담_계,직원_정규직_겸직_1급 정사서,직원_정규직_겸직_2급 정사서,직원_정규직_겸직_준사서,직원_정규직_겸직_미소지자,직원_정규직_겸직_계,직원_비정규직_전담_1급 정사서,직원_비정규직_전담_2급 정사서,직원_비정규직_전담_준사서,직원_비정규직_전담_미소지자,직원_비정규직_전담_계,직원_비정규직_겸직_1급 정사서,직원_비정규직_겸직_2급 정사서,직원_비정규직_겸직_준사서,직원_비정규직_겸직_미소지자,직원_비정규직_겸직_계,직원_합계_전담_1급 정사서,직원_합계_전담_2급 정사서,직원_합계_전담_준사서,직원_합계_전담_미소지자,직원_합계_전담_계,직원_합계_겸직_1급 정사서,직원_합계_겸직_2급 정사서,직원_합계_겸직_준사서,직원_합계_겸직_미소지자,직원_합계_겸직_계,직원_합계_계_1급 정사서,직원_합계_계_2급 정사서,직원_합계_계_준사서,직원_합계_계_미소지자,직원_합계_계_계,직원교육현황_참여시간,직원교육현황_참여인원,"재학생 1,000명당 도서관 직원수_정규직_사서","재학생 1,000명당 도서관 직원수_정규직_비사서","재학생 1,000명당 도서관 직원수_비정규직_사서","재학생 1,000명당 도서관 직원수_비정규직_비사서","재학생 1,000명당 도서관 직원수_재학생수(당해년도)","재학생 1,000명당 도서관 직원수_재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수_사서직원수 정규직","재학생 1,000명당 사서 직원수_사서직원수 비정규직","재학생 1,000명당 사서 직원수_재학생수(당해년도)","재학생 1,000명당 사서 직원수_재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간_교육 참여시간,직원 1인당 평균 교육 참여 시간_도서관직원수 정규직,직원 1인당 평균 교육 참여 시간_도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간_직원 1인당 평균 교육 참여 시간
2020,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,4,1,0,0,0,1,307,1.600000023841858,0,0,307,0,4,0,1,4
2020,2,가야대학교,대학,사립,경남,C그룹,1,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,1,2,0,0,3,97.5,17,2,0,1,0,2277,1.2000000476837158,2,1,2277,1.2999999523162842,97.5,2,1,32.5
2020,3,가천대학교,대학,사립,경기,A그룹,3,7,1,5,16,0,0,0,0,0,0,4,0,6,10,0,0,0,0,0,3,11,1,11,26,0,0,0,0,0,3,11,1,11,26,687,94,11,5,4,6,21077,1,11,4,21077,0.699999988079071,687,16,10,26.399999618530273
2020,4,가톨릭관동대학교,대학,사립,강원,B그룹,2,1,1,0,4,0,0,0,0,0,0,1,0,6,7,0,0,0,0,0,2,2,1,6,11,0,0,0,0,0,2,2,1,6,11,723,125,4,0,1,6,8518,0.8999999761581421,4,1,8518,0.6000000238418579,723,4,10,51.599998474121094
2020,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,2,56,7,1,1,0,0,524,3.4000000953674316,1,0,524,1.899999976158142,56,1,0,56
2020,6,가톨릭대학교,대학,사립,경기,A그룹,4,14,0,5,23,0,0,1,0,1,0,1.5,0,0,1.5,0,0,0,0,0,4,15.5,0,5,24.5,0,0,1,0,1,4,15.5,1,5,25.5,721.5,145,19,5,1.5,0,10484,2.299999952316284,19,1.5,10484,2,721.5,25,2.5,26.200000762939453
2020,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,1,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,1,2,0,0,3,143,21,2,0,1,0,1860,1.5,2,1,1860,1.600000023841858,143,2,1,47.70000076293945
2020,8,감리교신학대학교,대학,사립,서울,C그룹,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,111,17,2,0,0,0,1526,1.2999999523162842,2,0,1526,1.2999999523162842,111,3,0,37
2020,9,강남대학교,대학,사립,경기,B그룹,0,3,0,2,5,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,5,0,3,8,0,0,0,0,0,0,5,0,3,8,212.5,44,3,2,2,1,7101,0.8999999761581421,3,2,7101,0.699999988079071,212.5,4,6,21.299999237060547
2020,10,강동대학교,전문대학,사립,충북,B그룹,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,2,42,9,0,0,1,1,3534,0.4000000059604645,0,1,3534,0.30000001192092896,42,1,1,21
2020,11,강릉영동대학교,전문대학,사립,강원,B그룹,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,28,1,1,0,0,0,2663,0.4000000059604645,1,0,2663,0.4000000059604645,28,0,1,28
2020,12,강서대학교,대학,사립,서울,C그룹,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,1,0,0,2,408,60,2,0,0,0,1492,1.2999999523162842,2,0,1492,1.2999999523162842,408,2,0,204
