연도,번호,학교명,학교유형,설립,지역,대학규모,직원_정규직_전담_1급 정사서,직원_정규직_전담_2급 정사서,직원_정규직_전담_준사서,직원_정규직_전담_미소지자,직원_정규직_전담_계,직원_정규직_겸직_1급 정사서,직원_정규직_겸직_2급 정사서,직원_정규직_겸직_준사서,직원_정규직_겸직_미소지자,직원_정규직_겸직_계,직원_비정규직_전담_1급 정사서,직원_비정규직_전담_2급 정사서,직원_비정규직_전담_준사서,직원_비정규직_전담_미소지자,직원_비정규직_전담_계,직원_비정규직_겸직_1급 정사서,직원_비정규직_겸직_2급 정사서,직원_비정규직_겸직_준사서,직원_비정규직_겸직_미소지자,직원_비정규직_겸직_계,직원_합계_전담_1급 정사서,직원_합계_전담_2급 정사서,직원_합계_전담_준사서,직원_합계_전담_미소지자,직원_합계_전담_계,직원_합계_겸직_1급 정사서,직원_합계_겸직_2급 정사서,직원_합계_겸직_준사서,직원_합계_겸직_미소지자,직원_합계_겸직_계,직원_합계_계_1급 정사서,직원_합계_계_2급 정사서,직원_합계_계_준사서,직원_합계_계_미소지자,직원_합계_계_계,직원교육현황_대면교육_참여시간,직원교육현황_대면교육_참여인원,직원교육현황_비대면 실시간 교육_참여시간,직원교육현황_비대면 실시간 교육_참여인원,직원교육현황_온라인 교육_참여시간,직원교육현황_온라인 교육_참여인원,"재학생 1,000명당 도서관 직원수_정규직_사서","재학생 1,000명당 도서관 직원수_정규직_비사서","재학생 1,000명당 도서관 직원수_비정규직_사서","재학생 1,000명당 도서관 직원수_비정규직_비사서","재학생 1,000명당 도서관 직원수_재학생수(당해년도)","재학생 1,000명당 도서관 직원수_재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수_사서직원수 정규직","재학생 1,000명당 사서 직원수_사서직원수 비정규직","재학생 1,000명당 사서 직원수_재학생수(당해년도)","재학생 1,000명당 사서 직원수_재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간_교육 참여시간,직원 1인당 평균 교육 참여 시간_도서관직원수 정규직,직원 1인당 평균 교육 참여 시간_도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간_직원 1인당 평균 교육 참여 시간
2021,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,261,0,0,0,1,0
2021,2,가야대학교,대학,사립,경남,C그룹,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,54,7,64,12,2,0,0,0,2121,0.8999999761581421,2,0,2121,0.8999999761581421,118,2,1,39.29999923706055
2021,3,가천대학교,대학,사립,경기,A그룹,2,7,1,5,15,1,0,0,0,1,0,5,0,4,9,0,0,0,0,0,2,12,1,9,24,1,0,0,0,1,3,12,1,9,25,0,0,240.5,46,487,94,11,5,5,4,21928,1,11,5,21928,0.699999988079071,727.5,16,10,28
2021,4,가톨릭관동대학교,대학,사립,강원,B그룹,2,2,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,2,0,3,7,0,0,0,0,0,2,2,0,3,7,115,13,243.5,45,281,25,4,0,0,3,7879,0.699999988079071,4,0,7879,0.5,639.5,4,7,58.099998474121094
2021,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,2,0,0,35,8,33,7,1,1,0,0,491,3.700000047683716,1,0,491,2,68,2,0,34
2021,6,가톨릭대학교,대학,사립,경기,A그룹,4,12,1,6,23,0,0,0,0,0,0,1.5,0,0,1.5,0,0,0,0,0,4,13.5,1,6,24.5,0,0,0,0,0,4,13.5,1,6,24.5,72,9,123.5,22,409,94,17,6,1.5,0,10444,2.200000047683716,17,1.5,10444,1.7999999523162842,604.5,24,1.5,23.700000762939453
2021,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,88.5,12,42,8,2,0,0,0,1865,1.100000023841858,2,0,1865,1.100000023841858,130.5,2,1,43.5
2021,8,감리교신학대학교,대학,사립,서울,C그룹,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,64,18,0,0,2,0,0,0,1448,1.399999976158142,2,0,1448,1.399999976158142,64,2,0,32
2021,9,강남대학교,대학,사립,경기,B그룹,0,4,0,4,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,5,9,0,0,0,0,0,0,4,0,5,9,0,0,272.5,79,0,0,4,4,0,1,6991,1.100000023841858,4,0,6991,0.6000000238418579,272.5,5,3,34.099998474121094
2021,10,강동대학교,전문대학,사립,충북,B그룹,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,2,0,0,0,0,0,0,0,1,1,0,3053,0.5,0,1,3053,0.30000001192092896,0,0,2,0
