연도,번호,학교명,학교유형,설립,지역,대학규모,직원-정규직-전담-1급 정사서,2급 정사서,준사서,미소지자,계,겸직-1급 정사서,2급 정사서,준사서,미소지자,계,비정규직-전담-1급 정사서,2급 정사서,준사서,미소지자,계,겸직-1급 정사서,2급 정사서,준사서,미소지자,계,합계-전담-1급 정사서,2급 정사서,준사서,미소지자,계,겸직-1급 정사서,2급 정사서,준사서,미소지자,계,계-1급 정사서,2급 정사서,준사서,미소지자,계,직원교육현황-대면교육-참여시간,참여인원,온라인 교육-참여시간,참여인원,"재학생 1,000명당 도서관 직원수-정규직-사서",비사서,비정규직-사서,비사서,재학생수(당해년도),"재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수-사서직원수 정규직",사서직원수 비정규직,재학생수(당해년도),"재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간-교육 참여시간,도서관직원수 정규직,도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간
2022,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,273,0.0,0.0,0.0,273,0.0,0.0,0.0,0.0,0.0
2022,2,가야대학교,대학,사립,경남,C그룹,1,1.0,0,0,2.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,1.0,0,0.0,2.0,0,0,0,0.0,0.0,1,1.0,0,0.0,2.0,33.5,6,52.0,8,2.0,0.0,0.0,0.0,1937,1.0,2.0,0.0,1937,1.0,85.5,2.0,0.0,42.79999923706055
2022,3,가천대학교,대학,사립,경기,A그룹,1,6.0,0,11,18.0,2,1,0,0.0,3.0,0,8.0,0,4.0,12.0,0,0,0,0,0,1,14.0,0,15.0,30.0,2,1,0,0.0,3.0,3,15.0,0,15.0,33.0,504.0,97,887.2999877929688,172,10.0,11.0,8.0,4.0,22003,1.2000000476837158,10.0,8.0,22003,0.800000011920929,1391.300048828125,16.0,9.0,55.70000076293945
2022,4,가톨릭관동대학교,대학,사립,강원,B그룹,2,1.0,0,3,6.0,0,0,0,0.0,0.0,0,0.0,0,6.0,6.0,0,0,0,0,0,2,1.0,0,9.0,12.0,0,0,0,0.0,0.0,2,1.0,0,9.0,12.0,188.0,55,347.0,62,3.0,3.0,0.0,6.0,7331,1.100000023841858,3.0,0.0,7331,0.4000000059604645,535.0,4.0,3.0,76.4000015258789
2022,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,0,0.0,0,0,0.0,0,1,0,0.0,1.0,0,0.0,0,1.0,1.0,0,0,0,0,0,0,0.0,0,1.0,1.0,0,1,0,0.0,1.0,0,1.0,0,1.0,2.0,9.0,1,14.0,3,1.0,0.0,0.0,1.0,468,3.200000047683716,1.0,0.0,468,2.0999999046325684,23.0,2.0,0.0,11.5
2022,6,가톨릭대학교,대학,사립,경기,A그룹,4,12.0,1,6,23.0,0,0,0,0.0,0.0,0,1.5,0,0.0,1.5,0,0,0,0,0,4,13.5,1,6.0,24.5,0,0,0,0.0,0.0,4,13.5,1,6.0,24.5,346.5,46,212.5,37,17.0,6.0,1.5,0.0,10504,2.200000047683716,17.0,1.5,10504,1.7999999523162842,559.0,23.0,1.5,22.799999237060547
2022,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,1,1.0,0,0,2.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,1.0,0,0.0,2.0,0,0,0,0.0,0.0,1,1.0,0,0.0,2.0,0.0,0,88.0,20,2.0,0.0,0.0,0.0,1850,1.100000023841858,2.0,0.0,1850,1.100000023841858,88.0,2.0,0.0,44.0
2022,8,감리교신학대학교,대학,사립,서울,C그룹,2,0.0,0,0,2.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,2,0.0,0,0.0,2.0,0,0,0,0.0,0.0,2,0.0,0,0.0,2.0,109.5,28,0.0,0,2.0,0.0,0.0,0.0,1267,1.600000023841858,2.0,0.0,1267,1.600000023841858,109.5,2.0,0.0,54.79999923706055
2022,9,강남대학교,대학,사립,경기,B그룹,0,4.0,0,3,7.0,0,0,0,0.0,0.0,0,1.0,0,0.0,1.0,0,0,0,0,0,0,5.0,0,3.0,8.0,0,0,0,0.0,0.0,0,5.0,0,3.0,8.0,196.5,40,0.0,0,4.0,3.0,1.0,0.0,6719,1.100000023841858,4.0,1.0,6719,0.699999988079071,196.5,8.0,1.0,21.799999237060547
2022,10,강동대학교,전문대학,사립,충북,B그룹,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,1.0,0,0.0,1.0,0,0,0,0,0,0,1.0,0,0.0,1.0,0,0,0,0.0,0.0,0,1.0,0,0.0,1.0,29.5,4,3.5,1,0.0,0.0,1.0,0.0,2972,0.30000001192092896,0.0,1.0,2972,0.30000001192092896,33.0,1.0,1.0,16.5
