연도,번호,학교명,학교유형,설립,지역,대학규모,직원_정규직_전담_1급 정사서,직원_정규직_전담_2급 정사서,직원_정규직_전담_준사서,직원_정규직_전담_미소지자,직원_정규직_전담_계,직원_정규직_겸직_1급 정사서,직원_정규직_겸직_2급 정사서,직원_정규직_겸직_준사서,직원_정규직_겸직_미소지자,직원_정규직_겸직_계,직원_비정규직_전담_1급 정사서,직원_비정규직_전담_2급 정사서,직원_비정규직_전담_준사서,직원_비정규직_전담_미소지자,직원_비정규직_전담_계,직원_비정규직_겸직_1급 정사서,직원_비정규직_겸직_2급 정사서,직원_비정규직_겸직_준사서,직원_비정규직_겸직_미소지자,직원_비정규직_겸직_계,직원_합계_전담_1급 정사서,직원_합계_전담_2급 정사서,직원_합계_전담_준사서,직원_합계_전담_미소지자,직원_합계_전담_계,직원_합계_겸직_1급 정사서,직원_합계_겸직_2급 정사서,직원_합계_겸직_준사서,직원_합계_겸직_미소지자,직원_합계_겸직_계,직원_합계_계_1급 정사서,직원_합계_계_2급 정사서,직원_합계_계_준사서,직원_합계_계_미소지자,직원_합계_계_계,직원교육현황_대면교육_참여시간,직원교육현황_대면교육_참여인원,직원교육현황_온라인 교육_참여시간,직원교육현황_온라인 교육_참여인원,"재학생 1,000명당 도서관 직원수_정규직_사서","재학생 1,000명당 도서관 직원수_정규직_비사서","재학생 1,000명당 도서관 직원수_비정규직_사서","재학생 1,000명당 도서관 직원수_비정규직_비사서","재학생 1,000명당 도서관 직원수_재학생수(당해년도)","재학생 1,000명당 도서관 직원수_재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수_사서직원수 정규직","재학생 1,000명당 사서 직원수_사서직원수 비정규직","재학생 1,000명당 사서 직원수_재학생수(당해년도)","재학생 1,000명당 사서 직원수_재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간_교육 참여시간,직원 1인당 평균 교육 참여 시간_도서관직원수 정규직,직원 1인당 평균 교육 참여 시간_도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간_직원 1인당 평균 교육 참여 시간
2024,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,292,0,0,0,0,0
2024,2,가야대학교,대학,사립,경남,C그룹,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,1,0,0,2,52,7,64,14,2,0,0,0,1734,1.2000000476837158,2,0,1734,1.2000000476837158,116,2,0,58
2024,3,가천대학교,대학,사립,경기,A그룹,2,8,0,8,18,0,0,0,0,0,0,8,0,6,14,0,0,0,0,0,2,16,0,14,32,0,0,0,0,0,2,16,0,14,32,334,79,1029,215,10,8,8,6,24831,1,10,8,24831,0.699999988079071,1363,16,14,45.400001525878906
2024,4,가톨릭관동대학교,대학,사립,강원,B그룹,2,1,0,1,4,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,2,1,0,6,9,0,0,0,0,0,2,1,0,6,9,183.5,105,950,148,3,1,0,5,6008,1,3,0,6008,0.5,1133.5,5,4,125.9000015258789
2024,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,14,4,44,10,1,0,0,0,465,2.200000047683716,1,0,465,2.200000047683716,58,1,1,29
2024,6,가톨릭대학교,대학,사립,경기,A그룹,4,11,1,7,23,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,4,12,1,7,24,0,1,0,0,1,4,13,1,7,25,406,65,195.6999969482422,48,17,7,1,0,11406,2.0999999046325684,17,1,11406,1.600000023841858,601.7000122070312,24,1.5,23.600000381469727
2024,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,1,2,0,0,3,74,13,105,25,3,0,0,0,1819,1.600000023841858,3,0,1819,1.600000023841858,179,2,0,89.5
2024,8,감리교신학대학교,대학,사립,서울,C그룹,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,67,12,0,0,2,0,0,0,1211,1.7000000476837158,2,0,1211,1.7000000476837158,67,2,0,33.5
2024,9,강남대학교,대학,사립,경기,B그룹,0,5,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,9,0,0,0,0,0,0,5,0,4,9,160.5,47,0,0,5,4,0,0,6600,1.2000000476837158,5,0,6600,0.800000011920929,160.5,6,0,26.799999237060547
2024,10,강동대학교,전문대학,사립,충북,B그룹,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,89,18,0,0,1,0,3272,0.20000000298023224,0,1,3272,0.30000001192092896,89,0,1,89
