ID,SNM,STYP,FND,RGN,USC,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
1,ICT폴리텍대학,전문대학,사립,경기,C그룹,69.5057383874854,69.5057383874854,69.48367824110143,69.48612,69.48612
2,가야대학교,대학,사립,경남,C그룹,67.76696395916562,67.63141290715589,67.73481598905511,67.73761,67.73911
3,가천대학교,대학,사립,경기,A그룹,69.90450311945882,69.63414478994655,69.99401365366808,69.95229,69.99442
4,가톨릭관동대학교,대학,사립,강원,B그룹,67.60065719954322,67.61687526058563,67.679518750444,67.68106,67.681984
5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,68.46042496325624,68.09772337348227,69.03004953932445,69.033516,69.03326
6,가톨릭대학교,대학,사립,경기,A그룹,71.96667366483305,72.14460020644361,72.50071018068245,72.32699,72.45213
7,가톨릭상지대학교,전문대학,사립,경북,C그룹,68.03273531699865,68.1272226978859,68.15099119215617,68.1564,68.1555
8,감리교신학대학교,대학,사립,서울,C그룹,65.9660752584123,66.42342619826296,66.19386448892017,66.17271,66.171074
9,강남대학교,대학,사립,경기,B그룹,68.26049959971198,68.46480637839771,68.71161198967351,68.70952,68.7088
10,강동대학교,전문대학,사립,충북,B그룹,68.37178187872455,68.37178187872453,69.36158225584926,69.35918,69.35913
11,강릉영동대학교,전문대학,사립,강원,B그룹,69.2763718170021,69.40292161787382,69.38086147148987,69.38217,69.391045
12,강서대학교,대학,사립,서울,C그룹,68.42083213094386,68.3903768815675,68.36919860928815,68.366776,68.36439
13,강원관광대학교,전문대학,사립,강원,C그룹,69.67082288225515,69.08310913505568,69.14338066163059,69.14347,69.14165
14,강원대학교,대학,국립,강원,A그룹,71.01302198567141,71.68409835083345,71.84201203769847,71.982994,71.963974
15,강원도립대학교,전문대학,공립,강원,C그룹,68.7120701210666,67.8051025255827,67.80444229093696,67.8053,67.80591
16,개신대학원대학교,대학원대학,사립,서울,-,68.49730381426357,68.0381255466201,68.70226209337801,68.71206,68.707184
17,거제대학교,전문대학,사립,경남,C그룹,68.26375787850341,67.73281497974997,68.78506984165585,68.77811,68.78001
18,건국대학교,대학,사립,서울,A그룹,71.03832808021431,70.96611556342668,71.31993817391438,71.39329,71.43704
19,건국대학교(글로컬),대학,사립,충북,B그룹,67.4663803837552,67.25255753147182,67.50178558561726,67.51166,67.51272
20,건동대학교,대학,사립,경북,C그룹,69.67082288225515,69.67082288225515,69.64876273587119,69.64938,69.649284
