YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR
2019,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,6439,241,6680,8961,246,9207,0,0,0,0,0,0,0,0,0,177,0,177,177,0,9207,306,30.100000381469727,177,9207,2.0
2019,2,가야대학교,대학,사립,경남,C그룹,110737,34639,145376,170995,36717,207712,3,5,46366,1,9,46366,1531,54,1585,6782,886,7668,6727,0,207712,2719,76.4000015258789,7668,207712,3.799999952316284
2019,3,가천대학교,대학,사립,경기,A그룹,360073,138123,498196,893740,181397,1075137,25,29,24994,2,56,24994,279,0,279,35620,7019,42639,27844,0,1075137,20507,52.400001525878906,42639,1075137,4.099999904632568
2019,4,가톨릭관동대학교,대학,사립,강원,B그룹,226824,165056,391880,517360,219238,736598,8,18,91482,7,33,91482,280,2,282,15837,5413,21250,14609,0,736598,8700,84.69999694824219,21250,736598,3.0
2019,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,37382,11536,48918,51893,11990,63883,0,13,14394,1,14,14394,85,1,86,3110,0,3110,2987,0,63883,517,123.5999984741211,3110,63883,5.099999904632568
2019,6,가톨릭대학교,대학,사립,경기,A그룹,412182,265130,677312,751179,400019,1151198,66,64,81763,6,136,81763,2286,468,2754,33347,6519,39866,27283,16269,1151198,10450,110.1999969482422,39866,1151198,3.5999999046325684
2019,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,63552,2941,66493,105563,4112,109675,5,4,9616,3,12,9616,140,0,140,2117,1237,3354,2447,0,109675,1844,59.5,3354,109675,3.200000047683716
2019,8,감리교신학대학교,대학,사립,서울,C그룹,58030,111112,169142,92855,128515,221370,4,7,67789,4,15,67789,76,22,98,65729,266,65995,65660,0,221370,1514,146.1999969482422,65995,221370,42.5
2019,9,강남대학교,대학,사립,경기,B그룹,269272,79998,349270,396262,124619,520881,7,8,38508,1,16,38508,98,76,174,4599,1248,5847,3320,0,520881,7127,73.0999984741211,5847,520881,1.100000023841858
2019,10,강동대학교,전문대학,사립,충북,B그룹,65237,38043,103280,99593,38085,137678,0,4,58904,1,5,58904,62,0,62,6322,13,6335,4635,0,137678,3906,35.20000076293945,6335,137678,4.800000190734863
2019,11,강릉영동대학교,전문대학,사립,강원,B그룹,50357,14122,64479,77237,14946,92183,1,1,24166,0,2,24166,156,0,156,3506,964,4470,3311,0,92183,2838,32.5,4470,92183,5.099999904632568
2019,12,강서대학교,대학,사립,서울,C그룹,66486,19749,86235,87339,21833,109172,4,11,13315,2,17,13315,118,30,148,2338,1143,3481,3119,0,109172,1582,69.0,3481,109172,3.299999952316284
2019,13,강원관광대학교,전문대학,사립,강원,C그룹,36284,234,36518,46054,270,46324,1,0,1819,0,1,1819,61,0,61,1265,199,1464,1255,0,46324,1168,39.70000076293945,1464,46324,3.299999952316284
2019,14,강원대학교,대학,국립,강원,A그룹,808384,185484,993868,1284895,324948,1609843,26,34,237773,0,60,237773,622,247,869,26522,4878,31400,26249,43,1609843,22571,71.30000305175781,31400,1609843,2.0
2019,15,강원도립대학교,전문대학,공립,강원,C그룹,44508,1999,46507,56095,2228,58323,0,0,5646,1,1,5646,73,0,73,1848,22,1870,1693,1316,58323,713,81.80000305175781,1870,58323,3.299999952316284
2019,16,개신대학원대학교,대학원대학,사립,서울,-,16956,1055,18011,23025,1641,24666,0,0,82,0,0,82,50,3,53,427,30,457,454,26,24666,179,137.8000030517578,457,24666,1.899999976158142
2019,17,거제대학교,전문대학,사립,경남,C그룹,51519,1689,53208,67563,1798,69361,2,4,7397,0,6,7397,93,0,93,1849,140,1989,1974,0,69361,1271,54.59999847412109,1989,69361,3.0
2019,18,건국대학교,대학,사립,서울,A그룹,516236,179009,695245,1067046,254136,1321182,26,28,23104,1,55,23104,787,199,986,28163,5748,33911,19234,31628,1321182,20313,65.0,33911,1321182,2.5999999046325684
2019,19,건국대학교(글로컬),대학,사립,충북,B그룹,294684,65849,360533,518375,151356,669731,7,19,64903,4,30,64903,195,19,214,17791,634,18425,10326,38176,669731,8108,82.5999984741211,18425,669731,2.799999952316284
2019,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2019,21,건신대학원대학교,대학원대학,사립,대전,-,11495,3317,14812,16617,4838,21455,2,0,0,0,2,0,48,6,54,336,14,350,349,0,21455,136,157.8000030517578,350,21455,1.7000000476837158
2019,22,건양대학교,대학,사립,충남,B그룹,184496,35669,220165,314570,136285,450855,11,14,19410,0,25,19410,0,0,0,13818,1265,15083,10957,333,450855,8189,55.09999847412109,15083,450855,3.5
2019,23,경기과학기술대학교,전문대학,사립,경기,A그룹,60304,47453,107757,85626,47647,133273,2,1,48665,0,3,48665,122,31,153,4422,181,4603,4227,0,133273,3988,33.400001525878906,4603,133273,3.5999999046325684
2019,24,경기대학교,대학,사립,경기,A그룹,606398,85051,691449,1121498,168032,1289530,24,17,41771,5,46,41771,692,6,698,12084,4639,16723,13487,0,1289530,15761,81.80000305175781,16723,1289530,1.2999999523162842
2019,25,경남대학교,대학,사립,경남,A그룹,492709,166184,658893,775084,194433,969517,19,13,104103,0,32,104103,364,107,471,34206,2653,36859,29431,0,969517,13081,74.0999984741211,36859,969517,4.0
2019,26,경남도립거창대학,전문대학,공립,경남,C그룹,28983,849,29832,42825,906,43731,1,0,2624,0,1,2624,17,0,17,1024,0,1024,852,0,43731,881,49.59999847412109,1024,43731,2.400000095367432
2019,27,경남도립남해대학,전문대학,공립,경남,C그룹,32965,614,33579,40428,654,41082,0,0,108,0,0,108,40,0,40,1261,0,1261,1090,41,41082,773,53.09999847412109,1261,41082,3.200000047683716
2019,28,경남정보대학교,전문대학,사립,부산,A그룹,121218,6205,127423,212117,7364,219481,2,2,12385,0,4,12385,135,1,136,8345,904,9249,4714,0,219481,6720,32.70000076293945,9249,219481,4.400000095367432
