Year,ID,SchName,SchType,FoundType,Region,UnivScale,BookRes_TitleCount_DomBook,BookRes_TitleCount_ForBook,BookRes_TitleCount_TotalSum,BookRes_BookCount_DomBook,BookRes_BookCount_ForBook,BookRes_BookCount_TotalSum,ERes_EJournal_Package,ERes_WebDB_Package,ERes_SubEBook_TitleCount,ERes_ELearnVideo_Package,ERes_Total_Package,ERes_Total_TitleCount,Serials_Domestic,Serials_Foreign,Serials_Total,AnnualHoldChg_AnnualBookInc_Buy,AnnualHoldChg_AnnualBookInc_Donation,AnnualHoldChg_AnnualBookInc_Total,AnnualHoldChg_AnnualTitleInc,AnnualHoldChg_AnnualBookRm,BooksPerSt_BooksOwned,BooksPerSt_StCountPrev,BooksPerSt_BooksPerSt,HoldGrowRate_AnnualHoldBookCount,HoldGrowRate_BooksOwned,HoldGrowRate_HoldGrowRate
2022,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,6893,241,7134,9440,246,9686,0,0,0,0,0,0,0,0,0,138,0,138,120,0,9686,261,37.09999847412109,138,9686,1.399999976158142
2022,2,가야대학교,대학,사립,경남,C그룹,122251,45847,168098,184688,47998,232686,14,9,109160,0,23,109160,1517,55,1572,5139,636,5775,5242,0,232686,2121,109.6999969482422,5775,232686,2.5
2022,3,가천대학교,대학,사립,경기,A그룹,394245,157348,551593,965192,202477,1167669,37,40,82389,7,84,82389,6,0,6,24191,5712,29903,22629,0,1167669,21928,53.29999923706055,29903,1167669,2.5999999046325684
2022,4,가톨릭관동대학교,대학,사립,강원,B그룹,248768,175638,424406,529668,224590,754258,17,20,163685,4,41,163685,348,2,350,11988,4864,16852,12984,18705,754258,7879,95.6999969482422,16852,754258,2.299999952316284
2022,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,38552,11536,50088,53912,11987,65899,14,9,10196,0,23,10196,36,1,37,737,8,745,252,0,65899,491,134.1999969482422,745,65899,1.100000023841858
2022,6,가톨릭대학교,대학,사립,경기,A그룹,444554,260607,705161,741972,411845,1153817,96,68,463407,5,169,463407,974,226,1200,21391,3161,24552,19942,44232,1153817,10444,110.5,24552,1153817,2.200000047683716
2022,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,70165,2989,73154,112717,4160,116877,12,11,62937,1,24,62937,149,0,149,3162,49,3211,2726,1490,116877,1865,62.70000076293945,3211,116877,2.799999952316284
2022,8,감리교신학대학교,대학,사립,서울,C그룹,64820,119066,183886,100441,136151,236592,10,12,76100,4,26,76100,50,17,67,3666,570,4236,4056,957,236592,1448,163.39999389648438,4236,236592,1.7999999523162842
2022,9,강남대학교,대학,사립,경기,B그룹,276586,80003,356589,423210,140908,564118,17,17,54348,1,35,54348,104,43,147,9413,549,9962,5228,0,564118,6991,80.69999694824219,9962,564118,1.7999999523162842
2022,10,강동대학교,전문대학,사립,충북,B그룹,113236,1314,114550,138853,1399,140252,12,11,118538,0,23,118538,25,0,25,2694,250,2944,2881,0,140252,3053,45.900001525878906,2944,140252,2.0999999046325684
2022,11,강릉영동대학교,전문대학,사립,강원,B그룹,55143,14122,69265,84433,14946,99379,1,1,80500,0,2,80500,145,0,145,1477,0,1477,1070,0,99379,2443,40.70000076293945,1477,99379,1.5
2022,12,강서대학교,대학,사립,서울,C그룹,73126,20504,93630,95265,22668,117933,15,17,72787,3,35,72787,125,30,155,1683,644,2327,1862,1,117933,1840,64.0999984741211,2327,117933,2.0
2022,13,강원관광대학교,전문대학,사립,강원,C그룹,38903,235,39138,48029,272,48301,1,0,2237,0,1,2237,0,0,0,0,0,0,0,0,48301,597,80.9000015258789,0,48301,0.0
2022,14,강원대학교,대학,국립,강원,A그룹,830744,197075,1027819,1275458,315893,1591351,42,50,148777,0,92,148777,566,181,747,37137,3993,41130,38107,62255,1591351,21898,72.69999694824219,41130,1591351,2.700000047683716
2022,15,강원도립대학교,전문대학,공립,강원,C그룹,48678,1933,50611,59554,2149,61703,6,6,63596,1,13,63596,55,0,55,1642,289,1931,1626,2176,61703,579,106.5999984741211,1931,61703,3.200000047683716
2022,16,개신대학원대학교,대학원대학,사립,서울,-,17749,1060,18809,23896,1648,25544,2,0,82,0,2,82,45,1,46,278,17,295,266,0,25544,137,186.5,295,25544,1.2000000476837158
2022,17,거제대학교,전문대학,사립,경남,C그룹,55464,1715,57179,71420,1823,73243,1,1,3114,0,2,3114,90,0,90,1330,231,1561,1516,1173,73243,1066,68.69999694824219,1561,73243,2.200000047683716
2022,18,건국대학교,대학,사립,서울,A그룹,510792,182548,693340,1087761,254568,1342329,34,33,76223,1,68,76223,574,168,742,20058,4666,24724,13721,35952,1342329,20271,66.19999694824219,24724,1342329,1.899999976158142
2022,19,건국대학교(글로컬),대학,사립,충북,B그룹,288575,113558,402133,576226,148440,724666,18,23,149199,2,43,149199,189,28,217,15965,1534,17499,9035,14086,724666,7431,97.5,17499,724666,2.5
2022,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2022,21,건신대학원대학교,대학원대학,사립,대전,-,12061,3464,15525,17666,5035,22701,2,0,39,0,2,39,8,0,8,113,446,559,483,0,22701,166,136.8000030517578,559,22701,2.5
2022,22,건양대학교,대학,사립,충남,B그룹,225191,44604,269795,355430,137265,492695,22,17,86922,0,39,86922,0,0,0,11214,436,11650,10687,909,492695,7336,67.19999694824219,11650,492695,2.400000095367432
2022,23,경기과학기술대학교,전문대학,사립,경기,A그룹,92924,48917,141841,109144,49192,158336,13,7,77459,0,20,77459,49,0,49,4404,50,4454,3998,3,158336,4276,37.0,4454,158336,2.900000095367432
2022,24,경기대학교,대학,사립,경기,A그룹,635870,92156,728026,1159806,175197,1335003,29,28,103693,7,64,103693,491,6,497,9926,3536,13462,10965,0,1335003,16112,82.9000015258789,13462,1335003,1.0
2022,25,경남대학교,대학,사립,경남,A그룹,530748,188423,719171,797309,216658,1013967,26,21,165915,0,47,165915,364,154,518,24521,2572,27093,25186,28875,1013967,11943,84.9000015258789,27093,1013967,2.700000047683716
2022,26,경남도립거창대학,전문대학,공립,경남,C그룹,30668,754,31422,44759,832,45591,1,1,3292,0,2,3292,19,0,19,1238,0,1238,994,0,45591,804,56.70000076293945,1238,45591,2.799999952316284
2022,27,경남도립남해대학,전문대학,공립,경남,C그룹,31246,619,31865,35960,662,36622,0,0,583,0,0,583,60,0,60,1358,19,1377,1363,1682,36622,728,50.29999923706055,1377,36622,3.900000095367432
2022,28,경남정보대학교,전문대학,사립,부산,A그룹,136536,6216,142752,236917,7407,244324,0,4,20585,0,4,20585,118,0,118,6169,596,6765,4730,0,244324,6030,40.5,6765,244324,2.799999952316284
2022,29,경동대학교,대학,사립,강원,B그룹,257628,19526,277154,357564,29347,386911,15,10,41369,2,27,41369,9,3,12,19586,6954,26540,22757,0,386911,7549,51.29999923706055,26540,386911,7.400000095367432
2022,30,경민대학교,전문대학,사립,경기,B그룹,85060,5269,90329,129576,6125,135701,5,5,12380,2,12,12380,46,7,53,3391,269,3660,2264,3188,135701,3845,35.29999923706055,3660,135701,2.799999952316284
2022,31,경복대학교,전문대학,사립,경기,A그룹,98733,25138,123871,130051,25475,155526,0,3,54831,0,3,54831,25,4,29,11786,200,11986,9414,0,155526,6208,25.100000381469727,11986,155526,8.399999618530273
