Year,ID,SchName,SchType,FoundType,Region,UnivScale,Facility_LibAreaSqm,Facility_ReadSeat_TotSeats,Facility_Equip_StaffPCs,Facility_Equip_UserPCs,Facility_Equip_TotalPCs,AreaPerSt_Area,AreaPerSt_StCountCurr,AreaPerSt_AreaPerSt
2014,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,216,80,1,0,1,216,325,0.699999988079071
2014,2,가야대학교,대학,사립,경남,C그룹,3729,819,6,32,38,3729,2890,1.2999999523162842
2014,3,가천대학교,대학,사립,경기,A그룹,12315,3192,31,116,147,12315,21016,0.6000000238418579
2014,4,가톨릭관동대학교,대학,사립,강원,B그룹,8622,1517,35,83,118,8622,9993,0.8999999761581421
2014,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,960,246,6,28,34,960,569,1.7000000476837158
2014,6,가톨릭대학교,대학,사립,경기,A그룹,17684,3174,60,202,262,17684,11016,1.600000023841858
2014,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,3339,476,8,11,19,3339,2066,1.600000023841858
2014,8,감리교신학대학교,대학,사립,서울,C그룹,2542,377,8,33,41,2542,1576,1.600000023841858
2014,9,강남대학교,대학,사립,경기,B그룹,4932,801,14,39,53,4932,7910,0.6000000238418579
2014,10,강동대학교,전문대학,사립,충북,B그룹,1050,437,4,8,12,1050,4368,0.2000000029802322
2014,11,강릉영동대학교,전문대학,사립,강원,B그룹,2521,600,3,66,69,2521,3057,0.800000011920929
2014,12,강서대학교,대학,사립,서울,C그룹,661,160,6,11,17,661,1592,0.4000000059604645
2014,13,강원관광대학교,전문대학,사립,강원,C그룹,1555,228,2,21,23,1555,1322,1.2000000476837158
2014,14,강원대학교,대학,국립,강원,A그룹,25223,3574,63,335,398,25223,25030,1.0
2014,15,강원도립대학교,전문대학,공립,강원,C그룹,1735,140,4,10,14,1735,973,1.7999999523162842
2014,16,개신대학원대학교,대학원대학,사립,서울,-,222,50,2,8,10,222,163,1.399999976158142
2014,17,거제대학교,전문대학,사립,경남,C그룹,1031,229,4,8,12,1031,1631,0.6000000238418579
2014,18,건국대학교,대학,사립,서울,A그룹,25077,4095,59,270,329,25077,20328,1.2000000476837158
2014,19,건국대학교(글로컬),대학,사립,충북,B그룹,6627,1132,26,122,148,6627,9196,0.699999988079071
2014,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0.0
2014,21,건신대학원대학교,대학원대학,사립,대전,-,446,70,3,5,8,446,161,2.799999952316284
2014,22,건양대학교,대학,사립,충남,B그룹,7430,1811,20,130,150,7430,8863,0.800000011920929
2014,23,경기과학기술대학교,전문대학,사립,경기,A그룹,3118,762,7,80,87,3118,4523,0.699999988079071
2014,24,경기대학교,대학,사립,경기,A그룹,13909,2282,152,104,256,13909,17227,0.800000011920929
2014,25,경남대학교,대학,사립,경남,A그룹,9988,1705,36,89,125,9988,14624,0.699999988079071
2014,26,경남도립거창대학,전문대학,공립,경남,C그룹,420,180,4,15,19,420,995,0.4000000059604645
2014,27,경남도립남해대학,전문대학,공립,경남,C그룹,759,152,3,24,27,759,950,0.800000011920929
2014,28,경남정보대학교,전문대학,사립,부산,A그룹,7791,1146,13,100,113,7791,7321,1.100000023841858
2014,29,경동대학교,대학,사립,강원,B그룹,9578,1427,7,84,91,9578,5801,1.7000000476837158
2014,30,경민대학교,전문대학,사립,경기,B그룹,1596,205,9,26,35,1596,4967,0.3000000119209289
2014,31,경복대학교,전문대학,사립,경기,A그룹,3252,934,8,68,76,3252,6483,0.5
2014,32,경북과학대학교,전문대학,사립,경북,C그룹,924,262,2,22,24,924,1841,0.5
2014,33,경북대학교,대학,국립,대구,A그룹,35961,5424,154,461,615,35961,30971,1.2000000476837158
2014,34,경북보건대학교,전문대학,사립,경북,C그룹,726,242,2,20,22,726,1307,0.6000000238418579
2014,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0.0
2014,36,경북전문대학교,전문대학,사립,경북,B그룹,1157,314,4,14,18,1157,2666,0.4000000059604645
2014,37,경상국립대학교,대학,국립,경남,A그룹,34985,4120,68,309,377,34985,23945,1.5
2014,38,경성대학교,대학,사립,부산,A그룹,11670,1696,35,114,149,11670,14514,0.800000011920929
2014,39,경안대학원대학교,대학원대학,사립,경북,-,95,33,0,0,0,95,58,1.600000023841858
2014,40,경운대학교,대학,사립,경북,C그룹,5911,1380,8,140,148,5911,5387,1.100000023841858
2014,41,경인교육대학교,대학,국립,인천,C그룹,6663,1633,32,189,221,6663,4440,1.5
2014,42,경인여자대학교,전문대학,사립,인천,B그룹,1121,364,8,14,22,1121,4835,0.2000000029802322
2014,43,경일대학교,대학,사립,경북,B그룹,7388,1469,12,70,82,7388,7620,1.0
2014,44,경찰대학,기타,기타,충남,-,2046,231,9,10,19,2046,474,4.300000190734863
2014,45,경희대학교,대학,사립,서울,A그룹,35687,6618,133,358,491,35687,32137,1.100000023841858
2014,46,계명대학교,대학,사립,대구,A그룹,25512,3338,86,408,494,25512,25911,1.0
2014,47,계명문화대학교,전문대학,사립,대구,A그룹,5407,754,14,101,115,5407,5332,1.0
2014,48,계약신학대학원대학교,대학원대학,사립,경기,-,100,66,2,7,9,100,66,1.5
2014,49,계원예술대학교,전문대학,사립,경기,B그룹,2870,652,8,29,37,2870,2927,1.0
2014,50,고려대학교,대학,사립,서울,A그룹,54594,8803,211,733,944,54594,29387,1.899999976158142
2014,51,고려대학교(세종),대학,사립,세종,B그룹,8961,1469,33,101,134,8961,8017,1.100000023841858
2014,52,고려사이버대학교,대학,사립,서울,A그룹,0,0,2,3,5,0,9867,0.0
2014,53,고신대학교,대학,사립,부산,C그룹,7156,1892,30,62,92,7156,5114,1.399999976158142
2014,54,공군사관학교,기타,기타,충북,-,3618,352,22,16,38,3618,634,5.699999809265137
2014,55,공주교육대학교,대학,국립,충남,C그룹,6537,841,10,56,66,6537,2136,3.0999999046325684
2014,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,0,0,0,0,0,0,924,0.0
2014,57,광신대학교,대학,사립,광주,C그룹,2715,351,5,26,31,2715,982,2.799999952316284
2014,58,광양보건대학교,전문대학,사립,전남,C그룹,1308,245,2,2,4,1308,1984,0.699999988079071
2014,59,광운대학교,대학,사립,서울,B그룹,8250,1601,32,88,120,8250,10605,0.800000011920929
2014,60,광주가톨릭대학교,대학,사립,전남,C그룹,2883,180,6,23,29,2883,111,26.0
2014,61,광주과학기술원,대학,국립,광주,C그룹,0,0,0,0,0,0,0,0.0
2014,62,광주교육대학교,대학,국립,광주,C그룹,5612,664,10,48,58,5612,2279,2.5
2014,63,광주대학교,대학,사립,광주,B그룹,17269,1969,17,48,65,17269,8073,2.0999999046325684
2014,64,광주보건대학교,전문대학,사립,광주,B그룹,3830,1110,8,17,25,3830,4190,0.8999999761581421
2014,65,광주여자대학교,대학,사립,광주,C그룹,6280,1095,16,96,112,6280,4386,1.399999976158142
2014,66,구미대학교,전문대학,사립,경북,A그룹,1113,281,6,77,83,1113,5498,0.2000000029802322
2014,67,구세군사관대학원대학교,대학원대학,사립,경기,-,240,24,2,2,4,240,24,10.0
2014,68,국군간호사관학교,기타,기타,대전,-,1242,210,6,8,14,1242,321,3.900000095367432
2014,69,국립강릉원주대학교,대학,국립,강원,B그룹,17794,2127,44,201,245,17794,8932,2.0
2014,70,국립경국대학교,대학,국립,경북,B그룹,12836,1762,24,144,168,12836,8422,1.5
2014,71,국립공주대학교,대학,국립,충남,A그룹,22764,2720,46,176,222,22764,17185,1.2999999523162842
2014,72,국립군산대학교,대학,국립,전북,B그룹,12875,1613,31,102,133,12875,8879,1.5
2014,73,국립금오공과대학교,대학,국립,경북,B그룹,11350,1633,21,81,102,11350,7466,1.5
2014,74,국립목포대학교,대학,국립,전남,B그룹,10764,1288,20,61,81,10764,9363,1.100000023841858
2014,75,국립목포해양대학교,대학,국립,전남,C그룹,2414,561,10,13,23,2414,2638,0.8999999761581421
2014,76,국립부경대학교,대학,국립,부산,A그룹,22654,4710,45,120,165,22654,19944,1.100000023841858
