YR,ID,SNM,STYP,FND,RGN,USC,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_SPC,FACLT_EQP_UPC,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS
2015,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,216,80,1,0,1,216,302,0.699999988079071
2015,2,가야대학교,대학,사립,경남,C그룹,3729,825,6,32,38,3729,2814,1.2999999523162842
2015,3,가천대학교,대학,사립,경기,A그룹,12345,3223,31,117,148,12345,21018,0.6000000238418579
2015,4,가톨릭관동대학교,대학,사립,강원,B그룹,8622,1517,35,83,118,8622,9686,0.8999999761581421
2015,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,1727,246,6,23,29,1727,579,3.0
2015,6,가톨릭대학교,대학,사립,경기,A그룹,17684,3191,66,203,269,17684,10899,1.600000023841858
2015,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,3339,480,8,11,19,3339,2055,1.600000023841858
2015,8,감리교신학대학교,대학,사립,서울,C그룹,2542,377,8,33,41,2542,1550,1.600000023841858
2015,9,강남대학교,대학,사립,경기,B그룹,4924,801,15,39,54,4924,7719,0.6000000238418579
2015,10,강동대학교,전문대학,사립,충북,B그룹,1055,420,4,8,12,1055,4198,0.3000000119209289
2015,11,강릉영동대학교,전문대학,사립,강원,B그룹,2521,600,3,66,69,2521,3072,0.800000011920929
2015,12,강서대학교,대학,사립,서울,C그룹,840,160,6,11,17,840,1631,0.5
2015,13,강원관광대학교,전문대학,사립,강원,C그룹,1555,228,2,21,23,1555,1367,1.100000023841858
2015,14,강원대학교,대학,국립,강원,A그룹,25223,3574,63,335,398,25223,24868,1.0
2015,15,강원도립대학교,전문대학,공립,강원,C그룹,1735,140,2,10,12,1735,900,1.899999976158142
2015,16,개신대학원대학교,대학원대학,사립,서울,-,222,46,2,6,8,222,108,2.0999999046325684
2015,17,거제대학교,전문대학,사립,경남,C그룹,1031,229,4,8,12,1031,1684,0.6000000238418579
2015,18,건국대학교,대학,사립,서울,A그룹,25077,4266,59,270,329,25077,19999,1.2999999523162842
2015,19,건국대학교(글로컬),대학,사립,충북,B그룹,6627,1278,24,130,154,6627,8959,0.699999988079071
2015,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0.0
