YR,ID,SNM,STYP,FND,RGN,USC,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_SPC,FACLT_EQP_UPC,FACLT_EQP_TPC,APS_AR,APS_SCP,APS_APS
2017,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,403,80,1,0,1,403,311,1.2999999523162842
2017,2,가야대학교,대학,사립,경남,C그룹,3318,830,6,32,38,3318,2718,1.2000000476837158
2017,3,가천대학교,대학,사립,경기,A그룹,12577,3228,31,117,148,12577,20737,0.6000000238418579
2017,4,가톨릭관동대학교,대학,사립,강원,B그룹,8226,1388,24,71,95,8226,9332,0.8999999761581421
2017,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,1727,251,6,24,30,1727,536,3.200000047683716
2017,6,가톨릭대학교,대학,사립,경기,A그룹,17684,3199,65,202,267,17684,10881,1.600000023841858
2017,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,3339,444,10,37,47,3339,1975,1.7000000476837158
2017,8,감리교신학대학교,대학,사립,서울,C그룹,2542,377,8,33,41,2542,1576,1.600000023841858
2017,9,강남대학교,대학,사립,경기,B그룹,5233,961,20,80,100,5233,7325,0.699999988079071
2017,10,강동대학교,전문대학,사립,충북,B그룹,1055,420,4,8,12,1055,4027,0.3000000119209289
2017,11,강릉영동대학교,전문대학,사립,강원,B그룹,2521,600,3,16,19,2521,3008,0.800000011920929
2017,12,강서대학교,대학,사립,서울,C그룹,821,152,6,10,16,821,1604,0.5
2017,13,강원관광대학교,전문대학,사립,강원,C그룹,1092,228,2,21,23,1092,1351,0.800000011920929
2017,14,강원대학교,대학,국립,강원,A그룹,28821,3200,68,322,390,28821,23947,1.2000000476837158
2017,15,강원도립대학교,전문대학,공립,강원,C그룹,1735,188,3,10,13,1735,894,1.899999976158142
2017,16,개신대학원대학교,대학원대학,사립,서울,-,221,38,2,7,9,221,134,1.600000023841858
2017,17,거제대학교,전문대학,사립,경남,C그룹,1464,304,4,19,23,1464,1566,0.8999999761581421
2017,18,건국대학교,대학,사립,서울,A그룹,24695,3675,59,264,323,24695,19902,1.2000000476837158
2017,19,건국대학교(글로컬),대학,사립,충북,B그룹,7463,1644,26,136,162,7463,8761,0.8999999761581421
2017,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0.0
2017,21,건신대학원대학교,대학원대학,사립,대전,-,446,60,3,5,8,446,148,3.0
2017,22,건양대학교,대학,사립,충남,B그룹,9895,1774,18,174,192,9895,8593,1.2000000476837158
2017,23,경기과학기술대학교,전문대학,사립,경기,A그룹,3118,447,8,87,95,3118,4483,0.699999988079071
2017,24,경기대학교,대학,사립,경기,A그룹,13909,2363,57,195,252,13909,16377,0.800000011920929
2017,25,경남대학교,대학,사립,경남,A그룹,13303,3023,37,152,189,13303,13489,1.0
2017,26,경남도립거창대학,전문대학,공립,경남,C그룹,823,180,4,15,19,823,889,0.8999999761581421
2017,27,경남도립남해대학,전문대학,공립,경남,C그룹,759,128,3,24,27,759,848,0.8999999761581421
2017,28,경남정보대학교,전문대학,사립,부산,A그룹,7791,1100,13,99,112,7791,6853,1.100000023841858
2017,29,경동대학교,대학,사립,강원,B그룹,10300,1558,6,94,100,10300,7240,1.399999976158142
2017,30,경민대학교,전문대학,사립,경기,B그룹,1596,224,9,19,28,1596,4661,0.3000000119209289
2017,31,경복대학교,전문대학,사립,경기,A그룹,3122,900,8,111,119,3122,6350,0.5
2017,32,경북과학대학교,전문대학,사립,경북,C그룹,1014,252,2,20,22,1014,1902,0.5
2017,33,경북대학교,대학,국립,대구,A그룹,35961,5414,106,330,436,35961,30296,1.2000000476837158
2017,34,경북보건대학교,전문대학,사립,경북,C그룹,726,260,2,21,23,726,1300,0.6000000238418579
2017,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0.0
2017,36,경북전문대학교,전문대학,사립,경북,B그룹,3282,314,5,14,19,3282,2562,1.2999999523162842
2017,37,경상국립대학교,대학,국립,경남,A그룹,34812,3516,74,299,373,34812,22867,1.5
2017,38,경성대학교,대학,사립,부산,A그룹,13142,1855,34,126,160,13142,13468,1.0
2017,39,경안대학원대학교,대학원대학,사립,경북,-,118,33,1,1,2,118,73,1.600000023841858
2017,40,경운대학교,대학,사립,경북,C그룹,5912,1282,9,67,76,5912,5066,1.2000000476837158
2017,41,경인교육대학교,대학,국립,인천,C그룹,7926,1573,31,192,223,7926,4246,1.899999976158142
2017,42,경인여자대학교,전문대학,사립,인천,B그룹,2092,410,11,46,57,2092,4894,0.4000000059604645
2017,43,경일대학교,대학,사립,경북,B그룹,7388,1532,12,126,138,7388,7373,1.0
2017,44,경찰대학,기타,기타,충남,-,5497,260,16,36,52,5497,0,0.0
2017,45,경희대학교,대학,사립,서울,A그룹,38026,6465,129,365,494,38026,33327,1.100000023841858
2017,46,계명대학교,대학,사립,대구,A그룹,26094,3501,99,428,527,26094,24537,1.100000023841858
2017,47,계명문화대학교,전문대학,사립,대구,A그룹,5598,852,11,64,75,5598,5179,1.100000023841858
2017,48,계약신학대학원대학교,대학원대학,사립,경기,-,402,58,3,6,9,402,68,5.900000095367432
2017,49,계원예술대학교,전문대학,사립,경기,B그룹,3017,652,8,29,37,3017,2856,1.100000023841858
2017,50,고려대학교,대학,사립,서울,A그룹,49144,7992,197,616,813,49144,29540,1.7000000476837158
2017,51,고려대학교(세종),대학,사립,세종,B그룹,8913,1306,33,112,145,8913,7768,1.100000023841858
2017,52,고려사이버대학교,대학,사립,서울,A그룹,0,0,2,1,3,0,9671,0.0
2017,53,고신대학교,대학,사립,부산,C그룹,7413,1897,26,48,74,7413,5064,1.5
2017,54,공군사관학교,기타,기타,충북,-,3490,0,21,11,32,3490,0,0.0
2017,55,공주교육대학교,대학,국립,충남,C그룹,6537,841,10,45,55,6537,2024,3.200000047683716
2017,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,0,0,0,0,0,0,1235,0.0
2017,57,광신대학교,대학,사립,광주,C그룹,2715,351,5,26,31,2715,949,2.900000095367432
2017,58,광양보건대학교,전문대학,사립,전남,C그룹,1308,310,2,6,8,1308,1520,0.8999999761581421
2017,59,광운대학교,대학,사립,서울,B그룹,10899,1584,35,97,132,10899,9807,1.100000023841858
2017,60,광주가톨릭대학교,대학,사립,전남,C그룹,2883,184,6,18,24,2883,106,27.200000762939453
2017,61,광주과학기술원,대학,국립,광주,C그룹,9052,627,18,46,64,9052,1922,4.699999809265137
2017,62,광주교육대학교,대학,국립,광주,C그룹,5612,726,10,50,60,5612,2190,2.5999999046325684
2017,63,광주대학교,대학,사립,광주,B그룹,15950,1929,20,47,67,15950,7747,2.0999999046325684
2017,64,광주보건대학교,전문대학,사립,광주,B그룹,3830,1126,8,19,27,3830,3968,1.0
2017,65,광주여자대학교,대학,사립,광주,C그룹,6280,1095,16,96,112,6280,4114,1.5
2017,66,구미대학교,전문대학,사립,경북,A그룹,1529,394,6,94,100,1529,5695,0.3000000119209289
2017,67,구세군사관대학원대학교,대학원대학,사립,경기,-,200,24,2,3,5,200,41,4.900000095367432
2017,68,국군간호사관학교,기타,기타,대전,-,1242,88,5,9,14,1242,0,0.0
2017,69,국립강릉원주대학교,대학,국립,강원,B그룹,22222,1783,37,152,189,22222,8685,2.5999999046325684
2017,70,국립경국대학교,대학,국립,경북,B그룹,12421,1706,25,183,208,12421,7914,1.600000023841858
2017,71,국립공주대학교,대학,국립,충남,A그룹,21423,3717,52,132,184,21423,16672,1.2999999523162842
2017,72,국립군산대학교,대학,국립,전북,B그룹,12875,1628,31,107,138,12875,8296,1.600000023841858
2017,73,국립금오공과대학교,대학,국립,경북,B그룹,11316,1678,18,102,120,11316,7131,1.600000023841858
2017,74,국립목포대학교,대학,국립,전남,B그룹,10764,1330,22,52,74,10764,8513,1.2999999523162842
2017,75,국립목포해양대학교,대학,국립,전남,C그룹,4810,556,9,61,70,4810,2748,1.7999999523162842
2017,76,국립부경대학교,대학,국립,부산,A그룹,22549,4405,50,120,170,22549,19611,1.100000023841858
2017,77,국립순천대학교,대학,국립,전남,B그룹,11878,1866,21,79,100,11878,8341,1.399999976158142
2017,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,210,56,1,18,19,210,66,3.200000047683716
