Year,ID,SchName,SchType,FoundType,Region,UnivScale,Settle_UnivSettle,Settle_BookCost,Settle_SerialsCost,Settle_NonBookCost,Settle_ECost_EJournal,Settle_ECost_WebDB,Settle_ECost_SubEBook,Settle_ECost_OthERes,Settle_MatCostTot,Budget_UnivBgt,Budget_BookCost,Budget_SerialsCost,Budget_NonBookCost,Budget_ECost_EJournal,Budget_ECost_WebDB,Budget_ECost_SubEBook,Budget_ECost_OthERes,Budget_MatCostTot,CostPerStSettle_MatCost,CostPerStSettle_StCountCurr,CostPerStSettle_CostPerSt,LibBgtRt_MatCost,LibBgtRt_UnivSettle,LibBgtRt_BgtRtSettle,BgtGrowth3Y_MatCostSettle_2013A,BgtGrowth3Y_MatCostSettle_2014B,BgtGrowth3Y_MatCostSettle_2015C,BgtGrowth3Y_BgtGrowth3Y
2015,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,7583238000,0,0,0,0,0,0,0,0,9319623000,0,0,0,0,3000000,0,0,3000000,0,302,0.0,0,7583238000,0.0,1831293,2278680,0,-37.8
2015,2,가야대학교,대학,사립,경남,C그룹,29610873000,52415000,37644703,17530390,6724000,6956077,0,16733775,138003945,31440516000,67000000,25000000,10000000,15000000,15000000,0,15000000,147000000,138003945,2814,49041.9,138003945,29610873000,0.5,150219200,146103210,138003945,-4.1
2015,3,가천대학교,대학,사립,경기,A그룹,252035003000,458970945,470910,39225350,1272012540,771023335,0,105332620,2647035700,294754564000,451300000,1200000,57000000,1410000000,621123000,0,145700000,2686323000,2647035700,21018,125941.4,2647035700,252035003000,1.1,1616203021,2025673140,2647035700,28.0
2015,4,가톨릭관동대학교,대학,사립,강원,B그룹,273154994000,209489195,88934520,18117650,218085300,132399044,0,50613796,717639505,120519381000,215000000,100100000,18500000,255440000,153656000,0,87287000,829983000,717639505,9686,74090.4,717639505,273154994000,0.3,698922539,694071747,717639505,1.4
2015,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,9601888000,25454961,3201000,0,8513887,39330152,0,16500000,93000000,9026851000,23250000,2900000,500000,8750000,41100000,0,16500000,93000000,93000000,579,160621.8,93000000,9601888000,1.0,74547805,74221283,93000000,12.4
2015,6,가톨릭대학교,대학,사립,경기,A그룹,212394445000,539772383,138996020,27787350,2504228374,595801552,0,141064466,3947650145,212841156000,563781000,163900000,36000000,2507218109,525233891,0,144394000,3940527000,3947650145,10899,362203.0,3947650145,212394445000,1.9,4141844849,5821393365,3947650145,4.2
2015,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,15745354000,32128622,5573490,1942810,4600000,5405664,0,3000000,52650586,13674915000,33456000,8000000,2500000,6500000,5000000,0,3000000,58456000,52650586,2055,25620.7,52650586,15745354000,0.3,49229350,48584040,52650586,3.5
2015,8,감리교신학대학교,대학,사립,서울,C그룹,17470614000,100439987,15606966,301000,6724000,13624020,0,3300000,139995973,18887327000,92000000,17000000,5000000,7000000,15000000,0,4000000,140000000,139995973,1550,90320.0,139995973,17470614000,0.8,143022212,139988422,139995973,-1.1
2015,9,강남대학교,대학,사립,경기,B그룹,81788166000,124985160,32911383,6706070,179424957,44233084,0,34961270,423221924,77816615000,149600000,44400000,7000000,176000000,43000000,0,30000000,450000000,423221924,7719,54828.6,423221924,81788166000,0.5,429563599,405995110,423221924,-0.6
2015,10,강동대학교,전문대학,사립,충북,B그룹,40889778000,50170300,3603000,0,6370000,0,0,59948000,120091300,38645167000,63000000,5000000,0,7000000,0,0,34482000,109482000,120091300,4198,28606.8,120091300,40889778000,0.3,116786895,120858400,120091300,1.4
