YR,ID,SNM,STYP,FND,RGN,USC,VUC_SCC,VUC_VTC_UGRD,VUC_VTC_GRAD,VUC_VTC_FFAC,VUC_VTC_PFAC,VUC_VTC_STF,VUC_VTC_OTH,VUC_VTC_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCC,LPS_LPS,VPS_VC,VPS_SCC,VPS_VPS
2016,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,311,311,0,17,11,27,0,366,4,95,24,0,0,0,0,24,37,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,37,311,0.1000000014901161,95,311,0.3000000119209289
2016,2,가야대학교,대학,사립,경남,C그룹,2718,2570,148,93,96,67,20,2994,15,106128,720,7,35,22,0,784,6896,70,1322,658,3114,12060,0,0,398,50,5,44,7,35,0,7,471,6966,2718,2.5999999046325684,106128,2718,39.0
2016,3,가천대학교,대학,사립,경기,A그룹,20737,18642,2095,856,1267,280,2812,25952,59,1009805,8891,445,218,145,102,9801,66329,4388,3544,2267,16164,92692,0,0,6298,5353,2784,77,267,323,143,53,3226,70717,20737,3.400000095367432,1009805,20737,48.70000076293945
2016,4,가톨릭관동대학교,대학,사립,강원,B그룹,9332,8868,464,432,312,251,222,10549,56,489753,2511,85,147,117,12,2872,23460,668,1637,2096,188,28049,0,0,2820,1010,6,1,137,62,68,18,6550,24128,9332,2.5999999046325684,489753,9332,52.5
2016,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,536,486,50,22,40,43,0,641,2,42858,376,27,17,17,0,437,3353,477,312,318,0,4460,0,0,12,6,17,0,0,0,2,1,120,3830,536,7.099999904632568,42858,536,80.0
2016,6,가톨릭대학교,대학,사립,경기,A그룹,10881,7992,2889,1154,1180,491,2415,16121,46,1423404,7152,933,1948,298,1165,11496,102928,23776,26381,8233,16492,177810,0,0,6655,6528,2444,726,3075,3485,2324,119,4660,126704,10881,11.600000381469728,1423404,10881,130.8000030517578
2016,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,1975,1975,0,60,139,59,26,2259,21,125952,812,0,29,47,14,902,6654,0,487,521,560,8222,0,0,33,2,0,4,0,9,0,15,743,6654,1975,3.400000095367432,125952,1975,63.79999923706055
2016,8,감리교신학대학교,대학,사립,서울,C그룹,1576,840,736,27,103,35,262,2003,7,1732,796,647,107,23,101,1674,15367,20347,3622,592,2134,42062,0,0,126,70,57,0,0,25,35,1,54,35714,1576,22.700000762939453,1732,1576,1.100000023841858
2016,9,강남대학교,대학,사립,경기,B그룹,7325,6918,407,239,334,108,155,8161,37,242609,832,129,79,119,37,1196,24145,1520,1348,1903,595,29511,0,0,23,45,14,15,49,49,32,2,1830,25665,7325,3.5,242609,7325,33.099998474121094
2016,10,강동대학교,전문대학,사립,충북,B그룹,4027,4027,0,97,286,49,0,4459,34,47587,308,0,20,10,0,338,926,0,221,281,1309,2737,0,0,400,30,0,0,0,0,0,1,286,926,4027,0.2000000029802322,47587,4027,11.800000190734863
