Year,ID,SchName,SchType,FoundType,Region,UnivScale,VolunteerUserCnt_StCountPrev,VolunteerUserCnt_VolunteerTC_Undergrad,VolunteerUserCnt_VolunteerTC_GradSt,VolunteerUserCnt_VolunteerTC_FullFaculty,VolunteerUserCnt_VolunteerTC_PartFaculty,VolunteerUserCnt_VolunteerTC_Staff,VolunteerUserCnt_VolunteerTC_Other,VolunteerUserCnt_VolunteerTC_TotalSum,VolunteerUserCnt_DeptCnt,VolunteerUserCnt_UserCnt_LibUserCnt,LoanStatus_LoanUserCnt_Undergrad,LoanStatus_LoanUserCnt_GradSt,LoanStatus_LoanUserCnt_Faculty,LoanStatus_LoanUserCnt_Staff,LoanStatus_LoanUserCnt_Other,LoanStatus_LoanUserCnt_TotalSum,LoanStatus_LoanBookCnt_Undergrad,LoanStatus_LoanBookCnt_GradSt,LoanStatus_LoanBookCnt_Faculty,LoanStatus_LoanBookCnt_Staff,LoanStatus_LoanBookCnt_Other,LoanStatus_LoanBookCnt_TotalSum,RefCollab_RefBefore2010_Request,RefCollab_RefBefore2010_Provided,RefCollab_RefAfter2010_Consultation,RefCollab_RefAfter2010_Phone,RefCollab_RefAfter2010_Online,RefCollab_RefLoan_Request,RefCollab_RefLoan_Provided,RefCollab_RefCopy_Request,RefCollab_RefCopy_Provided,UserEdu_EduCount,UserEdu_EduPartCnt,LoanPerSt_LoanBookCnt,LoanPerSt_StCountPrev,LoanPerSt_LoanPerSt,VisitPerSt_VisitCnt,VisitPerSt_StCountPrev,VisitPerSt_VisitPerSt
2018,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,322,322,0,17,11,25,0,375,5,383,214,0,0,45,0,259,383,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,383,322,1.2000000476837158,383,322,1.2000000476837158
2018,2,가야대학교,대학,사립,경남,C그룹,2684,2572,112,95,96,71,1,2947,15,59711,765,12,40,29,0,846,7584,70,1096,830,825,10405,0,0,38,18,23,26,7,3,0,4,288,7654,2684,2.900000095367432,59711,2684,22.200000762939453
2018,3,가천대학교,대학,사립,경기,A그룹,20422,18309,2113,870,1185,332,785,23594,61,1050618,7535,465,203,156,174,8533,52789,4546,3156,1976,8122,70589,0,0,4276,3234,858,139,172,655,118,53,444,57335,20422,2.799999952316284,1050618,20422,51.400001525878906
2018,4,가톨릭관동대학교,대학,사립,강원,B그룹,8750,8341,409,508,321,174,119,9872,75,452857,2323,70,164,132,88,2777,22756,1071,3205,2510,1043,30585,0,0,6000,3981,26,5,117,332,67,9,139,23827,8750,2.700000047683716,452857,8750,51.79999923706055
2018,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,504,463,41,22,30,38,3,597,2,40206,338,12,20,20,3,393,2465,77,385,366,88,3381,0,0,18,12,9,0,0,0,1,2,114,2542,504,5.0,40206,504,79.80000305175781
2018,6,가톨릭대학교,대학,사립,경기,A그룹,10529,7829,2700,1155,1216,503,2183,15586,47,1480904,6179,877,2042,207,1025,10330,77018,22609,25241,5865,18155,148888,0,0,7009,6301,2659,796,2727,2958,1362,114,2459,99627,10529,9.5,1480904,10529,140.6999969482422
2018,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,1931,1931,0,59,135,61,62,2248,33,115687,763,0,30,45,20,858,7366,0,501,509,1832,10208,0,0,28,3,0,0,1,3,0,16,635,7366,1931,3.799999952316284,115687,1931,59.900001525878906
2018,8,감리교신학대학교,대학,사립,서울,C그룹,1535,835,700,26,99,34,240,1934,7,2500,654,630,99,23,91,1497,10824,21395,3611,590,1332,37752,0,0,155,120,55,11,37,19,49,6,347,32219,1535,21.0,2500,1535,1.600000023841858
2018,9,강남대학교,대학,사립,경기,B그룹,7101,6719,382,241,263,117,67,7789,24,212021,3300,150,100,153,55,3758,21086,1243,134,3976,262,26701,0,0,33,31,15,24,54,66,30,0,0,22329,7101,3.0999999046325684,212021,7101,29.899999618530277
2018,10,강동대학교,전문대학,사립,충북,B그룹,3879,3879,0,108,246,60,3,4296,60,57869,397,0,20,34,3,454,2252,0,81,876,0,3209,0,0,446,66,0,0,0,0,0,1,151,2252,3879,0.6000000238418579,57869,3879,14.899999618530272
2018,11,강릉영동대학교,전문대학,사립,강원,B그룹,2944,2944,0,90,137,54,68,3293,37,0,1205,0,62,34,33,1334,7213,0,977,402,1537,10129,0,0,4,1,0,0,0,2,0,0,0,7213,2944,2.5,0,2944,0.0
2018,12,강서대학교,대학,사립,서울,C그룹,1550,1382,168,50,106,46,304,2056,21,6426,240,69,36,22,36,403,1405,889,582,138,1032,4046,0,0,659,268,5,1,42,1,2,4,151,2294,1550,1.5,6426,1550,4.099999904632568
2018,13,강원관광대학교,전문대학,사립,강원,C그룹,1220,1220,0,36,69,34,0,1359,31,21550,262,0,12,9,0,283,1220,0,64,54,0,1338,0,0,2444,450,75,0,0,0,0,10,310,1220,1220,1.0,21550,1220,17.700000762939453
2018,14,강원대학교,대학,국립,강원,A그룹,22949,20168,2781,1003,1335,681,1722,27690,116,1875604,8897,1258,689,407,699,11950,56114,11052,8311,4338,19186,99001,0,0,2258,6671,947,1036,465,1478,7853,104,1943,67166,22949,2.900000095367432,1875604,22949,81.69999694824219
2018,15,강원도립대학교,전문대학,공립,강원,C그룹,784,784,0,31,70,53,25,963,17,2450,206,0,19,43,25,293,1072,0,253,964,2606,4895,0,0,103,0,0,0,0,5,0,0,0,1072,784,1.399999976158142,2450,784,3.0999999046325684
2018,16,개신대학원대학교,대학원대학,사립,서울,-,168,0,168,6,21,7,199,401,9,8500,0,45,11,3,28,87,0,602,214,24,216,1056,0,0,50,30,60,5,0,2,0,0,0,602,168,3.5999999046325684,8500,168,50.59999847412109
2018,17,거제대학교,전문대학,사립,경남,C그룹,1143,1143,0,43,75,47,26,1334,15,52275,413,0,50,41,13,517,2981,0,1194,695,235,5105,0,0,6,2,7,7,0,66,0,11,184,2981,1143,2.5999999046325684,52275,1143,45.70000076293945
2018,18,건국대학교,대학,사립,서울,A그룹,19861,15552,4309,702,1340,451,21530,43884,67,1947311,9919,2541,716,503,3268,16947,81082,28558,12623,6065,40321,168649,0,0,0,0,0,91,209,971,275,14,280,109640,19861,5.5,1947311,19861,98.0
2018,19,건국대학교(글로컬),대학,사립,충북,B그룹,8223,7721,502,483,315,158,3110,12289,45,439057,4323,156,190,192,187,5048,37457,1503,3872,2338,11046,56216,0,0,89,151,62,40,124,376,22,38,2494,38960,8223,4.699999809265137,439057,8223,53.400001525878906
2018,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2018,21,건신대학원대학교,대학원대학,사립,대전,-,144,0,144,12,16,7,917,1096,6,2864,0,71,10,3,16,100,0,1093,194,18,102,1407,0,0,0,0,0,0,0,0,0,0,0,1093,144,7.599999904632568,2864,144,19.899999618530277
2018,22,건양대학교,대학,사립,충남,B그룹,8346,7786,560,396,221,168,1081,10212,53,600916,5083,187,223,240,225,5958,47875,1928,5060,3785,3946,62594,0,0,170,343,1123,8,47,628,265,10,230,49803,8346,6.0,600916,8346,72.0
2018,23,경기과학기술대학교,전문대학,사립,경기,A그룹,4413,4413,0,119,211,62,519,5324,62,310439,1219,0,76,59,14,1368,5123,0,775,513,1880,8291,0,0,45,2,0,24,242,0,0,12,51,5123,4413,1.2000000476837158,310439,4413,70.30000305175781
2018,24,경기대학교,대학,사립,경기,A그룹,16084,13979,2105,513,892,244,7027,24760,83,471056,8380,893,375,352,481,10481,58625,7567,6150,4245,31131,107718,0,0,955,8872,1449,166,332,1531,193,34,1480,66192,16084,4.099999904632568,471056,16084,29.299999237060547
2018,25,경남대학교,대학,사립,경남,A그룹,13068,11967,1101,456,491,218,1712,15945,54,493363,4305,470,342,132,388,5637,31043,5931,7080,3815,15907,63776,0,0,8930,4383,98,60,196,283,119,31,989,36974,13068,2.799999952316284,493363,13068,37.79999923706055
2018,26,경남도립거창대학,전문대학,공립,경남,C그룹,837,837,0,30,79,47,13,1006,17,7328,233,0,49,20,2,304,1700,0,1232,236,67,3235,0,0,0,0,0,0,0,0,0,2,50,1700,837,2.0,7328,837,8.800000190734863
2018,27,경남도립남해대학,전문대학,공립,경남,C그룹,751,751,0,23,65,39,0,878,14,17000,182,0,31,35,0,248,733,0,591,476,0,1800,0,0,0,0,0,0,0,0,0,0,0,733,751,1.0,17000,751,22.600000381469727
