Year,ID,SchName,SchType,FoundType,Region,UnivScale,VolunteerUserCnt_VolunteerTC_PrevYear_StCount,VolunteerUserCnt_VolunteerTC_PrevYear_Undergrad,VolunteerUserCnt_VolunteerTC_PrevYear_GradSt,VolunteerUserCnt_VolunteerTC_PrevYear_FullFaculty,VolunteerUserCnt_VolunteerTC_PrevYear_PartFaculty,VolunteerUserCnt_VolunteerTC_PrevYear_Staff,VolunteerUserCnt_VolunteerTC_PrevYear_Other,VolunteerUserCnt_VolunteerTC_PrevYear_TotalSum,VolunteerUserCnt_VolunteerTC_CurrYear_StCount,VolunteerUserCnt_VolunteerTC_CurrYear_Undergrad,VolunteerUserCnt_VolunteerTC_CurrYear_GradSt,VolunteerUserCnt_VolunteerTC_CurrYear_FullFaculty,VolunteerUserCnt_VolunteerTC_CurrYear_PartFaculty,VolunteerUserCnt_VolunteerTC_CurrYear_Staff,VolunteerUserCnt_VolunteerTC_CurrYear_Other,VolunteerUserCnt_VolunteerTC_CurrYear_TotalSum,VolunteerUserCnt_DeptCnt,VolunteerUserCnt_UserCnt_LibUserCnt,LoanStatus_LoanUserCnt_Undergrad,LoanStatus_LoanUserCnt_GradSt,LoanStatus_LoanUserCnt_Faculty,LoanStatus_LoanUserCnt_Staff,LoanStatus_LoanUserCnt_Other,LoanStatus_LoanUserCnt_TotalSum,LoanStatus_LoanBookCnt_Undergrad,LoanStatus_LoanBookCnt_GradSt,LoanStatus_LoanBookCnt_Faculty,LoanStatus_LoanBookCnt_Staff,LoanStatus_LoanBookCnt_Other,LoanStatus_LoanBookCnt_TotalSum,RefCollab_RefBefore2010_Request,RefCollab_RefBefore2010_Provided,RefCollab_RefAfter2010_Consultation,RefCollab_RefAfter2010_Phone,RefCollab_RefAfter2010_Online,RefCollab_RefLoan_Request,RefCollab_RefLoan_Provided,RefCollab_RefCopy_Request,RefCollab_RefCopy_Provided,UserEdu_OnsiteEduUser_EduCount,UserEdu_OnsiteEduUser_EduPartCnt,UserEdu_RemoteEduUser_EduCount,UserEdu_RemoteEduUser_EduPartCnt,LoanPerSt_LoanBookCnt,LoanPerSt_StCountPrev,LoanPerSt_LoanPerSt,VisitPerSt_VisitCnt,VisitPerSt_StCountPrev,VisitPerSt_VisitPerSt
2021,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,307,307,0,16,6,29,2,360,261,261,0,20,4,35,33,353,0,246,15,0,0,8,3,26,44,0,0,15,8,67,0,0,0,0,0,0,0,0,0,0,0,0,0,44,307,0.1000000014901161,246,307,0.800000011920929
2021,2,가야대학교,대학,사립,경남,C그룹,2277,2176,101,97,112,76,1,2563,2121,2022,99,89,113,74,1,2398,0,9631,270,8,37,34,0,349,2428,96,794,832,1343,5493,0,0,28,22,24,18,8,5,1,2,53,0,0,2524,2277,1.100000023841858,9631,2277,4.199999809265137
2021,3,가천대학교,대학,사립,경기,A그룹,21077,18678,2399,905,1191,317,63,23553,21928,19308,2620,915,1374,399,193,24809,0,154625,2487,216,264,159,55,3181,14423,2017,16410,1633,32993,67476,0,0,190,320,1386,114,233,494,107,0,0,40,180,16440,21077,0.800000011920929,154625,21077,7.300000190734863
2021,4,가톨릭관동대학교,대학,사립,강원,B그룹,8518,8107,411,423,406,231,278,9856,7879,7458,421,427,401,229,217,9153,0,21422,1056,64,201,191,213,1725,8571,689,2839,2855,1435,16389,0,0,561,335,52,7,62,25,12,0,0,0,0,9260,8518,1.100000023841858,21422,8518,2.5
2021,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,524,457,67,25,37,36,3,625,491,428,63,24,34,35,3,587,0,11700,100,12,14,5,0,131,408,76,159,33,0,676,0,0,6,5,5,0,0,0,0,1,38,0,0,484,524,0.8999999761581421,11700,524,22.299999237060547
2021,6,가톨릭대학교,대학,사립,경기,A그룹,10484,8317,2167,1169,1466,477,4938,18534,10444,8122,2322,1196,1552,516,4381,18089,0,510993,3042,579,1806,164,528,6119,42041,16038,24316,5393,15996,103784,0,0,4198,6549,3587,588,1553,749,2218,41,147,80,1028,58079,10484,5.5,510993,10484,48.70000076293945
2021,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,1860,1860,0,52,153,59,65,2189,1865,1865,0,221,166,55,149,2456,0,39948,274,0,22,36,22,354,1392,0,158,388,4463,6401,0,0,2,5,0,5,0,2,0,9,266,12,224,1392,1860,0.699999988079071,39948,1860,21.5
2021,8,감리교신학대학교,대학,사립,서울,C그룹,1526,814,712,25,95,31,262,1939,1448,740,708,26,111,30,342,1957,0,29488,297,373,69,17,105,861,3726,9907,3290,567,3405,20895,0,0,209,333,211,29,28,7,50,0,0,0,0,13633,1526,8.899999618530273,29488,1526,19.299999237060547
2021,9,강남대학교,대학,사립,경기,B그룹,7101,6695,406,238,216,171,140,7866,6991,6597,394,237,249,180,58,7715,0,7394,292,16,49,61,1,419,1142,79,513,887,2,2623,0,0,47,155,56,9,66,17,25,0,0,9,53,1221,7101,0.2000000029802322,7394,7101,1.0
2021,10,강동대학교,전문대학,사립,충북,B그룹,3534,3534,0,106,153,40,0,3833,3053,3053,0,257,156,64,0,3530,0,0,86,0,20,35,0,141,1347,0,142,189,0,1678,0,0,0,0,0,0,0,0,0,0,0,0,0,1347,3534,0.4000000059604645,0,3534,0.0
2021,11,강릉영동대학교,전문대학,사립,강원,B그룹,2663,2663,0,81,119,53,0,2916,2443,2443,0,236,152,59,0,2890,0,0,193,0,21,23,11,248,1629,0,210,252,51,2142,0,0,0,0,0,0,0,0,0,0,0,0,0,1629,2663,0.6000000238418579,0,2663,0.0
2021,12,강서대학교,대학,사립,서울,C그룹,1490,1351,139,47,111,52,230,1930,1840,1629,211,56,117,55,231,2299,0,149,70,25,24,22,8,149,383,155,319,221,211,1289,0,0,149,210,3,6,30,3,4,0,0,7,287,538,1490,0.4000000059604645,149,1490,0.1000000014901161
2021,13,강원관광대학교,전문대학,사립,강원,C그룹,1012,1012,0,23,33,33,0,1101,597,597,0,32,23,20,0,672,0,765,103,0,8,5,0,116,407,0,16,16,0,439,0,0,488,122,132,0,0,0,0,0,0,0,0,407,1012,0.4000000059604645,765,1012,0.800000011920929
2021,14,강원대학교,대학,국립,강원,A그룹,22114,19587,2527,1004,1288,815,764,25985,21898,19297,2601,1013,1382,936,860,26089,0,259785,2090,521,418,267,95,3391,9591,4514,5193,2717,18633,40648,0,0,196,1201,295,218,88,1047,4012,0,0,141,480,14105,22114,0.6000000238418579,259785,22114,11.699999809265137
2021,15,강원도립대학교,전문대학,공립,강원,C그룹,635,635,0,30,94,62,282,1103,579,579,0,121,91,74,225,1090,0,16712,113,0,18,51,36,218,1281,0,365,1249,615,3510,0,0,20,0,0,1,23,10,0,0,0,2,109,1281,635,2.0,16712,635,26.299999237060547
2021,16,개신대학원대학교,대학원대학,사립,서울,-,145,0,145,7,18,6,206,382,137,0,137,28,24,6,257,452,0,6000,0,28,9,3,24,64,0,493,118,26,240,877,0,0,70,50,30,27,0,74,0,0,0,0,0,493,145,3.400000095367432,6000,145,41.400001525878906
