YR,ID,SNM,STYP,FND,RGN,USC,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_OEU_EDC,UE_OEU_EP,UE_REU_EDC,UE_REU_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS
2022,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,261,261,0,16,4,35,33,349,273,273,0,16,5,33,0,327,0,362,48,0,2,10,5,65,149,0,4,78,31,262,0,0,0,0,0,0,0,0,0,0,0,0,0,149,261,0.6000000238418579,362,261,1.399999976158142
2022,2,가야대학교,대학,사립,경남,C그룹,2121,2022,99,89,113,74,1,2398,1937,1837,100,81,116,64,0,2198,0,13854,370,5,35,24,0,434,5301,66,762,574,0,6703,0,0,8,12,15,6,10,0,0,4,168,3,46,5367,2121,2.5,13854,2121,6.5
2022,3,가천대학교,대학,사립,경기,A그룹,21928,19308,2620,915,1374,399,193,24809,22003,19370,2633,937,1521,379,1821,26661,0,199787,2987,233,277,173,77,3747,16035,1469,17978,1589,35544,72615,0,0,298,831,1728,68,130,531,82,83,398,0,0,17504,21928,0.800000011920929,199787,21928,9.100000381469728
2022,4,가톨릭관동대학교,대학,사립,강원,B그룹,7879,7458,421,427,401,229,217,9153,7331,6856,475,410,374,220,230,8565,0,24538,1233,87,205,185,83,1793,9111,864,3614,2311,797,16697,0,0,275,178,30,6,77,15,14,0,0,75,902,9975,7879,1.2999999523162842,24538,7879,3.0999999046325684
2022,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,491,428,63,24,34,35,3,587,468,401,67,23,43,35,3,572,0,9920,81,11,15,6,0,113,391,112,101,63,0,667,0,0,12,15,0,1,0,0,0,0,0,0,0,503,491,1.0,9920,491,20.200000762939453
2022,6,가톨릭대학교,대학,사립,경기,A그룹,10444,8122,2322,1196,1552,516,4381,18089,10504,7928,2576,1215,1642,526,4018,17905,0,570442,3146,572,1696,170,474,6058,41699,16905,24043,4079,11408,98134,0,0,4944,6985,3539,617,1654,644,2353,96,1213,2,190,58604,10444,5.599999904632568,570442,10444,54.59999847412109
2022,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,1865,1865,0,55,166,55,149,2290,1850,1850,0,53,168,58,153,2282,0,23269,421,0,24,30,13,488,2496,0,241,271,2266,5274,0,0,0,0,0,1,0,0,0,16,349,0,0,2496,1865,1.2999999523162842,23269,1865,12.5
2022,8,감리교신학대학교,대학,사립,서울,C그룹,1448,740,708,26,111,30,342,1957,1267,635,632,26,116,42,704,2155,0,32841,265,324,69,15,110,783,3397,8368,3770,596,2944,19075,0,0,220,351,190,49,56,11,19,0,0,0,0,11765,1448,8.100000381469727,32841,1448,22.700000762939453
2022,9,강남대학교,대학,사립,경기,B그룹,6991,6597,394,237,249,180,58,7715,6719,6325,394,238,280,169,15,7421,0,9069,320,26,56,75,2,479,6871,348,1115,1357,30,9721,0,0,32,213,75,5,131,8,33,4,59,0,0,7219,6991,1.0,9069,6991,1.2999999523162842
2022,10,강동대학교,전문대학,사립,충북,B그룹,3053,3053,0,101,156,64,0,3374,2972,2972,0,96,152,55,0,3275,0,200,133,0,9,15,0,157,2036,0,126,120,190,2472,0,0,0,0,0,0,0,2,2,0,0,0,0,2036,3053,0.699999988079071,200,3053,0.1000000014901161
2022,11,강릉영동대학교,전문대학,사립,강원,B그룹,2443,2443,0,84,152,59,0,2738,2330,2330,0,81,141,59,0,2611,0,0,359,0,19,27,3,408,2400,0,205,202,135,2942,0,0,0,0,0,0,0,4,0,0,0,0,0,2400,2443,1.0,0,2443,0.0
2022,12,강서대학교,대학,사립,서울,C그룹,1840,1629,211,56,117,55,231,2299,1787,1560,227,53,128,55,231,2254,0,2944,74,19,27,22,5,147,355,143,373,118,262,1251,0,0,372,620,1,7,93,0,5,0,0,8,277,498,1840,0.3000000119209289,2944,1840,1.600000023841858
2022,13,강원관광대학교,전문대학,사립,강원,C그룹,597,597,0,9,23,20,0,649,415,415,0,14,10,16,0,455,0,0,499,0,12,4,1,516,499,0,12,4,1,516,0,0,0,0,0,0,0,0,0,0,0,0,0,499,597,0.800000011920929,0,597,0.0
2022,14,강원대학교,대학,국립,강원,A그룹,21898,19297,2601,1013,1382,936,860,26089,21291,18630,2661,996,1456,931,1181,25855,0,258231,3862,704,489,354,378,5787,25283,8204,7814,4142,22314,67757,0,0,240,1638,381,357,200,1010,3315,145,1168,20,542,33487,21898,1.5,258231,21898,11.800000190734863
2022,15,강원도립대학교,전문대학,공립,강원,C그룹,579,579,0,30,91,74,225,999,552,552,0,28,87,77,252,996,0,18275,174,0,25,64,26,289,1838,0,244,1009,391,3482,0,0,22,0,0,22,54,14,0,1,45,1,145,1838,579,3.200000047683716,18275,579,31.600000381469727
2022,16,개신대학원대학교,대학원대학,사립,서울,-,137,0,137,4,24,6,257,428,176,0,176,3,24,6,284,493,0,6510,0,24,10,3,10,47,0,232,324,16,207,779,0,0,70,70,30,21,0,104,0,0,0,0,0,232,137,1.7000000476837158,6510,137,47.5
2022,17,거제대학교,전문대학,사립,경남,C그룹,1066,1066,0,37,62,68,0,1233,991,991,0,34,58,60,27,1170,0,41000,202,0,34,27,13,276,1765,0,497,555,773,3590,0,0,1,5,1,2,0,1,0,6,526,0,0,1765,1066,1.7000000476837158,41000,1066,38.5
2022,18,건국대학교,대학,사립,서울,A그룹,20271,15751,4520,659,1455,602,33219,56206,19890,15343,4547,627,1538,612,35359,58026,0,263207,3885,1276,516,300,1463,7440,28293,16664,10113,3827,34460,93357,0,0,0,0,0,231,120,575,319,0,0,23,636,44957,20271,2.200000047683716,263207,20271,13.0
2022,19,건국대학교(글로컬),대학,사립,충북,B그룹,7431,7014,417,462,350,208,0,8451,7113,6704,409,443,398,204,0,8158,0,58181,1423,119,143,148,45,1878,8858,817,2908,2257,15106,29946,0,0,0,0,0,60,124,131,30,0,0,134,1122,9675,7431,1.2999999523162842,58181,7431,7.800000190734863
2022,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2022,21,건신대학원대학교,대학원대학,사립,대전,-,166,0,166,12,21,8,1097,1304,156,0,156,11,22,8,579,776,0,1432,0,29,7,2,17,55,0,606,84,67,13,770,0,0,187,65,0,0,0,18,0,0,0,0,0,606,166,3.700000047683716,1432,166,8.600000381469727
2022,22,건양대학교,대학,사립,충남,B그룹,7336,6754,582,376,231,265,937,9145,7062,6438,624,374,245,212,804,8697,0,107615,2101,116,165,129,167,2678,26035,1988,3197,2085,2725,36030,0,0,378,495,355,15,48,143,38,44,248,0,0,28023,7336,3.799999952316284,107615,7336,14.699999809265137
2022,23,경기과학기술대학교,전문대학,사립,경기,A그룹,4276,4276,0,115,263,70,152,4876,4411,4411,0,113,265,91,152,5032,0,110101,653,0,64,46,5,768,5052,0,848,542,38,6480,0,0,70,55,0,0,957,0,0,10,110,1,387,5052,4276,1.2000000476837158,110101,4276,25.700000762939453
2022,24,경기대학교,대학,사립,경기,A그룹,16112,14033,2079,578,751,274,7037,24752,15481,13243,2238,546,826,275,7455,24583,0,31317,1137,201,231,211,243,2023,6553,1591,3175,3108,35913,50340,0,0,527,6495,836,103,392,459,129,0,0,1,1727,8144,16112,0.5,31317,16112,1.899999976158142
2022,25,경남대학교,대학,사립,경남,A그룹,11943,10792,1151,467,535,257,1397,14599,11331,10194,1137,422,551,262,1253,13819,0,160703,2043,329,326,140,233,3071,11776,3171,5522,2716,57799,80984,0,0,524,1436,30,126,606,167,57,111,718,21,3210,14947,11943,1.2999999523162842,160703,11943,13.5
