YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_SPC,FACLT_EQP_UPC,FACLT_EQP_TPC,APS_AR,APS_SCP,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_16A,BG3Y_MCS_17B,BG3Y_MCS_18C,BG3Y_BG3Y,VUC_SCP,VUC_VTC_UGRD,VUC_VTC_GRAD,VUC_VTC_FFAC,VUC_VTC_PFAC,VUC_VTC_STF,VUC_VTC_OTH,VUC_VTC_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_HLIBC,STF_FT_NLIBC,STF_PT_HLIBC,STF_PT_NLIBC,STF_TTL_HLIBC,STF_TTL_NLIBC,STF_TTL_SUM,LIBCS_FT_SL1,LIBCS_FT_SL2,LIBCS_FT_ALIB,LIBCS_FT_TTL,LIBCS_PT_SL1,LIBCS_PT_SL2,LIBCS_PT_ALIB,LIBCS_PT_TTL,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCP,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCP,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2018,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,6503,0,6503,9030,0,9030,0,0,0,0,0,0,0,0,0,183,0,183,183,183,9030,322,28.0,183,9030,2.0999999046325684,403.0,80,1,0,1,403.0,322,1.2999999523162842,7439028000,2543220,0,0,0,0,0,0,2543220,7724545000,3000000,0,0,0,0,0,0,3000000,2543220,322,7898.2,2543220,7439028000,0.0,2645530,2916600,2543220,-1.3,322,322,0,17,11,25,0,375,5,383,214,0,0,45,0,259,383,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,383,322,1.2000000476837158,383,322,1.2000000476837158,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,322,2.5,0,0,322,0.0,4,1,0,4.0
2018,2,가야대학교,대학,사립,경남,C그룹,106395,32254,138649,165720,34324,200044,2,1,37773,0,3,37773,1527,57,1584,5821,1865,7686,6865,0,200044,2684,74.5,7686,200044,4.0,3733.0,829,6,32,38,3733.0,2684,1.399999976158142,35782489000,114271620,16010400,5305000,9350000,0,0,0,144937020,29796302000,89000000,21000000,8000000,15000000,15000000,0,7000000,155000000,144937020,2684,54000.4,144937020,35782489000,0.4,152021200,154314450,144937020,-2.3,2684,2572,112,95,96,71,1,2947,15,59711,765,12,40,29,0,846,7584,70,1096,830,825,10405,0,0,38,18,23,26,7,3,0,4,288,7654,2684,2.900000095367432,59711,2684,22.200000762939453,2,0,1,0,3,0,3,1,1,0,2,0,1,0,1,85,7,2,0,1,0,2684,1.0,2,1,2684,1.100000023841858,85,2,1,28.299999237060547
2018,3,가천대학교,대학,사립,경기,A그룹,345441,127056,472497,861857,169914,1031771,30,29,22077,2,61,22077,215,0,215,26039,5027,31066,13163,0,1031771,20422,50.5,31066,1031771,3.0999999046325684,11947.0,3294,43,121,164,11947.0,20422,0.6000000238418579,278307002000,489408838,0,4999620,838233326,542708400,0,24500000,1899850184,268366964000,500000000,0,7000000,844000000,560000000,0,50000000,1961000000,1899850184,20422,93029.6,1899850184,278307002000,0.7,2128918131,1824729443,1899850184,-5.1,20422,18309,2113,870,1185,332,785,23594,61,1050618,7535,465,203,156,174,8533,52789,4546,3156,1976,8122,70589,0,0,4276,3234,858,139,172,655,118,53,444,57335,20422,2.799999952316284,1050618,20422,51.400001525878906,10,6,3,8,13,14,27,2,7,1,10,0,3,0,3,844,156,10,6,3,8,20422,1.0,10,3,20422,0.6000000238418579,844,16,11,31.299999237060547
2018,4,가톨릭관동대학교,대학,사립,강원,B그룹,218386,158972,377358,501713,213066,714779,8,18,83092,7,33,83092,385,3,388,16423,6049,22472,15062,0,714779,8750,81.69999694824219,22472,714779,3.200000047683716,8226.0,1395,24,71,95,8226.0,8750,0.8999999761581421,121758677000,260901902,7180000,9856040,259241710,139804234,0,81286102,758269988,112922035000,235000000,8000000,11000000,320738000,151929000,0,99746000,826413000,758269988,8750,86659.4,758269988,121758677000,0.6,787563768,825830201,758269988,-1.7,8750,8341,409,508,321,174,119,9872,75,452857,2323,70,164,132,88,2777,22756,1071,3205,2510,1043,30585,0,0,6000,3981,26,5,117,332,67,9,139,23827,8750,2.700000047683716,452857,8750,51.79999923706055,4,0,0,11,4,11,15,2,1,1,4,0,0,0,0,609,93,4,0,0,11,8750,1.100000023841858,4,0,8750,0.5,609,4,11,40.59999847412109
2018,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,36856,9068,45924,51251,9522,60773,0,14,11808,1,15,11808,91,1,92,3614,76,3690,3530,0,60773,504,120.5999984741211,3690,60773,6.5,1727.0,251,6,24,30,1727.0,504,3.400000095367432,10842053000,26276054,3292000,0,0,50531946,0,9900000,90000000,10575325000,31000000,3000000,1000000,0,50000000,0,10000000,95000000,90000000,504,178571.4,90000000,10842053000,0.8,93000000,93000000,90000000,-1.6,504,463,41,22,30,38,3,597,2,40206,338,12,20,20,3,393,2465,77,385,366,88,3381,0,0,18,12,9,0,0,0,1,2,114,2542,504,5.0,40206,504,79.80000305175781,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,41,5,1,0,0,0,504,2.0,1,0,504,2.0,41,1,0,41.0
2018,6,가톨릭대학교,대학,사립,경기,A그룹,405119,234168,639287,740756,386713,1127469,72,66,65097,6,144,65097,2423,729,3152,23506,7219,30725,18242,14867,1127469,10529,107.0999984741211,30725,1127469,2.799999952316284,17684.0,3187,65,202,267,17684.0,10529,1.7000000476837158,209618561000,420155503,101760657,82916762,2678254590,457818078,0,88426090,3829331680,229775011000,466100000,120250000,46000000,2830159111,496072889,0,54580000,4013162000,3829331680,10529,363693.8,3829331680,209618561000,1.8,4049022188,4061743642,3829331680,-2.7,10529,7829,2700,1155,1216,503,2183,15586,47,1480904,6179,877,2042,207,1025,10330,77018,22609,25241,5865,18155,148888,0,0,7009,6301,2659,796,2727,2958,1362,114,2459,99627,10529,9.5,1480904,10529,140.6999969482422,19,7,2,0,21,7,28,4,15,0,19,0,2,0,2,673,116,19,7,2,0,10529,2.5,19,2,10529,2.0,673,26,2,24.0
2018,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,61119,2939,64058,102089,4110,106199,5,4,9366,9,18,9366,139,0,139,2656,633,3289,1511,0,106199,1931,55.0,3289,106199,3.200000047683716,3339.0,444,7,37,44,3339.0,1931,1.7000000476837158,18669328000,42087685,2645430,667500,9484000,2277732,0,6300000,63462347,18747479000,38000000,3200000,1000000,11600000,2500000,0,3300000,59600000,63462347,1931,32865.0,63462347,18669328000,0.3,59114506,59933732,63462347,3.6,1931,1931,0,59,135,61,62,2248,33,115687,763,0,30,45,20,858,7366,0,501,509,1832,10208,0,0,28,3,0,0,1,3,0,16,635,7366,1931,3.799999952316284,115687,1931,59.900001525878906,1,0,1,1,2,1,3,1,0,0,1,0,1,0,1,250,48,1,0,1,1,1931,1.2000000476837158,1,1,1931,1.0,250,1,2,83.30000305175781
2018,8,감리교신학대학교,대학,사립,서울,C그룹,55320,48154,103474,89914,65461,155375,3,5,6227,2,10,6227,76,22,98,5272,361,5633,5034,0,155375,1535,101.1999969482422,5633,155375,3.799999952316284,2542.0,377,8,33,41,2542.0,1535,1.7000000476837158,17322032000,97803167,5993579,191100,17488000,12223545,0,6300000,139999391,16893828000,90000000,8000000,5000000,20000000,20000000,0,7000000,150000000,139999391,1535,91204.8,139999391,17322032000,0.8,189978223,168106423,139999391,-14.1,1535,835,700,26,99,34,240,1934,7,2500,654,630,99,23,91,1497,10824,21395,3611,590,1332,37752,0,0,155,120,55,11,37,19,49,6,347,32219,1535,21.0,2500,1535,1.600000023841858,3,0,0,0,3,0,3,2,1,0,3,0,0,0,0,144,4,3,0,0,0,1535,2.0,3,0,1535,2.0,144,3,0,48.0
2018,9,강남대학교,대학,사립,경기,B그룹,266578,79372,345950,391083,123951,515034,9,11,38508,2,22,38508,108,77,185,10324,1112,11436,5878,0,515034,7101,72.5,11436,515034,2.299999952316284,5555.0,1101,20,80,100,5555.0,7101,0.800000011920929,89277341000,153928490,35107320,13595490,131992713,54143742,0,0,388767755,85043943000,100000000,50000000,20000000,142300000,57500000,0,0,369800000,388767755,7101,54748.3,388767755,89277341000,0.4,458276546,778234591,388767755,9.9,7101,6719,382,241,263,117,67,7789,24,212021,3300,150,100,153,55,3758,21086,1243,134,3976,262,26701,0,0,33,31,15,24,54,66,30,0,0,22329,7101,3.0999999046325684,212021,7101,29.89999961853028,3,1,6,1,9,2,11,0,3,0,3,0,6,0,6,303,74,3,1,6,1,7101,1.2999999523162842,3,6,7101,1.2999999523162842,303,4,7,27.5
2018,10,강동대학교,전문대학,사립,충북,B그룹,56817,38043,94860,93258,38085,131343,0,4,55721,1,5,55721,35,2,37,7809,17677,25486,23329,0,131343,3879,33.900001525878906,25486,131343,24.100000381469727,1055.0,420,4,8,12,1055.0,3879,0.3000000119209289,41321277000,48218900,3433300,0,0,14525732,0,43623400,109801332,33852824000,50000000,5000000,0,0,13000000,0,42000000,110000000,109801332,3879,28306.6,109801332,41321277000,0.3,109481456,148540852,109801332,4.8,3879,3879,0,108,246,60,3,4296,60,57869,397,0,20,34,3,454,2252,0,81,876,0,3209,0,0,446,66,0,0,0,0,0,1,151,2252,3879,0.6000000238418579,57869,3879,14.899999618530272,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,22,2,1,0,1,0,3879,0.5,1,1,3879,0.5,22,1,1,11.0
