YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCP,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_17A,BG3Y_MCS_18B,BG3Y_MCS_19C,BG3Y_BG3Y,VUC_SCP,VUC_VTC_UGRD,VUC_VTC_GRAD,VUC_VTC_FFAC,VUC_VTC_PFAC,VUC_VTC_STF,VUC_VTC_OTH,VUC_VTC_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCP,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCP,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2019,36,경북전문대학교,전문대학,사립,경북,B그룹,79366,10099,89465,114242,12567,126809,1,1,7054,0,2,7054,141,2,143,3182,473,3655,3537,11852,126809,2818,45,3655,126809,3,22373.900390625,1748,138,22373.900390625,8470,2.5999999046325684,11765973375,21694770,491000,0,0,0,0,0,22185770,12369099000,25000000,0,0,0,0,0,0,25000000,22185770,773,28700.9,22185770,11765973375,.2,22161600,22564390,22185770,.1,1486,1486,0,55,120,34,0,1695,0,7250,34,0,12,4,0,50,1743,0,105,84,0,1932,0,0,2,1,0,0,0,0,1,0,0,1743,1486,1.2000000476837158,7250,1486,4.900000095367432,10,26,1,3,40,0,0,0,0,0,2,5,5,1,13,0,0,0,0,0,12,31,6,4,53,0,0,0,0,0,12,31,6,4,53,5512,488,37,3,12,1,28669,1.7000000476837158,37,12,28669,1.7000000476837158,5512,40,13,104
2019,37,경상국립대학교,대학,국립,경남,A그룹,592675,280411,873086,1300359,476913,1777272,28,28,39978,3,59,39978,826,203,1029,33038,14820,47858,38647,105861,1777272,21799,81.5,47858,1777272,2.799999952316284,12421,1601,108,12421,7477,1.7000000476837158,67206558120,101785290,6212740,7277510,15599000,19123790,0,0,149998330,63654836000,100000000,6000000,9000000,15000000,20000000,0,0,150000000,149998330,6720,22321.2,149998330,67206558120,.2,169997940,169998830,149998330,-5.9,28669,22890,5779,1282,1714,947,38266,70878,0,1123325,11468,2947,1212,511,3248,19386,82352,32217,16110,5402,58438,194519,0,0,61092,32013,2021,990,1499,2403,5474,67,2484,114569,28669,4,1123325,28669,39.20000076293945,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,69.5,3,1,0,0,0,1217,.800000011920929,1,0,1217,.800000011920929,69.5,1,0,69.5
2019,38,경성대학교,대학,사립,부산,A그룹,425886,163317,589203,778449,215758,994207,12,24,60002,3,39,60002,591,66,657,23235,4285,27520,17216,66,994207,13099,75.9000015258789,27520,994207,2.799999952316284,29511.5,3328,132,29511.5,15670,1.899999976158142,100082840237,270174250,0,0,68985000,26175657,0,73650000,438984907,89466949899,317000000,0,8200000,82000000,0,0,15000000,422200000,438984907,8095,54229.1,438984907,100082840237,.4,402287470,410044540,438984907,4.5,1217,1217,0,39,80,34,0,1370,0,0,420,0,28,27,0,475,4859,0,566,386,0,5811,0,0,3,1,0,1,0,18,1,14,300,4859,1217,4,0,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,39,경안대학원대학교,대학원대학,사립,경북,-,7400,0,7400,8237,0,8237,0,0,0,0,0,0,2,0,2,14,103,117,112,0,8237,66,124.8000030517578,117,8237,1.399999976158142,12875,2037,88,12875,7890,1.600000023841858,47194347847,110195530,0,3044910,31015000,2388737,0,14280000,160924177,47567447000,96000000,11000000,3000000,25000000,3000000,0,18000000,156000000,160924177,4290,37511.5,160924177,47194347847,.3,160597406,160336808,160924177,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,2,0,2,0,1,3,81,3,2,1,0,0,2818,1,2,0,2818,.699999988079071,81,3,0,27
2019,40,경운대학교,대학,사립,경북,C그룹,186628,26825,213453,378443,34822,413265,4,6,65348,0,10,65348,279,42,321,17352,2520,19872,10590,0,413265,4632,89.19999694824219,19872,413265,5.099999904632568,11316.2001953125,1695,83,11316.2001953125,6567,1.7000000476837158,77662905525,121241350,3999680,2060060,0,16697820,0,0,143998910,74229299000,120806343,4193657,2000000,0,18000000,0,0,145000000,143998910,6651,21650.7,143998910,77662905525,.2,137210658,142481521,143998910,2.5,2818,2818,0,79,177,72,0,3146,0,110250,581,0,27,49,0,657,2143,0,374,558,0,3075,0,0,785,157,0,0,0,1,0,24,1009,2143,2818,.800000011920929,110250,2818,39.09999847412109,10,19,0,1,30,0,1,0,0,1,1,2,0,0,3,0,0,0,0,0,11,21,0,1,33,0,1,0,0,1,11,22,0,1,34,3095.60009765625,787,30,1,3,0,21799,1.5,30,3,21799,1.5,3095.60009765625,31,3,91
2019,41,경인교육대학교,대학,국립,인천,C그룹,198730,29133,227863,561380,36974,598354,8,7,31421,1,16,31421,179,15,194,40340,1681,42021,8346,1740,598354,4164,143.6999969482422,42021,598354,7.599999904632568,10764,999,50,10764,8140,1.2999999523162842,27222258459,8930000,0,450000,8661000,0,0,2500000,20541000,30220209000,20000000,0,1000000,4302000,0,0,17898000,43200000,20541000,1486,13823,20541000,27222258459,.1,41473500,36596840,20541000,-27.8,21799,18925,2874,1008,1164,590,13850,38411,0,992479,10022,679,683,320,1393,13097,76729,8307,12665,5195,16713,119609,0,0,14036,11376,1059,374,278,1926,1652,118,2715,85036,21799,3.900000095367432,992479,21799,45.5,2,7,0,1,10,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,2,14,0,1,17,0,0,0,0,0,2,14,0,1,17,1113.5,334,9,1,7,0,13099,1.2000000476837158,9,7,13099,1.2000000476837158,1113.5,10,7,65.5
2019,42,경인여자대학교,전문대학,사립,인천,B그룹,126381,35518,161899,155542,35638,191180,0,7,47263,0,7,47263,43,14,57,5730,20100,25830,23564,0,191180,4674,40.900001525878906,25830,191180,15.600000381469728,4713.60009765625,556,61,4713.60009765625,2758,1.7000000476837158,342224899469,459821486,1126241680,10200000,1585284540,774704820,0,107807110,4064059636,317932685000,987500000,1047297000,10500000,1168210000,530596000,0,213814000,3957917000,4064059636,28669,141758,4064059636,342224899469,1.2,5316049040,4860499440,4064059636,-12.5,13099,12448,651,429,569,251,5654,20002,0,558628,4248,204,309,165,3165,8091,62674,7137,12554,5254,22854,110473,0,0,10328,5624,1060,96,201,364,210,136,3844,69811,13099,5.300000190734863,558628,13099,42.59999847412109,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,26,0,0,1,0,0,66,12.100000381469728,0,0,66,0,26,1,0,26
2019,43,경일대학교,대학,사립,경북,B그룹,178722,130160,308882,376923,148430,525353,3,6,98884,6,15,98884,374,8,382,13505,1273,14778,7481,9,525353,7037,74.69999694824219,14778,525353,2.900000095367432,22136,4036,111,22136,18962,1.2000000476837158,11854620167,33176570,305000,0,6336000,2416210,0,0,42233780,12645408000,34000000,500000,0,10700000,0,0,0,45200000,42233780,1217,34703.2,42233780,11854620167,.4,41762241,43582649,42233780,.6,66,0,66,6,14,3,0,89,0,60,0,18,5,1,0,24,0,42,10,0,0,52,0,0,2,2,0,0,0,0,0,3,50,42,66,.6000000238418579,60,66,.8999999761581421,0,2,0,1,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,0,4,6,0,0,0,0,0,0,2,0,4,6,264,52,2,1,0,3,4632,.8999999761581421,2,0,4632,.4000000059604645,264,3,3,44
2019,44,경찰대학,기타,기타,충남,-,147730,47781,195511,150760,48249,199009,0,10,2051,0,10,2051,172,55,227,5559,634,6193,6193,0,199009,0,0,6193,199009,3.200000047683716,11878.900390625,1925,75,11878.900390625,7771,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4632,4524,108,203,181,128,5,5149,0,133780,2096,12,99,51,5,2263,10621,101,1306,475,532,13035,0,0,225,10,8,0,20,6,11,19,317,10722,4632,2.299999952316284,133780,4632,28.89999961853028,1,4,1,1,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,1,7,0,1,0,0,1,1,5,1,1,8,797.5,181,7,1,0,0,4164,1.899999976158142,7,0,4164,1.7000000476837158,797.5,8,0,99.6999969482422
2019,45,경희대학교,대학,사립,서울,A그룹,903839,408325,1312164,1954720,609327,2564047,58,47,288186,6,111,288186,275,140,415,26644,5907,32551,26522,12446,2564047,33487,76.5999984741211,32551,2564047,1.2999999523162842,210,56,18,210,65,3.200000047683716,32066919509,43195310,5242200,0,5500000,2161215,0,0,56098725,30133558000,45800000,6120000,3480000,5480000,2400000,0,2000000,65280000,56098725,2818,19907.3,56098725,32066919509,.2,51057620,55746612,56098725,4.9,4164,2639,1525,134,228,183,798,5507,0,333237,2603,544,187,80,337,3751,64984,6639,5107,1425,3219,81374,0,0,521,1564,131,49,47,79,25,25,619,71623,4164,17.200000762939453,333237,4164,80,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,122,24,0,0,2,0,4674,.3000000119209289,0,2,4674,.4000000059604645,122,0,2,61
