YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_18A,BG3Y_MCS_19B,BG3Y_MCS_20C,BG3Y_BG3Y,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2020,36,경북전문대학교,전문대학,사립,경북,B그룹,89928,10099,100027,117884,12567,130451,1,1,7975,0,2,7975,130,2,132,3296,346,3642,3508,0,130451,2852,45.70000076293945,3642,130451,2.900000095367432,200,24,3,200,28,7.099999904632568,13410981581,19641280,496000,1035810,0,0,0,0,21173090,11832417000,25000000,0,0,0,0,0,0,25000000,21173090,794,26666.4,21173090,13410981581,.2,22564390,22185770,21173090,-3.1,7036,7036,0,183,401,148,51,7819,6665,6665,0,181,406,129,40,7421,0,141415,1107,0,52,51,25,1235,5789,0,718,931,266,7704,0,0,84,159,28,1,1,0,0,24,1109,5789,7036,.800000011920929,141415,7036,20.100000381469727,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,48.5,6,1,0,0,0,1250,.800000011920929,1,0,1250,.800000011920929,48.5,1,0,48.5
2020,37,경상국립대학교,대학,국립,경남,A그룹,594907,283452,878359,1274950,460207,1735157,32,34,46885,5,71,46885,940,302,1242,30962,21039,52001,40931,69220,1735157,21750,79.80000305175781,52001,1735157,3.0999999046325684,1728.300048828125,434,9,1728.300048828125,0,0,68394717446,105705070,5496090,4660110,0,36137750,0,0,151999020,65702905000,100000000,5000000,4000000,0,36000000,0,0,145000000,151999020,7036,21603,151999020,68394717446,.2,169998830,149998330,151999020,-5.2,7794,7794,0,256,119,117,223,8509,7814,7814,0,254,133,120,402,8723,0,249000,3524,0,2,102,4,3632,55491,0,7,1015,47,56560,0,0,2000,1000,500,0,0,0,0,68,2262,55491,7794,7.099999904632568,249000,7794,31.89999961853028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,38,경성대학교,대학,사립,부산,A그룹,437562,166448,604010,798691,219267,1017958,14,24,63038,3,41,63038,529,35,564,19220,4559,23779,15889,28,1017958,12883,79,23779,1017958,2.400000095367432,22373.900390625,1833,121,22373.900390625,8487,2.5999999046325684,93072893987,286792870,0,0,77317614,27477383,0,48311492,439899359,96911335984,320000000,0,8950000,95000000,20000000,0,20000000,463950000,439899359,7794,56440.8,439899359,93072893987,.5,410044540,438984907,439899359,3.6,4336,4336,0,126,241,91,59,4853,4432,4432,0,123,255,101,82,4993,0,57907,1909,0,77,68,34,2088,23430,0,1863,1792,429,27514,0,0,15,45,13,0,5,18,1,63,2098,23430,4336,5.400000095367432,57907,4336,13.399999618530272,0,1,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,2,0,2,0,1,3,148.5,19,2,1,0,0,2853,1,2,0,2853,.699999988079071,148.5,3,0,49.5
2020,39,경안대학원대학교,대학원대학,사립,경북,-,7501,0,7501,8341,0,8341,0,0,0,0,0,0,2,0,2,16,99,115,107,0,8341,60,139,115,8341,1.399999976158142,12421,1601,107,12421,7285,1.7000000476837158,49387123852,102080660,10305600,933990,25087000,4186636,0,15600000,158193886,52082785000,93000000,11000000,1000000,26200000,5500000,0,19300000,156000000,158193886,4336,36483.8,158193886,49387123852,.3,160336808,160924177,158193886,-.7,6565,6565,0,174,337,65,17,7158,6455,6455,0,173,323,77,0,7028,0,131521,1571,0,76,54,0,1701,20932,0,1037,1276,2,23247,0,0,1320,2640,56,2,0,54,0,87,3798,20932,6565,3.200000047683716,131521,6565,20,7,19,1,1,28,0,1,0,0,1,1,2,0,0,3,0,0,0,0,0,8,21,1,1,31,0,1,0,0,1,8,22,1,1,32,1964.199951171875,523,28,1,3,0,21509,1.5,28,3,21509,1.399999976158142,1964.199951171875,31,3,57.79999923706055
2020,40,경운대학교,대학,사립,경북,C그룹,189673,26873,216546,385550,34903,420453,2,12,65942,1,15,65942,267,42,309,4709,2479,7188,3093,3,420453,4608,91.1999969482422,7188,420453,1.7000000476837158,27957.30078125,3053,132,27957.30078125,15426,1.7999999523162842,90626605889,162596670,4275497,2174310,0,17217422,0,0,186263899,75287618000,120850000,4150000,2000000,0,18000000,0,0,145000000,186263899,6565,28372.3,186263899,90626605889,.2,142481521,143998910,186263899,15.2,1425,1425,0,54,94,34,0,1607,1655,1655,0,52,76,32,0,1815,0,6930,26,0,8,9,0,43,331,0,60,24,0,415,0,0,2,0,0,0,0,0,0,0,0,331,1425,.2000000029802322,6930,1425,4.900000095367432,2,6,0,0,8,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,2,11,0,0,13,0,0,0,0,0,2,11,0,0,13,1598.5,711,8,0,5,0,13025,.8999999761581421,8,5,13025,1,1598.5,10,7,94
2020,41,경인교육대학교,대학,국립,인천,C그룹,203066,29326,232392,571156,37210,608366,12,8,32858,1,21,32858,181,15,196,16802,2510,19312,8377,8930,608366,4008,151.8000030517578,19312,608366,3.299999952316284,11398,1615,85,11398,8105,1.399999976158142,26731658623,5730210,156000,0,4302000,0,0,0,10188210,27747048000,21127000,0,0,8273000,0,0,3000000,32400000,10188210,1425,7149.6,10188210,26731658623,0,36596840,20541000,10188210,-47.1,28251,22718,5533,1312,1731,973,38266,70533,27862,22303,5559,1348,1618,963,0,31791,0,4354084,13087,2361,1262,581,3791,21082,106241,30761,19857,7284,84338,248481,0,0,52698,25807,449,747,1077,1580,4294,86,2364,137002,28251,4.800000190734863,4354084,28251,154.10000610351562,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,27,5,1,0,0,0,56,17.899999618530273,1,0,56,17.899999618530273,27,1,0,27
2020,42,경인여자대학교,전문대학,사립,인천,B그룹,105244,32060,137304,209507,32385,241892,4,6,48786,0,10,48786,35,13,48,6079,404,6483,4504,0,241892,4646,52.09999847412109,6483,241892,2.799999952316284,11433,1677,87,11433,6101,1.899999976158142,347126748906,1199348540,1082078470,6416400,1977519150,724600190,0,95861990,5085824740,329090590000,750000000,1270637000,5300000,1120000000,864000000,0,20000000,4029937000,5085824740,28251,180022.8,5085824740,347126748906,1.5,4860499440,4064059636,5085824740,4.4,1298,1298,0,42,67,37,0,1444,1250,1250,0,40,86,32,0,1408,0,0,394,0,18,25,0,437,5810,0,331,316,35,6492,0,0,0,0,0,0,0,15,0,19,393,5810,1298,4.5,0,1298,0,0,1,0,1,2,0,0,0,0,0,0,2,0,3,5,0,0,0,0,0,0,3,0,4,7,0,0,0,0,0,0,3,0,4,7,277,43,1,1,2,3,4464,1.100000023841858,1,2,4464,.699999988079071,277,3,3,46.20000076293945
2020,43,경일대학교,대학,사립,경북,B그룹,181329,125726,307055,385233,149338,534571,8,8,88586,5,21,88586,366,8,374,10375,914,11289,5771,0,534571,7015,76.19999694824219,11289,534571,2.200000047683716,15918.2998046875,1500,79,15918.2998046875,8142,2,14191668685,33375490,305000,0,7588000,2521670,0,0,43790160,13680683000,32000000,500000,0,12500000,0,0,0,45000000,43790160,1298,33736.6,43790160,14191668685,.3,43582649,42233780,43790160,.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,6,0,1,0,0,1,0,1,0,.5,1.5,0,0,0,0,0,1,5,1,.5,7.5,0,1,0,0,1,1,6,1,.5,8.5,686.2999877929688,130,7,0,1,.5,3913,2.0999999046325684,7,1,3913,2,686.2999877929688,8,0,85.80000305175781
2020,44,경찰대학,기타,기타,충남,-,147790,48820,196610,150823,49360,200183,0,9,2457,0,9,2457,143,55,198,5559,634,6193,6193,0,200183,0,0,6193,200183,3.200000047683716,4713.60009765625,556,36,4713.60009765625,2639,1.7999999523162842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2852,2852,0,81,161,69,0,3163,2853,2853,0,83,193,69,0,3198,0,95124,526,0,35,43,0,604,2305,0,514,505,0,3324,0,0,747,159,4,0,0,0,0,22,991,2305,2852,.800000011920929,95124,2852,33.400001525878906,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,74.5,13,0,0,2,0,4722,.3000000119209289,0,2,4722,.4000000059604645,74.5,0,2,37.29999923706055
2020,45,경희대학교,대학,사립,서울,A그룹,938492,400956,1339448,1966969,616474,2583443,58,40,281367,5,103,281367,284,118,402,26002,5453,31455,28583,12088,2583443,34016,75.9000015258789,31455,2583443,1.2000000476837158,22136,3686,115,22136,18376,1.2000000476837158,29735146705,43964210,5031000,0,5480000,2366161,0,0,56841371,30986980000,48000000,6060000,4800000,5000000,2500000,0,0,66360000,56841371,2852,19930.4,56841371,29735146705,.2,55746612,56098725,56841371,1,21750,19039,2711,1007,1184,674,13850,38465,21509,19021,2488,1008,1459,690,14032,38698,0,951042,8218,554,751,356,2776,12655,56867,6452,12357,4549,27256,107481,0,0,14430,10139,968,479,255,2187,3176,99,2357,63319,21750,2.900000095367432,951042,21750,43.70000076293945,0,2,0,2,4,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,7,0,2,9,0,0,0,0,0,0,7,0,2,9,736,143,2,2,5,0,7141,1.100000023841858,2,5,7141,1,736,3,5,92
