YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_19A,BG3Y_MCS_20B,BG3Y_MCS_21C,BG3Y_BG3Y,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_OEU_EDC,UE_OEU_EP,UE_REU_EDC,UE_REU_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_OE_PTH,SES_OE_PTC,SES_REL_PTH,SES_REL_PTC,SES_OE2_PTH,SES_OE2_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2021,36,경북전문대학교,전문대학,사립,경북,B그룹,93071,10099,103170,124972,12567,137539,1,1,9309,0,2,9309,129,2,131,6693,395,7088,3143,0,137539,2853,48.20000076293945,7088,137539,5.400000095367432,1728.300048828125,434,9,1728.300048828125,0,0,11526398036,23943590,1002000,1055000,0,0,0,0,26000590,12517939000,25000000,3000000,0,0,0,0,0,28000000,26000590,783,33206.4,26000590,11526398036,.2,22185770,21173090,26000590,9.1,6665,6665,0,181,406,129,40,7421,6030,6030,0,605,426,122,53,7236,0,9498,606,0,58,49,20,733,4352,0,486,538,206,5582,0,0,8,13,166,1,1,8,0,38,1138,0,0,4352,6665,.699999988079071,9498,6665,1.399999976158142,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,30,8,1,0,0,0,1845,.5,1,0,1845,.5,30,1,0,30
2021,37,경상국립대학교,대학,국립,경남,A그룹,591709,280738,872447,1221873,450851,1672724,37,54,91077,7,98,91077,491,147,638,20353,15760,36113,28298,98707,1672724,21509,77.80000305175781,36113,1672724,2.200000047683716,22374,1813,121,22374,8202,2.700000047683716,65737215139,101725160,4976240,3182850,0,35115750,0,0,145000000,61988308000,81000000,5000000,3000000,0,38000000,0,0,127000000,145000000,6665,21755.4,145000000,65737215139,.2,149998330,151999020,145000000,-1.6,7814,7814,0,254,133,120,402,8723,7549,7549,0,247,144,134,0,8074,0,249500,1737,0,14,191,3,1945,53986,0,86,723,23,54818,0,0,2000,1000,500,0,0,1,1,3,37,37,684,53986,7814,6.900000095367432,249500,7814,31.89999961853028,15,19,1,2,37,0,0,0,0,0,2,6,3,0,11,0,0,0,0,0,17,25,4,2,48,0,0,0,0,0,17,25,4,2,48,229.5,39,428,26,1232.5,272,35,2,11,0,27380,1.7000000476837158,35,11,27380,1.7000000476837158,1890,39,13,36.29999923706055
2021,38,경성대학교,대학,사립,부산,A그룹,440038,167559,607597,797722,219762,1017484,18,26,107959,3,47,107959,416,29,445,17974,1214,19188,13267,19662,1017484,13025,78.0999984741211,19188,1017484,1.899999976158142,12421,1442,107,12421,6788,1.7999999523162842,100438682929,316465890,0,0,68232000,35039412,0,20000000,439737302,94728795935,278594640,0,4096980,68000000,35000000,0,24006380,409698000,439737302,7814,56275.6,439737302,100438682929,.4,438984907,439899359,439737302,.1,4432,4432,0,123,255,101,82,4993,3845,3845,0,376,250,109,90,4670,0,13692,360,0,70,62,31,523,11480,0,1766,1466,757,15469,0,0,13,62,197,6,3,4,0,1,27,3,3127,11480,4432,2.5999999046325684,13692,4432,3.0999999046325684,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,43,8,23,5,1,0,0,0,1233,.800000011920929,1,0,1233,.800000011920929,66,1,0,66
2021,39,경안대학원대학교,대학원대학,사립,경북,-,7579,0,7579,8438,0,8438,0,0,0,0,0,0,2,0,2,21,76,97,78,0,8438,56,150.6999969482422,97,8438,1.2000000476837158,27957.30078125,3074,147,27957.30078125,15012,1.899999976158142,45204643623,99876870,9736800,0,24510000,4096298,0,16200000,154419968,55189420000,96000000,10000000,1000000,29000000,5000000,0,15000000,156000000,154419968,4432,34842.1,154419968,45204643623,.3,160924177,158193886,154419968,-2,6455,6455,0,173,323,77,0,7028,6208,6208,0,495,325,85,0,7113,0,125297,1473,0,238,233,0,1944,27238,0,1941,2073,0,31252,0,0,3226,3863,76,0,0,2,0,0,0,443,16735,27238,6455,4.199999809265137,125297,6455,19.39999961853028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,40,경운대학교,대학,사립,경북,C그룹,194792,26938,221730,397141,34978,432119,14,8,109327,0,22,109327,260,41,301,9799,1867,11666,5184,3,432119,4464,96.8000030517578,11666,432119,2.799999952316284,11398,1461,85,11398,7830,1.5,76429135097,117507890,4103190,0,0,17343140,0,0,138954220,85487460000,152000000,4000000,0,0,18000000,0,0,174000000,138954220,6455,21526.6,138954220,76429135097,.2,143998910,186263899,138954220,2,1655,1655,0,52,76,32,0,1815,1845,1845,0,140,87,34,0,2106,0,350,2,0,4,2,0,8,83,0,19,2,0,104,0,0,3,0,0,0,0,0,0,0,0,0,0,83,1655,.1000000014901161,350,1655,.2000000029802322,0,1,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,2,0,2,0,1,3,21,3,66,10,120,27,2,1,0,0,2736,1,2,0,2736,.699999988079071,207,3,0,69
2021,41,경인교육대학교,대학,국립,인천,C그룹,206579,29461,236040,566684,37288,603972,16,11,75051,2,29,75051,165,15,180,16526,2380,18906,11843,23826,603972,3913,154.39999389648438,18906,603972,3.200000047683716,11433,1709,73,11433,5874,1.899999976158142,17698256363,0,0,0,8273000,0,0,0,8273000,26259905000,21000000,0,962000,8438000,0,0,2000000,32400000,8273000,1655,4998.8,8273000,17698256363,0,20541000,10188210,8273000,-34.6,27862,22303,5559,1348,1618,963,0,31791,27380,21556,5824,1360,1752,1073,11312,42877,0,1306658,4843,1005,774,343,3671,10636,32474,10695,11561,4482,113366,172578,0,0,19142,17590,489,692,1116,1754,6414,0,0,111,1630,43169,27862,1.5,1306658,27862,46.900001525878906,6,21,1,0,28,0,2,0,0,2,1,3,0,0,4,0,0,0,0,0,7,24,1,0,32,0,2,0,0,2,7,26,1,0,34,148.5,49,943.5,247,1111.300048828125,233,30,0,4,0,20962,1.600000023841858,30,4,20962,1.600000023841858,2203.300048828125,29,3,68.9000015258789
2021,42,경인여자대학교,전문대학,사립,인천,B그룹,106983,33082,140065,209961,33953,243914,9,8,91588,0,17,91588,33,13,46,5684,5090,10774,8914,8752,243914,4722,51.70000076293945,10774,243914,4.599999904632568,15918.2998046875,1636,77,15918.2998046875,7406,2.0999999046325684,357671453238,962407740,1009524750,4450640,2071628710,733082500,0,177393600,4958487940,349899040000,755850000,1228890000,3700000,2070000000,738000000,0,20000000,4816440000,4958487940,27862,177966,4958487940,357671453238,1.4,4064059636,5085824740,4958487940,11.3,1250,1250,0,40,86,32,0,1408,1233,1233,0,128,88,35,0,1484,0,0,152,0,16,20,2,190,5789,0,454,366,30,6639,0,0,0,0,0,0,0,0,0,0,0,0,0,5789,1250,4.599999904632568,0,1250,0,2,5,0,0,7,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,2,12,0,0,14,0,0,0,0,0,2,12,0,0,14,397,222,360,128,157,32,7,0,7,0,12972,1,7,7,12972,1.100000023841858,914,8,5,70.30000305175781
2021,43,경일대학교,대학,사립,경북,B그룹,198158,135228,333386,396896,153842,550738,16,11,138078,5,32,138078,353,2,355,9948,6221,16169,10059,0,550738,7141,77.0999984741211,16169,550738,3,4713.60009765625,556,41,4713.60009765625,2657,1.7999999523162842,12099546584,30914030,270000,0,7680000,4114993,0,0,42979023,13490819000,32000000,500000,0,12500000,0,0,0,45000000,42979023,1250,34383.2,42979023,12099546584,.4,42233780,43790160,42979023,.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,3,1,1,0,0,0,58,17.200000762939453,1,0,58,17.200000762939453,3,1,0,3
2021,44,경찰대학,기타,기타,충남,-,153380,49950,203330,156910,50956,207866,0,11,2457,0,11,2457,143,55,198,5460,759,6219,6219,0,207866,0,0,6219,207866,3.0999999046325684,22136,3696,115,22136,18005,1.2000000476837158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2853,2853,0,83,193,69,0,3198,2736,2736,0,279,198,72,0,3285,0,99600,272,0,26,52,2,352,1407,0,153,522,7,2089,0,0,716,179,4,1,0,0,0,0,0,1,188,1407,2853,.5,99600,2853,34.900001525878906,0,1,0,1,2,0,0,0,0,0,0,2,0,3,5,0,0,0,0,0,0,3,0,4,7,0,0,0,0,0,0,3,0,4,7,0,0,45,3,251.5,49,1,1,2,3,4518,1.100000023841858,1,2,4518,.699999988079071,296.5,2,5,42.400001525878906
2021,45,경희대학교,대학,사립,서울,A그룹,952808,403017,1355825,1982815,624039,2606854,59,40,385170,5,104,385170,50,58,108,29461,5726,35187,31041,9757,2606854,33373,78.0999984741211,35187,2606854,1.399999976158142,11878.900390625,2005,75,11878.900390625,7514,1.600000023841858,29004842600,34289770,5026000,0,5000000,2598245,0,0,46914015,29549236000,33600000,5060000,1000000,5000000,2500000,0,14400000,61560000,46914015,2853,16443.7,46914015,29004842600,.2,56098725,56841371,46914015,-8.1,21509,19021,2488,1008,1459,690,14032,38698,20962,18301,2661,1019,1451,880,15240,39552,0,286869,5504,531,753,439,2474,9701,34858,5352,11597,4945,30159,86911,0,0,5661,3352,558,378,227,1233,7150,1,27,11,123,40210,21509,1.899999976158142,286869,21509,13.300000190734863,2,3,1,1,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,1,1,7,0,1,0,0,1,2,4,1,1,8,7,3,188.3999938964844,30,312.3999938964844,75,7,1,0,0,3973,2,7,0,3973,1.7999999523162842,507.7999877929688,7,1.5,59.70000076293945
