YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_20A,BG3Y_MCS_21B,BG3Y_MCS_22C,BG3Y_BG3Y,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_OEU_EDC,UE_OEU_EP,UE_REU_EDC,UE_REU_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_OE_PTH,SES_OE_PTC,SES_OE2_PTH,SES_OE2_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2022,36,경북전문대학교,전문대학,사립,경북,B그룹,96261,10099,106360,128207,12567,140774,1,1,10429,0,2,10429,129,2,131,2761,474,3235,3192,0,140774,2736,51.5,3235,140774,2.400000095367432,200,24,3,200,22,9.100000381469728,12306482482,23748940,2487900,1244500,0,0,0,0,27481340,13561883000,22000000,2700000,0,0,0,0,0,24700000,27481340,728,37749.1,27481340,12306482482,.2,21173090,26000590,27481340,14.2,6030,6030,0,179,426,122,53,6810,6010,6010,0,175,435,119,87,6826,0,20902,629,0,53,50,33,765,7237,0,406,659,112,8414,0,0,10,20,83,0,0,0,0,46,1182,0,0,7237,6030,1.2000000476837158,20902,6030,3.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,17.5,3,11,3,1,0,0,0,1834,.5,1,0,1834,.5,28.5,1,0,28.5
2022,37,경상국립대학교,대학,국립,경남,A그룹,847527,297160,1144687,1164039,450657,1614696,44,46,307938,5,95,307938,319,176,495,395342,6392,401734,371802,97578,1614696,20962,77,401734,1614696,33.099998474121094,1728.300048828125,434,4,1728.300048828125,0,0,63091520029,87988350,4859840,1734570,0,35717150,0,0,130299910,62717122000,86000000,5000000,2000000,0,38000000,0,0,131000000,130299910,6030,21608.6,130299910,63091520029,.2,151999020,145000000,130299910,-7.4,7549,7549,0,247,144,134,0,8074,7067,7067,0,234,164,132,0,7597,0,250000,2099,0,20,64,1,2184,14452,0,270,1002,1,15725,0,0,2500,1500,1000,247,221,11,0,0,0,93,556,14452,7549,1.899999976158142,250000,7549,33.099998474121094,14,13.5,0,3,30.5,0,0,0,0,0,2,11.5,1,1,15.5,0,0,0,0,0,16,25,1,4,46,0,0,0,0,0,16,25,1,4,46,1422.699951171875,318,1250.0999755859375,366,27.5,3,14.5,1,26917,1.600000023841858,27.5,14.5,26917,1.600000023841858,2672.800048828125,37,11,55.70000076293945
2022,38,경성대학교,대학,사립,부산,A그룹,452514,169659,622173,815592,221957,1037549,21,27,121728,3,51,121728,160,3,163,15381,4735,20116,15232,51,1037549,12972,80,20116,1037549,2,22374,1818,121,22374,7813,2.900000095367432,111465860852,293378500,0,0,78648000,24452726,0,33000000,429479226,87672994864,259500240,0,3816180,70000000,18301580,0,30000000,381618000,429479226,7549,56892.2,429479226,111465860852,.4,439899359,439737302,429479226,-1.2,3845,3845,0,126,250,109,90,4420,3790,3790,0,125,226,99,119,4359,0,24917,563,0,74,54,23,714,9351,0,1828,1347,540,13066,0,0,15,55,130,8,3,29,0,7,82,4,1746,9351,3845,2.400000095367432,24917,3845,6.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,49.5,8,19,4,1,0,0,0,1250,.800000011920929,1,0,1250,.800000011920929,68.5,1,0,68.5
2022,39,경안대학원대학교,대학원대학,사립,경북,-,7664,0,7664,8524,0,8524,0,0,0,0,0,0,2,0,2,4,82,86,84,360,8524,58,147,86,8524,1,12421,1442,107,12421,6376,1.899999976158142,43746419691,77795140,7530600,0,25344000,4331864,0,11100000,126101604,47740264000,90000000,10000000,1000000,29000000,5000000,0,15000000,150000000,126101604,3845,32796.3,126101604,43746419691,.3,158193886,154419968,126101604,-10.4,6208,6208,0,170,325,85,0,6788,6134,6134,0,166,364,74,0,6738,0,126790,3659,0,492,252,0,4403,28468,0,10157,2710,0,41335,0,0,3600,3650,10,220,218,3,3,430,16626,0,0,28468,6208,4.599999904632568,126790,6208,20.39999961853028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,40,경운대학교,대학,사립,경북,C그룹,198764,27014,225778,407419,35059,442478,13,9,120861,0,22,120861,253,39,292,6872,3487,10359,4048,3,442478,4518,97.9000015258789,10359,442478,2.400000095367432,27957.30078125,3109,147,27957.30078125,14787,1.899999976158142,77729930125,122509690,4175446,0,0,17887000,0,0,144572136,85816200000,136000000,4000000,0,0,18000000,0,0,158000000,144572136,6208,23288,144572136,77729930125,.2,186263899,138954220,144572136,-10.7,1845,1845,0,53,87,34,0,2019,1834,1834,0,51,92,30,0,2007,0,285,9,0,4,5,0,18,20,0,37,19,0,76,0,0,0,5,0,0,0,0,0,0,0,0,0,20,1845,0,285,1845,.2000000029802322,0,1,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,2,0,2,0,1,3,74.5,14,84,15,2,1,0,0,2643,1.100000023841858,2,0,2643,.800000011920929,158.5,3,0,52.79999923706055
2022,41,경인교육대학교,대학,국립,인천,C그룹,212284,29590,241874,562852,37180,600032,18,15,85582,2,35,85582,134,0,134,14919,1069,15988,9878,19995,600032,3973,151,15988,600032,2.700000047683716,11398,1461,93,11398,7502,1.5,19731808017,1913760,0,0,8438000,0,0,0,10351760,22138865000,16394000,0,0,8606000,0,0,15000000,40000000,10351760,1845,5610.7,10351760,19731808017,.1,10188210,8273000,10351760,3.2,27380,21556,5824,1360,1752,1073,11312,42877,26917,21028,5889,1392,1819,1055,13432,44615,0,2637905,6452,1612,890,603,5718,15275,55261,19290,17208,9233,122427,223419,0,0,20496,17157,679,979,1292,1712,7508,192,3017,0,0,74551,27380,2.700000047683716,2637905,27380,96.3000030517578,7,17,1,0,25,0,0,0,0,0,2,3,0,0,5,0,0,0,0,0,9,20,1,0,30,0,0,0,0,0,9,20,1,0,30,914,296,988.2000122070312,288,25,0,5,0,20144,1.399999976158142,25,5,20144,1.5,1902.199951171875,24,4,67.9000015258789
2022,42,경인여자대학교,전문대학,사립,인천,B그룹,111307,34081,145388,215333,34095,249428,15,11,103369,0,26,103369,85,6,91,5078,436,5514,4452,0,249428,4585,54.400001525878906,5514,249428,2.299999952316284,11367.099609375,1709,73,11367.099609375,5790,2,373713606853,927081330,1161405120,3795360,2121963190,1069953830,0,246023220,5530222050,347107740000,792640000,1186560000,3800000,1980000000,726800000,0,34200000,4724000000,5530222050,27380,201980.4,5530222050,373713606853,1.5,5085824740,4958487940,5530222050,4.5,1233,1233,0,40,88,35,0,1396,1250,1250,0,39,100,53,0,1442,0,0,249,0,16,18,3,286,4260,0,202,195,141,4798,0,0,0,0,0,0,0,0,0,0,0,0,0,4260,1233,3.5,0,1233,0,1,3,0,2,6,0,0,0,0,0,0,5,0,4,9,0,0,0,0,0,1,8,0,6,15,0,0,0,0,0,1,8,0,6,15,931.5,480,316,82,4,2,5,4,12391,.8999999761581421,4,5,12391,.699999988079071,1247.5,7,7,89.0999984741211
2022,43,경일대학교,대학,사립,경북,B그룹,190003,130755,320758,387779,139839,527618,19,13,149220,6,38,149220,348,2,350,10671,560,11231,4822,34354,527618,7141,73.9000015258789,11231,527618,2.200000047683716,15918.2998046875,1636,77,15918.2998046875,7190,2.200000047683716,12342880479,31338250,180000,0,7764000,4338770,0,0,43621020,11542047000,33000000,500000,0,13000000,0,0,0,46500000,43621020,1233,35378,43621020,12342880479,.4,43790160,42979023,43621020,-.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,8.5,2,21,5,1,0,0,0,48,20.799999237060547,1,0,48,20.799999237060547,29.5,1,0,29.5
2022,44,경찰대학,기타,기타,충남,-,171352,52023,223375,171330,52021,223351,0,11,0,0,11,0,143,55,198,14746,763,15509,15509,0,223351,0,0,15509,223351,7.5,4713.60009765625,556,41,4713.60009765625,2622,1.7999999523162842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2736,2736,0,81,198,72,0,3087,2643,2643,0,77,167,76,0,2963,0,95600,369,0,24,42,0,435,1671,0,141,412,0,2224,0,0,608,152,8,0,0,2,0,2,64,0,0,1671,2736,.6000000238418579,95600,2736,34.900001525878906,0,2,0,0,2,0,0,0,0,0,0,1,0,4,5,0,0,0,0,0,0,3,0,4,7,0,0,0,0,0,0,3,0,4,7,47,7,238.5,45,2,0,1,4,4345,1.100000023841858,2,1,4345,.699999988079071,285.5,2,5,40.79999923706055
2022,45,경희대학교,대학,사립,서울,A그룹,967591,404852,1372443,2000747,631563,2632310,68,45,453983,6,119,453983,39,38,77,26765,4814,31579,28205,6143,2632310,34454,76.4000015258789,31579,2632310,1.2000000476837158,23094,4185,99,23094,17563,1.2999999523162842,28528228739,36306360,5018000,0,5000000,2510548,0,0,48834908,29756995000,29212000,5300000,1000000,5000000,2700000,0,12948000,56160000,48834908,2736,17849,48834908,28528228739,.2,56841371,46914015,48834908,-6.7,20962,18301,2661,1019,1451,874,15231,39537,20144,17479,2665,1026,1478,828,15019,38495,0,353495,6292,616,870,507,3023,11308,41522,7930,13549,8232,29196,100429,0,0,7368,3174,794,338,200,1512,677,22,141,2,8,49452,20962,2.400000095367432,353495,20962,16.899999618530273,0,3,1,1,5,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,1,5,1,1,0,0,2,1,4,1,1,7,397,81,211.1999969482422,60,6,1,0,0,3844,1.7999999523162842,6,0,3844,1.600000023841858,608.2000122070312,8,0,76
