YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_PKG,ER_ELV_PKG,ER_TTL_PKG,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_22A,BG3Y_MCS_23B,BG3Y_MCS_24C,BG3Y_BG3Y,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_OEU_EDC,UE_OEU_EP,UE_REU_EDC,UE_REU_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_OE_PTH,SES_OE_PTC,SES_OE2_PTH,SES_OE2_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2024,38,경성대학교,대학,사립,부산,A그룹,459442,176039,635481,766967,223409,990376,19,32,4,3,58,108,0,108,11019,3747,14766,12027,318,990376,12478,79.4000015258789,14766,990376,1.5,1728.300048828125,434,1,1728.300048828125,0,0,63562196130,76355700,282000,1942740,21060000,21359560,0,0,121000000,57841377000,75700000,300000,0,21500000,22500000,0,0,120000000,121000000,5573,21711.8,121000000,63562196130,.2,130299910,131000000,121000000,-3.5,5573,5573,0,171,459,115,111,6429,5101,5101,0,159,441,117,82,5900,0,25016,512,0,72,75,56,715,3240,0,476,531,444,4691,0,0,0,0,0,0,0,2,0,25,1026,0,0,3240,5573,.6000000238418579,25016,5573,4.5,15,19,1,4,39,0,0,0,0,0,1,13,1,2,17,0,0,0,0,0,16,32,2,6,56,0,0,0,0,0,16,32,2,6,56,1133,302,804.7999877929688,213,35,4,15,2,28016,1.7999999523162842,35,15,28016,1.7999999523162842,1937.800048828125,37,18.5,34.900001525878906
2024,39,경안대학원대학교,대학원대학,사립,경북,-,7717,0,7717,8581,0,8581,0,0,0,0,0,2,0,2,15,0,15,15,0,8581,48,178.8000030517578,15,8581,.2000000029802322,21940.900390625,1444,63,21940.900390625,7495,2.900000095367432,125163211420,263669750,0,0,83736000,42096127,0,20000000,409501877,120846279736,242818560,0,3794040,79791400,43000000,0,20000000,389404000,409501877,7060,58003.1,409501877,125163211420,.3,429479226,391735651,409501877,-2.1,7060,7060,0,229,159,133,7066,14647,7036,7036,0,219,164,144,7066,14629,0,250000,1559,0,25,58,5,1647,7435,0,180,871,57,8543,0,0,0,0,0,1,7,6,0,18,35,2,389,7435,7060,1.100000023841858,250000,7060,35.400001525878906,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,32,5,27.39999961853028,10,1,0,0,0,1315,.800000011920929,1,0,1315,.800000011920929,59.400001525878906,1,0,59.400001525878906
2024,40,경운대학교,대학,사립,경북,C그룹,205170,27599,232769,420173,35644,455817,15,16,4,0,35,185,16,201,4156,780,4936,2098,0,455817,4569,99.8000030517578,4936,455817,1.100000023841858,12093.5,1285,64,12093.5,6044,2,43277845578,89613070,8343600,0,25551000,20828739,0,3300000,147636409,52456642000,91000000,10000000,0,26000000,6000000,0,4000000,137000000,147636409,3896,37894.4,147636409,43277845578,.3,126101604,133888273,147636409,8.2,3896,3896,0,116,230,116,142,4500,4054,4054,0,118,239,123,148,4682,0,59093,1364,0,76,72,55,1567,13948,0,1961,1707,506,18122,0,0,0,0,0,1,3,4,0,42,1169,3,1080,13948,3896,3.5999999046325684,59093,3896,15.199999809265137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,41,경인교육대학교,대학,국립,인천,C그룹,227373,32657,260030,560808,40281,601089,19,18,4,2,43,65,0,65,12326,1092,13418,6306,11049,601089,3727,161.3000030517578,13418,601089,2.299999952316284,27957.30078125,3020,110,27957.30078125,14840,1.899999976158142,78438001833,136856610,3626000,0,364211,18934943,0,0,159781764,72431258214,136500000,3600000,0,400000,19500000,0,0,160000000,159781764,6104,26176.6,159781764,78438001833,.2,144572136,158824882,159781764,5.2,6104,6104,0,158,397,92,0,6751,6147,6147,0,161,368,98,0,6774,0,68978,3536,0,39,22,10,3607,26581,0,554,279,56,27470,0,0,0,0,0,1,4,1,0,0,0,4,3231,26581,6104,4.400000095367432,68978,6104,11.300000190734863,0,1,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,2,0,2,0,1,3,85,17,97,24,2,1,0,0,2568,1.100000023841858,2,0,2568,.800000011920929,182,3,0,60.70000076293945
2024,42,경인여자대학교,전문대학,사립,인천,B그룹,118962,32180,151142,227311,32546,259857,14,14,4,0,32,84,2,86,4004,397,4401,3773,0,259857,3859,67.30000305175781,4401,259857,1.7000000476837158,11398,1371,94,11398,7205,1.600000023841858,23306828438,0,0,0,8778000,0,0,0,8778000,24862193000,6047000,0,0,8953000,0,0,0,15000000,8778000,1800,4876.7,8778000,23306828438,0,10351760,8606000,8778000,-7.4,1800,1800,0,52,88,30,0,1970,1979,1979,0,53,90,31,0,2153,0,2092,48,0,9,6,0,63,141,0,44,15,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,141,1800,.1000000014901161,2092,1800,1.2000000476837158,7,17,1,0,25,0,0,0,0,0,3,4,0,0,7,0,0,0,0,0,10,21,1,0,32,0,0,0,0,0,10,21,1,0,32,992.9000244140624,384,1049.5999755859375,325,25,0,7,0,20128,1.5,25,7,20128,1.600000023841858,2042.5,26,5,65.9000015258789
2024,43,경일대학교,대학,사립,경북,B그룹,198966,130833,329799,406051,140275,546326,19,20,7,8,54,197,2,199,7757,705,8462,4210,0,546326,7116,76.80000305175781,8462,546326,1.600000023841858,11648.099609375,1682,71,11648.099609375,5654,2.0999999046325684,496435430666,869673360,712491820,3895520,2661514286,1064186044,135993500,33300000,5481054530,397048826000,600000000,778120000,4000000,2010000000,205880000,0,0,3598000000,5481054530,27587,198682.5,5481054530,496435430666,1.1,5530222050,5530551432,5481054530,-.4,27587,21658,5929,1396,1863,1085,21972,53903,28016,22027,5989,1410,1964,1047,11846,44283,0,2998284,7358,1450,1004,831,5758,16401,102696,24192,22638,15823,87767,253116,0,0,0,0,0,945,1267,943,3220,329,7702,12,614,126888,27587,4.599999904632568,2998284,27587,108.6999969482422,1,2,0,1,4,0,0,0,0,0,0,10,0,3,13,0,0,0,0,0,1,12,0,4,17,0,0,0,0,0,1,12,0,4,17,183.5,58,789.0999755859375,231,3,1,10,3,12866,1,3,10,12866,1,972.5999755859376,6,11,57.20000076293945
2024,44,경찰대학,기타,기타,충남,-,137363,38695,176058,171858,52474,224332,6,3,0,0,9,88,20,108,3174,1336,4510,4308,0,224332,0,0,4510,224332,2.0999999046325684,15918.2998046875,1685,145,15918.2998046875,6436,2.5,12412274772,32947040,99000,0,7948000,4831809,0,0,45825849,13017086000,33500000,500000,0,13000000,0,0,0,47000000,45825849,1291,35496.4,45825849,12412274772,.4,43621020,39372505,45825849,3.3,1291,1291,0,44,100,48,0,1483,1315,1315,0,46,92,61,0,1514,0,45049,358,0,14,14,3,389,4961,0,138,224,44,5367,0,0,0,0,0,1,0,0,0,16,280,0,0,4961,1291,3.799999952316284,45049,1291,34.900001525878906,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,9,2,24,7,1,0,0,0,60,16.700000762939453,1,0,60,16.700000762939453,33,1,0,33
2024,45,경희대학교,대학,사립,서울,A그룹,976668,537027,1513695,1980984,670058,2651042,64,56,11,5,136,43,33,76,31478,8960,40438,36138,59461,2651042,34535,76.80000305175781,40438,2651042,1.5,4713.60009765625,556,41,4713.60009765625,2628,1.7999999523162842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,3,0,4,7,0,0,0,0,0,0,3,0,4,7,48,12,198.5,44,2,1,1,3,4980,1,2,1,4980,.6000000238418579,246.5,3,4,35.20000076293945
2024,46,계명대학교,대학,사립,대구,A그룹,537775,354535,892310,1592706,488558,2081264,39,61,6,3,109,1344,164,1508,30890,6027,36917,27198,47069,2081264,22747,91.5,36917,2081264,1.7999999523162842,25284,4060,55,25284,17886,1.399999976158142,38665808978,27448880,5789400,0,9655000,2985456,0,0,45878736,39007015000,34255000,6500000,245000,10000000,3000000,0,0,54000000,45878736,2521,18198.6,45878736,38665808978,.1,48834908,52204768,45878736,-2.6,2521,2521,0,73,151,76,0,2821,2568,2568,0,75,142,79,0,2864,0,98400,342,0,21,42,0,405,4779,0,93,578,0,5450,0,0,0,0,0,0,0,0,0,12,611,0,0,4779,2521,1.899999976158142,98400,2521,39,0,3,1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,1,0,0,0,1,1,3,1,0,5,193.3000030517578,52,322.9000244140625,87,5,0,0,0,3670,1.399999976158142,5,0,3670,1.399999976158142,516.2000122070312,6,0,86
2024,47,계명문화대학교,전문대학,사립,대구,A그룹,165737,8118,173855,206289,11340,217629,13,15,5,1,34,35,0,35,2954,286,3240,3227,5151,217629,4505,48.29999923706055,3240,217629,1.5,11928,1599,51,11928,7160,1.7000000476837158,412649372144,833658170,524140000,0,2113810026,829996478,36196631,40730000,4378531305,268025862000,668121000,565152000,0,1638000000,902427000,37000000,53000000,3863700000,4378531305,20208,216673.2,4378531305,412649372144,1.1,4087438309,4067984856,4378531305,3.6,20208,17631,2577,1027,1468,831,16385,39919,20128,17515,2613,1037,1512,846,12481,36004,0,1203863,8098,682,698,350,938,10766,75457,8563,14560,6248,12396,117224,0,0,0,0,0,474,348,1602,657,77,723,106,2915,84020,20208,4.199999809265137,1203863,20208,59.59999847412109,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,77.5,16,103,21,0,0,2,0,3544,.5,0,2,3544,.6000000238418579,180.5,0,2,90.3000030517578
