YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCC,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_SPC,FACLT_EQP_UPC,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCC,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_14A,BG3Y_MCS_15B,BG3Y_MCS_16C,BG3Y_BG3Y,VUC_SCC,VUC_VTC_UGRD,VUC_VTC_GRAD,VUC_VTC_FFAC,VUC_VTC_PFAC,VUC_VTC_STF,VUC_VTC_OTH,VUC_VTC_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCC,LPS_LPS,VPS_VC,VPS_SCC,VPS_VPS,STF_FT_HLIBC,STF_FT_NLIBC,STF_PT_HLIBC,STF_PT_NLIBC,STF_TTL_HLIBC,STF_TTL_NLIBC,STF_TTL_SUM,LIBCS_FT_SL1,LIBCS_FT_SL2,LIBCS_FT_ALIB,LIBCS_FT_TTL,LIBCS_PT_SL1,LIBCS_PT_SL2,LIBCS_PT_ALIB,LIBCS_PT_TTL,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCP,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2016,1,서울대학교,64.92,200,대학,국립,서울,A그룹,677510,1131562,1809072,2604757,2756008,5360765,82,73,836147,0,155,940231,789,2435,3224,48535,28067,76602,70675,144,5360765,28630,187.1999969482422,76602,5360765,1.399999976158142,76051,9614,276,653,929,76051,28630,2.700000047683716,891525652668,1700770839,1047388312,35000000,6550714424,1101198321,0,0,10435071896,784460766000,2215000000,1060000000,35000000,6140000000,1240000000,0,0,10690000000,10435071896,28630,364480.3,10435071896,891525652668,1.2,9337309020,9854134830,10435071896,5.7,28630,16511,12119,2248,2237,1087,14161,48363,102,3837948,10018,9609,1336,1719,1675,24357,187066,204762,33712,31526,32547,489613,0,0,1893,3190,1514,3844,1363,3117,8191,440,72759,391828,28630,13.699999809265137,3837948,28630,134.10000610351562,87,10,9,9,96,19,115,22,54,11,87,0,7,2,9,4981,186,87,10,9,9,28630,3.700000047683716,87,9,28630,3.400000095367432,4981,97,18,43.29999923706055
2016,2,연세대학교,50.25,272,대학,사립,서울,A그룹,949894,632985,1582879,1713617,940593,2654210,64,115,421199,0,179,534905,1740,1033,2773,194487,18888,213375,174764,21299,2654210,31007,85.5999984741211,213375,2654210,8.699999809265137,68914,6923,185,966,1151,68914,31007,2.200000047683716,1141049597000,1050045210,290207775,49082841,4762209796,1351045628,0,219989615,7722580865,1001254869000,1200000000,600000000,50000000,4652000000,1213000000,0,95000000,7810000000,7722580865,31007,249059.3,7722580865,1141049597000,0.7,7724384069,7336528754,7722580865,0.1,31007,19465,11542,1648,2539,841,5896,41931,74,3637569,20227,8698,1390,1993,1486,33794,275336,165511,31781,25519,51244,549391,0,0,65265,19855,2869,5119,7482,2975,30404,221,16668,440847,31007,14.199999809265137,3637569,31007,117.3000030517578,43,4,34,23,77,27,104,12,31,0,43,0,25,9,34,1260,190,43,4,34,23,31007,2.700000047683716,43,34,31007,2.5,1260,47,57,12.100000381469728
2016,3,한국과학기술원,49.11,373,대학,국립,대전,A그룹,222105,279727,501832,302214,332542,634756,68,65,167552,0,133,221717,238,116,354,24903,5254,30157,27945,728,634756,10633,59.70000076293945,30157,634756,5.0,19426,1572,51,60,111,19426,10633,1.7999999523162842,705418638000,532500000,36919000,0,3824858000,1090215000,0,543203000,6027695000,915821315000,532500000,36589000,0,4402427000,941752000,0,120202000,6033470000,6027695000,10633,566885.6,6027695000,705418638000,0.9,4370521478,5380416000,6027695000,17.6,10633,3932,6701,622,505,1772,515,14047,17,1757388,2859,4221,284,708,105,8177,60711,97669,6565,16914,37211,219070,0,0,2791,3491,1937,99,8,605,1629,52,2131,158380,10633,14.899999618530272,1757388,10633,165.3000030517578,14,2,10,7,24,9,33,6,8,0,14,0,10,0,10,2294,179,14,2,10,7,10633,2.5,14,10,10633,2.299999952316284,2294,16,17,69.5
2016,4,고려대학교,49.01,50,대학,사립,서울,A그룹,562082,738336,1300418,1451193,1326832,2778025,90,110,301095,0,200,370858,1775,1765,3540,34511,11457,45968,31334,2654,2778025,29540,94.0,45968,2778025,1.7000000476837158,49778,8085,180,712,892,49778,29540,1.7000000476837158,673289485000,683100095,571785222,10316100,3319740776,1593031785,0,573329795,6751303773,715876961000,564626371,572840000,9498626,3542168000,1686863000,0,550470000,6926465997,6751303773,29540,228547.9,6751303773,673289485000,1.0,6511932705,6629572916,6751303773,1.8,29540,20416,9124,1446,2828,853,3064,37731,69,6449384,17968,6109,965,741,1050,26833,224895,139997,18585,10361,69232,463070,0,0,25454,36811,5964,3167,3932,4797,9729,247,3019,364892,29540,12.399999618530272,6449384,29540,218.3000030517578,30,3,15,4,45,7,52,14,15,1,30,0,14,1,15,1241,187,30,3,15,4,29540,1.600000023841858,30,15,29540,1.5,1241,33,19,23.89999961853028
2016,5,포항공과대학교,47.73,367,대학,사립,경북,C그룹,91768,179800,271568,124642,198912,323554,28,11,221767,0,39,230083,120,115,235,4882,1604,6486,3775,173,323554,3238,99.9000015258789,6486,323554,2.0,22241,1303,19,78,97,22241,3238,6.900000095367432,179497693000,53195901,181932222,4921287,3078064174,273573619,0,129772122,3721459325,187891513000,60709386,170000000,4000000,3110920771,276493863,0,122447980,3744572000,3721459325,3238,1149308.0,3721459325,179497693000,2.1,3403943627,3307187190,3721459325,4.8,3238,1472,1766,270,157,404,5633,9702,12,363169,1547,2174,356,371,1675,6123,8947,9368,2083,2655,271481,294534,0,0,20,183,89,42,15,760,1287,18,988,18315,3238,5.699999809265137,363169,3238,112.1999969482422,8,0,1,2,9,2,11,2,3,3,8,0,1,0,1,785,81,8,0,1,2,3238,3.0,8,1,3238,2.799999952316284,785,8,3,71.4000015258789
2016,6,성균관대학교,47.16,227,대학,사립,서울,A그룹,677115,462203,1139318,1208080,709176,1917256,81,110,283093,0,191,360838,820,486,1306,32537,10267,42804,23005,23312,1917256,26654,71.9000015258789,42804,1917256,2.299999952316284,43318,7991,202,754,956,43318,26654,1.600000023841858,591436703000,1544765889,675064145,29363690,2149355221,1302057302,0,41887791,5742494038,617345308000,1691646316,599000000,35000000,2193000000,1293300000,0,40000000,5851946316,5742494038,26654,215445.9,5742494038,591436703000,1.0,5702510798,5725260956,5742494038,0.3,26654,19224,7430,1426,803,414,16099,45396,80,3955106,14324,4210,815,293,5404,25046,180260,71390,14662,6128,135080,407520,0,0,41143,17491,13849,2605,1448,5165,1492,252,6256,251650,26654,9.399999618530272,3955106,26654,148.39999389648438,19,3,29,6,48,9,57,9,10,0,19,0,15,14,29,3478,257,19,3,29,6,26654,1.7999999523162842,19,29,26654,1.7999999523162842,3478,22,35,61.0
2016,7,한양대학교,47.08,443,대학,사립,서울,A그룹,581303,375425,956728,967679,558185,1525864,37,48,108367,0,85,219116,1492,344,1836,43951,11724,55675,52018,15427,1525864,22624,67.4000015258789,55675,1525864,3.799999952316284,25699,4232,143,233,376,25699,22624,1.100000023841858,495625559000,524397757,130240615,8000930,2611853711,737969966,0,90346021,4102809000,483741196000,481000000,151190000,8000000,2555300000,723160000,0,85000000,4003650000,4102809000,22624,181347.6,4102809000,495625559000,0.8,4797774435,3899982189,4102809000,-6.8,22624,15499,7125,1012,2328,660,18899,45523,67,2232806,12471,5996,672,592,248,19979,175321,71121,11578,7670,2613,268303,0,0,9527,21496,675,312,362,753,3430,115,4140,246442,22624,10.899999618530272,2232806,22624,98.6999969482422,22,1,3,0,25,1,26,11,9,2,22,0,2,1,3,546,134,22,1,3,0,22624,1.100000023841858,22,3,22624,1.100000023841858,546,23,3,21.0
2016,8,경북대학교,45.71,33,대학,국립,대구,A그룹,888976,465847,1354823,2212352,963742,3176094,32,55,155310,0,87,202402,1468,969,2437,37862,24706,62568,45233,0,3176094,30296,104.8000030517578,62568,3176094,2.0,35961,5414,151,499,650,35961,30296,1.2000000476837158,319675298000,838386000,1554217000,6321000,1794408780,839600620,0,118787600,5151721000,311604081000,803000000,1602600000,7000000,1823305800,857630840,0,71463360,5165000000,5151721000,30296,170046.2,5151721000,319675298000,1.6,4623237000,4720425000,5151721000,5.6,30296,23702,6594,1262,1628,739,15384,49309,151,988361,18650,3845,1373,455,1429,25752,161543,49083,23284,6244,29634,269788,0,0,83470,33012,2620,675,1159,2434,3840,121,5630,210626,30296,7.0,988361,30296,32.599998474121094,41,6,9,1,50,7,57,13,24,4,41,1,7,1,9,4068,450,41,6,9,1,30296,1.7999999523162842,41,9,30296,1.7000000476837158,4068,47,10,71.4000015258789
2016,9,부산대학교,45.24,178,대학,국립,부산,A그룹,735356,352446,1087802,1577857,665326,2243183,37,42,154284,0,79,269926,1436,1312,2748,48100,21830,69930,42897,0,2243183,29618,75.69999694824219,69930,2243183,3.200000047683716,35855,5708,115,279,394,35855,29618,1.2000000476837158,324000370000,1204416340,619556660,23907040,3371529150,702377910,0,131492540,6053279640,317222154000,1160000000,630780000,20000000,2240852000,630300000,0,108803000,4790735000,6053279640,29618,204378.4,6053279640,324000370000,1.9,5636365000,5351167670,6053279640,4.0,29618,21488,8130,1350,1871,730,1835,35404,100,3578196,16470,4676,1105,1094,1589,24934,206518,85606,33106,17853,29234,372317,0,0,65285,14806,994,510,1539,4462,1997,435,8301,292124,29618,9.899999618530272,3578196,29618,120.8000030517578,47,1,3,2,50,3,53,17,30,0,47,0,3,0,3,3954,517,47,1,3,2,29618,1.7000000476837158,47,3,29618,1.7000000476837158,3954,48,5,74.5999984741211
2016,10,전남대학교,45.24,321,대학,국립,광주,A그룹,486059,327282,813341,1259115,469795,1728910,37,32,41184,0,69,97700,1215,362,1577,32266,21787,54053,32360,148,1728910,24944,69.30000305175781,54053,1728910,3.200000047683716,34097,4629,76,170,246,34097,24944,1.399999976158142,309623309000,662384988,172449675,9914610,1928578560,367932920,0,0,3141260753,274582264000,692140000,135516000,0,1546162400,437383600,0,0,2811202000,3141260753,24944,125932.5,3141260753,309623309000,1.0,3269268270,3101212896,3141260753,-1.9,24944,20050,4894,1266,1212,789,2306,30517,95,2291203,14809,3793,1176,541,2306,22625,126718,55569,22722,11070,49137,265216,0,0,16089,2252,6757,2651,2040,1039,383,285,2765,182287,24944,7.300000190734863,2291203,24944,91.9000015258789,36,4,2,1,38,5,43,7,29,0,36,0,2,0,2,3755,784,36,4,2,1,24944,1.7000000476837158,36,2,24944,1.5,3755,40,3,87.30000305175781
