YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_SPC,FACLT_EQP_UPC,FACLT_EQP_TPC,APS_AR,APS_SCP,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_16A,BG3Y_MCS_17B,BG3Y_MCS_18C,BG3Y_BG3Y,VUC_SCP,VUC_VTC_UGRD,VUC_VTC_GRAD,VUC_VTC_FFAC,VUC_VTC_PFAC,VUC_VTC_STF,VUC_VTC_OTH,VUC_VTC_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_HLIBC,STF_FT_NLIBC,STF_PT_HLIBC,STF_PT_NLIBC,STF_TTL_HLIBC,STF_TTL_NLIBC,STF_TTL_SUM,LIBCS_FT_SL1,LIBCS_FT_SL2,LIBCS_FT_ALIB,LIBCS_FT_TTL,LIBCS_PT_SL1,LIBCS_PT_SL2,LIBCS_PT_ALIB,LIBCS_PT_TTL,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCP,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCP,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2018,1,서울대학교,83.7,200,대학,국립,서울,A그룹,699628,1166091,1865719,2398220,2686162,5084382,89,103,686333,0,192,686333,2202,1991,4193,32349,25682,58031,48857,182,5084382,28378,179.1999969482422,58031,5084382,1.2000000476837158,78585.0,9809,164,539,703,78585.0,28378,2.799999952316284,877571218604,1486037000,916258000,19966000,7105594000,1301970000,0,83477000,10913302000,797267395000,1275000000,1086800000,20000000,6558000000,1140107000,0,180000000,10259907000,10913302000,28378,384569.1,10913302000,877571218604,1.2,10435071896,10877546000,10913302000,2.3,28378,16451,11927,2237,2222,1064,3833,37734,95,3855972,19236,15489,1983,2781,3833,43322,165773,174507,34045,28069,85307,487701,0,0,22294,38232,5061,5768,4362,2654,11098,430,6039,340280,28378,12.0,3855972,28378,135.89999389648438,86,11,6,1,92,12,104,31,51,4,86,0,6,0,6,3994,253,86,11,6,1,28378,3.5,86,6,28378,3.200000047683716,3994,97,7,38.400001525878906
2018,2,과학기술연합대학원대학교,78.8,56,대학원대학,국립,대전,-,9335,36498,45833,16736,36498,53234,0,9,208688,0,9,208688,0,0,0,10262,287,10549,10109,0,53234,1302,40.900001525878906,10549,53234,24.700000762939453,0.0,0,0,0,0,0.0,1302,0.0,34740623000,414386796,0,0,0,122067433,0,21640463,558094692,34740622000,18000000,0,0,0,0,0,0,18000000,558094692,1302,428644.2,558094692,34740623000,1.6,222576896,226483275,558094692,74.1,1302,0,1302,887,950,72,0,3211,58,9288,0,313,171,35,4,523,0,2486,1686,306,29,4507,0,0,0,0,0,0,0,43,39,0,0,2486,1302,1.899999976158142,9288,1302,7.099999904632568,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4,1,0,1,0,0,1302,0.6000000238418579,0,0,1302,0.0,4,1,0,4.0
2018,3,성균관대학교,78.0,227,대학,사립,서울,A그룹,677214,515809,1193023,1256718,750680,2007398,50,80,320053,1,131,320053,542,404,946,44469,9132,53601,32908,2634,2007398,26117,76.9000015258789,53601,2007398,2.700000047683716,39062.0,6814,144,763,907,39062.0,26117,1.5,617661765000,1937556770,417576938,19799546,2465989023,1231860418,0,138506593,6211289288,636797827000,1047066131,539100000,20000000,1928700000,1416000000,0,121000000,5071866131,6211289288,26117,237825.5,6211289288,617661765000,1.0,5742494038,5856185831,6211289288,4.0,26117,19108,7009,1437,1467,418,14544,43983,79,4893021,17101,6036,913,303,1621,25974,177946,85647,18115,7306,64058,353072,0,0,43286,17629,20083,1881,1569,4388,954,156,4791,263593,26117,10.100000381469728,4893021,26117,187.3999938964844,16,0,30,5,46,5,51,9,7,0,16,0,14,16,30,993,228,16,0,30,5,26117,1.600000023841858,16,30,26117,1.7999999523162842,993,16,35,19.5
2018,4,연세대학교,77.9,272,대학,사립,서울,A그룹,812580,793549,1606129,1490778,1145381,2636159,66,92,298062,1,159,298062,1277,881,2158,85487,18650,104137,92538,100814,2636159,30783,85.5999984741211,104137,2636159,4.099999904632568,68830.0,7124,185,852,1037,68830.0,30783,2.200000047683716,1006518606000,1175344024,518056231,73348901,4830166795,1164822698,0,47876502,7809615151,1010869685000,1080000000,570000000,50000000,5020000000,920000000,0,150000000,7790000000,7809615151,30783,253699.0,7809615151,1006518606000,0.8,7722580865,8323660611,7809615151,0.8,30783,19114,11669,1686,2573,871,7866,43779,74,3326933,18955,8593,2254,2215,760,32777,218382,156129,48764,27457,75840,526572,0,0,58448,29513,8235,6798,7116,2754,15429,312,9320,374511,30783,12.199999809265137,3326933,30783,108.0999984741211,41,4,23,10,64,14,78,13,28,0,41,0,19,4,23,2018,491,41,4,23,10,30783,2.200000047683716,41,23,30783,2.0999999046325684,2018,45,33,25.89999961853028
2018,5,고려대학교,77.6,50,대학,사립,서울,A그룹,665088,776547,1441635,1489795,1377443,2867238,109,111,376595,2,222,376595,1592,1524,3116,46473,18882,65355,42785,3860,2867238,29859,96.0,65355,2867238,2.299999952316284,49144.0,7760,203,389,592,49144.0,29859,1.600000023841858,711718613000,690073474,465782163,12657710,4108907408,1008960674,0,516156704,6802538133,816848589000,731938000,481640000,16162000,4546279000,964256000,0,510928000,7251203000,6802538133,29859,227822.0,6802538133,711718613000,1.0,6751303773,6827421834,6802538133,0.4,29859,21110,8749,1449,2952,953,2464,37677,71,7285631,16367,5291,1051,879,639,24227,214982,137046,23060,14666,39755,429509,0,0,33178,45214,10088,4078,3607,5906,21678,440,3577,352028,29859,11.800000190734863,7285631,29859,244.0,28,3,12,4,40,7,47,16,10,2,28,0,10,2,12,2139,374,28,3,12,4,29859,1.399999976158142,28,12,29859,1.2999999523162842,2139,31,16,45.5
2018,6,한국과학기술원,76.5,373,대학,국립,대전,A그룹,244934,309110,554044,333410,364556,697966,57,63,230133,2,122,230133,165,27,192,25591,4874,30465,27436,24,697966,10515,66.4000015258789,30465,697966,4.599999904632568,20194.0,1589,54,62,116,20194.0,10515,1.899999976158142,787524532000,819346858,65240564,8329000,4469800065,1212996979,0,70752297,6646465763,807923486000,1002500000,88532273,0,4656096837,1375020760,0,65500000,7187649870,6646465763,10515,632093.7,6646465763,787524532000,0.8,6027695000,6014676895,6646465763,5.1,10515,3873,6642,623,531,1886,648,14203,18,169128,2862,3441,268,628,89,7288,26647,30303,2567,7960,34840,102317,0,0,1730,4912,2479,144,23,336,527,41,979,56950,10515,5.400000095367432,169128,10515,16.100000381469727,14,5,5,8,19,13,32,5,9,0,14,0,5,0,5,1310,178,14,5,5,8,10515,2.5,14,5,10515,1.7999999523162842,1310,19,13,40.900001525878906
2018,7,한양대학교,75.8,443,대학,사립,서울,A그룹,575342,408295,983637,1025595,609047,1634642,44,66,139283,6,116,139283,1079,303,1382,57840,24058,81898,60561,0,1634642,22418,72.9000015258789,81898,1634642,5.300000190734863,26082.0,4000,52,278,330,26082.0,22418,1.2000000476837158,522607204000,802172824,111687913,10301545,2963269560,1011601064,0,0,4899032906,522922617000,505000000,127000000,8000000,2935000000,856000000,0,100000000,4531000000,4899032906,22418,218531.2,4899032906,522607204000,0.9,4102809000,4529145367,4899032906,9.3,22418,15457,6961,1005,2037,658,17932,44050,51,1800915,11331,5679,734,607,781,19132,95955,64893,13430,8787,54676,237741,0,0,6386,17875,1224,208,459,1294,1744,223,4149,160848,22418,7.199999809265137,1800915,22418,80.30000305175781,18,1,3,0,21,1,22,11,5,2,18,0,3,0,3,619,122,18,1,3,0,22418,0.8999999761581421,18,3,22418,0.8999999761581421,619,19,3,28.100000381469727
2018,8,포항공과대학교,75.7,367,대학,사립,경북,C그룹,94100,190791,284891,127096,332557,459653,29,14,461317,1,44,461317,112,92,204,2413,40,2453,2043,1938,459653,3198,143.6999969482422,2453,459653,0.5,22241.0,1303,19,78,97,22241.0,3198,7.0,188059946000,64193775,79297101,3995790,3127635610,324921969,0,130124300,3730168545,225379705000,59750000,133249000,4600000,3144953731,324921969,0,130124300,3797599000,3730168545,3198,1166406.7,3730168545,188059946000,2.0,3721459325,3808223828,3730168545,0.1,3198,1449,1749,281,172,306,6384,10341,13,312832,1063,1194,165,136,686,3244,6840,8113,1898,1555,11673,30079,0,0,20,240,72,64,17,587,375,8,107,14953,3198,4.699999809265137,312832,3198,97.8000030517578,6,1,1,2,7,3,10,1,3,2,6,0,0,1,1,805,87,6,1,1,2,3198,2.700000047683716,6,1,3198,2.200000047683716,805,7,3,80.5
2018,9,부산대학교,75.2,178,대학,국립,부산,A그룹,791743,408080,1199823,1691603,732101,2423704,37,47,230092,4,88,230092,982,1260,2242,77268,15389,92657,64304,0,2423704,28853,84.0,92657,2423704,4.0,35855.0,5649,104,298,402,35855.0,28853,1.2000000476837158,367029527000,1379700790,1314751251,46519010,3578933910,751438610,0,114903420,7186246991,266088156000,1233000000,1323232000,20000000,2625058000,656264000,0,84766000,5942320000,7186246991,28853,249064.1,7186246991,367029527000,2.0,6053279640,5475865520,7186246991,10.8,28853,21029,7824,1349,1949,552,2175,34878,104,3732580,15152,4144,1181,1157,842,22476,193029,81080,37696,21044,21994,354843,0,0,86240,41364,3170,801,1438,2942,4853,380,7281,274109,28853,9.5,3732580,28853,129.39999389648438,43,0,2,3,45,3,48,17,26,0,43,0,2,0,2,3700,544,43,0,2,3,28853,1.600000023841858,43,2,28853,1.600000023841858,3700,43,5,77.0999984741211
2018,10,경희대학교,75.1,45,대학,사립,서울,A그룹,882914,402632,1285546,1942236,601468,2543704,61,49,275259,5,115,275259,358,201,559,41682,6682,48364,41539,12641,2543704,32843,77.5,48364,2543704,1.899999976158142,38632.0,6408,120,356,476,38632.0,32843,1.2000000476837158,527356228000,685746520,66777170,18314660,3502315480,811696801,0,164820726,5249671357,501465255000,488500000,79000000,16500000,3546022000,807000000,0,163500000,5100522000,5249671357,32843,159841.4,5249671357,527356228000,1.0,4954007812,5259553593,5249671357,3.0,32843,25197,7646,1452,1876,903,14612,51686,131,1790799,18166,4743,1101,713,3382,28105,214809,80931,28087,16927,81304,422058,0,0,41617,29615,4706,912,3405,1320,1023,387,9254,295740,32843,9.0,1790799,32843,54.5,19,2,26,1,45,3,48,9,9,1,19,0,26,0,26,1327,307,19,2,26,1,32843,1.2999999523162842,19,26,32843,1.399999976158142,1327,21,27,27.600000381469727
