YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_18A,BG3Y_MCS_19B,BG3Y_MCS_20C,BG3Y_BG3Y,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2020,1,서울대학교,86.5,200,대학,국립,서울,A그룹,731687,1642659,2374346,2135088,2977928,5113016,91,118,690013,0,209,690013,1417,1970,3387,22255,15249,37504,34996,473,5113016,27784,184,37504,5113016,.699999988079071,5555,1101,80,5555,7101,.800000011920929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1000000014901161,.1000000014901161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1000000014901161,.1000000014901161,0,0,0,0,0,0,0,0,.1000000014901161,.1000000014901161,0,0,0,.1000000014901161,0,0,12332,0,0,0,12332,0,0,1,0,0
2020,2,연세대학교,79.6,272,대학,사립,서울,A그룹,864456,830734,1695190,1485685,1181465,2667150,65,82,290319,1,148,290319,1110,625,1735,52275,15911,68186,59097,11082,2667150,30301,88,68186,2667150,2.5999999046325684,3912,815,60,3912,2124,1.7999999523162842,128153897422,256135010,6485600,1359270,185959112,137760686,0,29176000,616875678,122808625000,239000000,6000000,1000000,185000000,134000000,0,35000000,600000000,616875678,10376,59452.2,616875678,128153897422,.5,547520245,541247628,616875678,6.4,10376,9725,651,344,403,151,25,11299,10357,9746,611,339,443,176,0,11315,0,201234,2009,62,79,38,22,2210,11893,230,1461,786,3777,18147,0,0,586,879,14,0,0,17,0,5,172,12123,10376,1.2000000476837158,201234,10376,19.39999961853028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,고려대학교,79.3,50,대학,사립,서울,A그룹,641611,979267,1620878,1505896,1543050,3048946,122,108,664507,4,234,664507,970,1234,2204,50920,12959,63879,53086,203,3048946,29757,102.5,63879,3048946,2.0999999046325684,7565.89990234375,1345,50,7565.89990234375,7325,1,46457921864,253672160,27312870,2065750,78819705,28775523,0,9000000,399646008,49259051000,259000000,29000000,2000000,80000000,21000000,0,9000000,400000000,399646008,4008,99712.1,399646008,46457921864,.9,356884958,370005000,399646008,5.8,4646,4646,0,112,218,59,59,5094,4722,4722,0,115,203,59,327,5426,0,432552,1747,0,73,88,7,1915,13112,0,1129,1304,32,15577,0,0,20,40,40,0,0,43,0,6,3100,13112,4646,2.799999952316284,432552,4646,93.0999984741211,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,43,6,1,0,0,0,37,27,1,0,37,27,43,1,0,43
2020,4,성균관대학교,78.8,227,대학,사립,서울,A그룹,705115,457185,1162300,1304273,796356,2100629,42,56,541987,6,104,541987,366,303,669,35248,5974,41222,23875,122,2100629,27097,77.5,41222,2100629,2,1749.199951171875,388,14,1749.199951171875,2853,.6000000238418579,80108498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,80108498,0,0,0,0,0,104,0,104,10,9,1,10,134,116,0,116,9,11,2,0,138,0,350,0,12,2,0,0,14,0,24,7,0,0,31,0,0,0,0,0,0,0,0,0,0,0,24,104,.2000000029802322,350,104,3.400000095367432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,5,한국과학기술원,78,373,대학,국립,대전,A그룹,276685,357228,633913,380371,416045,796416,61,71,415711,3,135,415711,108,30,138,51427,7955,59382,52854,691,796416,10679,74.5999984741211,59382,796416,8.100000381469727,480,100,7,480,1372,.3000000119209289,27269032853,57895390,2736000,2141000,5900000,2511517,0,0,71183907,30288167960,58000000,3000000,3000000,6060000,2640000,0,0,72700000,71183907,2736,26017.5,71183907,27269032853,.3,70501498,70844814,71183907,.5,163,0,163,12,6,12,300,493,138,0,138,12,6,11,280,447,0,852,0,134,3,6,5,148,0,678,11,11,39,739,0,0,120,36,3,0,0,3,0,4,101,678,163,4.199999809265137,852,163,5.199999809265137,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,77.5,11,0,0,2,0,1372,1.2000000476837158,0,2,1372,1.5,77.5,0,2,38.79999923706055
2020,6,한양대학교,76.4,443,대학,사립,서울,A그룹,614441,434829,1049270,1078961,633775,1712736,48,63,132718,5,116,132718,500,237,737,24676,10674,35350,30683,0,1712736,22902,74.80000305175781,35350,1712736,2.0999999046325684,1129,251,11,1129,509,2.200000047683716,12440866349,2290351,0,0,7000000,0,0,0,9290351,11966417000,2000000,0,0,7000000,0,0,0,9000000,9290351,2420,3839,9290351,12440866349,.1,7000000,8990963,9290351,15.9,2420,2337,83,18,62,33,1,2534,2442,2366,76,19,63,35,0,2559,0,241,225,8,5,12,0,250,903,72,17,85,0,1077,0,0,0,0,0,0,0,0,0,0,0,975,2420,.4000000059604645,241,2420,.1000000014901161,1,0,0,3,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,3,5,0,0,0,0,0,1,1,0,3,5,86.5,16,1,3,1,0,3771,1.100000023841858,1,1,3771,.5,86.5,4,1,17.299999237060547
2020,7,포항공과대학교,75.8,367,대학,사립,경북,C그룹,107721,190469,298190,134206,332250,466456,44,13,566292,0,57,566292,101,23,124,5179,1754,6933,6540,143,466456,3176,146.89999389648438,6933,466456,1.5,11992.2001953125,1287,60,11992.2001953125,7443,1.600000023841858,30804441506,58356910,35722000,19888323,0,36239000,0,0,150206233,22017368000,55000000,38400000,14000000,0,26000000,0,0,133400000,150206233,1569,95733.7,150206233,30804441506,.5,116770211,125541070,150206233,13.6,22773,17890,4883,981,1519,768,1423,27464,22451,17669,4782,990,1516,790,3199,28946,0,3171705,8401,2307,562,538,1105,12913,59924,29107,6401,7425,72677,175534,0,0,0,7992,251,754,598,3720,5909,121,3919,89031,22773,3.900000095367432,3171705,22773,139.3000030517578,2,3,0,0,5,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,2,11,0,0,13,0,0,0,0,0,2,11,0,0,13,591,168,5,0,8,0,7443,1.5,5,8,7443,1.7000000476837158,591,5,8,45.5
2020,8,경희대학교,75.5,45,대학,사립,서울,A그룹,938492,400956,1339448,1966969,616474,2583443,58,40,281367,5,103,281367,284,118,402,26002,5453,31455,28583,12088,2583443,34016,75.9000015258789,31455,2583443,1.2000000476837158,22136,3686,115,22136,18376,1.2000000476837158,29735146705,43964210,5031000,0,5480000,2366161,0,0,56841371,30986980000,48000000,6060000,4800000,5000000,2500000,0,0,66360000,56841371,2852,19930.4,56841371,29735146705,.2,55746612,56098725,56841371,1,21750,19039,2711,1007,1184,674,13850,38465,21509,19021,2488,1008,1459,690,14032,38698,0,951042,8218,554,751,356,2776,12655,56867,6452,12357,4549,27256,107481,0,0,14430,10139,968,479,255,2187,3176,99,2357,63319,21750,2.900000095367432,951042,21750,43.70000076293945,0,2,0,2,4,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,7,0,2,9,0,0,0,0,0,0,7,0,2,9,736,143,2,2,5,0,7141,1.100000023841858,2,5,7141,1,736,3,5,92
2020,9,울산대학교,75.3,297,대학,사립,울산,A그룹,381618,203497,585115,669603,459648,1129251,45,42,97462,0,87,97462,209,45,254,11215,4295,15510,11295,9716,1129251,14146,79.80000305175781,15510,1129251,1.399999976158142,6065.2998046875,339,93,6065.2998046875,711,8.5,8621338207,13438100,0,0,0,0,0,0,13438100,4041215000,12200000,0,0,0,0,0,0,12200000,13438100,1411,9523.8,13438100,8621338207,.2,11765000,12443420,13438100,6.9,1411,1411,0,75,63,39,20,1608,1468,1468,0,77,61,40,20,1666,0,20962,117,0,7,18,0,142,571,0,39,131,0,741,0,0,0,0,0,0,0,0,0,0,0,571,1411,.4000000059604645,20962,1411,14.899999618530272,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,54,8,0,0,0,1,458,1.100000023841858,0,0,458,0,54,1,0,54
2020,10,경북대학교,75.3,33,대학,국립,대구,A그룹,846409,627357,1473766,2239709,1122898,3362607,33,54,356820,2,89,356820,1200,530,1730,52940,6924,59864,34905,127222,3362607,28251,119,59864,3362607,1.7999999523162842,6600,531,21,6600,0,0,29014687946,45000000,4864000,2028000,0,0,0,0,51892000,30215151000,30000000,4920000,2250000,0,0,0,0,37170000,51892000,3379,15357.2,51892000,29014687946,.2,79200650,74019500,51892000,-18.2,9606,8061,1545,286,285,168,3,10348,9814,8174,1640,300,331,159,2,10606,0,157939,1793,17,62,83,2,1957,9487,68,992,942,11184,22673,0,0,7190,287,367,3,4,35,4,44,687,9555,9606,1,157939,9606,16.399999618530273,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,91.5,12,2,0,0,0,1973,1,2,0,1973,1,91.5,2,1,30.5
