YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_19A,BG3Y_MCS_20B,BG3Y_MCS_21C,BG3Y_BG3Y,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_OEU_EDC,UE_OEU_EP,UE_REU_EDC,UE_REU_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_OE_PTH,SES_OE_PTC,SES_REL_PTH,SES_REL_PTC,SES_OE2_PTH,SES_OE2_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2021,1,서울대학교,86.5,200,대학,국립,서울,A그룹,749861,1687720,2437581,2148301,2961641,5109942,90,101,758709,0,191,758709,1333,1897,3230,37050,53650,90700,56367,94310,5109942,27813,183.6999969482422,90700,5109942,1.7999999523162842,1055.300048828125,350,8,1055.300048828125,3053,.3000000119209289,25414943440,30744830,3645400,0,10248000,0,0,0,44638230,28801261000,30000000,4000000,0,13239000,0,0,0,47239000,44638230,2330,19158,44638230,25414943440,.2,55254060,51851220,44638230,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,3,5,0,0,0,0,0,1,1,0,3,5,28,4,9,2,170,34,2,2,0,1,3016,1.399999976158142,2,0,3016,.699999988079071,207,4,1,41.400001525878906
2021,2,고려대학교,79.6,50,대학,사립,서울,A그룹,662026,1093013,1755039,1519406,1663061,3182467,126,108,1006977,1,235,1006977,988,1255,2243,134372,16134,150506,136232,15545,3182467,29580,107.5999984741211,150506,3182467,5,9990.900390625,1466,43,9990.900390625,9117,1.100000023841858,46822944975,257721260,7426500,0,96335919,19260125,0,13850000,394593804,43043159000,238000000,6800000,2000000,96500000,19500000,0,14000000,376800000,394593804,3913,100841.8,394593804,46822944975,.8,370005000,399646008,394593804,3.4,4722,4722,0,115,203,59,327,5426,4585,4585,0,312,200,59,328,5484,0,484364,259,0,39,34,230,562,9064,0,710,419,1386,11579,0,0,42,84,240,0,0,108,0,0,0,1,186,9064,4722,1.899999976158142,484364,4722,102.5999984741211,12,5,2,1,20,0,0,0,0,0,0,2,0,3,5,0,0,0,0,0,12,7,2,4,25,0,0,0,0,0,12,7,2,4,25,289.5,274,479.5,115,2120.89990234375,522,19,1,2,3,23449,1,19,2,23449,.8999999761581421,2889.89990234375,21,4,115.5999984741211
2021,3,연세대학교,79.4,272,대학,사립,서울,A그룹,878108,864467,1742575,1520961,1205961,2726922,64,99,365642,1,164,365642,770,637,1407,49540,16145,65685,53703,5603,2726922,30267,90.0999984741211,65685,2726922,2.5,3279.60009765625,702,54,3279.60009765625,2006,1.600000023841858,40923143533,59349240,3109300,503910,0,0,0,0,62962450,36616892200,68500000,7200000,4300000,0,0,0,20000000,100000000,62962450,4557,13816.6,62962450,40923143533,.2,106576339,105658120,62962450,-20.6,10357,9746,611,339,443,176,0,11315,10074,9408,666,366,449,174,0,11063,0,15951,582,21,68,27,247,945,6141,106,1343,640,3423,11653,0,0,15,57,25,19,2,4,3,0,0,0,0,6247,10357,.6000000238418579,15951,10357,1.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,4,1,0,0,25,5,1,0,0,0,34,29.39999961853028,1,0,34,29.39999961853028,29,0,1,29
2021,4,성균관대학교,78.8,227,대학,사립,서울,A그룹,729907,557190,1287097,1333206,822639,2155845,46,63,660184,7,116,660184,187,162,349,41830,7266,49096,27448,1554,2155845,27100,79.5999984741211,49096,2155845,2.299999952316284,32696.30078125,3765,229,32696.30078125,20962,1.600000023841858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,116,0,116,9,11,2,0,138,118,0,118,24,15,3,0,160,0,145,0,7,1,0,0,8,0,13,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,13,116,.1000000014901161,145,116,1.2999999523162842,0,3,0,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,2,5,0,0,0,0,0,0,3,0,2,5,49.5,31,36.79999923706055,31,155,30,3,1,0,1,3921,1.100000023841858,3,0,3921,.800000011920929,241.3000030517578,4,1,48.29999923706055
2021,5,한국과학기술원,78.2,373,대학,국립,대전,A그룹,264509,157329,421838,407698,435897,843595,64,68,517714,4,136,517714,107,18,125,36283,11492,47775,41427,487,843595,10723,78.69999694824219,47775,843595,6,2475,285,21,2475,1115,2.200000047683716,13551508049,39713720,5801700,0,0,4388000,0,0,49903420,12358575000,35000000,6800000,0,0,5000000,0,0,46800000,49903420,837,59621.8,49903420,13551508049,.4,49349120,48645390,49903420,.6,6357,5875,482,255,421,252,1729,9014,6197,5763,434,362,423,402,904,8288,0,88524,2595,146,786,358,319,4204,10781,1237,2484,1853,1822,18177,0,0,1022,876,109,39,14,69,0,4,17,12,1498,12018,6357,1.899999976158142,88524,6357,13.899999618530272,0,3,1,2,6,0,0,0,0,0,0,1,0,4,5,0,0,0,0,0,0,4,1,6,11,0,0,0,0,0,0,4,1,6,11,0,0,116,21,230,44,4,2,1,4,8500,1,4,1,8500,.6000000238418579,346,6,5,31.5
2021,6,한양대학교,76.5,443,대학,사립,서울,A그룹,630904,450438,1081342,1099228,650246,1749474,50,72,378256,5,127,378256,454,254,708,24925,11834,36759,33712,0,1749474,22628,77.30000305175781,36759,1749474,2.0999999046325684,743,192,6,743,844,.8999999761581421,41406401209,48831900,4398800,0,5946000,1670000,0,0,60846700,35237096000,44900000,5000000,2000000,6100000,0,0,6000000,64000000,60846700,3101,19621.6,60846700,41406401209,.1,80427984,65882936,60846700,-12.9,2442,2366,76,19,63,35,0,2559,2485,2403,82,17,74,37,0,2613,0,0,296,8,4,10,0,318,1886,80,57,54,0,2077,0,0,0,0,0,0,0,0,0,0,0,0,0,1966,2442,.800000011920929,0,2442,0,1,1,1,1,4,0,0,0,0,0,0,13,0,1,14,0,0,0,0,0,1,14,1,2,18,0,0,0,0,0,1,14,1,2,18,68,18,216,40,340,73,3,1,13,1,14227,1,3,13,14227,1.100000023841858,624,5,13,34.70000076293945
2021,7,포항공과대학교,75.7,367,대학,사립,경북,C그룹,99660,173854,273514,116377,258913,375290,36,18,676134,0,54,676134,55,22,77,3573,1661,5234,4909,102175,375290,3227,116.3000030517578,5234,375290,1.399999976158142,4123,621,73,4123,3255,1.2999999523162842,17705147572,55403510,16509830,11046600,11275000,3292500,0,7196200,104723640,19324772000,52880000,17500000,17120000,13300000,3300000,0,5223000,109323000,104723640,1260,83114,104723640,17705147572,.6,119351100,120953500,104723640,-6,138,0,138,12,6,11,280,447,143,0,143,18,7,11,250,429,0,426,0,75,4,9,5,93,0,490,16,41,28,575,0,0,40,20,10,0,0,0,0,0,0,2,29,490,138,3.5999999046325684,426,138,3.0999999046325684,2,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,5,0,0,0,0,0,2,2,0,1,5,0,0,65.5,14,114,25,4,1,0,0,4405,1.100000023841858,4,0,4405,.8999999761581421,179.5,5,0,35.900001525878906
2021,8,경희대학교,75.4,45,대학,사립,서울,A그룹,952808,403017,1355825,1982815,624039,2606854,59,40,385170,5,104,385170,50,58,108,29461,5726,35187,31041,9757,2606854,33373,78.0999984741211,35187,2606854,1.399999976158142,11878.900390625,2005,75,11878.900390625,7514,1.600000023841858,29004842600,34289770,5026000,0,5000000,2598245,0,0,46914015,29549236000,33600000,5060000,1000000,5000000,2500000,0,14400000,61560000,46914015,2853,16443.7,46914015,29004842600,.2,56098725,56841371,46914015,-8.1,21509,19021,2488,1008,1459,690,14032,38698,20962,18301,2661,1019,1451,880,15240,39552,0,286869,5504,531,753,439,2474,9701,34858,5352,11597,4945,30159,86911,0,0,5661,3352,558,378,227,1233,7150,1,27,11,123,40210,21509,1.899999976158142,286869,21509,13.300000190734863,2,3,1,1,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,1,1,7,0,1,0,0,1,2,4,1,1,8,7,3,188.3999938964844,30,312.3999938964844,75,7,1,0,0,3973,2,7,0,3973,1.7999999523162842,507.7999877929688,7,1.5,59.70000076293945
2021,9,경북대학교,75.3,33,대학,국립,대구,A그룹,848290,683385,1531675,2231796,1172551,3404347,49,49,549649,2,100,549649,1099,525,1624,40680,10808,51488,29032,9748,3404347,27862,122.1999969482422,51488,3404347,1.5,7633.2001953125,1821,112,7633.2001953125,4789,1.600000023841858,92762086383,386192000,6996400,0,91950000,87479329,0,57382190,629999919,95167034148,280000000,10000000,10000000,90000000,85000000,0,55000000,530000000,629999919,9814,64194,629999919,92762086383,.7,499283996,436679169,629999919,15.9,1697,1330,367,67,149,89,40,2042,1686,1329,357,68,148,85,40,2027,0,138369,836,37,45,25,5,948,7104,289,717,412,54,8576,0,0,405,675,3,19,1,46,1,0,0,0,0,7393,1697,4.400000095367432,138369,1697,81.5,2,4,2,0,8,0,0,0,0,0,0,3,1,4,8,0,0,0,0,0,2,7,3,4,16,0,0,0,0,0,2,7,3,4,16,25.5,12,10.5,6,720.5,105,8,0,4,4,3298,4,8,4,3298,3.5999999046325684,756.5,7,8,50.400001525878906
2021,10,울산대학교,75,297,대학,사립,울산,A그룹,399489,203133,602622,682609,458751,1141360,52,43,170490,1,96,170490,191,26,217,10099,2212,12311,10237,2686,1141360,14081,81.0999984741211,12311,1141360,1.100000023841858,606,105,9,606,423,1.399999976158142,7607971628,5041290,0,0,0,0,0,0,5041290,3062211000,7413000,0,0,0,0,0,0,7413000,5041290,910,5539.9,5041290,7607971628,.1,8240000,3484890,5041290,-6.5,47,47,0,5,5,23,0,80,48,48,0,11,6,28,0,93,0,168,22,0,9,9,0,40,68,0,86,50,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,68,47,1.399999976158142,168,47,3.5999999046325684,0,2,0,0,2,0,0,0,0,0,0,4,0,7,11,0,0,0,0,0,0,6,0,7,13,0,0,0,0,0,0,6,0,7,13,2,1,584.5,143,329,32,2,0,4,7,4789,1.7999999523162842,2,4,4789,1.2999999523162842,915.5,3,8,83.19999694824219
