YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_21A,BG3Y_MCS_22B,BG3Y_MCS_23C,BG3Y_BG3Y,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_OEU_EDC,UE_OEU_EP,UE_REU_EDC,UE_REU_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_OE_PTH,SES_OE_PTC,SES_OE2_PTH,SES_OE2_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2023,1,서울대학교,86.6,200,대학,국립,서울,A그룹,746791,2015752,2762543,2147974,3294301,5442275,81,127,1118863,0,208,1118863,1127,1500,2627,316727,28206,344933,328399,69674,5442275,28265,192.5,344933,5442275,6.800000190734863,1169,284,11,1169,1777,.699999988079071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6635,6635,0,166,574,94,0,7469,7264,7264,0,178,543,126,0,8111,0,1988,90,0,17,8,0,115,396,0,78,128,0,602,0,0,0,0,0,0,0,0,0,0,0,0,0,396,6635,.1000000014901161,1988,6635,.3000000119209289,7,12,6,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,6,1,26,0,0,0,0,0,7,12,6,1,26,98,8,354.5,74,25,1,0,0,11568,2.200000047683716,25,0,11568,2.200000047683716,452.5,26,0,17.399999618530273
2023,2,고려대학교,79.8,50,대학,사립,서울,A그룹,690044,1127005,1817049,1550287,1706749,3257036,63,93,1198299,9,165,1198299,704,1129,1833,37578,10460,48038,37082,45,3257036,29444,110.5999984741211,48038,3257036,1.5,7741.39990234375,905,67,7741.39990234375,7063,1.100000023841858,45891344192,100821380,6284667,2674880,0,4682787,0,0,114463714,51370977000,81700000,6500000,0,12539000,4800000,0,0,105539000,114463714,4170,27449.3,114463714,45891344192,.2,117523795,127377761,114463714,-.9,4170,4170,0,108,199,61,399,4937,3859,3859,0,108,190,69,479,4705,0,187361,936,0,47,45,35,1063,12861,0,1010,906,317,15094,0,0,0,0,0,0,0,80,4,2,7,84,513,12861,4170,3.0999999046325684,187361,4170,44.900001525878906,0,0,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,1,2,0,3,61.5,12,61,7,2,0,1,0,4505,.6000000238418579,2,1,4505,.699999988079071,122.5,2,0,61.29999923706055
2023,3,연세대학교,79.8,272,대학,사립,서울,A그룹,927238,983743,1910981,1586324,1323794,2910118,75,94,523977,1,170,523977,741,560,1301,45405,11080,56485,46988,10769,2910118,31135,93.5,56485,2910118,2,2783.300048828125,742,92,2783.300048828125,1952,1.399999976158142,126997541115,29793030,3702400,0,289365259,205993635,0,81079229,609933553,123142956000,70000000,5000000,2000000,240000000,205000000,0,80000000,602000000,609933553,10238,59575.5,609933553,126997541115,.5,577166242,588571604,609933553,2.8,8054,6893,1161,302,431,238,33,9058,7520,6561,959,291,426,250,76,8563,0,208905,3064,184,466,339,65,4118,7770,417,2355,1476,4101,16119,0,0,0,0,0,19,78,54,24,48,1039,1,138,8187,8054,1,208905,8054,25.89999961853028,1,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,6,0,0,0,0,0,1,5,0,0,6,153,30,126,29,6,0,0,0,5970,1,6,0,5970,1,279,6,0,46.5
2023,4,성균관대학교,78.9,227,대학,사립,서울,A그룹,760097,586224,1346321,1402086,881427,2283513,48,72,801604,6,126,801604,210,109,319,30930,10816,41746,22838,31136,2283513,26851,85,41746,2283513,1.899999976158142,117.3000030517578,33,1,117.3000030517578,48,2.400000095367432,374715637,0,0,0,0,0,0,0,0,961668000,0,0,0,0,0,0,0,0,0,89,0,0,374715637,0,0,0,0,0,3851,3851,0,111,229,126,59,4376,3736,3736,0,114,212,137,0,4199,0,38053,628,0,40,61,1,730,11972,0,289,982,29,13272,0,0,0,0,0,0,0,0,0,14,569,2,641,11972,3851,3.0999999046325684,38053,3851,9.899999618530272,1,5,0,0,6,0,0,0,0,0,0,10,2,0,12,0,0,0,0,0,1,15,2,0,18,0,0,0,0,0,1,15,2,0,18,154,28,395,82,6,0,12,0,15495,1,6,12,15495,1.2000000476837158,549,6,12,30.5
2023,5,한국과학기술원,78.2,373,대학,국립,대전,A그룹,318749,414214,732963,442218,476050,918268,64,69,569616,2,135,569616,95,12,107,30383,3338,33721,34294,956,918268,11059,83,33721,918268,3.799999952316284,1063,213,6,1063,1458,.699999988079071,22720377826,32591910,12903420,0,0,8364311,0,0,53859641,21885404074,33000000,14416000,0,0,9000000,0,0,56416000,53859641,2355,22870.3,53859641,22720377826,.2,56869496,52663973,53859641,-2.6,7454,7054,400,257,344,196,73,8324,7573,7200,373,256,383,210,0,8422,0,107628,1313,69,124,82,54,1642,14371,1019,2321,929,2872,21512,0,0,0,0,0,63,909,10,0,76,710,0,0,15390,7454,2.0999999046325684,107628,7454,14.399999618530272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,6,한양대학교,76.7,443,대학,사립,서울,A그룹,715020,470325,1185345,1139391,670778,1810169,45,58,409742,4,107,409742,255,167,422,30065,10204,40269,34832,9300,1810169,23338,77.5999984741211,40269,1810169,2.299999952316284,2633.800048828125,462,30,2633.800048828125,2741,1,33458957195,49593520,2303600,227300,6186000,0,0,5500000,63810420,29435721000,33116000,1500000,2000000,6400000,0,0,5000000,48016000,63810420,2522,25301.5,63810420,33458957195,.2,60846700,63942510,63810420,2.4,26772,19258,7514,1413,1980,930,1831,32926,27126,19759,7367,1425,2146,939,2047,33683,0,1985211,8580,2938,1198,1309,1578,15603,89721,43794,33232,21923,33905,222575,0,0,0,0,0,552,800,1928,2329,143,3704,35,4911,133515,26772,5,1985211,26772,74.19999694824219,1,2,0,1,4,0,0,0,0,0,0,12,1,0,13,0,0,0,0,0,1,14,1,1,17,0,0,0,0,0,1,14,1,1,17,277,47,373.6000061035156,84,3,1,13,0,14031,1,3,13,14031,1.100000023841858,650.5999755859375,5,12,38.29999923706055
2023,7,경희대학교,75.7,45,대학,사립,서울,A그룹,986928,398936,1385864,2025879,644259,2670138,64,51,560113,6,121,560113,39,39,78,38242,6708,44950,41396,6760,2670138,34414,77.5999984741211,44950,2670138,1.7000000476837158,23094,4045,99,23094,17774,1.2999999523162842,389059513212,820279220,559675650,2500000,1894884964,749915022,0,40730000,4067984856,289959647000,820600000,521300000,0,1805000000,711000000,0,41000000,3898900000,4067984856,20144,201945.2,4067984856,389059513212,1,2928203194,4087438309,4067984856,19.6,20144,17479,2665,1026,1478,828,15019,38495,20208,17631,2577,1027,1468,831,16385,39919,0,417488,7153,543,658,279,675,9308,63878,6567,12416,4884,9239,96984,0,0,0,0,0,324,163,718,880,113,611,52,1233,70445,20144,3.5,417488,20144,20.700000762939453,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,136,30,177,44,0,0,2,0,3859,.4000000059604645,0,2,3859,.5,313,0,2,156.5
2023,8,포항공과대학교,75.5,367,대학,사립,경북,C그룹,92725,180100,272825,117846,265712,383558,34,29,797984,1,64,797984,75,2,77,3383,173,3556,2898,20,383558,3306,116,3556,383558,.8999999761581421,11992.2001953125,1175,53,11992.2001953125,7868,1.5,22214111685,104415706,4776660,0,0,48049000,0,3090000,160331366,18331482000,155000000,3750000,0,0,56900000,0,3100000,218750000,160331366,1665,96295.1,160331366,22214111685,.7,156585020,187764246,160331366,2.7,3667,3269,398,134,207,108,19,4135,3581,3189,392,132,181,110,89,4093,0,98219,822,102,50,38,69,1081,5586,1064,716,510,746,8622,0,0,0,0,0,42,39,84,8,19,375,0,0,6650,3667,1.7999999523162842,98219,3667,26.799999237060547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,9,경북대학교,75.2,33,대학,국립,대구,A그룹,882704,668490,1551194,2310821,1163190,3474011,50,59,794891,3,112,794891,876,361,1237,37891,7903,45794,25924,18053,3474011,26917,129.10000610351562,45794,3474011,1.2999999523162842,3751.5,716,62,3751.5,4486,.800000011920929,1618218020,12296160,3907200,0,6800000,0,0,1045000,24048360,1979096000,12000000,3000000,0,7500000,0,0,2000000,24500000,24048360,80,300604.5,24048360,1618218020,1.5,20253030,20974890,24048360,9.1,1597,1299,298,68,163,84,40,1952,1468,1242,226,69,159,97,42,1835,0,165300,1081,25,39,45,3,1193,13746,234,745,452,132,15309,0,0,0,0,0,49,4,34,4,9,214,0,0,13980,1597,8.800000190734863,165300,1597,103.5,3,5,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,9,0,0,0,0,0,3,5,0,1,9,145,27,408.2000122070313,96,8,1,0,0,6026,1.5,8,0,6026,1.2999999523162842,553.2000122070312,9,0,61.5
2023,10,울산대학교,75.2,297,대학,사립,울산,A그룹,411040,201498,612538,686306,396120,1082426,54,54,239172,0,108,239172,51,4,55,7075,2756,9831,7361,90309,1082426,13264,81.5999984741211,9831,1082426,.8999999761581421,6065.2998046875,329,93,6065.2998046875,749,8.100000381469727,7513605450,6314790,0,0,0,0,0,0,6314790,7017471,12200000,0,0,0,0,0,0,12200000,6314790,1303,4846.3,6314790,7513605450,.1,6826610,7358310,6314790,-3.2,701,701,0,45,38,47,111,942,613,613,0,48,30,35,111,837,0,267,39,0,11,12,0,62,116,0,94,55,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,116,701,.2000000029802322,267,701,.4000000059604645,2,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,8,0,0,0,0,0,2,6,0,0,8,196,14,0,0,8,0,0,0,0,0,8,0,0,0,196,8,0,24.5
