YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_PKG,ER_ELV_PKG,ER_TTL_PKG,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_22A,BG3Y_MCS_23B,BG3Y_MCS_24C,BG3Y_BG3Y,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_OEU_EDC,UE_OEU_EP,UE_REU_EDC,UE_REU_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_OE_PTH,SES_OE_PTC,SES_OE2_PTH,SES_OE2_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2024,1,서울대학교,86.7,200,대학,국립,서울,A그룹,759872,2026780,2786652,2094939,3221263,5316202,83,133,11,0,227,715,954,1669,34958,36219,71177,43370,198079,5316202,29065,182.8999938964844,71177,5316202,1.399999976158142,79272.0,8649,328,79272.0,29741,2.700000047683716,1160991702843,1737243964,560932237,15758260,8570795604,1595567162,213200274,0,12693497501,1056359168000,1560556410,577133040,15000000,9013515160,1702963666,272000000,0,13141168276,12693497501,29065,436727.9,12693497501,1160991702843,1.1,12045154829,12076892246,12693497501,2.7,29065,16662,12403,2308,3956,3273,10521,49123,29741,17010,12731,2344,4053,3381,10124,49643,0,1802749,13307,9895,1319,3204,2423,30148,88670,100654,18806,34292,76162,318584,0,0,0,0,0,2598,2149,2672,7174,409,12088,0,0,189324,29065,6.5,1802749,29065,62.0,25,50.0,0,8,83.0,0,0,0,0.0,0.0,1,4.0,1,0.0,6.0,0,0,0,0,0,26,54.0,1,8.0,89.0,0,0,0,0.0,0.0,26,54.0,1,8.0,89.0,2693.5,665,2204.0,592,75.0,8.0,6.0,0.0,29741,2.900000095367432,75.0,6.0,29741,2.700000047683716,4897.5,78.0,6.0,58.29999923706055
2024,2,연세대학교,80.2,272,대학,사립,서울,A그룹,934164,1185102,2119266,1597731,1336918,2934649,92,116,17,1,226,723,550,1273,44776,10560,55336,46152,31134,2934649,32413,90.5,55336,2934649,1.899999976158142,68830.1015625,7012,657,68830.1015625,33091,2.0999999046325684,998479195829,1242131804,413572213,25871970,6427410751,2096767602,205189845,9190000,10420134185,1068734694000,1190000000,743000000,50000000,6695000000,2165000000,60000000,169500000,11072500000,10420134185,32413,321480.1,10420134185,998479195829,1.0,8742290279,9514081602,10420134185,9.2,32413,20335,12078,1746,3516,1174,7127,45976,33091,20625,12466,1786,3869,1193,7227,47166,0,2656731,12255,6022,1874,2607,786,23544,104130,89557,38346,29560,100917,362510,0,0,0,0,0,4443,5955,2938,7066,473,12311,69,14995,193687,32413,6.0,2656731,32413,82.0,11,20.0,0,4,35.0,0,1,0,0.0,1.0,0,21.0,2,5.0,28.0,0,0,0,0,0,11,41.0,2,9.0,63.0,0,1,0,0.0,1.0,11,42.0,2,9.0,64.0,1897.9000244140625,575,1093.5,275,32.0,4.0,23.0,5.0,33091,1.7000000476837158,32.0,23.0,33091,1.7000000476837158,2991.39990234375,37.0,25.0,48.20000076293945
2024,3,고려대학교,80.0,50,대학,사립,서울,A그룹,712649,1142590,1855239,1584155,1727722,3311877,68,104,15,8,195,564,1106,1670,42485,9591,52076,43836,2045,3311877,30320,109.1999969482422,52076,3311877,1.600000023841858,50166.30078125,7269,194,50166.30078125,31130,1.600000023841858,705457510012,1172700836,548148053,218450,5302969269,1810903321,136274464,217812992,9189027385,795508143000,970325000,545000000,3000000,5254000000,1966900000,147775000,234800000,9121800000,9189027385,30320,303068.2,9189027385,705457510012,1.3,7674605112,8162302464,9189027385,9.5,30320,20373,9947,1525,2883,1152,1663,37543,31130,21029,10101,1556,2887,1180,8785,45538,0,4046784,10905,3811,1075,999,616,17406,122319,80168,23099,20380,30459,276425,0,0,0,0,0,3017,3590,3658,9831,467,3985,0,0,202487,30320,6.699999809265137,4046784,30320,133.5,12,8.0,1,2,23.0,0,0,0,0.0,0.0,0,15.0,2,2.0,19.0,0,0,0,0,0,12,23.0,3,4.0,42.0,0,0,0,0.0,0.0,12,23.0,3,4.0,42.0,914.0,215,546.0,96,21.0,2.0,17.0,2.0,31130,1.2000000476837158,21.0,17.0,31130,1.2000000476837158,1460.0,23.0,19.0,34.79999923706055
2024,4,성균관대학교,78.9,227,대학,사립,서울,A그룹,762823,619266,1382089,1397953,901746,2299699,48,75,14,3,140,198,99,297,31613,10740,42353,19318,753,2299699,27941,82.30000305175781,42353,2299699,1.899999976158142,41619.69921875,6435,512,41619.69921875,28254,1.5,660039929329,738052315,281450835,8747920,2837684114,1563186592,151561559,9207000,5589890335,670864660000,715000000,400000000,11000000,3224000000,1730000000,150000000,10000000,6240000000,5589890335,27941,200060.5,5589890335,660039929329,0.8,5131540013,5952523682,5589890335,5.0,27941,19487,8454,1520,2300,495,21072,53328,28254,19351,8903,1529,2494,523,19449,52249,0,4710708,11973,4247,786,275,1199,18480,97059,50620,17061,4247,68103,237090,0,0,0,0,0,1399,1161,1984,1988,152,8961,12,635,147679,27941,5.300000190734863,4710708,27941,168.60000610351562,6,5.0,0,0,11.0,0,0,0,0.0,0.0,2,15.0,11,5.0,33.0,0,0,0,0,0,8,20.0,11,5.0,44.0,0,0,0,0.0,0.0,8,20.0,11,5.0,44.0,597.7000122070312,145,971.7999877929688,273,11.0,0.0,28.0,5.0,28254,1.2999999523162842,11.0,28.0,28254,1.399999976158142,1569.5,13.0,32.0,34.900001525878906
2024,5,한국과학기술원,78.0,373,대학,국립,대전,A그룹,331008,460742,791750,469402,501522,970924,66,80,8,2,156,82,10,92,43004,24010,67014,50338,11720,970924,11503,84.4000015258789,67014,970924,7.400000095367432,27566.900390625,2975,157,27566.900390625,11999,2.299999952316284,1163361596656,961243021,28991313,6973000,5624098964,1782459613,121667084,21401346,8546834341,1222764475617,957896800,25431400,30000000,5620523835,1682797705,295000000,12161346,8623811086,8546834341,11503,743009.2,8546834341,1163361596656,0.7,8420690405,8425174211,8546834341,0.7,11503,3868,7635,670,701,2419,187,15480,11999,3980,8019,700,754,2379,325,16157,0,766556,2405,3093,314,807,31,6650,20437,23444,2898,9731,53525,110035,0,0,0,0,0,446,96,132,639,70,1514,1,14,43881,11503,3.799999952316284,766556,11503,66.5999984741211,1,14.0,0,6,21.0,0,0,0,0.0,0.0,0,1.0,0,0.0,1.0,0,0,0,0,0,1,15.0,0,6.0,22.0,0,0,0,0.0,0.0,1,15.0,0,6.0,22.0,596.0,101,129.0,22,15.0,6.0,1.0,0.0,11999,1.7000000476837158,15.0,1.0,11999,1.2999999523162842,725.0,33.0,0.0,22.0
2024,6,한양대학교,76.7,443,대학,사립,서울,A그룹,733734,486331,1220065,1134915,686115,1821030,52,77,6,4,139,246,162,408,40880,4365,45245,40867,36773,1821030,24707,73.69999694824219,45245,1821030,2.5,26623.80078125,3875,125,26623.80078125,24696,1.100000023841858,465651434195,965489044,90138609,3205760,4392317503,1496873353,6372733,43310000,6997707002,501028939705,823250000,123800000,6000000,5333100000,1817310000,8000000,52590000,8164050000,6997707002,24707,283227.7,6997707002,465651434195,1.5,5873195270,6178768864,6997707002,9.2,24707,16531,8176,1150,2344,755,26188,55144,24696,16469,8227,1142,2402,781,27647,56668,0,1103971,7166,3488,740,569,698,12661,74128,43679,16923,9448,13724,157902,0,0,0,0,0,240,247,426,1078,209,3911,6,353,117807,24707,4.800000190734863,1103971,24707,44.70000076293945,9,6.0,2,0,17.0,0,0,0,0.0,0.0,0,10.0,0,2.0,12.0,0,0,0,0,0,9,16.0,2,2.0,29.0,0,0,0,0.0,0.0,9,16.0,2,2.0,29.0,735.5,154,487.5,136,17.0,0.0,10.0,2.0,24696,1.100000023841858,17.0,10.0,24696,1.100000023841858,1223.0,18.0,12.0,40.79999923706055
2024,7,경희대학교,75.8,45,대학,사립,서울,A그룹,976668,537027,1513695,1980984,670058,2651042,64,56,11,5,136,43,33,76,31478,8960,40438,36138,59461,2651042,34535,76.80000305175781,40438,2651042,1.5,37617.30078125,4468,173,37617.30078125,34396,1.100000023841858,497111263943,788453700,14953999,920380,5209213894,1118521502,272885326,38051340,7443000141,536438817000,676500000,13000000,171600000,3299100000,757800000,270000000,66000000,5254000000,7443000141,34535,215520.5,7443000141,497111263943,1.5,6412394073,6581249383,7443000141,7.9,34535,25960,8575,1396,2412,1119,24076,63538,34396,25575,8821,1378,2520,1182,28487,67963,0,1722037,10385,2486,990,852,1812,16525,97804,30322,17668,9999,82950,238743,0,0,0,0,0,507,1883,597,1065,355,6011,73,1700,128126,34535,3.700000047683716,1722037,34535,49.900001525878906,11,6.0,1,0,18.0,0,0,0,0.0,0.0,0,25.0,0,0.0,25.0,0,0,0,0,0,11,31.0,1,0.0,43.0,0,0,0,0.0,0.0,11,31.0,1,0.0,43.0,1105.0,312,327.5,82,18.0,0.0,25.0,0.0,34396,1.100000023841858,18.0,25.0,34396,1.2999999523162842,1432.5,19.0,21.0,35.79999923706055
2024,8,포항공과대학교,75.5,367,대학,사립,경북,C그룹,103799,180440,284239,121597,266084,387681,41,24,11,1,77,74,2,76,4269,730,4999,4413,20,387681,3475,111.5999984741211,4999,387681,1.2999999523162842,15614.099609375,1133,29,15614.099609375,3581,4.400000095367432,228618398304,104617692,8239200,1317184,3232121864,354869482,188042728,27762798,3916970948,317467892000,117500000,9745000,1320000,2927168627,346530624,170300749,0,3572565000,3916970948,3475,1127185.9,3916970948,228618398304,1.7,3204735522,3681616454,3916970948,10.6,3475,1409,2066,284,226,1123,3839,8947,3581,1491,2090,282,224,1198,3995,9280,0,708123,820,941,154,162,811,2888,5510,6461,2164,2291,7966,24392,0,0,0,0,0,20,0,767,750,14,341,0,0,11971,3475,3.400000095367432,708123,3475,203.8000030517578,1,5.0,1,0,7.0,0,0,0,0.0,0.0,0,0.0,0,4.0,4.0,0,0,0,0,0,1,5.0,1,4.0,11.0,0,0,0,0.0,0.0,1,5.0,1,4.0,11.0,188.5,25,166.5,31,7.0,0.0,0.0,4.0,3581,2.5,7.0,0.0,3581,2.0,355.0,7.0,2.0,39.400001525878906
2024,9,울산대학교,75.4,297,대학,사립,울산,A그룹,356750,141543,498293,521282,271952,793234,53,43,8,0,104,21,0,21,6513,4080,10593,7496,295393,793234,13066,60.70000076293945,10593,793234,1.399999976158142,20778.19921875,2362,67,20778.19921875,12467,1.7000000476837158,291693253172,183478183,2136000,4350420,3333484594,465093511,181220003,1893221,4171655932,293270832000,161000000,12700000,2500000,3475807000,485731000,185144000,1500000,4324382000,4171655932,13066,319275.7,4171655932,291693253172,1.4,3876879115,3932082730,4171655932,3.8,13066,11272,1794,1100,1118,354,13980,29618,12467,10677,1790,1096,1139,385,14387,29474,0,379907,3367,266,409,383,558,4983,29387,2662,6625,13560,22507,74741,0,0,0,0,0,149,339,728,746,27,1141,0,0,32049,13066,2.5,379907,13066,29.100000381469727,4,10.0,0,0,14.0,0,0,0,0.0,0.0,0,4.0,0,2.0,6.0,0,0,0,0,0,4,14.0,0,2.0,20.0,0,0,0,0.0,0.0,4,14.0,0,2.0,20.0,211.0,35,198.0,40,14.0,0.0,4.0,2.0,12467,1.5,14.0,4.0,12467,1.399999976158142,409.0,15.0,7.0,18.600000381469727
2024,10,경북대학교,75.0,33,대학,국립,대구,A그룹,895610,673437,1569047,2281627,1207811,3489438,43,62,12,4,121,922,335,1257,73416,8027,81443,53946,66295,3489438,27587,126.5,81443,3489438,2.400000095367432,41449.19921875,5325,154,41449.19921875,28016,1.5,496435430666,869673360,712491820,3895520,2661514286,1064186044,135993500,33300000,5481054530,397048826000,600000000,778120000,4000000,2010000000,205880000,0,0,3598000000,5481054530,27587,198682.5,5481054530,496435430666,1.1,5530222050,5530551432,5481054530,-0.4,27587,21658,5929,1396,1863,1085,21972,53903,28016,22027,5989,1410,1964,1047,11846,44283,0,2998284,7358,1450,1004,831,5758,16401,102696,24192,22638,15823,87767,253116,0,0,0,0,0,945,1267,943,3220,329,7702,12,614,126888,27587,4.599999904632568,2998284,27587,108.6999969482422,15,19.0,1,4,39.0,0,0,0,0.0,0.0,1,13.0,1,2.0,17.0,0,0,0,0,0,16,32.0,2,6.0,56.0,0,0,0,0.0,0.0,16,32.0,2,6.0,56.0,1133.0,302,804.7999877929688,213,35.0,4.0,15.0,2.0,28016,1.7999999523162842,35.0,15.0,28016,1.7999999523162842,1937.800048828125,37.0,18.5,34.900001525878906
