ID,SNM,STYP,FND,RGN,USC,SCR_EST_2014,SCR_EST_2015,SCR_EST_2016,SCR_EST_2017,SCR_EST_2018,SCR_EST_2019,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
1,ICT폴리텍대학,전문대학,사립,경기,C그룹,44.48141223524065,44.40254011999574,44.40254011999572,42.74662585794804,71.47293141307692,71.4236018795575,71.4167388404888,71.42454012701131,71.41763395442916,71.41763395442915,71.41763395442916,71.290535,71.09346
2,가야대학교,대학,사립,경남,C그룹,44.408940205339746,44.34808058457646,44.349261641106985,42.74662585794804,69.36647876775125,69.06546395441998,68.51788623555152,67.99656838200632,67.97188795485593,67.97188795485594,67.97188795485593,68.06301,68.62421
3,가천대학교,대학,사립,경기,A그룹,44.47434169551592,44.420265403290216,44.352368376724144,42.74662585794804,70.34664835682972,68.87336649163393,70.86044433686271,70.631098257986,69.91450941993106,69.98678145486008,70.18572270189402,69.73238,69.79658
4,가톨릭관동대학교,대학,사립,강원,B그룹,44.408940205339746,44.34499250832617,44.33013084790114,42.74662585794804,68.04939124031871,68.92628464899704,67.98236891064316,67.97188795485594,67.97188795485593,67.97188795485594,67.97188795485593,68.06301,68.62421
5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,44.724393825591314,44.70085896348041,44.74284025672065,42.758253833553,68.20836901706166,69.17633772864625,68.00099849394644,68.28161647300519,70.73378301623974,68.02567892109684,69.4337037246364,69.0691,68.866455
6,가톨릭대학교,대학,사립,경기,A그룹,45.00324372416403,45.005990247834156,45.040971424160325,42.758253833553,74.01160714002904,73.55771762913062,73.46831641488153,73.57545996801045,73.59911352508267,73.66267453422482,73.879486821901,73.89455,73.89455
7,가톨릭상지대학교,전문대학,사립,경북,C그룹,44.97800588552117,44.6772422731924,44.60321338926358,42.74662585794804,68.06613330029725,67.99272270771166,68.00401239770669,68.01621344578633,68.01621344578632,68.03051985735073,68.04180954734574,68.345375,68.515274
8,감리교신학대학교,대학,사립,서울,C그룹,44.80798702326017,44.630781701299725,44.63384458162425,42.758253833553,68.06706919322377,68.06571783242552,68.14933561155107,68.7767467058808,68.04789698333003,70.07215943746704,68.32847115026269,69.02601,68.7872
9,강남대학교,대학,사립,경기,B그룹,44.408940205339746,44.341321687347325,44.349102871752166,42.74662585794804,69.56638083596437,69.27650789336,70.01337607474991,68.18177365098197,69.99720325629684,69.60575846970227,69.58295767702359,69.72877,69.492584
10,강동대학교,전문대학,사립,충북,B그룹,44.408940205339746,44.32910856072542,44.3291085607254,42.74662585794804,70.818406010851,68.87303744060547,70.36012054984175,71.41763395442915,70.41360812768619,67.99272270771166,67.99272270771165,68.66395,68.45878
11,강릉영동대학교,전문대학,사립,강원,B그룹,44.408940205339746,44.32910856072542,44.3291085607254,42.74662585794804,69.29756491715337,68.05744204619073,69.46699367119615,68.0821224733411,70.4967978177371,70.49679781773709,70.48989164515494,70.10364,69.90014
12,강서대학교,대학,사립,서울,C그룹,44.616259187956274,44.34808058457646,44.3291085607254,42.74662585794804,68.16682275592173,68.05744204619073,68.05744204619073,68.05744204619073,68.05744204619073,68.05744204619073,68.05744204619072,68.30651,68.55249
13,강원관광대학교,전문대학,사립,강원,C그룹,44.408940205339746,44.32910856072542,44.3291085607254,42.74662585794804,68.07879314684457,69.22762873934916,70.44554957125213,68.016672244254,71.10088470963359,71.10088470963358,71.41763395442916,71.32386,71.13101
14,강원대학교,대학,국립,강원,A그룹,44.71877881131892,44.42485769670276,44.570015268380104,42.74662585794804,68.90286747404221,70.91875219983825,71.01399538720635,72.83450302167877,72.59926523563763,72.64372641949528,72.64402904406954,72.27738,72.177734
15,강원도립대학교,전문대학,공립,강원,C그룹,44.43303640605598,44.459808216472034,44.38353279618295,42.74662585794804,68.13630471128683,68.05198967620721,68.15751025366143,68.04789698333003,68.04789698333003,68.04789698333003,70.02313443483276,69.03582,69.17439
16,개신대학원대학교,대학원대학,사립,서울,-,44.8530519997673,44.792609415793514,44.7897799187773,42.758253833553,69.25356135880004,68.61139936850134,70.22973300908566,68.04789698333003,69.53512164997322,68.04789698333003,69.35428220487731,68.97065,68.87899
17,거제대학교,전문대학,사립,경남,C그룹,44.408940205339746,44.32910856072542,44.533770628130775,42.74662585794804,70.07617751592305,69.69892538189465,68.09341216333614,68.06873173618575,70.13918186298218,68.06289411870124,69.9221618150992,68.96393,69.064186
18,건국대학교,대학,사립,서울,A그룹,44.90847623181518,44.81403785943797,44.81888250108805,42.74662585794804,71.01279809049662,70.45846782925653,71.88262567161523,71.51268044672165,71.9935439842372,71.09026397184871,72.7228135631995,72.469574,72.719734
19,건국대학교(글로컬),대학,사립,충북,B그룹,44.43935220319032,44.36159417450075,44.3291085607254,42.74662585794804,68.06665065002636,68.0140305782233,67.98525745819573,70.26636856240799,67.98970880395143,67.98970880395143,67.98970880395142,68.07241,68.350525
20,건동대학교,대학,사립,경북,C그룹,44.408940205339746,44.32910856072542,44.3291085607254,42.74662585794804,71.47382652701727,71.42449699349785,71.41763395442915,71.41763395442915,71.41763395442916,71.41763395442915,71.41763395442916,71.290535,71.09346
21,건신대학원대학교,대학원대학,사립,대전,-,44.64338239049624,44.56693344594254,44.56693344594252,42.758253833553,69.73180822681746,69.12485877337451,68.04205936584552,69.64294520545417,68.04789698333003,68.06571783242553,68.04789698333002,68.32163,68.58626
22,건양대학교,대학,사립,충남,B그룹,44.41728054370944,44.32572358325618,44.376068273168876,42.74662585794804,70.22749074525306,67.99619658205708,68.71408499234592,68.01740313486204,68.02788409064925,68.01740313486205,69.40665201958694,68.67507,68.691895
23,경기과학기술대학교,전문대학,사립,경기,A그룹,44.408940205339746,44.32910856072542,44.3291085607254,42.74662585794804,69.45741571859116,69.32049173095626,68.77254578387473,67.99272270771165,68.18634503129073,67.99272270771166,67.99272270771165,68.1746,68.260284
24,경기대학교,대학,사립,경기,A그룹,44.72514277176095,44.559712617448014,44.36137481352736,42.74662585794804,70.1393181579442,69.43075363252365,69.11976246785406,68.09276206709268,68.10218750115543,68.08343247434851,68.11821242849706,68.61671,68.54297
25,경남대학교,대학,사립,경남,A그룹,44.408940205339746,44.32910856072542,44.3291085607254,42.74662585794804,68.06168195454156,67.98827136195597,67.97989983002539,67.98390586783424,67.97981317495706,67.97981317495706,67.99029413074426,68.07476,68.34612
26,경남도립거창대학,전문대학,공립,경남,C그룹,44.431855349525414,44.3529832342805,44.36859604698884,42.74662585794804,68.28422182753835,68.63682688562687,69.46372350146818,68.06289411870124,68.06289411870124,68.06289411870124,71.21208332052274,70.460686,70.04111
27,경남도립남해대학,전문대학,공립,경남,C그룹,44.43852244737495,44.36859604698887,44.36859604698884,42.74662585794804,68.07158537280776,67.99817478022217,67.99817478022216,68.00401239770667,70.29213104163472,68.06440067112253,68.71654098293409,68.75588,68.64252
28,경남정보대학교,전문대학,사립,부산,A그룹,44.408940205339746,44.32910856072542,44.3291085607254,42.74662585794804,68.06613330029725,67.99272270771166,67.99272270771165,67.99272270771165,67.99272270771165,67.99272270771166,67.99272270771165,68.105934,68.3612
29,경동대학교,대학,사립,강원,B그룹,44.41012126187031,44.33028961725599,44.3291085607254,42.74662585794804,70.71031314930586,67.99272270771166,67.99272270771165,67.99272270771165,67.99272270771165,67.99272270771166,67.99272270771165,68.105934,68.3612
30,경민대학교,전문대학,사립,경기,B그룹,44.408940205339746,44.32910856072542,44.3291085607254,42.74662585794804,68.09081372744762,68.01621344578633,68.0552002845011,68.03051985735073,68.00538255425896,69.1436505292538,68.00538255425896,68.25412,68.735054
31,경복대학교,전문대학,사립,경기,A그룹,44.408940205339746,44.32910856072542,44.3291085607254,42.74662585794804,68.06613330029725,68.05894859861202,67.99272270771165,67.99272270771165,67.98827136195597,67.98827136195597,67.99272270771165,68.09526,68.352615
32,경북과학대학교,전문대학,사립,경북,C그룹,44.426798142635434,44.32910856072542,44.3291085607254,42.74662585794804,70.36425363049811,69.66153778434688,70.4289677030953,69.22762873934919,69.41493417926438,69.22762873934916,69.22762873934919,68.79146,68.60522
33,경북대학교,대학,국립,대구,A그룹,50.95656644644566,51.272454929365715,54.15798936628263,56.65416250267056,70.31127514924958,73.69957117856016,72.1373040350817,73.98939614326812,74.00565909164837,74.24353663420108,74.34851036716343,74.37175,73.15597
34,경북보건대학교,전문대학,사립,경북,C그룹,44.42826307024797,44.32910856072542,44.3291085607254,42.74662585794804,68.17859981711011,68.00538255425897,68.00538255425897,68.00538255425897,68.00538255425896,68.05744204619073,68.05744204619072,68.310776,68.55249
35,경북외국어대학교,대학,사립,대구,C그룹,44.408940205339746,44.32910856072542,44.3291085607254,42.74662585794804,71.47382652701727,71.42449699349785,71.41763395442915,71.41763395442915,71.41763395442916,71.41763395442915,71.41763395442916,71.290535,71.09346
36,경북전문대학교,전문대학,사립,경북,B그룹,44.42826307024797,44.32910856072542,44.3291085607254,42.74662585794804,68.10393044993631,69.714660439884,68.05744204619073,68.05744204619073,68.05744204619073,68.05744204619073,68.05744204619072,68.30651,68.55249
37,경상국립대학교,대학,국립,경남,A그룹,45.15704648180576,44.86038646121124,44.85785841549803,42.74662585794804,70.53899112953752,70.6363258595611,70.96834702487217,72.61861670510773,72.90364854872071,73.08810750344581,73.12006618111478,73.16958,73.394516
38,경성대학교,대학,사립,부산,A그룹,44.432409108704874,44.34151240443043,44.33468883699439,42.74662585794804,68.09725389931408,67.99619658205708,67.98393514375866,67.9922763958822,67.98838648951435,67.9843511757811,68.00732265749407,68.21083,68.3717
39,경안대학원대학교,대학원대학,사립,경북,-,44.56575558504194,44.487166054588265,44.56177867038911,42.758253833553,70.5377893833669,69.90668999827847,69.5735388436511,71.15747531835987,69.05555373823839,69.0330942326806,68.26966756277479,68.724655,68.75942
40,경운대학교,대학,사립,경북,C그룹,44.408940205339746,44.32910856072542,44.3291085607254,42.74662585794804,68.05387186199883,67.97188795485594,67.97188795485594,67.97188795485594,67.97188795485593,67.97188795485594,68.08150122518732,68.42684,68.705956
41,경인교육대학교,대학,국립,인천,C그룹,45.09842092940244,45.0634387403478,45.055945330943906,42.77731180456749,68.05658823743656,67.98317764485097,68.00099849394644,68.00099849394644,67.99365860063818,67.99516087646194,67.99554642143593,68.105934,68.3612
42,경인여자대학교,전문대학,사립,인천,B그룹,44.408940205339746,44.32910856072542,44.3291085607254,42.74662585794804,68.10583095487604,67.99272270771166,68.03242036229045,67.99272270771165,67.99272270771165,67.99272270771166,67.99272270771165,68.105934,68.3612
