ID,SNM,STYP,FND,RGN,USC,SCR_EST_2014,SCR_EST_2015,SCR_EST_2016,SCR_EST_2017,SCR_EST_2018,SCR_EST_2019,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024
1,ICT폴리텍대학,전문대학,사립,경기,C그룹,44.27194965702571,44.20766711499048,44.22962411808199,42.735408299480284,69.98916171238173,69.97786944185033,69.9678595212154,69.9424321496739,69.8923156900466,69.90500874427497,69.90500874427497
2,가야대학교,대학,사립,경남,C그룹,44.27189032404791,44.216085144274004,44.239820356475256,42.739274500308454,67.99211233060419,67.84578009651376,67.74056891377542,67.54763205946628,67.44547081893546,67.65888897435093,67.67624764778299
3,가천대학교,대학,사립,경기,A그룹,44.29451283604677,44.22582195536954,44.282833536330855,42.73981461418009,70.52495005598271,70.46316756361603,70.77416744889574,70.7904087905855,70.55677181061692,70.70706317535124,70.949375163886
4,가톨릭관동대학교,대학,사립,강원,B그룹,44.27561205023838,44.231594604168,44.27364995290542,42.73074087798272,67.1873792024199,67.12380758784285,66.88257513521093,67.1350253163704,67.32989677944833,67.34442382748084,67.48854819596667
5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,44.28393117580887,44.21919394846298,44.25643740629342,42.72242873023714,68.12844122765314,68.75609240196188,67.84949228358194,68.1554745320098,70.12114439757094,67.92321213558982,68.50738148375368
6,가톨릭대학교,대학,사립,경기,A그룹,50.708002799449496,49.45667778374404,49.643803608932956,50.21119471205116,60.71409564488943,63.805720775671055,63.55842381175562,72.75480164209772,73.10203361905799,73.19670639495358,73.39305706220105
7,가톨릭상지대학교,전문대학,사립,경북,C그룹,44.26941970102157,44.20170470949139,44.233779203485724,42.73305370148167,67.50042186275878,67.52878840865253,67.54037165833363,67.5470287180613,67.56190772944846,67.5663317575138,67.59712840148978
8,감리교신학대학교,대학,사립,서울,C그룹,44.300939901081186,44.23241493218939,44.25036398771319,42.72413694854862,67.60545953895137,67.76414129700814,67.72405547602554,68.00484857131592,67.6995277573674,69.08297485123563,67.9618477295651
9,강남대학교,대학,사립,경기,B그룹,44.278294101078046,44.22687348249577,44.24861934859626,42.7413769847805,68.05419382097371,67.64590190204322,69.44122504106195,67.3935480315779,69.4534770317242,68.29132663783474,68.27649461951087
10,강동대학교,전문대학,사립,충북,B그룹,44.26946103373274,44.20409177240834,44.22582258502368,42.735641822599675,69.80939306969192,68.07062164737434,69.76441966849569,69.90384418671097,69.75029246216741,67.64926374752454,67.64556450091769
11,강릉영동대학교,전문대학,사립,강원,B그룹,44.272419611487514,44.20409177240834,44.22582258502368,42.73555486607795,68.08082945788105,67.7125405894427,68.25637015209026,67.82966416031627,69.76533516403077,69.76549443058947,69.73653000632613
12,강서대학교,대학,사립,서울,C그룹,44.28674663626426,44.22341697840202,44.24016061268644,42.73588448995649,67.88905564443603,67.62939614883905,67.62304500149605,67.6518963821001,67.63382808465683,67.63383067264856,67.64884864481328
13,강원관광대학교,전문대학,사립,강원,C그룹,44.27101483520502,44.1997438169218,44.22555904120036,42.736670161109,67.76652307937628,67.99240935493651,69.66209357369675,67.58493802594342,69.86651711161214,69.92463947837581,69.9225488581466
14,강원대학교,대학,국립,강원,A그룹,51.03519467522884,51.47477045048242,51.89605128192584,49.499898062155715,71.33651589654306,71.8006110933149,72.1295425412953,71.96730694024174,71.9048831487554,72.02071158058926,71.86111904349664
15,강원도립대학교,전문대학,공립,강원,C그룹,44.275866776590924,44.20598239708156,44.240325424625695,42.73650785089506,67.62681421537398,67.55589715789445,67.75015914188475,67.65760625194045,67.67448951260089,67.66494133282174,69.39923428172062
16,개신대학원대학교,대학원대학,사립,서울,-,67.02837652111658,67.02837652111657,67.02837652111658,67.02837652111661,67.02837652111657,67.02837652111658,67.02837652111658,67.02837652111658,67.02837652111658,67.02837652111658,68.0500663145228
17,거제대학교,전문대학,사립,경남,C그룹,44.26405213104123,44.202330083312425,44.23889678130846,42.732966421460965,68.93978788924434,68.35462382625425,67.706047705314,67.63891693903918,69.31869458440103,67.5684328669519,68.98502706080143
18,건국대학교,대학,사립,서울,A그룹,47.270900958050916,47.317375495462876,47.698084300302355,49.98061020092809,63.469649651517145,64.90220802878358,65.24647237191483,72.29040262424773,72.2559150707384,72.02106479923052,72.31477109293685
19,건국대학교(글로컬),대학,사립,충북,B그룹,44.298064909627364,44.2405945695307,44.24785239106704,42.74334685624358,67.0814395578254,66.83998360737488,66.61533365537441,69.80532810587148,66.94444400456628,67.02240174931748,67.1009919735056
20,건동대학교,대학,사립,경북,C그룹,44.26946103373274,44.20409177240834,44.22582258502368,42.735641822599675,69.93218901569438,69.92809481279582,69.91808489216089,69.90765040364217,69.90985580391823,69.92254885814661,69.9225488581466
21,건신대학원대학교,대학원대학,사립,대전,-,44.29892207470466,44.22125363173461,44.262261616955925,42.72448289834158,68.69099838466673,68.44139368079571,67.02837652111658,68.61679251253976,67.02837652111658,67.02837652111658,67.0283765211166
22,건양대학교,대학,사립,충남,B그룹,44.28174255132946,44.24466009699838,44.25825407543339,42.73347422138045,69.45936388993442,67.45080322153689,67.932000707123,67.04536655071979,67.0627038973506,67.11003742282274,67.95129983090581
23,경기과학기술대학교,전문대학,사립,경기,A그룹,44.270696799778285,44.19922801579459,44.225883819783284,42.73192515018193,68.15011437485623,68.01380966758686,67.80092946807622,67.58461632871953,67.86386524204457,67.61341658743828,67.53269411094135
24,경기대학교,대학,사립,경기,A그룹,44.36970987612431,44.347013859479944,44.34290852298872,42.716256449066215,69.4810664059169,67.63259427569206,67.08041780934442,67.50533136750526,67.6912886368865,67.76401276611868,68.58041585980443
25,경남대학교,대학,사립,경남,A그룹,44.26851252039021,44.207162029194635,44.23074817307292,42.740486952861936,67.51371318094141,67.47556360809071,67.38217478525897,67.52844154838716,67.15863570004875,67.21089927483945,67.4053448695025
26,경남도립거창대학,전문대학,공립,경남,C그룹,44.27966456098245,44.21555864938201,44.23754610450942,42.731973667837785,67.87900730258066,67.88094291779069,68.04083621541501,67.62389804539255,67.6374320199727,67.62650551893755,69.77003694674883
27,경남도립남해대학,전문대학,공립,경남,C그룹,44.28488999662772,44.21602131041259,44.2385728902237,42.7316077258088,67.65782042786114,67.6200504924825,67.60785134651977,67.62231505712478,69.65335137939752,67.74368581649827,67.89120972978309
28,경남정보대학교,전문대학,사립,부산,A그룹,44.26946103373274,44.20746392561746,44.227472516010565,42.735641822599675,67.50473916029615,67.47270669145664,67.46293314073202,67.46856453882266,67.41873873157836,67.4582853428777,67.44119236339341
29,경동대학교,대학,사립,강원,B그룹,44.26770177447349,44.20207405904281,44.22827131403219,42.73589466939056,69.7889564767961,67.29720613122784,67.29700646726462,67.27952976572543,67.29162176591521,67.4701001343664,67.62471313157455
