YR,ID,SNM,STYP,FND,RGN,USC,SCR_EST
2022,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,71.41763395442915
2022,2,가야대학교,대학,사립,경남,C그룹,67.97188795485594
2022,3,가천대학교,대학,사립,경기,A그룹,69.91450941993105
2022,4,가톨릭관동대학교,대학,사립,강원,B그룹,67.97188795485594
2022,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,70.73378301623974
2022,6,가톨릭대학교,대학,사립,경기,A그룹,73.59911352508269
2022,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,68.01621344578635
2022,8,감리교신학대학교,대학,사립,서울,C그룹,68.04789698333003
2022,9,강남대학교,대학,사립,경기,B그룹,69.99720325629687
2022,10,강동대학교,전문대학,사립,충북,B그룹,70.4136081276862
2022,11,강릉영동대학교,전문대학,사립,강원,B그룹,70.4967978177371
2022,12,강서대학교,대학,사립,서울,C그룹,68.05744204619074
2022,13,강원관광대학교,전문대학,사립,강원,C그룹,71.10088470963359
2022,14,강원대학교,대학,국립,강원,A그룹,72.59926523563763
2022,15,강원도립대학교,전문대학,공립,강원,C그룹,68.04789698333003
2022,16,개신대학원대학교,대학원대학,사립,서울,-,69.53512164997323
2022,17,거제대학교,전문대학,사립,경남,C그룹,70.13918186298218
2022,18,건국대학교,대학,사립,서울,A그룹,71.99354398423722
2022,19,건국대학교(글로컬),대학,사립,충북,B그룹,67.98970880395143
2022,21,건신대학원대학교,대학원대학,사립,대전,-,68.04789698333003
2022,22,건양대학교,대학,사립,충남,B그룹,68.02788409064925
2022,23,경기과학기술대학교,전문대학,사립,경기,A그룹,68.18634503129073
2022,24,경기대학교,대학,사립,경기,A그룹,68.10218750115543
2022,25,경남대학교,대학,사립,경남,A그룹,67.97981317495706
2022,26,경남도립거창대학,전문대학,공립,경남,C그룹,68.06289411870124
2022,27,경남도립남해대학,전문대학,공립,경남,C그룹,70.29213104163472
2022,28,경남정보대학교,전문대학,사립,부산,A그룹,67.99272270771166
2022,29,경동대학교,대학,사립,강원,B그룹,67.99272270771166
2022,30,경민대학교,전문대학,사립,경기,B그룹,68.00538255425899
2022,31,경복대학교,전문대학,사립,경기,A그룹,67.98827136195597
2022,32,경북과학대학교,전문대학,사립,경북,C그룹,69.41493417926439
2022,33,경북대학교,대학,국립,대구,A그룹,74.00565909164837
2022,34,경북보건대학교,전문대학,사립,경북,C그룹,68.00538255425899
2022,36,경북전문대학교,전문대학,사립,경북,B그룹,68.05744204619074
2022,37,경상국립대학교,대학,국립,경남,A그룹,72.90364854872071
2022,38,경성대학교,대학,사립,부산,A그룹,67.98838648951435
2022,39,경안대학원대학교,대학원대학,사립,경북,-,69.05555373823839
2022,40,경운대학교,대학,사립,경북,C그룹,67.97188795485594
2022,41,경인교육대학교,대학,국립,인천,C그룹,67.99365860063818
2022,42,경인여자대학교,전문대학,사립,인천,B그룹,67.99272270771166
2022,43,경일대학교,대학,사립,경북,B그룹,67.99272270771166
2022,44,경찰대학,기타,기타,충남,-,67.99272270771166
2022,45,경희대학교,대학,사립,서울,A그룹,74.66123255164285
2022,46,계명대학교,대학,사립,대구,A그룹,69.5172509429335
2022,47,계명문화대학교,전문대학,사립,대구,A그룹,67.99272270771166
2022,48,계약신학대학원대학교,대학원대학,사립,경기,-,68.53165824199841
2022,49,계원예술대학교,전문대학,사립,경기,B그룹,70.11987303768211
2022,50,고려대학교,대학,사립,서울,A그룹,78.23193502166691
2022,51,고려대학교(세종),대학,사립,세종,B그룹,70.25188907959208
2022,52,고려사이버대학교,대학,사립,서울,A그룹,71.41763395442915
2022,53,고신대학교,대학,사립,부산,C그룹,68.0143892311018
2022,54,공군사관학교,기타,기타,충북,-,70.33606887352201
2022,55,공주교육대학교,대학,국립,충남,C그룹,67.98317764485097
2022,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,71.70917417481826
2022,57,광신대학교,대학,사립,광주,C그룹,70.04790242184073
2022,58,광양보건대학교,전문대학,사립,전남,C그룹,71.15747531835989
2022,59,광운대학교,대학,사립,서울,B그룹,67.99416489026784
2022,60,광주가톨릭대학교,대학,사립,전남,C그룹,66.12184738067216
2022,61,광주과학기술원,대학,국립,광주,C그룹,71.92697120533194
2022,62,광주교육대학교,대학,국립,광주,C그룹,67.97734002736645
2022,63,광주대학교,대학,사립,광주,B그룹,67.97188795485594
2022,64,광주보건대학교,전문대학,사립,광주,B그룹,70.0893148459879
2022,65,광주여자대학교,대학,사립,광주,C그룹,67.97598064773312
2022,66,구미대학교,전문대학,사립,경북,A그룹,70.05151769634884
2022,67,구세군사관대학원대학교,대학원대학,사립,경기,-,65.84190834701185
2022,68,국군간호사관학교,기타,기타,대전,-,68.12366793709108
2022,69,국립강릉원주대학교,대학,국립,강원,B그룹,67.98782098315367
2022,70,국립경국대학교,대학,국립,경북,B그룹,67.99365860063818
2022,71,국립공주대학교,대학,국립,충남,A그룹,68.00991866542745
2022,72,국립군산대학교,대학,국립,전북,B그룹,68.00099849394645
2022,73,국립금오공과대학교,대학,국립,경북,B그룹,68.16062833533903
2022,74,국립목포대학교,대학,국립,전남,B그룹,67.97598064773312
2022,75,국립목포해양대학교,대학,국립,전남,C그룹,69.3449928656216
2022,76,국립부경대학교,대학,국립,부산,A그룹,68.27450178455858
2022,77,국립순천대학교,대학,국립,전남,B그룹,68.00099849394645
2022,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,71.70297146464344
2022,79,국립창원대학교,대학,국립,경남,B그룹,68.04448261477336
2022,80,국립한국교통대학교,대학,국립,충북,B그룹,68.02526770467722
2022,81,국립한국해양대학교,대학,국립,부산,B그룹,68.00509118682363
2022,82,국립한밭대학교,대학,국립,대전,B그룹,68.00606293512703
2022,83,국민대학교,대학,사립,서울,A그룹,68.22804385394238
2022,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,71.21208332052272
2022,86,국제대학교,전문대학,사립,경기,B그룹,67.99272270771166
2022,89,국제사이버대학교,대학,사립,경기,C그룹,69.72246172640652
2022,90,국제언어대학원대학교,대학원대학,사립,서울,-,70.64287571937231
2022,92,군산간호대학교,전문대학,사립,전북,C그룹,67.99272270771166
2022,93,군장대학교,전문대학,사립,전북,C그룹,69.41493417926439
2022,94,극동대학교,대학,사립,충북,C그룹,69.28372524891373
