YR,RK,SNM,SCR
2022,1,서울대학교,86.5
2022,2,고려대학교,79.6
2022,3,연세대학교,79.5
2022,4,성균관대학교,78.9
2022,5,한국과학기술원,78.0
2022,6,한양대학교,76.6
2022,7,경희대학교,75.6
2022,8,포항공과대학교,75.5
2022,9,경북대학교,75.1
2022,10,울산대학교,75.0
2022,11,전남대학교,74.9
2022,12,부산대학교,74.7
2022,13,울산과학기술원,74.1
2022,14,이화여자대학교,73.4
2022,15,전북대학교,72.9
2022,16,중앙대학교,72.8
2022,17,건국대학교,72.8
2022,18,가톨릭대학교,72.8
2022,19,충남대학교,72.4
2022,20,세종대학교,72.3
2022,21,인하대학교,72.2
2022,22,강원대학교,72.0
2022,23,아주대학교,72.0
2022,24,영남대학교,71.9
2022,25,광주과학기술원,71.4
2022,26,경상국립대학교,71.4
2022,27,동국대학교,71.2
2022,28,과학기술연합대학원대학교,70.8
2022,29,인제대학교,70.8
2022,30,서울시립대학교,70.8
2022,31,가천대학교,70.8
2022,32,충북대학교,70.7
2022,33,한림대학교,70.4
2022,34,서강대학교,70.0
2022,35,단국대학교,69.8
2022,36,순천향대학교,69.5
2022,37,국립부경대학교,69.3
2022,38,대구경북과학기술원,69.2
2022,39,동아대학교,68.7
2022,40,계명대학교,68.7
2022,41,숭실대학교,68.5
2022,42,제주대학교,68.3
2022,43,조선대학교,68.2
2022,44,차의과학대학교,68.1
2022,45,인천대학교,67.8
2022,46,서울과학기술대학교,67.6
2022,47,국민대학교,67.5
2022,48,명지대학교,67.1
2022,49,광운대학교,67.1
2022,50,원광대학교,67.0
2022,51,국립강릉원주대학교,66.9
2022,52,숙명여자대학교,66.7
2022,53,국립공주대학교,66.7
2022,54,홍익대학교,66.6
2022,55,을지대학교,66.6
2022,56,한국외국어대학교,66.5
2022,57,대구가톨릭대학교,66.5
