YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCC,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR
2016,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,5828,0,5828,8652,0,8652,0,0,0,0,0,0,0,0,0,182,196,378,221,1284,8652,311,27.799999237060547,378,8652,4.599999904632568
2016,2,가야대학교,대학,사립,경남,C그룹,86403,26005,112408,143413,28008,171421,1,3,23262,0,4,25601,1553,60,1613,17651,1558,19209,17972,0,171421,2718,63.09999847412109,19209,171421,12.600000381469728
2016,3,가천대학교,대학,사립,경기,A그룹,318707,126005,444712,796250,167803,964053,29,35,19406,0,64,79047,155,1,156,27591,5101,32692,15125,0,964053,20737,46.5,32692,964053,3.5
2016,4,가톨릭관동대학교,대학,사립,강원,B그룹,201222,141829,343051,469488,195806,665294,6,15,57554,0,21,85238,412,68,480,13103,2482,15585,10992,0,665294,9332,71.30000305175781,15585,665294,2.400000095367432
2016,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,33846,4171,38017,47233,4625,51858,0,14,2295,0,14,22214,89,1,90,3424,726,4150,3743,175,51858,536,96.8000030517578,4150,51858,8.699999809265137
2016,6,가톨릭대학교,대학,사립,경기,A그룹,377940,193656,571596,705626,345897,1051523,76,68,45626,0,144,254717,2702,956,3658,21187,7200,28387,17137,398,1051523,10881,96.5999984741211,28387,1051523,2.799999952316284
2016,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,57676,2312,59988,94199,4067,98266,3,4,8458,0,7,13865,57,0,57,2689,633,3322,2376,0,98266,1975,49.79999923706055,3322,98266,3.5
2016,8,감리교신학대학교,대학,사립,서울,C그룹,50445,42813,93258,79485,56528,136013,4,2,1601,0,6,7788,114,38,152,4387,510,4897,4176,0,136013,1576,86.30000305175781,4897,136013,3.700000047683716
2016,9,강남대학교,대학,사립,경기,B그룹,246562,78411,324973,361278,122947,484225,7,7,8655,0,14,31588,126,75,201,8674,429,9103,5438,0,484225,7325,66.0999984741211,9103,484225,1.899999976158142
2016,10,강동대학교,전문대학,사립,충북,B그룹,43080,339,43419,65016,375,65391,1,2,3989,0,3,9622,95,1,96,4607,38,4645,3290,0,65391,4027,16.200000762939453,4645,65391,7.599999904632568
2016,11,강릉영동대학교,전문대학,사립,강원,B그룹,39676,2117,41793,61764,2935,64699,1,1,4843,0,2,8918,206,0,206,4599,13,4612,2417,0,64699,3008,21.5,4612,64699,7.699999809265137
2016,12,강서대학교,대학,사립,서울,C그룹,65018,17746,82764,82224,18996,101220,3,11,10111,0,14,36611,212,37,249,2337,1928,4265,4247,30,101220,1604,63.09999847412109,4265,101220,4.400000095367432
2016,13,강원관광대학교,전문대학,사립,강원,C그룹,30813,231,31044,40210,266,40476,1,0,992,0,1,4488,70,0,70,1547,474,2021,2000,0,40476,1351,30.0,2021,40476,5.300000190734863
2016,14,강원대학교,대학,국립,강원,A그룹,789557,182535,972092,1343948,329276,1673224,42,34,28180,0,76,206290,1866,1209,3075,38370,6746,45116,33555,35,1673224,23947,69.9000015258789,45116,1673224,2.799999952316284
2016,15,강원도립대학교,전문대학,공립,강원,C그룹,54096,1343,55439,54199,1343,55542,0,0,3965,0,0,3965,62,0,62,2804,932,3736,3736,132,55542,894,62.09999847412109,3736,55542,7.199999809265137
2016,16,개신대학원대학교,대학원대학,사립,서울,-,10173,6727,16900,14293,8839,23132,0,0,0,0,0,0,59,3,62,191,628,819,773,0,23132,134,172.60000610351562,819,23132,3.700000047683716
2016,17,거제대학교,전문대학,사립,경남,C그룹,46527,1774,48301,61936,1869,63805,1,1,9710,0,2,13785,81,0,81,2891,186,3077,2676,4,63805,1566,40.70000076293945,3077,63805,5.099999904632568
2016,18,건국대학교,대학,사립,서울,A그룹,462694,154147,616841,1056986,236893,1293879,25,34,39435,0,59,70842,1006,209,1215,23713,5828,29541,18535,16837,1293879,19902,65.0,29541,1293879,2.299999952316284
