YR,ID,SNM,STYP,FND,RGN,USC,STF_FT_HLIBC,STF_FT_NLIBC,STF_PT_HLIBC,STF_PT_NLIBC,STF_TTL_HLIBC,STF_TTL_NLIBC,STF_TTL_SUM,LIBCS_FT_SL1,LIBCS_FT_SL2,LIBCS_FT_ALIB,LIBCS_FT_TTL,LIBCS_PT_SL1,LIBCS_PT_SL2,LIBCS_PT_ALIB,LIBCS_PT_TTL,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCP,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2015,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,302,2.5999999046325684,0,0,302,0.0,0,1,0,0.0
2015,2,가야대학교,대학,사립,경남,C그룹,2,0,1,0,3,0,3,0,2,0,2,0,1,0,1,46,7,2,0,1,0,2814,1.0,2,1,2814,1.100000023841858,46,2,1,15.300000190734863
2015,3,가천대학교,대학,사립,경기,A그룹,10,5,4,5,14,10,24,2,7,1,10,0,4,0,4,739,195,10,5,4,5,21018,0.8999999761581421,10,4,21018,0.699999988079071,739,15,9,30.799999237060547
2015,4,가톨릭관동대학교,대학,사립,강원,B그룹,4,3,0,4,4,7,11,0,4,0,4,0,0,0,0,502,49,4,3,0,4,9686,0.8999999761581421,4,0,9686,0.4000000059604645,502,7,4,45.59999847412109
2015,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,74,9,1,0,0,0,579,1.7000000476837158,1,0,579,1.7000000476837158,74,1,0,74.0
2015,6,가톨릭대학교,대학,사립,경기,A그룹,19,9,2,0,21,9,30,4,15,0,19,0,1,1,2,672,91,19,9,2,0,10899,2.5999999046325684,19,2,10899,1.899999976158142,672,28,2,22.399999618530277
2015,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,1,0,1,1,2,1,3,0,1,0,1,0,1,0,1,289,28,1,0,1,1,2055,1.100000023841858,1,1,2055,1.0,289,1,2,96.3000030517578
2015,8,감리교신학대학교,대학,사립,서울,C그룹,3,0,0,0,3,0,3,3,0,0,3,0,0,0,0,117,3,3,0,0,0,1550,1.899999976158142,3,0,1550,1.899999976158142,117,3,0,39.0
2015,9,강남대학교,대학,사립,경기,B그룹,4,0,4,3,8,3,11,0,4,0,4,0,4,0,4,139,34,4,0,4,3,7719,1.100000023841858,4,4,7719,1.0,139,4,7,12.600000381469728
2015,10,강동대학교,전문대학,사립,충북,B그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,7,2,1,0,0,1,4198,0.4000000059604645,1,0,4198,0.2000000029802322,7,1,1,3.5
2015,11,강릉영동대학교,전문대학,사립,강원,B그룹,0,1,1,0,1,1,2,0,0,0,0,0,0,1,1,24,1,0,1,1,0,3072,0.5,0,1,3072,0.3000000119209289,24,1,1,12.0
2015,12,강서대학교,대학,사립,서울,C그룹,2,0,0,0,2,0,2,0,2,0,2,0,0,0,0,27,7,2,0,0,0,1631,1.2000000476837158,2,0,1631,1.2000000476837158,27,2,0,13.5
2015,13,강원관광대학교,전문대학,사립,강원,C그룹,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5,1,1,0,0,0,1367,0.699999988079071,1,0,1367,0.699999988079071,5,1,0,5.0
2015,14,강원대학교,대학,국립,강원,A그룹,25,4,1,5,26,9,35,14,10,1,25,0,1,0,1,1494,1455,25,4,1,5,24868,1.2999999523162842,25,1,24868,1.0,1494,29,6,42.70000076293945
2015,15,강원도립대학교,전문대학,공립,강원,C그룹,1,0,0,1,1,1,2,0,0,1,1,0,0,0,0,156,3,1,0,0,1,900,1.7000000476837158,1,0,900,1.100000023841858,156,1,1,78.0
2015,16,개신대학원대학교,대학원대학,사립,서울,-,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,5,1,1,0,0,0,108,9.300000190734863,1,0,108,9.300000190734863,5,1,0,5.0
2015,17,거제대학교,전문대학,사립,경남,C그룹,1,0,0,1,1,1,2,1,0,0,1,0,0,0,0,52,4,1,0,0,1,1684,0.8999999761581421,1,0,1684,0.6000000238418579,52,1,1,26.0
2015,18,건국대학교,대학,사립,서울,A그룹,10,7,18,0,28,7,35,5,5,0,10,0,18,0,18,1553,61,10,7,18,0,19999,1.5,10,18,19999,1.399999976158142,1553,17,18,44.400001525878906
2015,19,건국대학교(글로컬),대학,사립,충북,B그룹,4,2,7,4,11,6,17,2,2,0,4,0,7,0,7,518,116,4,2,7,4,8959,1.5,4,7,8959,1.2000000476837158,518,6,11,30.5
2015,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2015,21,건신대학원대학교,대학원대학,사립,대전,-,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,1,148,3.400000095367432,0,0,148,0.0,4,0,1,4.0
2015,22,건양대학교,대학,사립,충남,B그룹,3,4,4,0,7,4,11,0,3,0,3,0,4,0,4,227,8,3,4,4,0,8799,1.100000023841858,3,4,8799,0.800000011920929,227,7,4,20.600000381469727
2015,23,경기과학기술대학교,전문대학,사립,경기,A그룹,2,1,1,0,3,1,4,0,2,0,2,0,1,0,1,35,5,2,1,1,0,4505,0.800000011920929,2,1,4505,0.699999988079071,35,3,1,8.800000190734863
2015,24,경기대학교,대학,사립,경기,A그룹,15,0,6,5,21,5,26,5,10,0,15,0,6,0,6,1158,111,15,0,6,5,16686,1.2999999523162842,15,6,16686,1.2999999523162842,1158,15,11,44.5
2015,25,경남대학교,대학,사립,경남,A그룹,7,1,0,14,7,15,22,2,5,0,7,0,0,0,0,404,60,7,1,0,14,14088,1.100000023841858,7,0,14088,0.5,404,8,14,18.399999618530277
2015,26,경남도립거창대학,전문대학,공립,경남,C그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,35,1,1,0,0,1,955,1.600000023841858,1,0,955,1.0,35,1,1,17.5
2015,27,경남도립남해대학,전문대학,공립,경남,C그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,35,1,1,0,0,1,846,1.7999999523162842,1,0,846,1.2000000476837158,35,1,1,17.5
2015,28,경남정보대학교,전문대학,사립,부산,A그룹,2,1,0,0,2,1,3,1,1,0,2,0,0,0,0,90,6,2,1,0,0,7058,0.4000000059604645,2,0,7058,0.3000000119209289,90,3,0,30.0
2015,29,경동대학교,대학,사립,강원,B그룹,3,2,0,0,3,2,5,0,2,1,3,0,0,0,0,0,0,3,2,0,0,5987,0.800000011920929,3,0,5987,0.5,0,5,0,0.0
2015,30,경민대학교,전문대학,사립,경기,B그룹,3,0,0,2,3,2,5,1,2,0,3,0,0,0,0,79,8,3,0,0,2,4723,0.800000011920929,3,0,4723,0.6000000238418579,79,3,2,15.800000190734863
2015,31,경복대학교,전문대학,사립,경기,A그룹,2,0,1,0,3,0,3,0,2,0,2,0,1,0,1,95,12,2,0,1,0,6452,0.4000000059604645,2,1,6452,0.5,95,2,1,31.700000762939453
2015,32,경북과학대학교,전문대학,사립,경북,C그룹,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,8,1,1,0,0,0,1851,0.5,1,0,1851,0.5,8,1,0,8.0
2015,33,경북대학교,대학,국립,대구,A그룹,44,7,10,1,54,8,62,15,25,4,44,1,8,1,10,4098,642,44,7,10,1,30890,1.899999976158142,44,10,30890,1.7000000476837158,4098,51,11,66.0999984741211
2015,34,경북보건대학교,전문대학,사립,경북,C그룹,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,36,1,1,0,0,0,1344,0.699999988079071,1,0,1344,0.699999988079071,36,1,0,36.0
2015,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2015,36,경북전문대학교,전문대학,사립,경북,B그룹,1,1,0,0,1,1,2,0,1,0,1,0,0,0,0,30,1,1,1,0,0,2700,0.699999988079071,1,0,2700,0.4000000059604645,30,2,0,15.0
2015,37,경상국립대학교,대학,국립,경남,A그룹,26,6,4,0,30,6,36,8,17,1,26,1,2,1,4,3001,521,26,6,4,0,23799,1.399999976158142,26,4,23799,1.2999999523162842,3001,32,4,83.4000015258789
2015,38,경성대학교,대학,사립,부산,A그룹,11,1,2,1,13,2,15,3,8,0,11,0,2,0,2,787,212,11,1,2,1,14008,1.0,11,2,14008,0.8999999761581421,787,12,3,52.5
2015,39,경안대학원대학교,대학원대학,사립,경북,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0.0,0,0,76,0.0,0,0,0,0.0
2015,40,경운대학교,대학,사립,경북,C그룹,3,2,0,1,3,3,6,0,3,0,3,0,0,0,0,116,20,3,2,0,1,5211,1.0,3,0,5211,0.6000000238418579,116,5,1,19.299999237060547
2015,41,경인교육대학교,대학,국립,인천,C그룹,7,0,1,0,8,0,8,1,5,1,7,1,0,0,1,912,19,7,0,1,0,4274,1.7999999523162842,7,1,4274,1.899999976158142,912,7,1,114.0
2015,42,경인여자대학교,전문대학,사립,인천,B그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,20,2,1,0,0,1,4950,0.3000000119209289,1,0,4950,0.2000000029802322,20,1,1,10.0
2015,43,경일대학교,대학,사립,경북,B그룹,5,0,3,0,8,0,8,0,5,0,5,0,3,0,3,107,64,5,0,3,0,7512,1.0,5,3,7512,1.100000023841858,107,5,3,13.399999618530272
2015,44,경찰대학,기타,기타,충남,-,4,3,0,0,4,3,7,2,2,0,4,0,0,0,0,950,14,4,3,0,0,0,0.0,4,0,0,0.0,950,7,0,135.6999969482422
2015,45,경희대학교,대학,사립,서울,A그룹,28,3,25,3,53,6,59,11,16,1,28,0,22,3,25,1267,295,28,3,25,3,32961,1.600000023841858,28,25,32961,1.600000023841858,1267,31,28,21.5
2015,46,계명대학교,대학,사립,대구,A그룹,21,3,0,14,21,17,38,8,11,2,21,0,0,0,0,1632,296,21,3,0,14,25445,1.2000000476837158,21,0,25445,0.800000011920929,1632,24,14,42.900001525878906
2015,47,계명문화대학교,전문대학,사립,대구,A그룹,2,0,1,1,3,1,4,0,0,2,2,0,1,0,1,164,37,2,0,1,1,5283,0.6000000238418579,2,1,5283,0.6000000238418579,164,2,2,41.0
2015,48,계약신학대학원대학교,대학원대학,사립,경기,-,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,51,19.600000381469727,1,0,51,19.600000381469727,0,1,0,0.0
