YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCP,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_17A,BG3Y_MCS_18B,BG3Y_MCS_19C,BG3Y_BG3Y,VUC_SCP,VUC_VTC_UGRD,VUC_VTC_GRAD,VUC_VTC_FFAC,VUC_VTC_PFAC,VUC_VTC_STF,VUC_VTC_OTH,VUC_VTC_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCP,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCP,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2019,1,서울대학교,86.3,200,대학,국립,서울,A그룹,707717,1139047,1846764,2413999,2753707,5167706,89,107,665726,0,196,665726,1679,2050,3729,34716,33869,68585,54365,7644,5167706,28102,183.8999938964844,68585,5167706,1.2999999523162842,78604.0,9792,536,78604.0,28102,2.799999952316284,849501263729,1701013000,986603000,9093000,6846233000,1348336000,0,205932000,11097210000,829019725000,1156096000,948987000,22000000,6637415000,1115706000,0,240000000,10120204000,11097210000,28102,394890.4,11097210000,849501263729,1.3,10877546000,10913302000,11097210000,1.0,28102,16511,11591,2227,2249,1751,22396,56725,0,4807745,18591,14662,2171,3252,4081,42757,147082,155845,34023,29620,67742,434312,0,0,27505,20486,24498,3895,2693,3046,10508,269,6657,302927,28102,10.800000190734863,4807745,28102,171.10000610351562,27,55.0,4,45.0,131.0,0,0,0,0,0,0,6.0,0,0.0,6.0,0,0,0,0,0,27,61.0,4,45.0,137.0,0,0,0,0,0,27,61.0,4,45.0,137.0,3885.0,232,86.0,45.0,6.0,0.0,28102,4.5,86.0,6.0,28102,3.299999952316284,3885.0,131.0,6.0,28.39999961853028
2019,2,연세대학교,79.7,272,대학,사립,서울,A그룹,828146,817578,1645724,1453525,1143524,2597049,68,87,275487,1,156,275487,1200,719,1919,61453,21368,82821,73622,100914,2597049,30729,84.5,82821,2597049,3.299999952316284,68830.0,7148,852,68830.0,30729,2.200000047683716,1022574816774,1063503408,521646891,69342363,5100262495,1269813459,0,61398916,8085967532,1021942495000,1000000000,520000000,50000000,5530000000,1250000000,0,70000000,8420000000,8085967532,30729,263138.0,8085967532,1022574816774,0.8,8323660611,7809615151,8085967532,-1.3,30729,19164,11565,1696,2640,905,8413,44383,0,3172854,17825,8154,2076,2165,1320,31540,187195,146208,44203,25404,105163,508173,0,0,56224,33859,12441,7078,7540,3125,13933,330,9253,333403,30729,10.800000190734863,3172854,30729,103.3000030517578,10,26.0,0,5.0,41.0,0,0,0,0,0,0,18.0,1,6.0,25.0,0,0,0,0,0,10,44.0,1,11.0,66.0,0,0,0,0,0,10,44.0,1,11.0,66.0,2287.5,556,36.0,5.0,19.0,6.0,30729,1.899999976158142,36.0,19.0,30729,1.7999999523162842,2287.5,41.0,25.0,34.70000076293945
2019,3,고려대학교,79.2,50,대학,사립,서울,A그룹,623564,940330,1563894,1475423,1509827,2985250,113,103,632994,4,220,632994,1519,1564,3083,236811,9706,246517,223220,109114,2985250,29771,100.3000030517578,246517,2985250,9.0,49347.30078125,7620,402,49347.30078125,29771,1.7000000476837158,732631665779,816711814,495087302,7529400,4407485420,1042220653,0,366523740,7135558329,754420654000,797640792,593140000,9459208,4617552000,986312000,0,418156000,7422260000,7135558329,29771,239681.5,7135558329,732631665779,1.0,6827421834,6802538133,7135558329,2.3,29771,21080,8691,1432,3027,1003,2819,38052,0,6145352,15569,4862,1064,897,613,23005,201422,124310,23172,15029,37521,401454,0,0,30368,49886,8276,3740,3953,5644,12326,497,3476,325732,29771,10.899999618530272,6145352,29771,206.3999938964844,14,10.0,1,2.0,27.0,0,0,0,0,0,0,12.0,2,3.0,17.0,0,0,0,0,0,14,22.0,3,5.0,44.0,0,0,0,0,0,14,22.0,3,5.0,44.0,1994.0,483,25.0,2.0,14.0,3.0,29771,1.2999999523162842,25.0,14.0,29771,1.2999999523162842,1994.0,27.0,17.0,45.29999923706055
2019,4,성균관대학교,78.9,227,대학,사립,서울,A그룹,698993,534115,1233108,1279612,776952,2056564,47,72,510135,6,125,510135,403,320,723,51127,8291,59418,30892,866,2056564,26602,77.30000305175781,59418,2056564,3.0,41244.69921875,6599,791,41244.69921875,26602,1.600000023841858,617474177327,1033733397,438570459,12466070,2296914334,1210647900,0,122330921,5114663081,612412160000,957525000,507870000,10000000,2165715000,1031150000,0,141950000,4814210000,5114663081,26602,192266.1,5114663081,617474177327,0.8,5856185831,6211289288,5114663081,-5.8,26602,19541,7061,1459,1751,409,17073,47294,0,5918438,16204,5708,905,309,1373,24499,161485,79377,18647,6186,63824,329519,0,0,39015,17768,10456,1734,1715,2890,1095,146,4523,240862,26602,9.100000381469728,5918438,26602,222.5,8,5.0,0,0.0,13.0,0,0,0,0,0,0,17.0,12,5.0,34.0,0,0,0,0,0,8,22.0,12,5.0,47.0,0,0,0,0,0,8,22.0,12,5.0,47.0,1271.0,169,13.0,0.0,29.0,5.0,26602,1.5,13.0,29.0,26602,1.600000023841858,1271.0,13.0,34.0,27.0
2019,5,한국과학기술원,78.7,373,대학,국립,대전,A그룹,258354,326682,585036,353841,383463,737304,55,64,383657,3,122,383657,120,48,168,31263,5663,36926,31264,42,737304,10595,69.5999984741211,36926,737304,5.300000190734863,28245.900390625,2793,107,28245.900390625,10595,2.700000047683716,823987582905,971483739,41630645,26644700,5046928998,1092414632,0,93265270,7272367984,855909451191,975196800,53964639,25000000,5065110243,1430261424,0,103400000,7652933106,7272367984,10595,686396.2,7272367984,823987582905,0.9,6014676895,6646465763,7272367984,10.0,10595,3910,6685,627,550,1997,486,14255,0,539606,2921,3865,328,867,74,8055,28943,35728,3522,10935,52004,131132,0,0,4620,5846,1748,139,23,328,481,30,582,64671,10595,6.099999904632568,539606,10595,50.900001525878906,6,9.0,0,5.0,20.0,0,0,0,0,0,0,7.0,0,7.0,14.0,0,0,0,0,0,6,16.0,0,12.0,34.0,0,0,0,0,0,6,16.0,0,12.0,34.0,1095.0,235,15.0,5.0,7.0,7.0,10595,2.700000047683716,15.0,7.0,10595,2.0999999046325684,1095.0,20.0,14.0,32.20000076293945
2019,6,한양대학교,76.4,443,대학,사립,서울,A그룹,647958,429027,1076985,1056610,626671,1683281,49,64,158718,7,120,158718,585,281,866,35651,13229,48880,41102,0,1683281,22643,74.30000305175781,48880,1683281,3.0,26082.0,3717,285,26082.0,22643,1.2000000476837158,526453294789,861245154,120800630,7993660,3234810365,1043602717,0,100024881,5368477407,539830343544,645000000,168000000,10000000,3368307000,937960000,0,100000000,5229267000,5368477407,22643,237092.1,5368477407,526453294789,1.0,4529145367,4899032906,5368477407,8.9,22643,15833,6810,1042,1967,641,23235,49528,0,1864941,11098,4523,740,637,735,17733,119512,65438,15700,10931,18528,230109,0,0,4241,9687,1493,313,396,591,1352,334,4693,184950,22643,8.199999809265137,1864941,22643,82.4000015258789,12,4.0,2,1.0,19.0,0,0,0,0,0,0,3.0,0,0.0,3.0,0,0,0,0,0,12,7.0,2,1.0,22.0,0,0,0,0,0,12,7.0,2,1.0,22.0,602.0,128,18.0,1.0,3.0,0.0,22643,0.8999999761581421,18.0,3.0,22643,0.8999999761581421,602.0,19.0,3.0,27.39999961853028
2019,7,포항공과대학교,76.1,367,대학,사립,경북,C그룹,85438,200419,285857,129286,342206,471492,36,9,527142,0,45,527142,98,26,124,12580,683,13263,12901,140,471492,3195,147.60000610351562,13263,471492,2.900000095367432,17019.0,1188,69,17019.0,3195,5.300000190734863,191632223777,149110955,46767082,4440172,3105546097,393033084,0,42813861,3741711251,233443920818,158119442,91893500,4600000,3261415554,273833222,0,36406781,3826268499,3741711251,3195,1171114.6,3741711251,191632223777,2.0,3808223828,3730168545,3741711251,-0.9,3195,1422,1773,283,170,301,3883,7832,0,298412,953,1073,123,151,624,2924,6466,8020,1795,3350,5859,25490,0,0,28,264,86,59,11,381,330,12,277,14486,3195,4.5,298412,3195,93.4000015258789,1,3.0,2,0.0,6.0,0,0,0,0,0,0,0.0,1,2.0,3.0,0,0,0,0,0,1,3.0,3,2.0,9.0,0,0,0,0,0,1,3.0,3,2.0,9.0,1010.0,111,6.0,0.0,1.0,2.0,3195,2.400000095367432,6.0,1.0,3195,2.200000047683716,1010.0,6.0,3.0,112.1999969482422
2019,8,경희대학교,75.9,45,대학,사립,서울,A그룹,903839,408325,1312164,1954720,609327,2564047,58,47,288186,6,111,288186,275,140,415,26644,5907,32551,26522,12446,2564047,33487,76.5999984741211,32551,2564047,1.2999999523162842,37911.6015625,5413,335,37911.6015625,33487,1.100000023841858,488830841268,543766687,54809835,10065370,3774630764,764020548,0,108848764,5256141968,470625228000,407500000,50500000,9500000,3713336000,765000000,0,110500000,5056336000,5256141968,33487,156960.7,5256141968,488830841268,1.1,5259553593,5249671357,5256141968,0.0,33487,26063,7424,1442,2027,946,23963,61865,0,1576128,15267,4201,1425,709,2640,24242,164620,65935,24334,12822,93167,360878,0,0,55114,29619,4053,804,2629,1006,1006,333,8086,230555,33487,6.900000095367432,1576128,33487,47.09999847412109,10,8.0,1,1.0,20.0,0,0,0,0,0,0,24.0,2,0.0,26.0,0,0,0,0,0,10,32.0,3,1.0,46.0,0,0,0,0,0,10,32.0,3,1.0,46.0,1251.0,248,19.0,1.0,26.0,0.0,33487,1.2000000476837158,19.0,26.0,33487,1.2999999523162842,1251.0,20.0,26.0,27.200000762939453
2019,9,울산대학교,75.3,297,대학,사립,울산,A그룹,385403,205387,590790,661487,460532,1122019,43,38,107503,0,81,107503,230,65,295,10351,2536,12887,10125,549,1122019,13880,80.80000305175781,12887,1122019,1.2000000476837158,22112.0,3433,165,22112.0,13880,1.600000023841858,249654257592,248665954,14532750,2948260,3054175187,292025447,0,148547375,3760894973,243255384000,366815000,14000000,7500000,2290000000,1125200000,0,0,3803515000,3760894973,13880,270957.9,3760894973,249654257592,1.5,3724963164,3716102484,3760894973,0.5,13880,12039,1841,1131,1065,322,14348,30746,0,1164462,6727,633,551,554,2120,10585,49729,7045,7805,6903,28210,99692,0,0,754,3371,396,100,240,803,1385,128,3345,56774,13880,4.099999904632568,1164462,13880,83.9000015258789,2,16.0,0,0.0,18.0,0,0,0,0,0,0,5.0,0,1.0,6.0,0,0,0,0,0,2,21.0,0,1.0,24.0,0,0,0,0,0,2,21.0,0,1.0,24.0,769.0,222,18.0,0.0,5.0,1.0,13880,1.600000023841858,18.0,5.0,13880,1.7000000476837158,769.0,18.0,6.0,32.0
2019,10,경북대학교,75.0,33,대학,국립,대구,A그룹,945958,620877,1566835,2315642,1114323,3429965,33,52,318853,2,87,318853,1350,596,1946,37960,10202,48162,33577,47092,3429965,28669,119.5999984741211,48162,3429965,1.399999976158142,41434.3984375,5494,174,41434.3984375,28669,1.399999976158142,342224899469,459821486,1126241680,10200000,1585284540,774704820,0,107807110,4064059636,317932685000,987500000,1047297000,10500000,1168210000,530596000,0,213814000,3957917000,4064059636,28669,141758.0,4064059636,342224899469,1.2,5316049040,4860499440,4064059636,-12.5,28669,22890,5779,1282,1714,947,38266,70878,0,1123325,11468,2947,1212,511,3248,19386,82352,32217,16110,5402,58438,194519,0,0,61092,32013,2021,990,1499,2403,5474,67,2484,114569,28669,4.0,1123325,28669,39.20000076293945,10,26.0,1,3.0,40.0,0,0,0,0,0,2,5.0,5,1.0,13.0,0,0,0,0,0,12,31.0,6,4.0,53.0,0,0,0,0,0,12,31.0,6,4.0,53.0,5512.0,488,37.0,3.0,12.0,1.0,28669,1.7000000476837158,37.0,12.0,28669,1.7000000476837158,5512.0,40.0,13.0,104.0
