YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_18A,BG3Y_MCS_19B,BG3Y_MCS_20C,BG3Y_BG3Y,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2020,1,서울대학교,86.5,200,대학,국립,서울,A그룹,731687,1642659,2374346,2135088,2977928,5113016,91,118,690013,0,209,690013,1417,1970,3387,22255,15249,37504,34996,473,5113016,27784,184.0,37504,5113016,0.699999988079071,79059.0,9970,519,79059.0,27813,2.799999952316284,874048698049,1699762000,947870000,35920000,8558202000,1658901000,0,532509000,13433164000,863485293000,991000000,919378000,20000000,6800000000,921700000,0,250000000,9902078000,13433164000,27784,483485.6,13433164000,874048698049,1.5,10913302000,11097210000,13433164000,11.4,27784,16556,11228,2260,2310,1787,22396,56537,27813,16608,11205,2256,3284,1814,1836,37003,0,4646925,18646,13415,2390,3935,3885,42271,138224,144718,36479,37348,59956,416725,0,0,25305,19281,26065,4207,4879,2864,12060,91,3447,282942,27784,10.199999809265137,4646925,27784,167.3000030517578,24.0,51.0,3,8.0,86.0,0,0,0,0.0,0.0,0,5.0,0,0.0,5.0,0,0,0,0,0,24.0,56.0,3,8.0,91.0,0,0,0,0.0,0.0,24.0,56.0,3,8.0,91.0,3853.0,1075,78.0,8.0,5.0,0.0,27813,3.200000047683716,78.0,5.0,27813,3.0,3853.0,131.0,6.0,28.100000381469727
2020,2,연세대학교,79.6,272,대학,사립,서울,A그룹,864456,830734,1695190,1485685,1181465,2667150,65,82,290319,1,148,290319,1110,625,1735,52275,15911,68186,59097,11082,2667150,30301,88.0,68186,2667150,2.5999999046325684,68830.0,7339,841,68830.0,30267,2.299999952316284,974410991072,1146974215,502949132,67146320,5459159492,1391363789,0,62977510,8630570458,999260309000,1010000000,520000000,60000000,5692000000,1260000000,0,70000000,8612000000,8630570458,30301,284827.9,8630570458,974410991072,0.9,7809615151,8085967532,8630570458,5.1,30301,19084,11217,1684,2588,899,8413,43885,30267,18924,11343,1724,3036,970,8428,44425,0,3045598,16303,7996,2087,2156,1517,30059,155942,141187,40679,25653,97523,460984,0,0,45454,29326,10665,6480,7157,3325,11669,369,9292,297129,30301,9.800000190734863,3045598,30301,100.5,12.0,24.0,0,5.0,41.0,0,0,0,0.0,0.0,0,16.0,5,6.0,27.0,0,0,0,0,0,12.0,40.0,5,11.0,68.0,0,0,0,0.0,0.0,12.0,40.0,5,11.0,68.0,2080.5,521,36.0,5.0,21.0,6.0,30267,2.0,36.0,21.0,30267,1.899999976158142,2080.5,41.0,25.0,31.5
2020,3,고려대학교,79.3,50,대학,사립,서울,A그룹,641611,979267,1620878,1505896,1543050,3048946,122,108,664507,4,234,664507,970,1234,2204,50920,12959,63879,53086,203,3048946,29757,102.5,63879,3048946,2.0999999046325684,48376.30078125,7206,256,48376.30078125,29580,1.600000023841858,753651781333,864944173,519292393,17333830,4544872560,1134237173,0,293695830,7374375959,724535442000,891600000,525690000,17000000,4637485000,1105725000,0,321908000,7499408000,7374375959,29757,247819.9,7374375959,753651781333,1.0,6802538133,7135558329,7374375959,4.1,29757,21165,8592,1442,2834,1030,2819,37882,29580,20822,8758,1477,2797,1135,2861,37850,0,5817936,14503,4532,1122,857,325,21339,176414,116318,22327,14444,45667,375170,0,0,19914,29161,5210,3979,4027,4768,13682,408,3839,292732,29757,9.800000190734863,5817936,29757,195.5,13.0,11.0,1,2.0,27.0,0,0,0,0.0,0.0,0,13.0,2,3.0,18.0,0,0,0,0,0,13.0,24.0,3,5.0,45.0,0,0,0,0.0,0.0,13.0,24.0,3,5.0,45.0,1704.300048828125,629,25.0,2.0,15.0,3.0,29580,1.399999976158142,25.0,15.0,29580,1.399999976158142,1704.300048828125,27.0,17.0,38.70000076293945
2020,4,성균관대학교,78.8,227,대학,사립,서울,A그룹,705115,457185,1162300,1304273,796356,2100629,42,56,541987,6,104,541987,366,303,669,35248,5974,41222,23875,122,2100629,27097,77.5,41222,2100629,2.0,41619.69921875,6434,671,41619.69921875,27100,1.5,589821444928,955831591,420985661,11831320,2324176649,1384621541,0,112534794,5209981556,623842601000,959645000,482477000,8000000,1925489000,1102927000,0,136950000,4615488000,5209981556,27097,192271.5,5209981556,589821444928,0.9,6211289288,5114663081,5209981556,-7.9,27097,19798,7299,1448,1958,411,17073,47987,27100,19310,7790,1487,1988,415,19873,50863,0,7537198,14104,5141,801,228,1265,21539,143923,78598,19058,7109,59498,308186,0,0,34842,18236,13709,2072,1762,2728,1075,200,5066,222521,27097,8.199999809265137,7537198,27097,278.20001220703125,7.0,5.0,0,1.0,13.0,0,0,0,0.0,0.0,0,15.0,12,6.0,33.0,0,0,0,0,0,7.0,20.0,12,7.0,46.0,0,0,0,0.0,0.0,7.0,20.0,12,7.0,46.0,984.0,172,12.0,1.0,27.0,6.0,27100,1.399999976158142,12.0,27.0,27100,1.399999976158142,984.0,13.0,34.0,20.89999961853028
2020,5,한국과학기술원,78.0,373,대학,국립,대전,A그룹,276685,357228,633913,380371,416045,796416,61,71,415711,3,135,415711,108,30,138,51427,7955,59382,52854,691,796416,10679,74.5999984741211,59382,796416,8.100000381469727,28245.900390625,2772,102,28245.900390625,10723,2.5999999046325684,846087139878,980001805,50964818,23539470,5008499784,1526379772,0,110388318,7699773967,905371874990,1042000000,53573471,50000000,5207223280,1768930518,0,120000000,8241727269,7699773967,10679,721020.1,7699773967,846087139878,0.9,6646465763,7272367984,7699773967,7.6,10679,3879,6800,636,583,2048,486,14432,10723,3822,6901,634,617,2301,363,14638,0,738721,2845,3912,348,955,73,8133,26772,36181,3714,12236,51340,130243,0,0,5711,7216,3005,175,41,230,978,45,699,62953,10679,5.900000095367432,738721,10679,69.19999694824219,6.0,9.0,0,5.0,20.0,0,0,0,0.0,0.0,0,11.0,0,5.0,16.0,0,0,0,0,0,6.0,20.0,0,10.0,36.0,0,0,0,0.0,0.0,6.0,20.0,0,10.0,36.0,1105.0,248,15.0,5.0,11.0,5.0,10723,2.799999952316284,15.0,11.0,10723,2.400000095367432,1105.0,20.0,14.0,32.5
2020,6,한양대학교,76.4,443,대학,사립,서울,A그룹,614441,434829,1049270,1078961,633775,1712736,48,63,132718,5,116,132718,500,237,737,24676,10674,35350,30683,0,1712736,22902,74.80000305175781,35350,1712736,2.0999999046325684,26082.0,3717,284,26082.0,22628,1.2000000476837158,607510252731,664438806,124168690,9908290,3341913115,1075600223,0,97436650,5313465774,568759528495,626455400,125890000,8000000,3561350000,879900000,0,110294600,5311890000,5313465774,22902,232008.8,5313465774,607510252731,0.9,4899032906,5368477407,5313465774,4.3,22902,16142,6760,1044,1978,589,23235,49748,22628,15709,6919,1063,2063,588,23147,49489,0,1964210,10200,4472,754,603,716,16745,102034,57641,16820,9874,15615,201984,0,0,3414,12973,2568,395,446,601,999,258,4335,159675,22902,7.0,1964210,22902,85.80000305175781,11.0,6.0,2,0.0,19.0,0,0,0,0.0,0.0,0,4.0,2,3.0,9.0,0,0,0,0,0,11.0,10.0,4,3.0,28.0,0,0,0,0.0,0.0,11.0,10.0,4,3.0,28.0,676.0,141,19.0,0.0,6.0,3.0,22628,1.100000023841858,19.0,6.0,22628,1.100000023841858,676.0,19.0,3.0,30.700000762939453
2020,7,포항공과대학교,75.8,367,대학,사립,경북,C그룹,107721,190469,298190,134206,332250,466456,44,13,566292,0,57,566292,101,23,124,5179,1754,6933,6540,143,466456,3176,146.89999389648438,6933,466456,1.5,17019.0,1214,15,17019.0,3227,5.300000190734863,209320312848,192553945,44595600,4195030,3356911962,386146501,0,141622519,4126025557,230942293000,242182993,49702000,4200000,2540625788,322240772,0,11316290,3170267843,4126025557,3176,1299126.4,4126025557,209320312848,2.0,3730168545,3741711251,4126025557,5.3,3176,1432,1744,282,166,315,3883,7822,3227,1442,1785,291,170,344,3443,7475,0,318626,787,960,146,154,606,2653,4610,7554,1828,2430,6072,22494,0,0,24,130,90,50,9,164,264,11,220,12164,3176,3.799999952316284,318626,3176,100.3000030517578,2.0,3.0,2,0.0,7.0,0,0,0,0.0,0.0,0,2.0,0,6.0,8.0,0,0,0,0,0,2.0,5.0,2,6.0,15.0,0,0,0,0.0,0.0,2.0,5.0,2,6.0,15.0,702.5,87,7.0,0.0,2.0,6.0,3227,3.5999999046325684,7.0,2.0,3227,2.799999952316284,702.5,6.0,3.0,78.0999984741211
2020,8,경희대학교,75.5,45,대학,사립,서울,A그룹,938492,400956,1339448,1966969,616474,2583443,58,40,281367,5,103,281367,284,118,402,26002,5453,31455,28583,12088,2583443,34016,75.9000015258789,31455,2583443,1.2000000476837158,38001.80078125,5560,270,38001.80078125,33373,1.100000023841858,468612879042,476302247,50192471,8176185,3880448300,899904606,0,145496072,5460519881,485816571000,559592000,60000000,4500000,3940336000,833000000,0,174049000,5571477000,5460519881,34016,160528.0,5460519881,468612879042,1.2,5249671357,5256141968,5460519881,2.0,34016,26430,7586,1434,2007,950,23963,62370,33373,25875,7498,1407,2210,1098,22796,60884,0,1804916,15700,4185,1151,700,2906,24642,131470,55255,19714,11976,89131,307546,0,0,44652,22101,2316,862,2229,870,751,306,7432,186725,34016,5.5,1804916,34016,53.09999847412109,11.0,6.0,1,1.0,19.0,0,0,0,0.0,0.0,0,24.0,0,0.0,24.0,0,0,0,0,0,11.0,30.0,1,1.0,43.0,0,0,0,0.0,0.0,11.0,30.0,1,1.0,43.0,786.0,222,18.0,1.0,24.0,0.0,33373,1.100000023841858,18.0,24.0,33373,1.2999999523162842,786.0,20.0,26.0,17.100000381469727
2020,9,울산대학교,75.3,297,대학,사립,울산,A그룹,381618,203497,585115,669603,459648,1129251,45,42,97462,0,87,97462,209,45,254,11215,4295,15510,11295,9716,1129251,14146,79.80000305175781,15510,1129251,1.399999976158142,22111.69921875,3265,150,22111.69921875,14081,1.600000023841858,257088430836,256687686,10901330,5264320,3194661016,295938271,0,152334092,3915786715,228045115000,437884000,12000000,8000000,2519692000,1173698000,0,0,4151274000,3915786715,14146,276812.3,3915786715,257088430836,1.5,3716102484,3760894973,3915786715,2.7,14146,12184,1962,1131,1094,314,14348,31033,14081,12080,2001,1131,1039,311,12716,29278,0,1105741,6183,597,522,490,1740,9532,42874,6460,8049,7170,18066,82619,0,0,732,3433,487,132,250,1631,443,115,2769,49334,14146,3.5,1105741,14146,78.19999694824219,2.0,16.0,0,0.0,18.0,0,0,0,0.0,0.0,0,5.0,0,0.0,5.0,0,0,0,0,0,2.0,21.0,0,0.0,23.0,0,0,0,0.0,0.0,2.0,21.0,0,0.0,23.0,643.5,142,18.0,0.0,5.0,0.0,14081,1.600000023841858,18.0,5.0,14081,1.600000023841858,643.5,18.0,6.0,26.799999237060547
2020,10,경북대학교,75.3,33,대학,국립,대구,A그룹,846409,627357,1473766,2239709,1122898,3362607,33,54,356820,2,89,356820,1200,530,1730,52940,6924,59864,34905,127222,3362607,28251,119.0,59864,3362607,1.7999999523162842,41434.3984375,5444,190,41434.3984375,27862,1.5,347126748906,1199348540,1082078470,6416400,1977519150,724600190,0,95861990,5085824740,329090590000,750000000,1270637000,5300000,1120000000,864000000,0,20000000,4029937000,5085824740,28251,180022.8,5085824740,347126748906,1.5,4860499440,4064059636,5085824740,4.4,28251,22718,5533,1312,1731,973,38266,70533,27862,22303,5559,1348,1618,963,0,31791,0,4354084,13087,2361,1262,581,3791,21082,106241,30761,19857,7284,84338,248481,0,0,52698,25807,449,747,1077,1580,4294,86,2364,137002,28251,4.800000190734863,4354084,28251,154.10000610351562,10.0,24.0,1,4.0,39.0,0,0,0,0.0,0.0,1,7.0,4,1.0,13.0,0,0,0,0,0,11.0,31.0,5,5.0,52.0,0,0,0,0.0,0.0,11.0,31.0,5,5.0,52.0,3021.0,503,35.0,4.0,12.0,1.0,27862,1.7000000476837158,35.0,12.0,27862,1.7000000476837158,3021.0,40.0,13.0,57.0
