YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_21A,BG3Y_MCS_22B,BG3Y_MCS_23C,BG3Y_BG3Y,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_OEU_EDC,UE_OEU_EP,UE_REU_EDC,UE_REU_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_OE_PTH,SES_OE_PTC,SES_OE2_PTH,SES_OE2_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2023,1,서울대학교,86.6,200,대학,국립,서울,A그룹,746791,2015752,2762543,2147974,3294301,5442275,81,127,1118863,0,208,1118863,1127,1500,2627,316727,28206,344933,328399,69674,5442275,28265,192.5,344933,5442275,6.800000190734863,79296.0,9122,310,79296.0,29065,2.700000047683716,1024503769096,1837256365,646071791,29509950,7822033319,1700380717,0,41640104,12076892246,998647462000,1776165000,783035040,20100000,8641135100,1817629943,0,40500000,13078565083,12076892246,28265,427273.7,12076892246,1024503769096,1.2,13402274468,12045154829,12076892246,-4.9,28265,15870,12395,2278,3804,3222,8297,45866,29065,16662,12403,2308,3956,3273,10521,49123,0,1580320,13134,10165,1349,3155,2651,30454,81096,101236,18807,30907,67228,299274,0,0,0,0,0,2802,2036,2828,5923,356,8883,3,624,182332,28265,6.5,1580320,28265,55.900001525878906,24,46.0,0,8,78.0,0,0,0,0.0,0.0,1,4.0,1,0.0,6.0,0,0,0,0,0,25,50.0,1,8.0,84.0,0,0,0,0.0,0.0,25,50.0,1,8.0,84.0,1637.5,398,2091.5,622,70.0,8.0,6.0,0.0,29065,2.799999952316284,70.0,6.0,29065,2.5999999046325684,3729.0,81.0,6.0,42.900001525878906
2023,2,고려대학교,79.8,50,대학,사립,서울,A그룹,690044,1127005,1817049,1550287,1706749,3257036,63,93,1198299,9,165,1198299,704,1129,1833,37578,10460,48038,37082,45,3257036,29444,110.5999984741211,48038,3257036,1.5,50130.80078125,7304,188,50130.80078125,30320,1.7000000476837158,640111752714,1133609193,519133688,339480,5011459211,1214342433,0,283418459,8162302464,726805843000,1123000000,510000000,3000000,4992000000,1126000000,0,304800000,8058800000,8162302464,29444,277214.5,8162302464,640111752714,1.3,7335666765,7674605112,8162302464,5.5,29444,19597,9847,1511,2929,1150,1740,36774,30320,20373,9947,1525,2883,1152,1663,37543,0,4072427,9893,3650,1017,926,423,15909,114212,84994,23927,15036,30143,268312,0,0,0,0,0,2684,3534,4100,9562,517,3869,0,0,199206,29444,6.800000190734863,4072427,29444,138.3000030517578,10,9.0,1,3,23.0,0,0,0,0.0,0.0,0,14.0,2,3.0,19.0,0,0,0,0,0,10,23.0,3,6.0,42.0,0,0,0,0.0,0.0,10,23.0,3,6.0,42.0,910.5,195,376.0,74,20.0,3.0,16.0,3.0,30320,1.2000000476837158,20.0,16.0,30320,1.2000000476837158,1286.5,27.0,17.0,29.200000762939453
2023,3,연세대학교,79.8,272,대학,사립,서울,A그룹,927238,983743,1910981,1586324,1323794,2910118,75,94,523977,1,170,523977,741,560,1301,45405,11080,56485,46988,10769,2910118,31135,93.5,56485,2910118,2.0,68830.1015625,7126,787,68830.1015625,32413,2.0999999046325684,967559045012,1324835764,417772916,30268010,5915661204,1661936247,0,163607461,9514081602,975901265000,1250000000,446000000,50000000,6255000000,1770000000,0,212000000,9983000000,9514081602,31135,305575.1,9514081602,967559045012,1.0,8086493184,8742290279,9514081602,8.5,31135,19239,11896,1731,3695,1162,7223,44946,32413,20335,12078,1746,3516,1174,7127,45976,0,1649350,11039,5611,1826,2438,754,21668,95287,88523,37045,28284,107608,356747,0,0,0,0,0,3841,6438,2742,7319,376,12221,72,7584,183810,31135,5.900000095367432,1649350,31135,53.0,11,20.0,0,4,35.0,1,1,0,0.0,2.0,0,17.0,3,5.0,25.0,0,0,0,0,0,11,37.0,3,9.0,60.0,1,1,0,0.0,2.0,12,38.0,3,9.0,62.0,1952.5,512,772.0,196,33.0,4.0,20.0,5.0,32413,1.7000000476837158,33.0,20.0,32413,1.600000023841858,2724.5,37.0,25.0,43.900001525878906
2023,4,성균관대학교,78.9,227,대학,사립,서울,A그룹,760097,586224,1346321,1402086,881427,2283513,48,72,801604,6,126,801604,210,109,319,30930,10816,41746,22838,31136,2283513,26851,85.0,41746,2283513,1.899999976158142,41619.69921875,6388,590,41619.69921875,27941,1.5,602896091900,728042173,298886018,9011880,2973678975,1801978756,0,140925880,5952523682,615886944000,735600000,460000000,10000000,3000000000,1890000000,0,144400000,6240000000,5952523682,26851,221687.2,5952523682,602896091900,1.0,4566363173,5131540013,5952523682,14.2,26851,18298,8553,1525,2179,479,17626,48660,27941,19487,8454,1520,2300,495,21072,53328,0,3912289,10678,4093,777,265,1194,17007,85472,49095,15184,4065,70750,224566,0,0,0,0,0,1591,1197,2784,2059,122,5803,2,197,134567,26851,5.0,3912289,26851,145.6999969482422,6,4.0,0,3,13.0,0,0,0,0.0,0.0,2,14.0,11,5.0,32.0,0,0,0,0,0,8,18.0,11,8.0,45.0,0,0,0,0.0,0.0,8,18.0,11,8.0,45.0,197.0,33,1019.5,292,10.0,3.0,27.0,5.0,27941,1.2999999523162842,10.0,27.0,27941,1.2999999523162842,1216.5,12.0,32.0,27.600000381469727
2023,5,한국과학기술원,78.2,373,대학,국립,대전,A그룹,318749,414214,732963,442218,476050,918268,64,69,569616,2,135,569616,95,12,107,30383,3338,33721,34294,956,918268,11059,83.0,33721,918268,3.799999952316284,28245.900390625,3045,95,28245.900390625,11503,2.5,1093523892583,835869171,33987668,7995702,5441240172,1836283848,0,269797650,8425174211,1181883811457,760000000,50187704,30000000,5522901446,1837980412,0,290972743,8492042305,8425174211,11059,761838.7,8425174211,1093523892583,0.8,8290533747,8420690405,8425174211,0.8,11059,3665,7394,666,671,2379,637,15412,11503,3868,7635,670,701,2419,187,15480,0,500792,2227,2948,317,831,40,6363,18972,22044,3452,10489,45950,100907,0,0,0,0,0,394,97,194,757,33,688,4,41,41016,11059,3.700000047683716,500792,11059,45.29999923706055,3,21.0,0,9,33.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,3,21.0,0,9.0,33.0,0,0,0,0.0,0.0,3,21.0,0,9.0,33.0,1233.5,242,308.0,44,24.0,9.0,0.0,0.0,11503,2.700000047683716,24.0,0.0,11503,2.0999999046325684,1541.5,20.0,15.0,44.0
2023,6,한양대학교,76.7,443,대학,사립,서울,A그룹,715020,470325,1185345,1139391,670778,1810169,45,58,409742,4,107,409742,255,167,422,30065,10204,40269,34832,9300,1810169,23338,77.5999984741211,40269,1810169,2.299999952316284,27942.0,4187,305,27942.0,24707,1.100000023841858,441688275743,780416837,85969886,12484460,3914060530,1247535110,0,138302041,6178768864,454795114433,815500000,118300000,15000000,4331345800,1346229100,0,175595100,6801970000,6178768864,23338,264751.4,6178768864,441688275743,1.4,5309410332,5873195270,6178768864,7.9,23338,15448,7890,1138,2234,745,25140,52595,24707,16531,8176,1150,2344,755,26188,55144,0,958300,6873,3541,689,547,648,12298,71382,42830,18307,9100,14814,156433,0,0,0,0,0,189,272,491,1108,115,1905,14,1539,114212,23338,4.900000095367432,958300,23338,41.09999847412109,9,7.0,2,0,18.0,0,0,0,0.0,0.0,0,10.0,0,2.0,12.0,0,0,0,0,0,9,17.0,2,2.0,30.0,0,0,0,0.0,0.0,9,17.0,2,2.0,30.0,182.0,66,640.7999877929688,159,18.0,0.0,10.0,2.0,24707,1.100000023841858,18.0,10.0,24707,1.100000023841858,822.7999877929688,18.0,11.0,28.39999961853028
2023,7,경희대학교,75.7,45,대학,사립,서울,A그룹,986928,398936,1385864,2025879,644259,2670138,64,51,560113,6,121,560113,39,39,78,38242,6708,44950,41396,6760,2670138,34414,77.5999984741211,44950,2670138,1.7000000476837158,37855.30078125,4994,193,37855.30078125,34535,1.100000023841858,498035134882,824437580,14766824,5239280,4582392630,871443525,0,282969544,6581249383,521720571000,690000000,15200000,5100000,4230176000,794000000,0,266000000,6000476000,6581249383,34414,191237.6,6581249383,498035134882,1.3,5415872525,6412394073,6581249383,10.5,34414,25998,8416,1361,2365,1110,23544,62794,34535,25960,8575,1396,2412,1119,24076,63538,0,1228332,7250,2253,953,555,3342,14353,75899,28286,16379,10273,79995,210832,0,0,0,0,0,577,1454,720,885,258,4108,105,2701,104185,34414,3.0,1228332,34414,35.70000076293945,11,6.0,1,1,19.0,0,0,0,0.0,0.0,0,21.0,0,0.0,21.0,0,0,0,0,0,11,27.0,1,1.0,40.0,0,0,0,0.0,0.0,11,27.0,1,1.0,40.0,1009.0,347,349.5,85,18.0,1.0,21.0,0.0,34535,1.0,18.0,21.0,34535,1.100000023841858,1358.5,19.0,21.0,34.0
2023,8,포항공과대학교,75.5,367,대학,사립,경북,C그룹,92725,180100,272825,117846,265712,383558,34,29,797984,1,64,797984,75,2,77,3383,173,3556,2898,20,383558,3306,116.0,3556,383558,0.8999999761581421,15614.099609375,1132,29,15614.099609375,3478,4.5,226470011366,66686798,8368000,1300000,2595099162,759656643,0,250505851,3681616454,249900354000,65500000,9461000,1320000,2851013609,263572411,0,165413979,3356280999,3681616454,3306,1113616.6,3681616454,226470011366,1.6,2903606937,3204735522,3681616454,12.6,3306,1285,2021,283,203,1061,3336,8189,3478,1409,2069,284,226,1123,3839,8950,0,254868,656,892,124,145,525,2342,4943,6335,1550,2136,4256,19220,0,0,0,0,0,52,1,600,857,11,261,0,0,11278,3306,3.400000095367432,254868,3306,77.0999984741211,1,5.0,1,0,7.0,0,0,0,0.0,0.0,0,0.0,0,2.0,2.0,0,0,0,0,0,1,5.0,1,2.0,9.0,0,0,0,0.0,0.0,1,5.0,1,2.0,9.0,152.5,42,503.0,81,7.0,0.0,0.0,2.0,3478,2.299999952316284,7.0,0.0,3478,2.0,655.5,7.0,6.0,50.400001525878906
2023,9,경북대학교,75.2,33,대학,국립,대구,A그룹,882704,668490,1551194,2310821,1163190,3474011,50,59,794891,3,112,794891,876,361,1237,37891,7903,45794,25924,18053,3474011,26917,129.10000610351562,45794,3474011,1.2999999523162842,41449.19921875,5478,157,41449.19921875,27587,1.5,408984578977,925450010,677597732,3807200,2482693010,1006422180,0,434581300,5530551432,379344139000,803405500,839060000,3800000,1780000000,960800000,0,44200000,4431265500,5530551432,26917,205466.9,5530551432,408984578977,1.4,4958487940,5530222050,5530551432,5.8,26917,21028,5889,1392,1819,1055,13432,44615,27587,21658,5929,1397,1863,1085,21972,53904,0,2616037,7203,1516,935,756,5660,16070,79725,23016,22041,14899,98948,238629,0,0,0,0,0,1028,1179,1365,3379,335,5834,0,0,102741,26917,3.799999952316284,2616037,26917,97.1999969482422,14,17.0,1,5,37.0,0,0,0,0.0,0.0,1,15.5,1,1.0,18.5,0,0,0,0,0,15,32.5,2,6.0,55.5,0,0,0,0.0,0.0,15,32.5,2,6.0,55.5,966.0999755859376,200,1343.4000244140625,373,32.0,5.0,17.5,1.0,27587,1.7999999523162842,32.0,17.5,27587,1.7999999523162842,2309.5,30.5,15.5,50.20000076293945
2023,10,울산대학교,75.2,297,대학,사립,울산,A그룹,411040,201498,612538,686306,396120,1082426,54,54,239172,0,108,239172,51,4,55,7075,2756,9831,7361,90309,1082426,13264,81.5999984741211,9831,1082426,0.8999999761581421,21361.69921875,3277,64,21361.69921875,13066,1.600000023841858,280633664376,199847603,7332920,0,3113118640,438817301,0,172966266,3932082730,271981235000,410618000,10500000,5000000,3389579000,399268000,0,4000000,4218965000,3932082730,13264,296447.7,3932082730,280633664376,1.4,3806856860,3876879115,3932082730,1.6,13264,11361,1903,1131,1098,318,10686,26497,13066,11272,1794,1100,1118,354,13980,29618,0,316330,4495,410,522,447,604,6478,29792,3374,6112,11497,18198,68973,0,0,0,0,0,121,219,732,678,31,1249,22,392,33166,13264,2.5,316330,13264,23.799999237060547,4,11.0,0,0,15.0,0,0,0,0.0,0.0,0,6.0,0,1.0,7.0,0,0,0,0,0,4,17.0,0,1.0,22.0,0,0,0,0.0,0.0,4,17.0,0,1.0,22.0,67.5,10,645.2000122070312,77,15.0,0.0,6.0,1.0,13066,1.600000023841858,15.0,6.0,13066,1.600000023841858,712.7000122070312,15.0,5.0,35.599998474121094
