ID,SNM,STYP,FND,RGN,USC,SCR_EST_2014,SCR_EST_2015,SCR_EST_2016,SCR_EST_2017,SCR_EST_2018,SCR_EST_2019,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
1,ICT폴리텍대학,전문대학,사립,경기,C그룹,44.536285586602816,44.41250949657161,44.41903689108285,42.7488514975811,71.31222113672388,71.2671438799715,71.26076160647251,71.28171330297917,71.27705654066459,71.27705654066456,71.27705654066459,71.26592,71.10581
2,가야대학교,대학,사립,경남,C그룹,44.43405836092096,44.31612666184165,44.32362672159902,42.7488514975811,68.44996735049672,68.2392850333464,68.12487550616765,67.76868280397113,67.4915093193894,67.64702012089214,67.64770736426951,67.781525,68.241455
3,가천대학교,대학,사립,경기,A그룹,44.475104040452656,44.36294880336161,44.304711371922934,42.7488514975811,70.64709042684218,69.85952889039204,70.89987624072914,70.96895704341622,70.58454666189748,70.58335021861757,70.68445383751038,70.90143,71.19192
4,가톨릭관동대학교,대학,사립,강원,B그룹,44.42975127695628,44.312630980362854,44.31170717589903,42.7488514975811,67.61845225932277,68.53095410620305,67.4040663234966,67.40899975053316,67.37850127576125,67.4018951345535,67.67882567865867,67.51781,67.749016
5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,44.649028450820026,44.57118656732777,44.65824336204565,42.769155317417166,68.30689514260126,69.30375580236546,67.95227427676294,68.51587320395272,70.66654383959691,68.21644385608026,69.21590802162119,68.655846,69.1231
6,가톨릭대학교,대학,사립,경기,A그룹,44.92582360902714,44.98063289061102,45.00177808989706,42.769155317417166,73.83590652588433,73.22252120680749,73.18417421933303,73.29549256094245,73.19523562807717,73.2776580735223,73.72537474529778,73.787544,73.74504
7,가톨릭상지대학교,전문대학,사립,경북,C그룹,44.945574156343945,44.6777200830365,44.51627075129224,42.7488514975811,67.55083201342794,67.49879653051956,67.52347805657956,67.7386486199323,67.73048829962084,67.73291062265666,67.7623697065792,67.68747,67.77976
8,감리교신학대학교,대학,사립,서울,C그룹,44.80720748417637,44.518522625382246,44.525338312067724,42.769155317417166,67.75423619447928,68.1301358466244,68.35608228120243,68.73027683875812,68.00140192404504,69.71950174530544,68.57924686680911,69.236694,69.32368
9,강남대학교,대학,사립,경기,B그룹,44.43052077788996,44.30947554697717,44.32643085529508,42.7488514975811,68.490616602342,68.08710677082874,69.17666536621013,67.76637007806163,69.21670483790025,68.77816572879651,68.64270434241939,69.33168,69.417435
10,강동대학교,전문대학,사립,충북,B그룹,44.4330839992722,44.300530578907114,44.30774031608384,42.7488514975811,70.33838439888193,68.41707965672961,69.61316891023682,71.2581184610339,69.83018234458727,67.66869086037296,67.66869086037298,68.64381,68.07777
11,강릉영동대학교,전문대학,사립,강원,B그룹,44.42877451010096,44.300530578907114,44.30774031608384,42.7488514975811,68.50905728277128,67.95682860997387,68.59908330163005,68.22033130117204,69.88206601121914,69.88583922725043,69.90881943252901,69.97768,70.24704
12,강서대학교,대학,사립,서울,C그룹,44.55404377490274,44.3178112928711,44.30593129393235,42.7488514975811,68.26312828867133,67.84249319000902,67.8527264138894,67.9584937529532,67.84751570111393,67.85358310694858,67.86284115539034,68.70063,68.05245
